<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFAIFS.PL,D,20251215,000000,26.355,26.355,26.355,26.355,252,0
ETFAIFS.PL,D,20251216,000000,27,27,25.56,25.785,286,0
ETFAIFS.PL,D,20251217,000000,26.45,26.45,25.53,25.53,417,0
ETFAIFS.PL,D,20251218,000000,25.53,25.785,25.53,25.77,132,0
ETFAIFS.PL,D,20251219,000000,26,26.075,25.785,26.035,75,0
ETFAIFS.PL,D,20251222,000000,26.535,26.655,26.4,26.4,906,0
ETFAIFS.PL,D,20251223,000000,26.47,26.535,26.47,26.53,88,0
ETFAIFS.PL,D,20251229,000000,27.085,27.085,26.37,26.785,1567,0
ETFAIFS.PL,D,20251230,000000,27.155,27.155,26.5,26.785,180,0
ETFAIFS.PL,D,20260102,000000,27.04,27.04,27.04,27.04,943,0
ETFAIFS.PL,D,20260105,000000,27.84,27.885,27.54,27.54,732,0
ETFAIFS.PL,D,20260107,000000,28.04,28.04,27.79,28.04,1955,0
ETFAIFS.PL,D,20260108,000000,28.3,28.3,27.7,27.79,1087,0
ETFAIFS.PL,D,20260109,000000,27.405,27.79,27.405,27.79,335,0
ETFAIFS.PL,D,20260112,000000,28.03,28.03,27.355,27.86,1073,0
ETFAIFS.PL,D,20260113,000000,28,28.365,28,28.365,1015,0
ETFAIFS.PL,D,20260114,000000,28,28.11,27.65,27.65,1180,0
ETFAIFS.PL,D,20260115,000000,28.79,28.97,28.365,28.725,2994,0
ETFAIFS.PL,D,20260116,000000,28.725,28.725,28.51,28.51,1231,0
ETFAIFS.PL,D,20260119,000000,28.415,28.415,28.22,28.22,1770,0
ETFAIFS.PL,D,20260120,000000,28.445,28.445,27.72,27.72,34,0
ETFAIFS.PL,D,20260121,000000,27.97,27.97,27.97,27.97,110,0
ETFAIFS.PL,D,20260122,000000,28.725,28.725,28.475,28.475,2,0
ETFAIFS.PL,D,20260123,000000,28.705,28.705,27.65,28.22,171,0
