<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFBM40TR.PL,D,20190905,000000,52.61,52.99,52.4,52.4,23930,0
ETFBM40TR.PL,D,20190906,000000,52.82,53.01,52.6,52.6,10568,0
ETFBM40TR.PL,D,20190909,000000,52.98,53.56,52.97,53.18,18615,0
ETFBM40TR.PL,D,20190910,000000,53.63,53.77,53,53,3237,0
ETFBM40TR.PL,D,20190911,000000,53.42,53.57,53.27,53.27,1310,0
ETFBM40TR.PL,D,20190912,000000,53.56,53.66,52.58,52.58,7944,0
ETFBM40TR.PL,D,20190913,000000,52.99,53.09,52.59,52.59,9335,0
ETFBM40TR.PL,D,20190916,000000,52.84,53,52.65,52.89,6892,0
ETFBM40TR.PL,D,20190917,000000,52.89,52.89,52.54,52.6,5467,0
ETFBM40TR.PL,D,20190918,000000,52.93,53.07,52.79,52.94,6794,0
ETFBM40TR.PL,D,20190919,000000,53.08,53.12,52.9,52.99,1330,0
ETFBM40TR.PL,D,20190920,000000,53.1,53.1,51.7,51.99,8298,0
ETFBM40TR.PL,D,20190923,000000,52.3,52.35,51.51,51.51,1702,0
ETFBM40TR.PL,D,20190924,000000,51.88,52.06,51.73,51.78,6416,0
ETFBM40TR.PL,D,20190925,000000,51.82,51.82,51.47,51.47,1533,0
ETFBM40TR.PL,D,20190926,000000,51.57,51.99,51.57,51.69,1486,0
ETFBM40TR.PL,D,20190927,000000,51.85,52.09,51.7,51.71,7003,0
ETFBM40TR.PL,D,20190930,000000,51.98,51.98,51.34,51.34,3343,0
ETFBM40TR.PL,D,20191001,000000,51.53,52.12,51.5,51.54,3201,0
ETFBM40TR.PL,D,20191002,000000,51.17,51.19,50.17,50.17,3012,0
ETFBM40TR.PL,D,20191003,000000,50.33,51.17,50,50,3601,0
ETFBM40TR.PL,D,20191004,000000,50.29,50.3,50.07,50.1,3493,0
ETFBM40TR.PL,D,20191007,000000,50.34,50.34,49.87,49.87,3153,0
ETFBM40TR.PL,D,20191008,000000,50.22,50.22,50,50.06,1575,0
ETFBM40TR.PL,D,20191009,000000,50.2,50.3,50,50,2156,0
ETFBM40TR.PL,D,20191010,000000,50.06,50.14,49.95,49.98,1844,0
ETFBM40TR.PL,D,20191011,000000,50.15,50.73,50.05,50.33,2574,0
ETFBM40TR.PL,D,20191014,000000,50.88,50.88,50.12,50.19,8688,0
ETFBM40TR.PL,D,20191015,000000,50.66,50.66,50.25,50.29,2833,0
ETFBM40TR.PL,D,20191016,000000,50.63,50.85,50.62,50.62,3610,0
ETFBM40TR.PL,D,20191017,000000,50.92,51.13,50.85,50.98,5522,0
ETFBM40TR.PL,D,20191018,000000,51.24,51.24,50.5,50.5,3979,0
ETFBM40TR.PL,D,20191021,000000,50.81,50.87,50.61,50.65,5725,0
ETFBM40TR.PL,D,20191022,000000,50.96,51.04,50.67,50.67,2709,0
ETFBM40TR.PL,D,20191023,000000,51.07,51.19,50.84,50.9,2120,0
ETFBM40TR.PL,D,20191024,000000,51.41,51.41,51.1,51.24,2361,0
ETFBM40TR.PL,D,20191025,000000,51.49,51.49,50.9,50.99,967,0
ETFBM40TR.PL,D,20191028,000000,51.3,51.44,51.15,51.34,4304,0
ETFBM40TR.PL,D,20191029,000000,51.68,51.68,51.36,51.36,2355,0
ETFBM40TR.PL,D,20191030,000000,51.83,51.83,51.51,51.51,3211,0
ETFBM40TR.PL,D,20191031,000000,51.92,51.92,51.28,51.46,13360,0
ETFBM40TR.PL,D,20191104,000000,52.9,52.9,51.8,52.28,1883,0
ETFBM40TR.PL,D,20191105,000000,52.45,52.8,52.38,52.38,2280,0
ETFBM40TR.PL,D,20191106,000000,52.82,52.82,52.22,52.22,2636,0
ETFBM40TR.PL,D,20191107,000000,52.75,52.82,52.15,52.15,14642,0
ETFBM40TR.PL,D,20191108,000000,52.55,52.74,52.32,52.32,4114,0
ETFBM40TR.PL,D,20191112,000000,52.43,52.76,52.43,52.59,3509,0
ETFBM40TR.PL,D,20191113,000000,52.6,52.62,52.04,52.21,8806,0
ETFBM40TR.PL,D,20191114,000000,52.42,52.51,51.67,52.07,20237,0
ETFBM40TR.PL,D,20191115,000000,52.34,52.34,51.8,52.03,1087,0
ETFBM40TR.PL,D,20191118,000000,52.52,52.74,52.21,52.74,1379,0
ETFBM40TR.PL,D,20191119,000000,52.79,53.2,52.79,52.92,6656,0
ETFBM40TR.PL,D,20191120,000000,53.13,53.13,51.98,52.2,6215,0
ETFBM40TR.PL,D,20191121,000000,51.65,51.88,51.6,51.61,4249,0
ETFBM40TR.PL,D,20191122,000000,52.01,52.22,51.9,51.9,1120,0
ETFBM40TR.PL,D,20191125,000000,52.07,52.74,52.07,52.46,3467,0
ETFBM40TR.PL,D,20191126,000000,52.79,52.9,52.58,52.75,2046,0
ETFBM40TR.PL,D,20191127,000000,52.78,52.94,52.62,52.62,2691,0
ETFBM40TR.PL,D,20191128,000000,52.72,52.72,52.46,52.72,835,0
ETFBM40TR.PL,D,20191129,000000,52.77,52.81,52.60,52.60,3981,0
ETFBM40TR.PL,D,20191202,000000,52.8,53.05,52.46,52.8,4084,0
ETFBM40TR.PL,D,20191203,000000,52.83,53,52.51,52.6,4960,0
ETFBM40TR.PL,D,20191204,000000,52.82,53.17,52.78,52.86,1344,0
ETFBM40TR.PL,D,20191205,000000,53,53.32,53,53,3996,0
ETFBM40TR.PL,D,20191206,000000,53.21,53.29,52.97,53.29,2381,0
ETFBM40TR.PL,D,20191209,000000,53.34,53.43,53.15,53.19,3140,0
ETFBM40TR.PL,D,20191210,000000,53.37,53.37,53.03,53.06,3679,0
ETFBM40TR.PL,D,20191211,000000,53.3,53.3,53.06,53.3,3068,0
ETFBM40TR.PL,D,20191212,000000,53.5,53.84,53.4,53.4,1055,0
ETFBM40TR.PL,D,20191213,000000,53.86,53.88,53.27,53.27,3614,0
ETFBM40TR.PL,D,20191216,000000,53.59,53.73,53.27,53.3,2173,0
ETFBM40TR.PL,D,20191217,000000,53.43,53.47,53,53.4,1672,0
ETFBM40TR.PL,D,20191218,000000,53.44,53.45,53.11,53.11,919,0
ETFBM40TR.PL,D,20191219,000000,53.63,54,53.52,53.73,2955,0
ETFBM40TR.PL,D,20191220,000000,53.72,53.85,53.37,53.65,3176,0
ETFBM40TR.PL,D,20191223,000000,53.8,54.23,53.65,53.96,3279,0
ETFBM40TR.PL,D,20191227,000000,54.18,54.58,54.18,54.29,2042,0
ETFBM40TR.PL,D,20191230,000000,54.59,54.67,54.23,54.3,4284,0
ETFBM40TR.PL,D,20200102,000000,54.63,55.5,54.63,55.5,8430,0
ETFBM40TR.PL,D,20200103,000000,55.5,55.5,55.17,55.46,8479,0
ETFBM40TR.PL,D,20200107,000000,55.83,56.47,55.6,56.38,8989,0
ETFBM40TR.PL,D,20200108,000000,56.61,56.61,55.7,55.85,6404,0
ETFBM40TR.PL,D,20200109,000000,56.18,56.37,56.05,56.1,8124,0
ETFBM40TR.PL,D,20200110,000000,56.32,56.48,56.08,56.31,10429,0
ETFBM40TR.PL,D,20200113,000000,56.55,56.81,56.4,56.4,6385,0
ETFBM40TR.PL,D,20200114,000000,56.8,57,56.52,56.65,8032,0
ETFBM40TR.PL,D,20200115,000000,57.02,57.02,56.5,56.5,6326,0
ETFBM40TR.PL,D,20200116,000000,56.47,56.9,56.45,56.66,8673,0
ETFBM40TR.PL,D,20200117,000000,56.73,56.94,56.65,56.65,5886,0
ETFBM40TR.PL,D,20200120,000000,56.75,56.89,56.70,56.75,5983,0
ETFBM40TR.PL,D,20200121,000000,56.79,56.79,56.3,56.3,6874,0
ETFBM40TR.PL,D,20200122,000000,56.41,56.43,56.00,56.07,3433,0
ETFBM40TR.PL,D,20200123,000000,56.20,56.50,56.09,56.26,1691,0
ETFBM40TR.PL,D,20200124,000000,56.2,56.69,56.2,56.34,8497,0
ETFBM40TR.PL,D,20200127,000000,56.39,56.39,55.42,55.65,5273,0
ETFBM40TR.PL,D,20200128,000000,56,56,55.5,55.66,5526,0
ETFBM40TR.PL,D,20200129,000000,55.96,56.11,55.65,55.66,8254,0
ETFBM40TR.PL,D,20200130,000000,55.35,55.50,55.04,55.37,6074,0
ETFBM40TR.PL,D,20200131,000000,55.63,55.64,55.19,55.49,5536,0
ETFBM40TR.PL,D,20200203,000000,55.56,55.58,55.3,55.4,8329,0
ETFBM40TR.PL,D,20200204,000000,55.63,56.46,55.63,55.97,5773,0
ETFBM40TR.PL,D,20200205,000000,56.56,57.32,56.50,56.81,8025,0
ETFBM40TR.PL,D,20200206,000000,56.44,57.58,56.44,56.65,9429,0
ETFBM40TR.PL,D,20200207,000000,56.75,56.89,56.5,56.5,2620,0
ETFBM40TR.PL,D,20200210,000000,56.88,57,56.31,56.36,6831,0
ETFBM40TR.PL,D,20200211,000000,56.66,56.95,56.66,56.69,7145,0
ETFBM40TR.PL,D,20200212,000000,57.23,57.36,56.70,56.70,5687,0
ETFBM40TR.PL,D,20200213,000000,56.70,56.70,56.20,56.22,3728,0
ETFBM40TR.PL,D,20200214,000000,56.37,56.67,56.16,56.16,3408,0
ETFBM40TR.PL,D,20200217,000000,56.66,56.77,56.5,56.5,5404,0
ETFBM40TR.PL,D,20200218,000000,56.34,56.54,56.2,56.2,5098,0
ETFBM40TR.PL,D,20200219,000000,56.55,56.55,55.90,56.30,9953,0
ETFBM40TR.PL,D,20200220,000000,56.63,57.2,56.3,56.3,2311,0
ETFBM40TR.PL,D,20200221,000000,56.52,56.63,56.12,56.12,2636,0
ETFBM40TR.PL,D,20200224,000000,55.07,55.1,54.19,54.21,14379,0
ETFBM40TR.PL,D,20200225,000000,54.31,54.47,52.69,53.19,18698,0
ETFBM40TR.PL,D,20200226,000000,52.90,53.36,52.15,53.00,9995,0
ETFBM40TR.PL,D,20200227,000000,52.93,52.93,51.04,51.04,15801,0
ETFBM40TR.PL,D,20200228,000000,49.19,50.33,48.81,49.50,28016,0
ETFBM40TR.PL,D,20200302,000000,50.53,51.55,50.15,50.25,18456,0
ETFBM40TR.PL,D,20200303,000000,51.60,52.52,51.37,52.01,21048,0
ETFBM40TR.PL,D,20200304,000000,51.86,51.97,51.44,51.50,7833,0
ETFBM40TR.PL,D,20200305,000000,52.46,52.46,50.66,50.95,11105,0
ETFBM40TR.PL,D,20200306,000000,50.18,50.33,49.60,50.30,9850,0
ETFBM40TR.PL,D,20200309,000000,47.81,48.40,46.59,46.99,19291,0
ETFBM40TR.PL,D,20200310,000000,47.60,47.86,46.15,46.30,7840,0
ETFBM40TR.PL,D,20200311,000000,46.81,46.90,44.00,44.18,14390,0
ETFBM40TR.PL,D,20200312,000000,43.00,43.98,39.15,40.64,24442,0
ETFBM40TR.PL,D,20200313,000000,39.71,41.14,39.01,39.90,23465,0
ETFBM40TR.PL,D,20200316,000000,38.72,38.72,37.00,38.70,18375,0
ETFBM40TR.PL,D,20200317,000000,39.51,40.25,38.69,39.81,10605,0
ETFBM40TR.PL,D,20200318,000000,39.99,40.73,39.48,39.48,10226,0
ETFBM40TR.PL,D,20200319,000000,39.62,41.10,39.62,41.01,7581,0
ETFBM40TR.PL,D,20200320,000000,42.72,43.00,39.49,39.85,21297,0
ETFBM40TR.PL,D,20200323,000000,38.67,39.37,37.76,38.35,13291,0
ETFBM40TR.PL,D,20200324,000000,39.93,40.37,38.95,39.20,10744,0
ETFBM40TR.PL,D,20200325,000000,40.33,40.54,38.41,38.90,16209,0
ETFBM40TR.PL,D,20200326,000000,39.46,39.86,39.03,39.68,4886,0
ETFBM40TR.PL,D,20200327,000000,39.98,40.06,39.46,39.58,4165,0
ETFBM40TR.PL,D,20200330,000000,40.22,40.22,38.65,39.06,5682,0
ETFBM40TR.PL,D,20200331,000000,39.66,39.72,38.98,39.37,21921,0
ETFBM40TR.PL,D,20200401,000000,39.30,39.60,38.98,39.50,9551,0
ETFBM40TR.PL,D,20200402,000000,39.78,39.78,39.20,39.50,3745,0
ETFBM40TR.PL,D,20200403,000000,39.60,39.73,39.20,39.51,3034,0
ETFBM40TR.PL,D,20200406,000000,40.41,41.40,40.10,41.31,21858,0
ETFBM40TR.PL,D,20200407,000000,42.67,43.55,42.26,42.26,22941,0
ETFBM40TR.PL,D,20200408,000000,42.60,42.85,41.93,41.93,7071,0
ETFBM40TR.PL,D,20200409,000000,43.06,43.30,42.00,43.30,8911,0
ETFBM40TR.PL,D,20200414,000000,43.87,45.27,43.60,45.20,29033,0
ETFBM40TR.PL,D,20200415,000000,45.74,45.74,43.66,43.73,17176,0
ETFBM40TR.PL,D,20200416,000000,44.60,44.60,43.86,43.88,10745,0
ETFBM40TR.PL,D,20200417,000000,44.72,44.87,44.37,44.62,9115,0
ETFBM40TR.PL,D,20200420,000000,44.87,44.87,44.35,44.50,8411,0
ETFBM40TR.PL,D,20200421,000000,44.41,44.41,42.63,43.32,25398,0
ETFBM40TR.PL,D,20200422,000000,43.35,43.95,42.64,43.90,3077,0
ETFBM40TR.PL,D,20200423,000000,44.44,44.89,43.90,44.89,27472,0
ETFBM40TR.PL,D,20200424,000000,44.97,45.02,44.33,44.37,6089,0
ETFBM40TR.PL,D,20200427,000000,45.07,45.17,44.02,44.27,5545,0
ETFBM40TR.PL,D,20200428,000000,44.64,44.64,44.10,44.10,4284,0
ETFBM40TR.PL,D,20200429,000000,44.10,45.38,44.10,45.24,7636,0
ETFBM40TR.PL,D,20200430,000000,45.82,45.83,45.00,45.27,10015,0
ETFBM40TR.PL,D,20200504,000000,45.12,45.12,44.15,44.67,29194,0
ETFBM40TR.PL,D,20200505,000000,44.80,45.09,44.49,44.74,3523,0
ETFBM40TR.PL,D,20200506,000000,45.00,45.00,44.14,44.31,5550,0
ETFBM40TR.PL,D,20200507,000000,44.60,44.87,44.13,44.53,5715,0
ETFBM40TR.PL,D,20200508,000000,45.00,45.00,44.62,44.80,6276,0
ETFBM40TR.PL,D,20200511,000000,45.32,45.35,44.56,44.56,8273,0
ETFBM40TR.PL,D,20200512,000000,45.13,45.27,44.61,45.18,5548,0
ETFBM40TR.PL,D,20200513,000000,45.31,45.31,44.85,44.86,5704,0
ETFBM40TR.PL,D,20200514,000000,44.81,44.81,43.38,43.81,8036,0
ETFBM40TR.PL,D,20200515,000000,44.10,44.44,43.61,43.78,6238,0
ETFBM40TR.PL,D,20200518,000000,44.34,44.39,43.87,44.39,4786,0
ETFBM40TR.PL,D,20200519,000000,45.00,45.00,44.33,44.60,48385,0
