<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFBNQ2ST.PL,D,20240910,000000,189.18,190.86,186.76,188.26,1208,0
ETFBNQ2ST.PL,D,20240911,000000,186.6,191,184,191,3615,0
ETFBNQ2ST.PL,D,20240912,000000,176.2,178.2,174.94,176,4678,0
ETFBNQ2ST.PL,D,20240913,000000,172.82,173.7,171.6,171.92,3680,0
ETFBNQ2ST.PL,D,20240916,000000,172.28,174.76,171.4,174.72,2518,0
ETFBNQ2ST.PL,D,20240917,000000,173.14,173.14,170.64,171,524,0
ETFBNQ2ST.PL,D,20240918,000000,172.64,173.3,172.18,173.06,830,0
ETFBNQ2ST.PL,D,20240919,000000,169.24,169.76,165.02,166,3928,0
ETFBNQ2ST.PL,D,20240920,000000,167.2,168.98,166.6,168.98,1469,0
ETFBNQ2ST.PL,D,20240923,000000,167.88,169,165.94,166.34,2949,0
ETFBNQ2ST.PL,D,20240924,000000,165.4,168.42,164.74,166.62,1163,0
ETFBNQ2ST.PL,D,20240925,000000,166.14,166.2,163.02,163.02,1707,0
ETFBNQ2ST.PL,D,20240926,000000,159.82,163.94,158.6,163.94,7066,0
ETFBNQ2ST.PL,D,20240927,000000,162.78,162.82,161.1,162.24,1249,0
ETFBNQ2ST.PL,D,20240930,000000,164.28,165.36,163.36,164.66,1600,0
ETFBNQ2ST.PL,D,20241001,000000,163.06,169,162.44,168.72,1681,0
ETFBNQ2ST.PL,D,20241002,000000,168,169.84,166.22,167.44,1975,0
ETFBNQ2ST.PL,D,20241003,000000,168.78,169.34,166,168.34,3525,0
ETFBNQ2ST.PL,D,20241004,000000,167.74,167.74,163.06,166.16,1790,0
ETFBNQ2ST.PL,D,20241007,000000,164.42,166.3,163.74,165.28,2135,0
ETFBNQ2ST.PL,D,20241008,000000,168.18,168.52,163.5,163.5,4738,0
ETFBNQ2ST.PL,D,20241009,000000,163.84,163.84,161.42,161.48,1033,0
ETFBNQ2ST.PL,D,20241010,000000,160.34,162.48,160.3,161,584,0
ETFBNQ2ST.PL,D,20241011,000000,161.1,161.9,159.9,160.54,926,0
ETFBNQ2ST.PL,D,20241014,000000,160.2,160.2,156.7,157.16,3783,0
ETFBNQ2ST.PL,D,20241015,000000,157.84,161.12,157,161.12,1125,0
ETFBNQ2ST.PL,D,20241016,000000,161.58,163.94,161.02,162.5,1191,0
ETFBNQ2ST.PL,D,20241017,000000,160.68,161.42,157.74,161.08,1550,0
ETFBNQ2ST.PL,D,20241018,000000,160.6,160.6,159.04,159.9,5107,0
ETFBNQ2ST.PL,D,20241021,000000,160.3,161.88,158.74,160.76,1939,0
ETFBNQ2ST.PL,D,20241022,000000,160.34,161.52,158.88,159.14,1378,0
ETFBNQ2ST.PL,D,20241023,000000,159.02,161.58,158.44,160.78,4806,0
ETFBNQ2ST.PL,D,20241024,000000,162,162.48,160.96,162.32,2756,0
ETFBNQ2ST.PL,D,20241025,000000,161.16,161.16,156.24,156.8,5259,0
ETFBNQ2ST.PL,D,20241028,000000,157.6,158.6,156.8,158.6,4151,0
ETFBNQ2ST.PL,D,20241029,000000,159.46,160,156.92,156.92,1018,0
ETFBNQ2ST.PL,D,20241030,000000,155.34,157.94,155.34,156.72,2148,0
ETFBNQ2ST.PL,D,20241031,000000,162.1,166.68,161.18,166.16,2692,0
ETFBNQ2ST.PL,D,20241104,000000,164.6,166.54,164,164.2,1748,0
ETFBNQ2ST.PL,D,20241105,000000,164.72,165.6,162.6,163.54,486,0
ETFBNQ2ST.PL,D,20241106,000000,156.66,157,154.52,156.06,3467,0
ETFBNQ2ST.PL,D,20241107,000000,152.7,152.7,148.9,148.9,10671,0
ETFBNQ2ST.PL,D,20241108,000000,148.16,149.7,147.72,148.88,3501,0
ETFBNQ2ST.PL,D,20241112,000000,148.64,149.6,147.9,148.88,2402,0
ETFBNQ2ST.PL,D,20241113,000000,149.88,150.58,148,150.22,3056,0
ETFBNQ2ST.PL,D,20241114,000000,149.7,150.92,148.68,150.08,3975,0
ETFBNQ2ST.PL,D,20241115,000000,153.38,157.8,153.32,157.66,10209,0
ETFBNQ2ST.PL,D,20241118,000000,157.36,158.62,155.58,155.96,3530,0
ETFBNQ2ST.PL,D,20241119,000000,155.9,160.58,155.58,156.46,6657,0
ETFBNQ2ST.PL,D,20241120,000000,153.94,158.88,153.42,156.54,1925,0
ETFBNQ2ST.PL,D,20241121,000000,156.02,162,150,155.56,7799,0
ETFBNQ2ST.PL,D,20241122,000000,153.68,155.72,153.56,154.16,2300,0
ETFBNQ2ST.PL,D,20241125,000000,151.76,152.8,150,152.68,2040,0
ETFBNQ2ST.PL,D,20241126,000000,152.68,153.34,150.82,151.12,2592,0
ETFBNQ2ST.PL,D,20241127,000000,152,155.54,151.7,155.54,2897,0
ETFBNQ2ST.PL,D,20241128,000000,152.86,153.42,152.32,152.78,780,0
ETFBNQ2ST.PL,D,20241129,000000,152.82,153.2,151.66,151.7,244,0
ETFBNQ2ST.PL,D,20241202,000000,151.58,151.88,148,148.46,3364,0
ETFBNQ2ST.PL,D,20241203,000000,147.46,148.62,147.1,147.28,1335,0
ETFBNQ2ST.PL,D,20241204,000000,145.76,145.84,143.48,143.48,3774,0
ETFBNQ2ST.PL,D,20241205,000000,143.74,143.84,142.98,143.58,1531,0
ETFBNQ2ST.PL,D,20241206,000000,144,144.3,141.54,142.2,10365,0
ETFBNQ2ST.PL,D,20241209,000000,140.72,143.42,140.72,143.18,14850,0
ETFBNQ2ST.PL,D,20241210,000000,144.18,144.32,142.26,143.68,1497,0
ETFBNQ2ST.PL,D,20241211,000000,144.14,144.58,140.4,141.08,2563,0
ETFBNQ2ST.PL,D,20241212,000000,140.2,142,140,141,2079,0
ETFBNQ2ST.PL,D,20241213,000000,140.3,141.42,138.42,141.42,1600,0
ETFBNQ2ST.PL,D,20241216,000000,139.52,139.6,136.62,136.9,4127,0
ETFBNQ2ST.PL,D,20241217,000000,136.34,137.52,135.46,136.82,1365,0
ETFBNQ2ST.PL,D,20241218,000000,136.3,137.24,136,136.42,2455,0
ETFBNQ2ST.PL,D,20241219,000000,145.74,147.04,144.5,146.12,8845,0
ETFBNQ2ST.PL,D,20241220,000000,149.28,152.84,145.86,146,3576,0
ETFBNQ2ST.PL,D,20241223,000000,143.96,146.3,143.66,145.6,3122,0
ETFBNQ2ST.PL,D,20241227,000000,141.24,146.4,140.68,145.6,3225,0
ETFBNQ2ST.PL,D,20241230,000000,144.82,150,144.36,149.38,1785,0
ETFBNQ2ST.PL,D,20250102,000000,148.22,151,146.46,149.84,4537,0
ETFBNQ2ST.PL,D,20250103,000000,150.12,150.76,147.16,148.46,1964,0
ETFBNQ2ST.PL,D,20250107,000000,143.22,147.88,142.6,146.1,2316,0
ETFBNQ2ST.PL,D,20250108,000000,148.3,150.66,147.12,149,5618,0
ETFBNQ2ST.PL,D,20250109,000000,150.14,150.14,149.02,149.48,1759,0
ETFBNQ2ST.PL,D,20250110,000000,150.06,155.02,148.54,152.74,4709,0
ETFBNQ2ST.PL,D,20250113,000000,154.22,157.36,153.7,156.34,1732,0
ETFBNQ2ST.PL,D,20250114,000000,152.58,154.62,151.5,154.62,2208,0
ETFBNQ2ST.PL,D,20250115,000000,154.24,154.24,147.7,148.54,2936,0
ETFBNQ2ST.PL,D,20250116,000000,145.4,148.6,145.4,147.32,1729,0
ETFBNQ2ST.PL,D,20250117,000000,149.54,149.54,144,144.7,2990,0
ETFBNQ2ST.PL,D,20250120,000000,145,145.7,142.66,144.54,4433,0
ETFBNQ2ST.PL,D,20250121,000000,145.16,145.98,143.42,144.78,2715,0
ETFBNQ2ST.PL,D,20250122,000000,141.84,141.86,139.2,140.1,5887,0
ETFBNQ2ST.PL,D,20250123,000000,141.26,141.7,140.8,141.04,3956,0
ETFBNQ2ST.PL,D,20250124,000000,139.9,140.42,138.92,140.08,1715,0
ETFBNQ2ST.PL,D,20250127,000000,148.9,155.4,147.64,149.12,11670,0
ETFBNQ2ST.PL,D,20250128,000000,149.56,150.6,146.6,147.3,5504,0
ETFBNQ2ST.PL,D,20250129,000000,144,146.6,144,146.56,2976,0
ETFBNQ2ST.PL,D,20250130,000000,144.2,147.54,143.1,147.54,1013,0
ETFBNQ2ST.PL,D,20250131,000000,142.9,142.96,140.38,140.78,2875,0
