<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFBS80TR.PL,D,20211214,000000,289.15,289.30,284.95,285.15,3211,0
ETFBS80TR.PL,D,20211215,000000,285.85,285.85,282.40,282.40,1339,0
ETFBS80TR.PL,D,20211216,000000,283.75,284.30,280.35,280.35,1785,0
ETFBS80TR.PL,D,20211217,000000,282.75,283.20,279.00,279.85,2921,0
ETFBS80TR.PL,D,20211220,000000,279.00,279.00,276.20,277.35,642,0
ETFBS80TR.PL,D,20211221,000000,278.6,279.7,278.35,278.35,168,0
ETFBS80TR.PL,D,20211222,000000,280.65,280.85,278.85,278.85,467,0
ETFBS80TR.PL,D,20211223,000000,279.7,280.7,276.25,278.5,1807,0
ETFBS80TR.PL,D,20211227,000000,278.15,278.15,273.1,275,1494,0
ETFBS80TR.PL,D,20211228,000000,275.1,278.15,275.1,276,502,0
ETFBS80TR.PL,D,20211229,000000,279.3,282.85,278.2,282.85,3884,0
ETFBS80TR.PL,D,20211230,000000,284.25,285.25,282,282,853,0
ETFBS80TR.PL,D,20220103,000000,286.55,289.9,285.35,289.5,5327,0
ETFBS80TR.PL,D,20220104,000000,290.35,295.1,287.75,292,3696,0
ETFBS80TR.PL,D,20220105,000000,292.6,292.6,290,291.2,964,0
ETFBS80TR.PL,D,20220107,000000,292.55,300.2,290.5,292.5,931,0
ETFBS80TR.PL,D,20220110,000000,293.6,293.6,289.25,290,1356,0
ETFBS80TR.PL,D,20220111,000000,292.55,294.3,291.9,293.25,823,0
ETFBS80TR.PL,D,20220112,000000,295.8,297.45,295.7,296.5,1567,0
ETFBS80TR.PL,D,20220113,000000,298.55,299.05,297,297,979,0
ETFBS80TR.PL,D,20220114,000000,297.6,297.9,295,295,659,0
ETFBS80TR.PL,D,20220117,000000,296.9,296.95,295,296,780,0
ETFBS80TR.PL,D,20220118,000000,297.95,297.95,294.3,294.5,924,0
ETFBS80TR.PL,D,20220119,000000,292.35,292.35,288,290.25,1250,0
ETFBS80TR.PL,D,20220120,000000,291.25,291.25,285.9,286.8,1184,0
ETFBS80TR.PL,D,20220121,000000,286,286,282,283.1,598,0
ETFBS80TR.PL,D,20220124,000000,283.1,283.2,268,269.9,1660,0
ETFBS80TR.PL,D,20220125,000000,269.7,276.3,269.7,271.45,849,0
ETFBS80TR.PL,D,20220126,000000,276.25,278.2,276.25,276.6,245,0
ETFBS80TR.PL,D,20220127,000000,275.5,275.5,274.9,275,206,0
ETFBS80TR.PL,D,20220128,000000,277.6,277.6,272.5,273,381,0
ETFBS80TR.PL,D,20220131,000000,273,276.2,273,275.8,2332,0
ETFBS80TR.PL,D,20220201,000000,277.35,278.65,277.35,277.5,337,0
ETFBS80TR.PL,D,20220202,000000,279.95,281.6,278.6,279,391,0
ETFBS80TR.PL,D,20220203,000000,281.3,281.6,278.5,278.5,200,0
ETFBS80TR.PL,D,20220204,000000,281.15,281.15,278,278.7,77,0
ETFBS80TR.PL,D,20220207,000000,279.6,280.95,276.45,277.5,257,0
ETFBS80TR.PL,D,20220208,000000,277.05,278.65,277,278,162,0
ETFBS80TR.PL,D,20220209,000000,279.6,280.4,279,279,203,0
