<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFBSPXPL.PL,D,20210315,000000,67.91,68.03,67.65,67.72,630,0
ETFBSPXPL.PL,D,20210316,000000,68.32,68.40,68.26,68.29,913,0
ETFBSPXPL.PL,D,20210317,000000,68.16,68.16,67.56,67.87,23935,0
ETFBSPXPL.PL,D,20210318,000000,68.19,68.19,67.57,67.91,21632,0
ETFBSPXPL.PL,D,20210319,000000,67.59,67.68,67.06,67.25,339,0
ETFBSPXPL.PL,D,20210322,000000,67.11,67.72,67.11,67.72,58,0
ETFBSPXPL.PL,D,20210323,000000,67.57,67.80,67.55,67.73,176,0
ETFBSPXPL.PL,D,20210324,000000,67.24,67.50,67.23,67.46,163,0
ETFBSPXPL.PL,D,20210325,000000,67.01,67.01,66.51,66.51,435,0
ETFBSPXPL.PL,D,20210326,000000,67.58,67.58,67.58,67.58,30,0
ETFBSPXPL.PL,D,20210329,000000,67.97,68.00,67.85,67.85,50,0
ETFBSPXPL.PL,D,20210330,000000,68.33,68.33,68.07,68.07,101,0
ETFBSPXPL.PL,D,20210331,000000,68.17,68.17,68.17,68.17,20,0
ETFBSPXPL.PL,D,20210401,000000,68.59,68.88,68.59,68.88,791,0
ETFBSPXPL.PL,D,20210406,000000,70.02,70.14,69.95,70.09,559,0
ETFBSPXPL.PL,D,20210407,000000,70.18,70.19,70.00,70.19,1271,0
ETFBSPXPL.PL,D,20210408,000000,70.47,70.47,70.30,70.30,876,0
ETFBSPXPL.PL,D,20210409,000000,70.5,70.5,70.35,70.35,40,0
ETFBSPXPL.PL,D,20210412,000000,70.88,70.88,70.82,70.84,811,0
ETFBSPXPL.PL,D,20210413,000000,70.98,71.01,70.70,71.01,248,0
ETFBSPXPL.PL,D,20210414,000000,71.23,71.31,71.01,71.29,252,0
ETFBSPXPL.PL,D,20210415,000000,71.16,71.31,71.16,71.30,31,0
ETFBSPXPL.PL,D,20210416,000000,71.56,71.82,71.56,71.78,661,0
ETFBSPXPL.PL,D,20210419,000000,71.78,71.82,71.61,71.71,644,0
ETFBSPXPL.PL,D,20210420,000000,71.63,71.68,71.00,71.18,646,0
ETFBSPXPL.PL,D,20210421,000000,70.99,71.06,70.86,71.05,68,0
ETFBSPXPL.PL,D,20210422,000000,71.42,71.65,71.42,71.63,575,0
ETFBSPXPL.PL,D,20210423,000000,71.12,71.20,71.08,71.15,293,0
ETFBSPXPL.PL,D,20210426,000000,71.79,71.80,71.62,71.66,222,0
ETFBSPXPL.PL,D,20210427,000000,71.92,71.92,71.50,71.66,202,0
ETFBSPXPL.PL,D,20210428,000000,71.81,71.88,71.62,71.77,197,0
ETFBSPXPL.PL,D,20210429,000000,72.18,72.27,71.96,71.96,519,0
ETFBSPXPL.PL,D,20210430,000000,72.00,72.07,71.66,71.97,423,0
ETFBSPXPL.PL,D,20210504,000000,72.00,72.00,71.05,71.05,953,0
ETFBSPXPL.PL,D,20210505,000000,71.35,71.71,71.35,71.58,323,0
ETFBSPXPL.PL,D,20210506,000000,71.63,71.70,71.30,71.30,658,0
ETFBSPXPL.PL,D,20210507,000000,72.06,72.63,72.06,72.63,218,0
ETFBSPXPL.PL,D,20210510,000000,72.62,72.64,72.45,72.45,287,0
ETFBSPXPL.PL,D,20210511,000000,71.60,71.60,70.50,70.50,476,0
ETFBSPXPL.PL,D,20210512,000000,71.08,71.16,70.32,70.32,379,0
ETFBSPXPL.PL,D,20210513,000000,69.67,70.60,69.21,70.60,449,0
