<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
06N_MV,D,20070813,000000,93.51,93.51,93.51,93.51,0,0
06N_MV,D,20070814,000000,92.66,92.66,92.66,92.66,0,0
06N_MV,D,20070816,000000,86.88,86.88,86.88,86.88,0,0
06N_MV,D,20070817,000000,90.03,90.03,90.03,90.03,0,0
06N_MV,D,20070820,000000,86.77,86.77,86.77,86.77,0,0
06N_MV,D,20070821,000000,87.94,87.94,87.94,87.94,0,0
06N_MV,D,20070822,000000,93.51,93.51,93.51,93.51,0,0
06N_MV,D,20070823,000000,94.35,94.35,94.35,94.35,0,0
06N_MV,D,20070824,000000,95.61,95.61,95.61,95.61,0,0
06N_MV,D,20070827,000000,95.09,95.09,95.09,95.09,0,0
06N_MV,D,20070828,000000,95.2,95.2,95.2,95.2,0,0
06N_MV,D,20070829,000000,95.09,95.09,95.09,95.09,0,0
06N_MV,D,20070830,000000,95.2,95.2,95.2,95.2,0,0
06N_MV,D,20070831,000000,94.14,94.14,94.14,94.14,0,0
06N_MV,D,20070903,000000,93.61,93.61,93.61,93.61,0,0
06N_MV,D,20070904,000000,97.82,97.82,97.82,97.82,0,0
06N_MV,D,20070905,000000,101.09,101.09,101.09,101.09,0,0
06N_MV,D,20070906,000000,100.98,100.98,100.98,100.98,0,0
06N_MV,D,20070907,000000,99.19,99.19,99.19,99.19,0,0
06N_MV,D,20070910,000000,99.72,99.72,99.72,99.72,0,0
06N_MV,D,20070911,000000,98.87,98.87,98.87,98.87,0,0
06N_MV,D,20070912,000000,106.45,106.45,106.45,106.45,0,0
06N_MV,D,20070913,000000,106.02,106.02,106.02,106.02,0,0
06N_MV,D,20070914,000000,105.18,105.18,105.18,105.18,0,0
06N_MV,D,20070917,000000,105.61,105.61,105.61,105.61,0,0
06N_MV,D,20070918,000000,105.61,105.61,105.61,105.61,0,0
06N_MV,D,20070919,000000,104.87,104.87,104.87,104.87,0,0
06N_MV,D,20070920,000000,105.08,105.08,105.08,105.08,0,0
06N_MV,D,20070921,000000,105.08,105.08,105.08,105.08,0,0
06N_MV,D,20070924,000000,105.08,105.08,105.08,105.08,0,0
06N_MV,D,20070925,000000,105.18,105.18,105.18,105.18,0,0
06N_MV,D,20070926,000000,105.29,105.29,105.29,105.29,0,0
06N_MV,D,20070927,000000,105.18,105.18,105.18,105.18,0,0
06N_MV,D,20070928,000000,105.18,105.18,105.18,105.18,0,0
06N_MV,D,20071001,000000,107.18,107.18,107.18,107.18,0,0
06N_MV,D,20071002,000000,110.45,110.45,110.45,110.45,0,0
06N_MV,D,20071003,000000,110.45,110.45,110.45,110.45,0,0
06N_MV,D,20071004,000000,110.24,110.24,110.24,110.24,0,0
06N_MV,D,20071005,000000,109.5,109.5,109.5,109.5,0,0
06N_MV,D,20071008,000000,109.39,109.39,109.39,109.39,0,0
06N_MV,D,20071009,000000,109.28,109.28,109.28,109.28,0,0
06N_MV,D,20071010,000000,110.34,110.34,110.34,110.34,0,0
06N_MV,D,20071011,000000,115.71,115.71,115.71,115.71,0,0
06N_MV,D,20071012,000000,117.28,117.28,117.28,117.28,0,0
06N_MV,D,20071015,000000,119.91,119.91,119.91,119.91,0,0
06N_MV,D,20071016,000000,117.8,117.8,117.8,117.8,0,0
06N_MV,D,20071017,000000,118.34,118.34,118.34,118.34,0,0
06N_MV,D,20071018,000000,115.39,115.39,115.39,115.39,0,0
06N_MV,D,20071019,000000,116.97,116.97,116.97,116.97,0,0
06N_MV,D,20071022,000000,117.28,117.28,117.28,117.28,0,0
06N_MV,D,20071023,000000,120.65,120.65,120.65,120.65,0,0
06N_MV,D,20071024,000000,127.06,127.06,127.06,127.06,0,0
06N_MV,D,20071025,000000,128.32,128.32,128.32,128.32,0,0
06N_MV,D,20071026,000000,128.85,128.85,128.85,128.85,0,0
06N_MV,D,20071029,000000,126.86,126.86,126.86,126.86,0,0
06N_MV,D,20071030,000000,126.23,126.23,126.23,126.23,0,0
06N_MV,D,20071031,000000,129.82,129.82,129.82,129.82,0,0
06N_MV,D,20071102,000000,126.61,126.61,126.61,126.61,0,0
06N_MV,D,20071105,000000,121.21,121.21,121.21,121.21,0,0
06N_MV,D,20071106,000000,114.92,114.92,114.92,114.92,0,0
06N_MV,D,20071107,000000,105.16,105.16,105.16,105.16,0,0
06N_MV,D,20071108,000000,104.91,104.91,104.91,104.91,0,0
