<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT_MV,D,20150723,000000,386.3,386.3,386.3,386.3,0,0
1AT_MV,D,20150724,000000,377.516,391.214,377.516,391.214,0,0
1AT_MV,D,20150727,000000,388.227,388.227,386.3,386.3,0,0
1AT_MV,D,20150728,000000,386.3,386.3,386.3,386.3,0,0
1AT_MV,D,20150729,000000,385.942,385.942,385.942,385.942,0,0
1AT_MV,D,20150730,000000,379.278,385.942,379.278,385.942,0,0
1AT_MV,D,20150731,000000,385.77,385.77,385.77,385.77,0,0
1AT_MV,D,20150803,000000,380.152,380.152,366.108,375.938,0,0
1AT_MV,D,20150804,000000,374.004,374.004,374.004,374.004,0,0
1AT_MV,D,20150805,000000,375.761,383.842,375.761,383.842,0,0
1AT_MV,D,20150806,000000,383.842,383.842,383.842,383.842,0,0
1AT_MV,D,20150807,000000,381.027,383.656,381.027,382.431,0,0
1AT_MV,D,20150810,000000,383.842,383.842,382.431,382.431,0,0
1AT_MV,D,20150811,000000,381.027,383.842,381.027,382.788,0,0
1AT_MV,D,20150812,000000,382.788,382.788,372.248,382.603,0,0
1AT_MV,D,20150813,000000,382.603,382.603,377.516,377.516,0,0
1AT_MV,D,20150814,000000,377.516,382.788,377.516,382.788,0,0
1AT_MV,D,20150817,000000,383.842,383.842,383.842,383.842,0,0
1AT_MV,D,20150818,000000,383.317,383.317,360.133,382.073,0,0
1AT_MV,D,20150819,000000,364.174,381.901,364.174,381.556,0,0
1AT_MV,D,20150820,000000,381.384,381.384,378.396,378.396,0,0
1AT_MV,D,20150821,000000,381.384,381.384,381.384,381.384,0,0
1AT_MV,D,20150824,000000,381.384,381.384,359.96,380.324,0,0
1AT_MV,D,20150825,000000,375.587,379.278,375.587,379.099,0,0
1AT_MV,D,20150827,000000,374.004,377.344,368.738,377.344,0,0
1AT_MV,D,20150828,000000,374.004,377.344,368.566,377.344,0,0
1AT_MV,D,20150831,000000,358.211,379.099,358.211,379.099,0,0
1AT_MV,D,20150901,000000,379.45,379.45,359.96,379.099,0,0
1AT_MV,D,20150902,000000,378.919,380.854,368.738,380.854,0,0
1AT_MV,D,20150903,000000,380.854,385.425,370.5,385.425,0,0
1AT_MV,D,20150907,000000,385.068,385.068,385.068,385.068,0,0
1AT_MV,D,20150908,000000,377.516,382.266,377.516,382.266,0,0
1AT_MV,D,20150909,000000,382.603,382.603,382.431,382.431,0,0
1AT_MV,D,20150910,000000,375.761,384.544,375.761,384.544,0,0
1AT_MV,D,20150911,000000,384.014,384.014,383.656,383.656,0,0
1AT_MV,D,20150914,000000,383.49,383.49,382.788,383.133,0,0
1AT_MV,D,20150915,000000,382.603,382.603,360.835,363.472,0,0
1AT_MV,D,20150916,000000,372.429,372.429,365.221,365.221,0,0
1AT_MV,D,20150917,000000,368.738,368.738,368.738,368.738,0,0
1AT_MV,D,20150918,000000,372.248,372.248,368.738,368.738,0,0
1AT_MV,D,20150921,000000,368.738,372.248,368.738,372.248,0,0
1AT_MV,D,20150922,000000,372.248,378.039,372.248,377.344,0,0
1AT_MV,D,20150923,000000,377.165,377.165,377.165,377.165,0,0
1AT_MV,D,20150924,000000,376.283,376.283,376.283,376.283,0,0
1AT_MV,D,20150928,000000,361.717,373.832,361.717,372.248,0,0
1AT_MV,D,20150929,000000,372.248,372.248,372.248,372.248,0,0
1AT_MV,D,20150930,000000,358.211,382.073,358.211,382.073,0,0
1AT_MV,D,20151001,000000,382.073,382.073,382.073,382.073,0,0
1AT_MV,D,20151002,000000,377.516,377.516,377.516,377.516,0,0
1AT_MV,D,20151005,000000,377.516,377.516,368.738,377.516,0,0
1AT_MV,D,20151006,000000,381.027,381.027,380.854,380.854,0,0
1AT_MV,D,20151007,000000,380.854,380.854,368.738,380.854,0,0
1AT_MV,D,20151008,000000,380.854,380.854,369.798,374.004,0,0
1AT_MV,D,20151009,000000,380.854,380.854,377.516,377.516,0,0
1AT_MV,D,20151012,000000,377.516,377.516,368.916,377.516,0,0
1AT_MV,D,20151013,000000,379.099,379.099,379.099,379.099,0,0
1AT_MV,D,20151014,000000,368.916,379.278,368.916,379.278,0,0
1AT_MV,D,20151015,000000,379.278,381.027,379.278,381.027,0,0
1AT_MV,D,20151016,000000,379.278,381.556,379.278,381.556,0,0
1AT_MV,D,20151019,000000,382.073,382.073,382.073,382.073,0,0
1AT_MV,D,20151020,000000,382.073,382.073,382.073,382.073,0,0
1AT_MV,D,20151021,000000,381.901,381.901,381.901,381.901,0,0
1AT_MV,D,20151022,000000,381.901,381.901,368.738,381.027,0,0
1AT_MV,D,20151023,000000,381.027,381.027,381.027,381.027,0,0
1AT_MV,D,20151026,000000,381.206,381.901,379.278,381.901,0,0
1AT_MV,D,20151027,000000,381.027,382.788,379.278,382.788,0,0
1AT_MV,D,20151028,000000,383.656,383.656,383.656,383.656,0,0
1AT_MV,D,20151029,000000,380.152,385.77,377.516,385.77,0,0
1AT_MV,D,20151030,000000,382.788,395.083,382.788,395.083,0,0
1AT_MV,D,20151102,000000,395.083,395.083,395.083,395.083,0,0
1AT_MV,D,20151103,000000,394.196,394.904,386.3,394.554,0,0
1AT_MV,D,20151104,000000,394.374,394.374,386.3,386.3,0,0
1AT_MV,D,20151105,000000,386.3,386.3,377.867,379.45,0,0
1AT_MV,D,20151106,000000,384.359,384.359,372.248,374.879,0,0
1AT_MV,D,20151110,000000,375.059,375.059,374.004,374.004,0,0
1AT_MV,D,20151112,000000,374.004,374.004,374.004,374.004,0,0
1AT_MV,D,20151113,000000,374.004,375.059,374.004,375.059,0,0
1AT_MV,D,20151116,000000,372.248,377.516,368.738,377.516,0,0
1AT_MV,D,20151117,000000,376.641,377.516,376.641,377.516,0,0
1AT_MV,D,20151118,000000,383.842,383.842,383.842,383.842,0,0
1AT_MV,D,20151119,000000,377.516,377.516,377.516,377.516,0,0
1AT_MV,D,20151120,000000,377.516,377.516,365.221,377.516,0,0
1AT_MV,D,20151123,000000,379.622,383.842,379.622,383.842,0,0
1AT_MV,D,20151124,000000,382.788,385.77,372.076,385.77,0,0
1AT_MV,D,20151125,000000,385.942,386.3,376.283,385.425,0,0
1AT_MV,D,20151126,000000,386.3,386.3,381.027,386.3,0,0
1AT_MV,D,20151127,000000,386.3,388.049,382.788,388.049,0,0
1AT_MV,D,20151130,000000,387.882,388.049,381.901,388.049,0,0
1AT_MV,D,20151201,000000,388.049,388.049,388.049,388.049,0,0
1AT_MV,D,20151202,000000,387.882,387.882,387.882,387.882,0,0
1AT_MV,D,20151203,000000,374.004,386.12,374.004,386.12,0,0
1AT_MV,D,20151204,000000,386.12,386.12,374.004,385.77,0,0
1AT_MV,D,20151207,000000,385.77,385.77,385.77,385.77,0,0
1AT_MV,D,20151208,000000,385.77,385.77,378.039,385.24,0,0
1AT_MV,D,20151209,000000,384.544,384.544,380.152,382.788,0,0
1AT_MV,D,20151210,000000,382.788,382.788,374.004,382.788,0,0
1AT_MV,D,20151211,000000,374.879,375.761,368.738,370.142,0,0
1AT_MV,D,20151214,000000,365.221,377.344,365.221,377.344,0,0
1AT_MV,D,20151215,000000,381.027,381.735,359.96,370.5,0,0
1AT_MV,D,20151216,000000,371.726,382.788,352.927,382.788,0,0
1AT_MV,D,20151217,000000,366.453,375.237,365.221,375.237,0,0
1AT_MV,D,20151218,000000,374.004,377.516,367.864,377.516,0,0
1AT_MV,D,20151221,000000,367.864,368.738,367.864,368.387,0,0
1AT_MV,D,20151222,000000,368.215,368.387,363.472,368.387,0,0
1AT_MV,D,20151223,000000,372.248,382.603,372.248,382.603,0,0
1AT_MV,D,20151228,000000,382.603,382.603,364.525,382.603,0,0
1AT_MV,D,20151229,000000,369.268,382.266,368.738,379.278,0,0
1AT_MV,D,20151230,000000,379.099,379.099,379.099,379.099,0,0
1AT_MV,D,20160104,000000,379.099,379.099,366.99,366.99,0,0
1AT_MV,D,20160105,000000,366.99,366.99,366.99,366.99,0,0
1AT_MV,D,20160107,000000,367.685,368.738,362.77,364.353,0,0
1AT_MV,D,20160108,000000,364.353,368.738,357.682,363.3,0,0
1AT_MV,D,20160111,000000,361.014,361.014,356.451,359.96,0,0
1AT_MV,D,20160112,000000,363.472,363.472,344.155,353.814,0,0
1AT_MV,D,20160113,000000,361.717,361.717,351.177,351.177,0,0
1AT_MV,D,20160114,000000,357.849,357.849,344.155,347.666,0,0
1AT_MV,D,20160115,000000,350.654,350.826,350.302,350.302,0,0
1AT_MV,D,20160118,000000,337.134,347.666,333.629,345.911,0,0
1AT_MV,D,20160119,000000,338.009,345.911,338.009,345.911,0,0
1AT_MV,D,20160120,000000,342.4,342.4,339.06,342.4,0,0
1AT_MV,D,20160121,000000,342.4,342.4,337.134,339.06,0,0
1AT_MV,D,20160122,000000,334.854,339.06,333.629,339.06,0,0
1AT_MV,D,20160125,000000,345.732,345.732,324.839,337.134,0,0
1AT_MV,D,20160126,000000,337.305,351.177,330.814,351.177,0,0
1AT_MV,D,20160127,000000,350.302,359.96,350.302,359.96,0,0
1AT_MV,D,20160128,000000,371.554,373.66,357.325,372.248,0,0
1AT_MV,D,20160129,000000,376.641,376.641,360.318,360.318,0,0
1AT_MV,D,20160201,000000,371.374,371.374,366.108,366.108,0,0
1AT_MV,D,20160202,000000,369.613,369.613,365.221,365.221,0,0
1AT_MV,D,20160203,000000,365.055,365.055,349.07,349.07,0,0
1AT_MV,D,20160204,000000,348.892,359.61,348.554,359.61,0,0
1AT_MV,D,20160205,000000,359.96,359.96,358.211,358.211,0,0
1AT_MV,D,20160208,000000,358.211,362.77,340.465,340.465,0,0
1AT_MV,D,20160209,000000,349.07,349.07,333.437,333.437,0,0
1AT_MV,D,20160210,000000,338.883,338.883,333.629,333.968,0,0
1AT_MV,D,20160211,000000,338.538,338.538,336.08,336.08,0,0
1AT_MV,D,20160212,000000,338.359,340.994,337.836,340.994,0,0
1AT_MV,D,20160215,000000,341.161,347.487,338.186,347.487,0,0
1AT_MV,D,20160216,000000,348.892,348.892,335.728,340.115,0,0
1AT_MV,D,20160217,000000,340.115,351.88,340.115,351.177,0,0
1AT_MV,D,20160218,000000,360.133,361.187,359.073,359.96,0,0
1AT_MV,D,20160219,000000,366.804,366.804,351.177,358.211,0,0
1AT_MV,D,20160222,000000,368.387,368.387,359.788,359.96,0,0
1AT_MV,D,20160223,000000,368.215,368.215,359.96,359.96,0,0
1AT_MV,D,20160224,000000,368.036,368.215,363.3,363.472,0,0
1AT_MV,D,20160225,000000,368.215,368.215,353.814,363.121,0,0
1AT_MV,D,20160226,000000,366.453,368.566,353.29,358.027,0,0
1AT_MV,D,20160229,000000,366.275,368.738,355.569,368.738,0,0
1AT_MV,D,20160301,000000,368.738,377.516,360.835,371.898,0,0
1AT_MV,D,20160302,000000,375.938,380.682,375.938,377.516,0,0
1AT_MV,D,20160303,000000,382.603,382.603,370.672,377.344,0,0
1AT_MV,D,20160304,000000,381.735,381.735,381.735,381.735,0,0
1AT_MV,D,20160307,000000,381.901,381.901,368.738,377.344,0,0
1AT_MV,D,20160308,000000,376.986,376.986,368.738,368.738,0,0
1AT_MV,D,20160309,000000,368.215,368.738,365.578,368.738,0,0
1AT_MV,D,20160310,000000,368.566,368.738,368.566,368.566,0,0
1AT_MV,D,20160311,000000,368.566,368.566,355.569,368.566,0,0
1AT_MV,D,20160314,000000,368.566,372.248,368.566,372.076,0,0
1AT_MV,D,20160315,000000,371.554,371.554,371.554,371.554,0,0
1AT_MV,D,20160316,000000,371.374,371.374,369.613,369.613,0,0
1AT_MV,D,20160317,000000,371.197,371.197,371.197,371.197,0,0
1AT_MV,D,20160318,000000,369.446,369.613,364.697,369.613,0,0
1AT_MV,D,20160321,000000,371.554,371.554,371.554,371.554,0,0
1AT_MV,D,20160322,000000,371.374,371.554,368.916,371.554,0,0
1AT_MV,D,20160323,000000,371.554,371.554,371.554,371.554,0,0
1AT_MV,D,20160324,000000,371.374,371.374,371.374,371.374,0,0
1AT_MV,D,20160329,000000,370.845,375.237,359.073,375.237,0,0
1AT_MV,D,20160330,000000,373.66,377.695,360.318,377.695,0,0
1AT_MV,D,20160331,000000,378.396,378.396,365.221,370.5,0,0
1AT_MV,D,20160401,000000,378.396,391.565,361.014,391.565,0,0
1AT_MV,D,20160404,000000,386.12,391.565,386.12,388.049,0,0
1AT_MV,D,20160405,000000,388.75,389.798,372.779,389.798,0,0
1AT_MV,D,20160406,000000,390.684,391.565,382.788,391.565,0,0
1AT_MV,D,20160407,000000,391.565,391.565,391.565,391.565,0,0
1AT_MV,D,20160408,000000,391.565,391.565,391.565,391.565,0,0
1AT_MV,D,20160411,000000,390.684,390.684,389.798,389.798,0,0
1AT_MV,D,20160412,000000,389.632,389.798,389.632,389.798,0,0
1AT_MV,D,20160413,000000,386.3,386.3,386.3,386.3,0,0
1AT_MV,D,20160414,000000,389.632,389.632,388.936,388.936,0,0
1AT_MV,D,20160415,000000,388.936,394.904,382.788,394.904,0,0
1AT_MV,D,20160418,000000,394.904,394.904,394.904,394.904,0,0
1AT_MV,D,20160419,000000,393.322,393.322,391.565,391.565,0,0
1AT_MV,D,20160420,000000,391.565,417.726,390.334,416.155,0,0
1AT_MV,D,20160421,000000,416.155,417.196,404.026,417.196,0,0
1AT_MV,D,20160422,000000,417.196,424.926,412.465,421.415,0,0
1AT_MV,D,20160425,000000,412.631,421.415,412.631,421.415,0,0
1AT_MV,D,20160426,000000,421.415,437.049,420.534,421.415,0,0
1AT_MV,D,20160427,000000,421.415,424.051,421.415,424.051,0,0
1AT_MV,D,20160428,000000,421.415,430.192,416.155,430.192,0,0
