<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT_PB,D,20150723,000000,0.920694,0.920694,0.920694,0.920694,0,0
1AT_PB,D,20150724,000000,0.898032,0.929829,0.898032,0.929829,0,0
1AT_PB,D,20150727,000000,0.92517,0.92517,0.920694,0.920694,0,0
1AT_PB,D,20150728,000000,0.920694,0.920694,0.920694,0.920694,0,0
1AT_PB,D,20150729,000000,0.916172,0.916172,0.916172,0.916172,0,0
1AT_PB,D,20150730,000000,0.902501,0.916172,0.902501,0.916172,0,0
1AT_PB,D,20150731,000000,0.916172,0.916172,0.916172,0.916172,0,0
1AT_PB,D,20150803,000000,0.902501,0.902501,0.870782,0.89357,0,0
1AT_PB,D,20150804,000000,0.88891,0.88891,0.88891,0.88891,0,0
1AT_PB,D,20150805,000000,0.89357,0.911632,0.89357,0.911632,0,0
1AT_PB,D,20150806,000000,0.911632,0.911632,0.911632,0.911632,0,0
1AT_PB,D,20150807,000000,0.907104,0.911632,0.907104,0.911632,0,0
1AT_PB,D,20150810,000000,0.911632,0.911632,0.911632,0.911632,0,0
1AT_PB,D,20150811,000000,0.907104,0.911632,0.907104,0.911632,0,0
1AT_PB,D,20150812,000000,0.911632,0.911632,0.884374,0.911632,0,0
1AT_PB,D,20150813,000000,0.911632,0.911632,0.898032,0.898032,0,0
1AT_PB,D,20150814,000000,0.898032,0.911632,0.898032,0.911632,0,0
1AT_PB,D,20150817,000000,0.911632,0.911632,0.911632,0.911632,0,0
1AT_PB,D,20150818,000000,0.911632,0.911632,0.857182,0.907104,0,0
1AT_PB,D,20150819,000000,0.866246,0.907104,0.866246,0.907104,0,0
1AT_PB,D,20150820,000000,0.907104,0.907104,0.898032,0.898032,0,0
1AT_PB,D,20150821,000000,0.907104,0.907104,0.907104,0.907104,0,0
1AT_PB,D,20150824,000000,0.907104,0.907104,0.857182,0.907104,0,0
1AT_PB,D,20150825,000000,0.89357,0.902501,0.89357,0.902501,0,0
1AT_PB,D,20150827,000000,0.88891,0.898032,0.875376,0.898032,0,0
1AT_PB,D,20150828,000000,0.88891,0.898032,0.875376,0.898032,0,0
1AT_PB,D,20150831,000000,0.852654,0.902501,0.852654,0.902501,0,0
1AT_PB,D,20150901,000000,0.902501,0.902501,0.857182,0.902501,0,0
1AT_PB,D,20150902,000000,0.902501,0.907104,0.64397,0.64397,0,0
1AT_PB,D,20150903,000000,0.64397,0.648566,0.625841,0.648566,0,0
1AT_PB,D,20150907,000000,0.648566,0.648566,0.648566,0.648566,0,0
1AT_PB,D,20150908,000000,0.63497,0.64397,0.63497,0.64397,0,0
1AT_PB,D,20150909,000000,0.64397,0.64397,0.64397,0.64397,0,0
1AT_PB,D,20150910,000000,0.63497,0.648566,0.63497,0.648566,0,0
1AT_PB,D,20150911,000000,0.648566,0.648566,0.648566,0.648566,0,0
1AT_PB,D,20150914,000000,0.64397,0.64397,0.64397,0.64397,0,0
1AT_PB,D,20150915,000000,0.64397,0.64397,0.607712,0.612244,0,0
1AT_PB,D,20150916,000000,0.625841,0.625841,0.61684,0.61684,0,0
1AT_PB,D,20150917,000000,0.621372,0.621372,0.621372,0.621372,0,0
1AT_PB,D,20150918,000000,0.625841,0.625841,0.621372,0.621372,0,0
1AT_PB,D,20150921,000000,0.621372,0.625841,0.621372,0.625841,0,0
1AT_PB,D,20150922,000000,0.625841,0.63497,0.625841,0.63497,0,0
1AT_PB,D,20150923,000000,0.63497,0.63497,0.63497,0.63497,0,0
1AT_PB,D,20150924,000000,0.63497,0.63497,0.63497,0.63497,0,0
1AT_PB,D,20150928,000000,0.607712,0.630373,0.607712,0.625841,0,0
1AT_PB,D,20150929,000000,0.625841,0.625841,0.625841,0.625841,0,0
1AT_PB,D,20150930,000000,0.603244,0.64397,0.603244,0.64397,0,0
1AT_PB,D,20151001,000000,0.64397,0.64397,0.64397,0.64397,0,0
1AT_PB,D,20151002,000000,0.63497,0.63497,0.63497,0.63497,0,0
1AT_PB,D,20151005,000000,0.63497,0.63497,0.621372,0.63497,0,0
1AT_PB,D,20151006,000000,0.64397,0.64397,0.64397,0.64397,0,0
1AT_PB,D,20151007,000000,0.64397,0.64397,0.621372,0.64397,0,0
1AT_PB,D,20151008,000000,0.64397,0.64397,0.621372,0.630373,0,0
1AT_PB,D,20151009,000000,0.64397,0.64397,0.63497,0.63497,0,0
1AT_PB,D,20151012,000000,0.63497,0.63497,0.621372,0.63497,0,0
1AT_PB,D,20151013,000000,0.639502,0.639502,0.639502,0.639502,0,0
1AT_PB,D,20151014,000000,0.621372,0.639502,0.621372,0.639502,0,0
1AT_PB,D,20151015,000000,0.639502,0.64397,0.639502,0.64397,0,0
1AT_PB,D,20151016,000000,0.639502,0.64397,0.639502,0.64397,0,0
1AT_PB,D,20151019,000000,0.64397,0.64397,0.64397,0.64397,0,0
1AT_PB,D,20151020,000000,0.64397,0.64397,0.64397,0.64397,0,0
