<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT_PE,D,20150723,000000,2.90271,2.90271,2.90271,2.90271,0,0
1AT_PE,D,20150724,000000,2.8574,2.94812,2.8574,2.94812,0,0
1AT_PE,D,20150727,000000,2.94812,2.94812,2.90271,2.90271,0,0
1AT_PE,D,20150728,000000,2.90271,2.90271,2.90271,2.90271,0,0
1AT_PE,D,20150729,000000,2.90271,2.90271,2.90271,2.90271,0,0
1AT_PE,D,20150730,000000,2.8574,2.90271,2.8574,2.90271,0,0
1AT_PE,D,20150731,000000,2.90271,2.90271,2.90271,2.90271,0,0
1AT_PE,D,20150803,000000,2.8574,2.8574,2.76662,2.81201,0,0
1AT_PE,D,20150804,000000,2.81201,2.81201,2.81201,2.81201,0,0
1AT_PE,D,20150805,000000,2.81201,2.90271,2.81201,2.90271,0,0
1AT_PE,D,20150806,000000,2.90271,2.90271,2.90271,2.90271,0,0
1AT_PE,D,20150807,000000,2.90271,2.90271,2.90271,2.90271,0,0
1AT_PE,D,20150810,000000,2.90271,2.90271,2.90271,2.90271,0,0
1AT_PE,D,20150811,000000,2.90271,2.90271,2.90271,2.90271,0,0
1AT_PE,D,20150812,000000,2.90271,2.90271,2.81201,2.90271,0,0
1AT_PE,D,20150813,000000,2.90271,2.90271,2.8574,2.8574,0,0
1AT_PE,D,20150814,000000,2.8574,2.90271,2.8574,2.90271,0,0
1AT_PE,D,20150817,000000,2.90271,2.90271,2.90271,2.90271,0,0
1AT_PE,D,20150818,000000,2.90271,2.90271,2.72137,2.90271,0,0
1AT_PE,D,20150819,000000,2.76662,2.90271,2.76662,2.8574,0,0
1AT_PE,D,20150820,000000,2.8574,2.8574,2.81201,2.8574,0,0
1AT_PE,D,20150821,000000,2.8574,2.8574,2.8574,2.8574,0,0
1AT_PE,D,20150824,000000,2.8574,2.8574,2.67597,2.8574,0,0
1AT_PE,D,20150825,000000,2.81201,2.8574,2.81201,2.8574,0,0
1AT_PE,D,20150827,000000,2.81201,2.8574,2.76662,2.8574,0,0
1AT_PE,D,20150828,000000,2.81201,2.8574,2.81201,2.8574,0,0
1AT_PE,D,20150831,000000,2.72137,2.8574,2.72137,2.8574,0,0
1AT_PE,D,20150901,000000,2.8574,2.8574,2.72137,2.8574,0,0
1AT_PE,D,20150902,000000,2.8574,3.76449,2.76662,3.76449,0,0
1AT_PE,D,20150903,000000,3.76449,3.80989,3.67372,3.80989,0,0
1AT_PE,D,20150907,000000,3.80989,3.80989,3.80989,3.80989,0,0
1AT_PE,D,20150908,000000,3.71905,3.76449,3.71905,3.76449,0,0
1AT_PE,D,20150909,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20150910,000000,3.71905,3.80989,3.71905,3.80989,0,0
1AT_PE,D,20150911,000000,3.80989,3.80989,3.80989,3.80989,0,0
1AT_PE,D,20150914,000000,3.80989,3.80989,3.76449,3.76449,0,0
1AT_PE,D,20150915,000000,3.76449,3.76449,3.5377,3.58308,0,0
1AT_PE,D,20150916,000000,3.67372,3.67372,3.58308,3.62834,0,0
1AT_PE,D,20150917,000000,3.67372,3.67372,3.67372,3.67372,0,0
1AT_PE,D,20150918,000000,3.71905,3.71905,3.62834,3.62834,0,0
1AT_PE,D,20150921,000000,3.62834,3.67372,3.62834,3.67372,0,0
1AT_PE,D,20150922,000000,3.67372,3.71905,3.67372,3.71905,0,0
1AT_PE,D,20150923,000000,3.71905,3.71905,3.71905,3.71905,0,0
1AT_PE,D,20150924,000000,3.71905,3.71905,3.71905,3.71905,0,0
1AT_PE,D,20150928,000000,3.58308,3.67372,3.58308,3.67372,0,0
1AT_PE,D,20150929,000000,3.67372,3.67372,3.67372,3.67372,0,0
1AT_PE,D,20150930,000000,3.5377,3.76449,3.5377,3.76449,0,0
1AT_PE,D,20151001,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20151002,000000,3.71905,3.71905,3.71905,3.71905,0,0
1AT_PE,D,20151005,000000,3.71905,3.71905,3.62834,3.71905,0,0
1AT_PE,D,20151006,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20151007,000000,3.76449,3.76449,3.62834,3.76449,0,0
1AT_PE,D,20151008,000000,3.76449,3.76449,3.67372,3.67372,0,0
1AT_PE,D,20151009,000000,3.71905,3.71905,3.71905,3.71905,0,0
1AT_PE,D,20151012,000000,3.71905,3.71905,3.62834,3.71905,0,0
1AT_PE,D,20151013,000000,3.71905,3.76449,3.71905,3.76449,0,0
1AT_PE,D,20151014,000000,3.67372,3.76449,3.67372,3.76449,0,0
1AT_PE,D,20151015,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20151016,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20151019,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20151020,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20151021,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20151022,000000,3.76449,3.76449,3.62834,3.76449,0,0
1AT_PE,D,20151023,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20151026,000000,3.76449,3.76449,3.76449,3.76449,0,0
1AT_PE,D,20151027,000000,3.76449,3.76449,3.71905,3.76449,0,0
1AT_PE,D,20151028,000000,3.76449,3.80989,3.76449,3.80989,0,0
1AT_PE,D,20151029,000000,3.76449,3.80989,3.76449,3.80989,0,0
1AT_PE,D,20151030,000000,3.76449,3.90053,3.76449,3.90053,0,0
1AT_PE,D,20151102,000000,3.90053,3.90053,3.90053,3.90053,0,0
1AT_PE,D,20151103,000000,3.90053,3.90053,3.80989,3.90053,0,0
1AT_PE,D,20151104,000000,3.90053,3.90053,3.80989,3.80989,0,0
1AT_PE,D,20151105,000000,3.80989,3.80989,3.71905,3.76449,0,0
1AT_PE,D,20151106,000000,3.80989,3.80989,3.67372,3.71905,0,0
1AT_PE,D,20151110,000000,3.71905,3.71905,3.67372,3.67372,0,0
1AT_PE,D,20151112,000000,3.67372,3.67372,3.67372,3.67372,0,0
1AT_PE,D,20151113,000000,3.67372,3.71905,3.67372,3.71905,0,0
1AT_PE,D,20151116,000000,3.67372,3.76449,3.67372,3.71905,0,0
1AT_PE,D,20151117,000000,3.71905,3.71905,3.71905,3.71905,0,0
1AT_PE,D,20151118,000000,3.76449,10.5673,3.76449,10.5673,0,0
1AT_PE,D,20151119,000000,10.3866,10.3866,10.3866,10.3866,0,0
1AT_PE,D,20151120,000000,10.3866,10.3866,10.0693,10.3866,0,0
1AT_PE,D,20151123,000000,10.432,10.5673,10.432,10.5673,0,0
