<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3RG_PB,D,20120314,000000,14.23,14.23,14.23,14.23,0,0
3RG_PB,D,20120315,000000,14.26,14.29,13.73,13.98,0,0
3RG_PB,D,20120316,000000,13.98,14.02,13.63,14.01,0,0
3RG_PB,D,20120319,000000,14.03,14.03,13.94,13.94,0,0
3RG_PB,D,20120320,000000,14.03,14.03,13.53,13.79,0,0
3RG_PB,D,20120321,000000,13.84,13.84,13.4,13.66,0,0
3RG_PB,D,20120322,000000,13.68,13.68,12.72,13.64,0,0
3RG_PB,D,20120323,000000,13.68,13.68,12.83,13.51,0,0
3RG_PB,D,20120326,000000,13.68,13.68,13.68,13.68,0,0
3RG_PB,D,20120327,000000,12.83,13.68,12.83,13.51,0,0
3RG_PB,D,20120328,000000,13.62,13.62,13.48,13.48,0,0
3RG_PB,D,20120329,000000,13.48,13.66,13.45,13.66,0,0
3RG_PB,D,20120330,000000,13.68,13.68,13.66,13.68,0,0
3RG_PB,D,20120402,000000,13.62,13.62,13.62,13.62,0,0
3RG_PB,D,20120403,000000,13.62,13.62,13.11,13.62,0,0
3RG_PB,D,20120404,000000,13.62,13.62,13.11,13.51,0,0
3RG_PB,D,20120405,000000,13.62,13.62,13.51,13.51,0,0
3RG_PB,D,20120410,000000,13.51,13.62,13.06,13.57,0,0
3RG_PB,D,20120411,000000,13.39,17.29,12.94,17.29,0,0
3RG_PB,D,20120412,000000,16.57,16.74,16.12,16.12,0,0
3RG_PB,D,20120413,000000,16.46,16.46,15.77,15.8,0,0
3RG_PB,D,20120416,000000,15.77,15.77,14.82,15.2,0,0
3RG_PB,D,20120417,000000,15.24,15.24,14.66,15.24,0,0
3RG_PB,D,20120418,000000,15.07,15.2,14.59,15.2,0,0
3RG_PB,D,20120419,000000,15.2,15.2,15.2,15.2,0,0
3RG_PB,D,20120420,000000,15.2,15.2,13.23,13.23,0,0
3RG_PB,D,20120423,000000,13.23,13.57,12.97,12.97,0,0
3RG_PB,D,20120424,000000,12.2,12.78,12.2,12.78,0,0
3RG_PB,D,20120425,000000,12.78,12.82,12.78,12.78,0,0
3RG_PB,D,20120426,000000,13.07,13.07,12.41,12.49,0,0
3RG_PB,D,20120427,000000,12.49,12.75,12.49,12.75,0,0
3RG_PB,D,20120430,000000,12.49,12.75,12.34,12.75,0,0
3RG_PB,D,20120502,000000,12.75,12.75,12.62,12.62,0,0
3RG_PB,D,20120504,000000,12.63,12.63,9.99,9.99,0,0
3RG_PB,D,20120507,000000,10.08,10.08,9.41,10.02,0,0
3RG_PB,D,20120508,000000,10.01,10.01,9.99,10,0,0
3RG_PB,D,20120509,000000,9.64,9.64,9.2,9.63,0,0
3RG_PB,D,20120510,000000,9.76,9.76,9.2,9.76,0,0
3RG_PB,D,20120511,000000,9.76,9.97,9.76,9.97,0,0
3RG_PB,D,20120514,000000,9.97,9.97,9.68,9.68,0,0
3RG_PB,D,20120515,000000,9.68,10.02,9.64,9.64,0,0
3RG_PB,D,20120516,000000,9.2,10.01,9.18,10.01,0,0
3RG_PB,D,20120517,000000,9.99,10.01,9.18,9.18,0,0
3RG_PB,D,20120518,000000,9.07,9.62,2.53,2.53,0,0
3RG_PB,D,20120521,000000,2.59,2.59,2.59,2.59,0,0
3RG_PB,D,20120522,000000,2.56,2.56,2.56,2.56,0,0
3RG_PB,D,20120523,000000,2.47,2.53,2.47,2.53,0,0
