<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAT_PE,D,20070813,000000,25.813,25.813,25.813,25.813,0,0
AAT_PE,D,20070814,000000,25.642,25.642,25.642,25.642,0,0
AAT_PE,D,20070816,000000,27.5,27.5,27.5,27.5,0,0
AAT_PE,D,20070817,000000,32.006,32.006,32.006,32.006,0,0
AAT_PE,D,20070820,000000,37.22,37.22,37.22,37.22,0,0
AAT_PE,D,20070821,000000,37.131,37.131,37.131,37.131,0,0
AAT_PE,D,20070822,000000,37.22,37.22,37.22,37.22,0,0
AAT_PE,D,20070823,000000,37.22,37.22,37.22,37.22,0,0
AAT_PE,D,20070824,000000,35.982,35.982,35.982,35.982,0,0
AAT_PE,D,20070827,000000,35.982,35.982,35.982,35.982,0,0
AAT_PE,D,20070828,000000,35.982,35.982,35.982,35.982,0,0
AAT_PE,D,20070829,000000,35.273,35.273,35.273,35.273,0,0
AAT_PE,D,20070830,000000,40.757,40.757,40.757,40.757,0,0
AAT_PE,D,20070831,000000,42.705,42.705,42.705,42.705,0,0
AAT_PE,D,20070903,000000,43.413,43.413,43.413,43.413,0,0
AAT_PE,D,20070904,000000,48.189,48.189,48.189,48.189,0,0
AAT_PE,D,20070905,000000,48.718,48.718,48.718,48.718,0,0
AAT_PE,D,20070906,000000,49.338,49.338,49.338,49.338,0,0
AAT_PE,D,20070907,000000,45.352,45.352,45.352,45.352,0,0
AAT_PE,D,20070910,000000,44.383,44.383,44.383,44.383,0,0
AAT_PE,D,20070911,000000,47.569,47.569,47.569,47.569,0,0
AAT_PE,D,20070912,000000,49.867,49.867,49.867,49.867,0,0
AAT_PE,D,20070913,000000,51.016,51.016,51.016,51.016,0,0
AAT_PE,D,20070914,000000,52.425,52.425,52.425,52.425,0,0
AAT_PE,D,20070917,000000,55.701,55.701,55.701,55.701,0,0
AAT_PE,D,20070918,000000,57.819,57.819,57.819,57.819,0,0
AAT_PE,D,20070919,000000,62.154,62.154,62.154,62.154,0,0
AAT_PE,D,20070920,000000,62.333,62.333,62.333,62.333,0,0
AAT_PE,D,20070921,000000,59.327,59.327,59.327,59.327,0,0
AAT_PE,D,20070924,000000,57.2,57.2,57.2,57.2,0,0
AAT_PE,D,20070925,000000,50.576,50.576,50.576,50.576,0,0
AAT_PE,D,20070926,000000,46.501,46.501,46.501,46.501,0,0
AAT_PE,D,20070927,000000,45.092,45.092,45.092,45.092,0,0
AAT_PE,D,20070928,000000,42.884,42.884,42.884,42.884,0,0
AAT_PE,D,20071001,000000,42.795,42.795,42.795,42.795,0,0
AAT_PE,D,20071002,000000,41.816,41.816,41.816,41.816,0,0
AAT_PE,D,20071003,000000,40.138,40.138,40.138,40.138,0,0
AAT_PE,D,20071004,000000,42.615,42.615,42.615,42.615,0,0
AAT_PE,D,20071005,000000,43.234,43.234,43.234,43.234,0,0
AAT_PE,D,20071008,000000,42.265,42.265,42.265,42.265,0,0
AAT_PE,D,20071009,000000,41.116,41.116,41.116,41.116,0,0
AAT_PE,D,20071010,000000,44.203,44.203,44.203,44.203,0,0
AAT_PE,D,20071011,000000,44.912,44.912,44.912,44.912,0,0
AAT_PE,D,20071012,000000,44.033,44.033,44.033,44.033,0,0
AAT_PE,D,20071015,000000,42.795,42.795,42.795,42.795,0,0
AAT_PE,D,20071016,000000,41.646,41.646,41.646,41.646,0,0
AAT_PE,D,20071017,000000,42.884,42.884,42.884,42.884,0,0
AAT_PE,D,20071018,000000,42.436,42.436,42.436,42.436,0,0
AAT_PE,D,20071019,000000,41.116,41.116,41.116,41.116,0,0
AAT_PE,D,20071022,000000,37.22,37.22,37.22,37.22,0,0
AAT_PE,D,20071023,000000,37.66,37.66,37.66,37.66,0,0
AAT_PE,D,20071024,000000,37.311,37.311,37.311,37.311,0,0
AAT_PE,D,20071025,000000,36.162,36.162,36.162,36.162,0,0
