<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACG_MV,D,20110811,000000,76.8003,76.8003,76.8003,76.8003,0,0
ACG_MV,D,20110812,000000,76.7537,76.8003,73.8982,76.8003,0,0
ACG_MV,D,20110816,000000,74.9071,76.8003,74.9071,76.8003,0,0
ACG_MV,D,20110817,000000,74.6733,76.8003,74.6733,76.4022,0,0
ACG_MV,D,20110818,000000,74.9071,76.2878,74.6733,76.2878,0,0
ACG_MV,D,20110819,000000,74.7013,76.2878,74.7013,76.0227,0,0
ACG_MV,D,20110822,000000,75.2485,75.2485,75.2485,75.2485,0,0
ACG_MV,D,20110823,000000,75.2485,75.2485,75.0562,75.2061,0,0
ACG_MV,D,20110824,000000,75.0562,75.6737,75.0562,75.6737,0,0
ACG_MV,D,20110825,000000,75.2485,75.9803,75.2485,75.6737,0,0
ACG_MV,D,20110826,000000,75.135,75.8236,75.135,75.8236,0,0
ACG_MV,D,20110829,000000,76.0574,79.1085,76.0574,79.1085,0,0
ACG_MV,D,20110830,000000,76.8003,79.1085,76.8003,79.1085,0,0
ACG_MV,D,20110831,000000,77.3729,81.8157,77.3729,81.8157,0,0
ACG_MV,D,20110901,000000,76.2192,83.725,76.2192,83.725,0,0
ACG_MV,D,20110902,000000,83.725,83.725,83.725,83.725,0,0
ACG_MV,D,20110905,000000,83.725,83.725,83.3421,83.3421,0,0
ACG_MV,D,20110906,000000,77.9472,83.725,77.1747,83.725,0,0
ACG_MV,D,20110909,000000,81.0254,83.3421,78.7485,83.3421,0,0
ACG_MV,D,20110912,000000,81.0254,83.7097,78.1835,83.7097,0,0
ACG_MV,D,20110913,000000,81.0254,83.1583,78.7485,83.1583,0,0
ACG_MV,D,20110914,000000,78.7485,83.1583,78.7485,83.1583,0,0
ACG_MV,D,20110915,000000,78.8409,83.1583,78.8409,83.1583,0,0
ACG_MV,D,20110919,000000,81.0254,83.1583,81.0254,83.1583,0,0
ACG_MV,D,20110920,000000,83.1583,84.5111,83.1583,84.5111,0,0
ACG_MV,D,20110921,000000,81.0813,83.725,81.0813,83.725,0,0
ACG_MV,D,20110922,000000,80.2978,80.2978,80.0666,80.0666,0,0
ACG_MV,D,20110923,000000,79.1085,80.0666,77.7558,77.793,0,0
ACG_MV,D,20110926,000000,77.2204,80.2342,77.1747,78.3368,0,0
ACG_MV,D,20110927,000000,77.1747,78.3368,77.1747,77.1747,0,0
ACG_MV,D,20110928,000000,80.6417,80.6417,77.1747,80.0666,0,0
ACG_MV,D,20110929,000000,77.2204,80.0666,77.2204,79.1085,0,0
ACG_MV,D,20110930,000000,77.1747,79.1085,76.9917,76.9917,0,0
ACG_MV,D,20111003,000000,77.1442,77.1442,76.8003,76.8003,0,0
ACG_MV,D,20111004,000000,76.8231,76.8231,76.8231,76.8231,0,0
ACG_MV,D,20111005,000000,77.1052,77.1442,77.1052,77.1442,0,0
ACG_MV,D,20111006,000000,77.1442,77.1442,77.1442,77.1442,0,0
ACG_MV,D,20111007,000000,81.0254,81.0254,76.8613,81.0254,0,0
ACG_MV,D,20111011,000000,79.499,81.0009,79.499,81.0009,0,0
ACG_MV,D,20111012,000000,77.2966,80.8331,77.2966,80.8331,0,0
ACG_MV,D,20111013,000000,80.0666,80.0666,80.0666,80.0666,0,0
ACG_MV,D,20111014,000000,77.9472,80.2664,77.9472,80.2664,0,0
ACG_MV,D,20111017,000000,77.9472,80.4579,77.9472,80.4579,0,0
ACG_MV,D,20111018,000000,80.4579,80.4579,80.4579,80.4579,0,0
ACG_MV,D,20111019,000000,80.6417,80.6417,80.6417,80.6417,0,0
ACG_MV,D,20111020,000000,77.9472,80.6417,77.9472,79.499,0,0
ACG_MV,D,20111021,000000,78.0226,81.0254,78.0226,81.0254,0,0
ACG_MV,D,20111024,000000,80.2342,80.2342,80.2342,80.2342,0,0
ACG_MV,D,20111025,000000,78.7265,81.0254,78.7265,81.0254,0,0
ACG_MV,D,20111026,000000,80.2342,81.0254,80.2342,81.0254,0,0
ACG_MV,D,20111027,000000,80.2342,83.7097,80.2342,83.7097,0,0
ACG_MV,D,20111028,000000,81.0813,82.966,81.0254,82.9262,0,0
ACG_MV,D,20111031,000000,82.8864,84.7059,82.8864,84.7059,0,0
ACG_MV,D,20111102,000000,81.0254,81.8157,80.6417,80.6417,0,0
ACG_MV,D,20111103,000000,84.5111,84.5111,81.0813,81.2643,0,0
ACG_MV,D,20111104,000000,81.8479,82.767,81.4244,82.767,0,0
ACG_MV,D,20111107,000000,83.3421,84.1248,81.1211,84.1248,0,0
ACG_MV,D,20111108,000000,84.1248,84.1248,84.1248,84.1248,0,0
ACG_MV,D,20111109,000000,81.2643,82.9262,81.2245,82.9262,0,0
ACG_MV,D,20111114,000000,81.6158,82.8864,81.6158,82.8864,0,0
ACG_MV,D,20111115,000000,81.8157,82.966,81.8157,82.966,0,0
ACG_MV,D,20111116,000000,81.2245,82.8542,81.2245,82.8542,0,0
ACG_MV,D,20111118,000000,81.0813,82.966,81.0254,82.966,0,0
ACG_MV,D,20111121,000000,82.9262,82.966,82.9262,82.966,0,0
ACG_MV,D,20111122,000000,81.0254,83.5099,81.0254,83.5099,0,0
ACG_MV,D,20111125,000000,83.3176,83.3176,83.3176,83.3176,0,0
ACG_MV,D,20111130,000000,82.5434,84.9007,81.4565,84.1248,0,0
ACG_MV,D,20111201,000000,84.5111,84.5111,84.5111,84.5111,0,0
ACG_MV,D,20111205,000000,81.4565,84.085,81.4565,84.085,0,0
ACG_MV,D,20111208,000000,82.966,82.966,81.4244,81.4244,0,0
ACG_MV,D,20111209,000000,81.4244,82.7026,81.0254,82.7026,0,0
ACG_MV,D,20111214,000000,83.3421,83.3421,83.3421,83.3421,0,0
ACG_MV,D,20111215,000000,83.3421,84.9007,81.0254,82.8864,0,0
ACG_MV,D,20111216,000000,81.0813,82.8864,80.2978,82.8864,0,0
ACG_MV,D,20111219,000000,80.2978,80.2978,78.9094,80.2664,0,0
ACG_MV,D,20111220,000000,78.7265,79.1085,78.7265,79.1085,0,0
ACG_MV,D,20111221,000000,79.0628,79.0628,78.6799,78.7265,0,0
ACG_MV,D,20111222,000000,78.7265,78.7265,78.7265,78.7265,0,0
ACG_MV,D,20111223,000000,80.0344,85.6715,78.7265,85.6715,0,0
ACG_MV,D,20111227,000000,85.6292,85.6715,78.7265,78.7265,0,0
ACG_MV,D,20111228,000000,78.7265,78.7265,76.4022,77.9472,0,0
ACG_MV,D,20111229,000000,76.4022,77.1747,76.4022,77.1747,0,0
ACG_MV,D,20111230,000000,78.3436,78.3436,77.1747,77.1747,0,0
ACG_MV,D,20120102,000000,84.9007,84.9007,82.9262,84.9007,0,0
ACG_MV,D,20120103,000000,81.0254,81.0254,81.0254,81.0254,0,0
ACG_MV,D,20120104,000000,79.1085,82.8144,79.1085,82.8144,0,0
ACG_MV,D,20120113,000000,79.139,82.8144,77.9921,82.8144,0,0
ACG_MV,D,20120116,000000,78.1378,82.8144,78.1378,82.8144,0,0
ACG_MV,D,20120117,000000,82.5831,84.9007,82.5831,84.9007,0,0
ACG_MV,D,20120118,000000,81.0813,83.3176,81.0813,83.1981,0,0
ACG_MV,D,20120119,000000,83.2303,84.1248,83.2303,84.1248,0,0
ACG_MV,D,20120120,000000,84.9007,84.9007,84.9007,84.9007,0,0
ACG_MV,D,20120126,000000,82.767,82.767,82.767,82.767,0,0
ACG_MV,D,20120127,000000,82.767,82.8864,82.767,82.8864,0,0
ACG_MV,D,20120130,000000,82.966,82.966,82.767,82.966,0,0
ACG_MV,D,20120131,000000,82.9584,82.9584,81.0254,82.767,0,0
ACG_MV,D,20120202,000000,81.0254,82.966,81.0254,82.966,0,0
ACG_MV,D,20120203,000000,82.966,82.966,81.0254,82.966,0,0
ACG_MV,D,20120207,000000,84.9007,84.9007,81.0254,81.0813,0,0
ACG_MV,D,20120208,000000,81.0254,81.0254,81.0254,81.0254,0,0
