<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACG_PB,D,20110811,000000,1.41518,1.41518,1.41518,1.41518,0,0
ACG_PB,D,20110812,000000,1.41094,1.41518,1.36123,1.41518,0,0
ACG_PB,D,20110816,000000,1.37783,1.41518,1.37783,1.41518,0,0
ACG_PB,D,20110817,000000,1.37368,1.41518,1.37368,1.40671,0,0
ACG_PB,D,20110818,000000,1.37783,1.40248,1.37368,1.40248,0,0
ACG_PB,D,20110819,000000,1.37368,1.40248,1.37368,1.39849,0,0
ACG_PB,D,20110822,000000,1.38613,1.38613,1.38613,1.38613,0,0
ACG_PB,D,20110823,000000,1.38613,1.38613,1.38198,1.38613,0,0
ACG_PB,D,20110824,000000,1.38198,1.39434,1.38198,1.39434,0,0
ACG_PB,D,20110825,000000,1.38613,1.39849,1.07992,1.07992,0,0
ACG_PB,D,20110826,000000,1.07162,1.08415,1.07162,1.08415,0,0
ACG_PB,D,20110829,000000,1.08415,1.12955,1.08415,1.12955,0,0
ACG_PB,D,20110830,000000,1.09643,1.12955,1.09643,1.12955,0,0
ACG_PB,D,20110831,000000,1.10473,1.16682,1.10473,1.16682,0,0
ACG_PB,D,20110901,000000,1.08813,1.19571,1.08813,1.19571,0,0
ACG_PB,D,20110902,000000,1.19571,1.19571,1.19571,1.19571,0,0
ACG_PB,D,20110905,000000,1.19571,1.19571,1.19164,1.19164,0,0
ACG_PB,D,20110906,000000,1.11295,1.19571,1.10058,1.19571,0,0
ACG_PB,D,20110909,000000,1.15861,1.19164,1.12523,1.19164,0,0
ACG_PB,D,20110912,000000,1.15861,1.19571,1.11718,1.19571,0,0
ACG_PB,D,20110913,000000,1.15861,1.18741,1.12523,1.18741,0,0
ACG_PB,D,20110914,000000,1.12523,1.18741,1.12523,1.18741,0,0
ACG_PB,D,20110915,000000,1.12523,1.18741,1.12523,1.18741,0,0
ACG_PB,D,20110919,000000,1.15861,1.18741,1.15861,1.18741,0,0
