<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP_PE,D,20070813,000000,10.9875,10.9875,10.9875,10.9875,0,0
ACP_PE,D,20070814,000000,10.8059,10.8059,10.8059,10.8059,0,0
ACP_PE,D,20070816,000000,10.5301,10.5301,10.5301,10.5301,0,0
ACP_PE,D,20070817,000000,10.9875,10.9875,10.9875,10.9875,0,0
ACP_PE,D,20070820,000000,10.7134,10.7134,10.7134,10.7134,0,0
ACP_PE,D,20070821,000000,10.4377,10.4377,10.4377,10.4377,0,0
ACP_PE,D,20070822,000000,10.8942,10.8942,10.8942,10.8942,0,0
ACP_PE,D,20070823,000000,10.7134,10.7134,10.7134,10.7134,0,0
ACP_PE,D,20070824,000000,10.669,10.669,10.669,10.669,0,0
ACP_PE,D,20070827,000000,10.669,10.669,10.669,10.669,0,0
ACP_PE,D,20070828,000000,10.7134,10.7134,10.7134,10.7134,0,0
ACP_PE,D,20070829,000000,10.8942,10.8942,10.8942,10.8942,0,0
ACP_PE,D,20070830,000000,14.1025,14.1025,14.1025,14.1025,0,0
ACP_PE,D,20070831,000000,14.9717,14.9717,14.9717,14.9717,0,0
ACP_PE,D,20070903,000000,14.9246,14.9246,14.9246,14.9246,0,0
ACP_PE,D,20070904,000000,14.8329,14.8329,14.8329,14.8329,0,0
ACP_PE,D,20070905,000000,14.7456,14.7456,14.7456,14.7456,0,0
ACP_PE,D,20070906,000000,14.6515,14.6515,14.6515,14.6515,0,0
ACP_PE,D,20070907,000000,14.4681,14.4681,14.4681,14.4681,0,0
ACP_PE,D,20070910,000000,14.2831,14.2831,14.2831,14.2831,0,0
ACP_PE,D,20070911,000000,14.4681,14.4681,14.4681,14.4681,0,0
ACP_PE,D,20070912,000000,11.9012,11.9012,11.9012,11.9012,0,0
ACP_PE,D,20070913,000000,12.822,12.822,12.822,12.822,0,0
ACP_PE,D,20070914,000000,13.0045,13.0045,13.0045,13.0045,0,0
ACP_PE,D,20070917,000000,13.1406,13.1406,13.1406,13.1406,0,0
ACP_PE,D,20070918,000000,13.234,13.234,13.234,13.234,0,0
ACP_PE,D,20070919,000000,14.4681,14.4681,14.4681,14.4681,0,0
ACP_PE,D,20070920,000000,14.4681,14.4681,14.4681,14.4681,0,0
ACP_PE,D,20070921,000000,14.3286,14.3286,14.3286,14.3286,0,0
ACP_PE,D,20070924,000000,14.1025,14.1025,14.1025,14.1025,0,0
ACP_PE,D,20070925,000000,13.9175,13.9175,13.9175,13.9175,0,0
ACP_PE,D,20070926,000000,13.7376,13.7376,13.7376,13.7376,0,0
ACP_PE,D,20070927,000000,13.7376,13.7376,13.7376,13.7376,0,0
ACP_PE,D,20070928,000000,13.5525,13.5525,13.5525,13.5525,0,0
ACP_PE,D,20071001,000000,13.5064,13.5064,13.5064,13.5064,0,0
ACP_PE,D,20071002,000000,13.5064,13.5064,13.5064,13.5064,0,0
ACP_PE,D,20071003,000000,13.6451,13.6451,13.6451,13.6451,0,0
ACP_PE,D,20071004,000000,13.7376,13.7376,13.7376,13.7376,0,0
ACP_PE,D,20071005,000000,13.9175,13.9175,13.9175,13.9175,0,0
ACP_PE,D,20071008,000000,14.2831,14.2831,14.2831,14.2831,0,0
ACP_PE,D,20071009,000000,14.2411,14.2411,14.2411,14.2411,0,0
ACP_PE,D,20071010,000000,14.7456,14.7456,14.7456,14.7456,0,0
ACP_PE,D,20071011,000000,14.6515,14.6515,14.6515,14.6515,0,0
ACP_PE,D,20071012,000000,14.6061,14.6061,14.6061,14.6061,0,0
ACP_PE,D,20071015,000000,14.4219,14.4219,14.4219,14.4219,0,0
ACP_PE,D,20071016,000000,14.1025,14.1025,14.1025,14.1025,0,0
ACP_PE,D,20071017,000000,14.2411,14.2411,14.2411,14.2411,0,0
ACP_PE,D,20071018,000000,14.1025,14.1025,14.1025,14.1025,0,0
ACP_PE,D,20071019,000000,14.1486,14.1486,14.1486,14.1486,0,0
ACP_PE,D,20071022,000000,14.0562,14.0562,14.0562,14.0562,0,0
ACP_PE,D,20071023,000000,14.1486,14.1486,14.1486,14.1486,0,0
ACP_PE,D,20071024,000000,14.0107,14.0107,14.0107,14.0107,0,0
ACP_PE,D,20071025,000000,13.9175,13.9175,13.9175,13.9175,0,0
ACP_PE,D,20071026,000000,13.8258,13.8258,13.8258,13.8258,0,0
ACP_PE,D,20071029,000000,13.9175,13.9175,13.9175,13.9175,0,0
ACP_PE,D,20071030,000000,14.3756,14.3756,14.3756,14.3756,0,0
ACP_PE,D,20071031,000000,14.5597,14.5597,14.5597,14.5597,0,0
ACP_PE,D,20071102,000000,14.2831,14.2831,14.2831,14.2831,0,0
ACP_PE,D,20071105,000000,14.6515,14.6515,14.6515,14.6515,0,0
ACP_PE,D,20071106,000000,14.8792,14.8792,14.8792,14.8792,0,0
ACP_PE,D,20071107,000000,14.6061,14.6061,14.6061,14.6061,0,0
ACP_PE,D,20071108,000000,14.6515,14.6515,14.6515,14.6515,0,0
ACP_PE,D,20071109,000000,14.8792,14.9717,14.4219,14.7456,0,0
ACP_PE,D,20071112,000000,14.7456,14.7456,14.6061,14.6515,0,0
ACP_PE,D,20071113,000000,14.6515,15.1095,14.6515,14.7859,0,0
ACP_PE,D,20071114,000000,15.1559,15.3357,14.8792,15.0633,0,0
ACP_PE,D,20071115,000000,15.1559,15.1559,14.4219,14.6515,0,0
ACP_PE,D,20071116,000000,14.6515,14.8329,13.1406,13.1406,0,0
ACP_PE,D,20071119,000000,12.9565,13.4138,12.9565,13.0961,0,0
ACP_PE,D,20071120,000000,13.048,13.048,12.6841,13.0045,0,0
ACP_PE,D,20071121,000000,12.822,12.822,12.637,12.7294,0,0
ACP_PE,D,20071122,000000,12.9094,12.9094,12.5915,12.822,0,0
ACP_PE,D,20071123,000000,13.0045,13.1406,13.0045,13.0045,0,0
ACP_PE,D,20071126,000000,13.0961,13.0961,12.5445,12.5445,0,0
ACP_PE,D,20071127,000000,12.637,12.8631,12.637,12.6841,0,0
ACP_PE,D,20071128,000000,12.6841,12.8631,12.452,12.452,0,0
ACP_PE,D,20071129,000000,12.637,12.7757,12.5445,12.6841,0,0
ACP_PE,D,20071130,000000,12.6841,12.6841,12.3595,12.3595,0,0
ACP_PE,D,20071203,000000,12.3595,12.637,12.273,12.5915,0,0
ACP_PE,D,20071204,000000,12.5445,12.6841,12.3184,12.6841,0,0
ACP_PE,D,20071205,000000,12.7294,12.9094,12.273,12.273,0,0
ACP_PE,D,20071206,000000,12.452,12.499,12.1788,12.3595,0,0
ACP_PE,D,20071207,000000,12.499,12.822,12.3595,12.822,0,0
ACP_PE,D,20071210,000000,12.822,12.9094,12.6841,12.6841,0,0
ACP_PE,D,20071211,000000,12.8631,12.8631,12.6841,12.822,0,0
ACP_PE,D,20071212,000000,12.7757,12.7757,12.499,12.5445,0,0
