<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGO_PB,D,20070813,000000,1.5682,1.5682,1.5682,1.5682,0,0
AGO_PB,D,20070814,000000,1.56099,1.56099,1.56099,1.56099,0,0
AGO_PB,D,20070816,000000,1.48907,1.48907,1.48907,1.48907,0,0
AGO_PB,D,20070817,000000,1.46022,1.46022,1.46022,1.46022,0,0
AGO_PB,D,20070820,000000,1.48907,1.48907,1.48907,1.48907,0,0
AGO_PB,D,20070821,000000,1.51782,1.51782,1.51782,1.51782,0,0
AGO_PB,D,20070822,000000,1.58984,1.58984,1.58984,1.58984,0,0
AGO_PB,D,20070823,000000,1.63291,1.63291,1.63291,1.63291,0,0
AGO_PB,D,20070824,000000,1.6257,1.6257,1.6257,1.6257,0,0
AGO_PB,D,20070827,000000,1.6257,1.6257,1.6257,1.6257,0,0
AGO_PB,D,20070828,000000,1.63291,1.63291,1.63291,1.63291,0,0
AGO_PB,D,20070829,000000,1.66897,1.66897,1.66897,1.66897,0,0
AGO_PB,D,20070830,000000,1.69772,1.69772,1.69772,1.69772,0,0
AGO_PB,D,20070831,000000,1.748,1.748,1.748,1.748,0,0
AGO_PB,D,20070903,000000,1.83434,1.83434,1.83434,1.83434,0,0
AGO_PB,D,20070904,000000,1.79838,1.79838,1.79838,1.79838,0,0
AGO_PB,D,20070905,000000,1.79127,1.79127,1.79127,1.79127,0,0
AGO_PB,D,20070906,000000,1.78406,1.78406,1.78406,1.78406,0,0
AGO_PB,D,20070907,000000,1.71214,1.71214,1.71214,1.71214,0,0
AGO_PB,D,20070910,000000,1.69772,1.69772,1.69772,1.69772,0,0
AGO_PB,D,20070911,000000,1.72646,1.72646,1.72646,1.72646,0,0
AGO_PB,D,20070912,000000,1.81992,1.81992,1.81992,1.81992,0,0
AGO_PB,D,20070913,000000,1.79838,1.79838,1.79838,1.79838,0,0
AGO_PB,D,20070914,000000,1.79127,1.79127,1.79127,1.79127,0,0
AGO_PB,D,20070917,000000,1.82723,1.82723,1.82723,1.82723,0,0
AGO_PB,D,20070918,000000,1.80559,1.80559,1.80559,1.80559,0,0
AGO_PB,D,20070919,000000,1.81992,1.81992,1.81992,1.81992,0,0
AGO_PB,D,20070920,000000,1.81992,1.81992,1.81992,1.81992,0,0
AGO_PB,D,20070921,000000,1.81992,1.81992,1.81992,1.81992,0,0
AGO_PB,D,20070924,000000,1.78406,1.78406,1.78406,1.78406,0,0
AGO_PB,D,20070925,000000,1.78406,1.78406,1.78406,1.78406,0,0
AGO_PB,D,20070926,000000,1.78406,1.78406,1.78406,1.78406,0,0
AGO_PB,D,20070927,000000,1.75531,1.75531,1.75531,1.75531,0,0
