<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGT_PE,D,20101108,000000,9.3,9.3,9.3,9.3,0,0
AGT_PE,D,20101109,000000,9.4,10,9.4,9.8,0,0
AGT_PE,D,20101110,000000,9.8,9.8,9.7,9.7,0,0
AGT_PE,D,20101112,000000,9.6,10.1,9.6,10,0,0
AGT_PE,D,20101115,000000,10.2,10.2,9.9,9.9,0,0
AGT_PE,D,20101116,000000,9.9,9.9,9.6,9.8,0,0
AGT_PE,D,20101117,000000,9.7,9.7,9.5,9.5,0,0
AGT_PE,D,20101118,000000,9.6,9.8,9.6,9.8,0,0
AGT_PE,D,20101119,000000,9.7,9.8,9.7,9.8,0,0
AGT_PE,D,20101122,000000,9.8,9.9,9.6,9.6,0,0
AGT_PE,D,20101123,000000,9.6,9.6,9.4,9.4,0,0
AGT_PE,D,20101124,000000,9.7,9.7,9.4,9.7,0,0
AGT_PE,D,20101125,000000,9.7,9.8,9.7,9.8,0,0
AGT_PE,D,20101126,000000,9.8,9.8,9.7,9.7,0,0
AGT_PE,D,20101129,000000,9.6,9.7,9.6,9.7,0,0
AGT_PE,D,20101130,000000,9.7,9.7,9.5,9.6,0,0
AGT_PE,D,20101201,000000,9.6,9.9,9.5,9.9,0,0
AGT_PE,D,20101202,000000,9.9,10.1,9.8,10,0,0
AGT_PE,D,20101203,000000,10,10.3,10,10.3,0,0
AGT_PE,D,20101206,000000,10.3,10.4,10.3,10.4,0,0
AGT_PE,D,20101207,000000,10.3,10.3,10.1,10.2,0,0
AGT_PE,D,20101208,000000,10.2,10.2,10.1,10.1,0,0
AGT_PE,D,20101209,000000,10.2,10.2,10,10.1,0,0
AGT_PE,D,20101210,000000,10.1,10.1,10,10.1,0,0
AGT_PE,D,20101213,000000,10.1,10.1,10,10.1,0,0
AGT_PE,D,20101214,000000,10,10.1,9.9,10,0,0
AGT_PE,D,20101215,000000,10,10,9.8,9.8,0,0
AGT_PE,D,20101216,000000,9.8,9.8,9.7,9.8,0,0
AGT_PE,D,20101217,000000,9.8,10,9.7,9.9,0,0
AGT_PE,D,20101220,000000,9.7,9.9,9.6,9.9,0,0
AGT_PE,D,20101221,000000,9.9,10,9.9,10,0,0
AGT_PE,D,20101222,000000,10,10.3,10,10.2,0,0
AGT_PE,D,20101223,000000,10.2,10.3,10.2,10.2,0,0
AGT_PE,D,20101227,000000,10.3,10.9,10.2,10.9,0,0
AGT_PE,D,20101228,000000,10.9,11.2,10.8,11.2,0,0
AGT_PE,D,20101229,000000,11.2,11.7,11.1,11.4,0,0
AGT_PE,D,20101230,000000,11.2,11.4,11.1,11.3,0,0
AGT_PE,D,20101231,000000,11.4,11.4,11.2,11.2,0,0
AGT_PE,D,20110103,000000,11.2,11.8,11,11.8,0,0
AGT_PE,D,20110104,000000,11.8,11.8,11.4,11.6,0,0
AGT_PE,D,20110105,000000,11.5,11.6,11.3,11.5,0,0
AGT_PE,D,20110107,000000,11.6,11.7,11.6,11.7,0,0
AGT_PE,D,20110110,000000,11.7,12.2,11.7,12.1,0,0
AGT_PE,D,20110111,000000,12.4,12.4,12.2,12.3,0,0
AGT_PE,D,20110112,000000,12.3,12.3,11.7,12.1,0,0
AGT_PE,D,20110113,000000,12,12.2,11.5,12.2,0,0
AGT_PE,D,20110114,000000,12.2,12.4,12.1,12.1,0,0
AGT_PE,D,20110117,000000,12.2,12.3,12,12.3,0,0
AGT_PE,D,20110118,000000,12.4,13.5,12.4,13.4,0,0
AGT_PE,D,20110119,000000,13.9,13.9,13.5,13.7,0,0
AGT_PE,D,20110120,000000,13.7,13.7,13.5,13.5,0,0
AGT_PE,D,20110121,000000,13.5,13.5,13.1,13.3,0,0
AGT_PE,D,20110124,000000,13.4,13.6,13.3,13.6,0,0
AGT_PE,D,20110125,000000,13.6,13.8,13.6,13.7,0,0
AGT_PE,D,20110126,000000,13.8,14.2,13.8,14.1,0,0
AGT_PE,D,20110127,000000,14.3,14.3,13.7,13.7,0,0
AGT_PE,D,20110128,000000,13.5,13.5,13.5,13.5,0,0
AGT_PE,D,20110131,000000,13,13.3,12.8,13.3,0,0
AGT_PE,D,20110201,000000,13.3,13.6,13.2,13.3,0,0
AGT_PE,D,20110202,000000,13.3,13.4,13.2,13.3,0,0
AGT_PE,D,20110203,000000,13.5,13.5,13.1,13.2,0,0
AGT_PE,D,20110204,000000,13.1,13.5,13.1,13.3,0,0
AGT_PE,D,20110207,000000,13.5,13.5,13.2,13.2,0,0
AGT_PE,D,20110208,000000,13.3,13.3,13,13.2,0,0
AGT_PE,D,20110209,000000,13,13.2,13,13.1,0,0
AGT_PE,D,20110210,000000,13.1,13.1,12.7,12.7,0,0
AGT_PE,D,20110211,000000,12.5,12.9,12.3,12.9,0,0
AGT_PE,D,20110214,000000,12.9,12.9,12.6,12.9,0,0
AGT_PE,D,20110215,000000,12.9,12.9,12.7,12.8,0,0
AGT_PE,D,20110216,000000,12.6,12.8,12.4,12.4,0,0
AGT_PE,D,20110217,000000,12.5,12.5,12.4,12.5,0,0
AGT_PE,D,20110218,000000,12.3,12.4,12.1,12.3,0,0
AGT_PE,D,20110221,000000,12.2,12.7,12.2,12.5,0,0
AGT_PE,D,20110222,000000,12.5,12.5,12.3,12.5,0,0
AGT_PE,D,20110223,000000,12.8,12.8,12.2,12.2,0,0
AGT_PE,D,20110224,000000,12,12,11.7,11.8,0,0
AGT_PE,D,20110225,000000,11.7,12,11.7,11.9,0,0
AGT_PE,D,20110228,000000,12,12,11.8,12,0,0
AGT_PE,D,20110301,000000,12.1,12.1,11.9,12,0,0
AGT_PE,D,20110302,000000,11.9,11.9,11.7,11.7,0,0
AGT_PE,D,20110303,000000,11.8,11.8,11.3,11.7,0,0
AGT_PE,D,20110304,000000,11.9,12,11.6,11.8,0,0
AGT_PE,D,20110307,000000,12,12,11.6,11.8,0,0
AGT_PE,D,20110308,000000,11.9,12,11.6,11.9,0,0
AGT_PE,D,20110309,000000,11.9,12.3,11.8,11.9,0,0
AGT_PE,D,20110310,000000,11.9,11.9,11.6,11.7,0,0
AGT_PE,D,20110311,000000,11.8,11.8,11.3,11.3,0,0
AGT_PE,D,20110314,000000,11.3,11.4,11.2,11.4,0,0
AGT_PE,D,20110315,000000,11.3,11.3,10.7,11,0,0
AGT_PE,D,20110316,000000,10.9,11.1,10.8,11.1,0,0
AGT_PE,D,20110317,000000,11.1,11.3,11,11.2,0,0
AGT_PE,D,20110318,000000,11.2,11.3,11.2,11.2,0,0
AGT_PE,D,20110321,000000,11.4,11.6,11.4,11.6,0,0
AGT_PE,D,20110322,000000,11.7,11.7,11.5,11.6,0,0
AGT_PE,D,20110323,000000,11.7,11.7,11.6,11.7,0,0
AGT_PE,D,20110324,000000,11.7,11.7,11.6,11.7,0,0
AGT_PE,D,20110325,000000,11.4,11.9,11.4,11.9,0,0
AGT_PE,D,20110328,000000,11.9,12,11.7,12,0,0
AGT_PE,D,20110329,000000,12,12.2,12,12.1,0,0
AGT_PE,D,20110330,000000,12.2,12.2,11.9,12.1,0,0
AGT_PE,D,20110331,000000,12.1,12.1,11.7,11.9,0,0
AGT_PE,D,20110401,000000,12.1,12.1,11.7,11.9,0,0
AGT_PE,D,20110404,000000,12,12,11.8,11.8,0,0
AGT_PE,D,20110405,000000,11.7,11.8,11.5,11.6,0,0
AGT_PE,D,20110406,000000,11.5,11.6,11.3,11.6,0,0
AGT_PE,D,20110407,000000,11.4,11.6,11.2,11.2,0,0
AGT_PE,D,20110408,000000,11.3,11.3,10.9,11,0,0
AGT_PE,D,20110411,000000,11,11.1,10.9,11,0,0
AGT_PE,D,20110412,000000,11,11.3,10.9,11.3,0,0
AGT_PE,D,20110413,000000,11.3,11.5,11.3,11.5,0,0
AGT_PE,D,20110414,000000,11.5,11.5,11.1,11.3,0,0
AGT_PE,D,20110415,000000,11.3,11.5,11.3,11.3,0,0
AGT_PE,D,20110418,000000,11.3,11.3,10.9,11.2,0,0
AGT_PE,D,20110419,000000,11.2,11.4,11,11.4,0,0
AGT_PE,D,20110420,000000,11.4,11.4,11.1,11.2,0,0
AGT_PE,D,20110421,000000,11.2,11.2,10.8,10.8,0,0
AGT_PE,D,20110426,000000,10.8,15.6,10.6,15.6,0,0
AGT_PE,D,20110427,000000,15.6,15.6,14.4,14.5,0,0
AGT_PE,D,20110428,000000,14.4,14.9,14.4,14.6,0,0
AGT_PE,D,20110429,000000,14.7,14.7,14.6,14.7,0,0
AGT_PE,D,20110502,000000,14.9,15,14.7,15,0,0
AGT_PE,D,20110504,000000,15,15,14.6,14.9,0,0
AGT_PE,D,20110505,000000,15,15,14.2,14.4,0,0
AGT_PE,D,20110506,000000,14.1,14.7,14.1,14.7,0,0
AGT_PE,D,20110509,000000,14.7,14.7,14.3,14.3,0,0
AGT_PE,D,20110510,000000,14.3,14.3,13.9,14.1,0,0
AGT_PE,D,20110511,000000,14.3,14.3,14.1,14.2,0,0
AGT_PE,D,20110512,000000,14.4,14.4,13.7,14.3,0,0
AGT_PE,D,20110513,000000,14.4,14.4,14.3,14.3,0,0
AGT_PE,D,20110516,000000,14.3,14.3,14.1,14.2,0,0
AGT_PE,D,20110517,000000,14.2,14.5,13.8,14.5,0,0
AGT_PE,D,20110518,000000,14.6,14.6,14.4,14.6,0,0
AGT_PE,D,20110519,000000,14.6,14.8,14.3,14.8,0,0
AGT_PE,D,20110520,000000,14.9,15,14.8,14.9,0,0
AGT_PE,D,20110523,000000,14.8,14.9,14.7,14.7,0,0
AGT_PE,D,20110524,000000,14.7,14.8,14.7,14.7,0,0
AGT_PE,D,20110525,000000,14.7,14.8,14.6,14.8,0,0
AGT_PE,D,20110526,000000,14.8,14.9,14.7,14.9,0,0
AGT_PE,D,20110527,000000,15,15.8,14.9,15.7,0,0
AGT_PE,D,20110530,000000,16.3,16.4,16.1,16.3,0,0
AGT_PE,D,20110531,000000,16.3,16.8,16.3,16.7,0,0
AGT_PE,D,20110601,000000,16.7,16.7,16.7,16.7,0,0
AGT_PE,D,20110602,000000,16.7,16.7,16.4,16.4,0,0
AGT_PE,D,20110603,000000,16.4,16.8,16.3,16.8,0,0
AGT_PE,D,20110606,000000,16.4,16.6,16.4,16.4,0,0
AGT_PE,D,20110607,000000,16.7,16.7,15.8,15.8,0,0
AGT_PE,D,20110608,000000,15.8,15.8,15.3,15.4,0,0
AGT_PE,D,20110609,000000,15.4,15.8,15.4,15.8,0,0
AGT_PE,D,20110610,000000,15.8,15.8,15.1,15.1,0,0
AGT_PE,D,20110613,000000,15.2,15.2,14.9,15.1,0,0
AGT_PE,D,20110614,000000,15.1,15.2,15.1,15.1,0,0
AGT_PE,D,20110615,000000,15.1,15.1,14.1,14.7,0,0
AGT_PE,D,20110616,000000,14.7,14.7,14.5,14.7,0,0
AGT_PE,D,20110617,000000,14.8,14.8,14.5,14.6,0,0
AGT_PE,D,20110620,000000,14.5,14.6,14.3,14.6,0,0
AGT_PE,D,20110621,000000,14.6,14.8,14.4,14.6,0,0
AGT_PE,D,20110622,000000,14.7,14.9,14.6,14.9,0,0
AGT_PE,D,20110624,000000,14.6,14.8,14.6,14.7,0,0
AGT_PE,D,20110627,000000,14.6,14.6,13.7,14.6,0,0
AGT_PE,D,20110628,000000,14.6,14.6,13.8,14.4,0,0
AGT_PE,D,20110629,000000,14.3,14.4,14,14.4,0,0
AGT_PE,D,20110630,000000,14.4,14.5,14,14.2,0,0
AGT_PE,D,20110701,000000,14.1,14.1,13.6,13.6,0,0
AGT_PE,D,20110704,000000,13.8,13.8,13.3,13.3,0,0
AGT_PE,D,20110705,000000,13.3,13.3,13,13.3,0,0
AGT_PE,D,20110706,000000,13.3,13.3,12.6,12.6,0,0
AGT_PE,D,20110707,000000,12.2,13.4,11.9,13.2,0,0
AGT_PE,D,20110708,000000,13.2,13.2,12.8,12.8,0,0
AGT_PE,D,20110711,000000,12.8,12.8,12.8,12.8,0,0
AGT_PE,D,20110712,000000,12.1,12.8,12.1,12.6,0,0
AGT_PE,D,20110713,000000,12.7,13.2,12.7,13.2,0,0
AGT_PE,D,20110714,000000,13.2,13.2,12.8,12.8,0,0
AGT_PE,D,20110715,000000,12.8,13.1,12.8,12.9,0,0
AGT_PE,D,20110718,000000,12.8,12.9,12.8,12.9,0,0
AGT_PE,D,20110719,000000,12.9,13.2,12.8,13.2,0,0
AGT_PE,D,20110720,000000,13.2,13.6,13.1,13.5,0,0
AGT_PE,D,20110721,000000,13.6,13.6,13,13.5,0,0
AGT_PE,D,20110722,000000,13.5,14,13.5,13.9,0,0
AGT_PE,D,20110725,000000,14.2,14.4,14.2,14.3,0,0
AGT_PE,D,20110726,000000,14.4,14.4,14.2,14.4,0,0
AGT_PE,D,20110727,000000,14.4,14.5,14.3,14.5,0,0
AGT_PE,D,20110728,000000,14.4,14.5,14.2,14.2,0,0
AGT_PE,D,20110729,000000,14.2,14.2,13.6,14,0,0
AGT_PE,D,20110801,000000,14.2,14.2,13.3,13.4,0,0
AGT_PE,D,20110802,000000,13.5,13.5,13.1,13.4,0,0
AGT_PE,D,20110803,000000,13.4,13.4,12.5,12.6,0,0
AGT_PE,D,20110804,000000,12.9,12.9,11.9,11.9,0,0
AGT_PE,D,20110805,000000,10.7,11.9,10.7,11.2,0,0
AGT_PE,D,20110808,000000,10.7,11,10.3,10.7,0,0
AGT_PE,D,20110809,000000,10.2,10.2,9.4,9.9,0,0
AGT_PE,D,20110810,000000,10.7,10.7,10.1,10.1,0,0
AGT_PE,D,20110811,000000,10.2,10.9,9.9,10.9,0,0
AGT_PE,D,20110812,000000,11.8,11.8,10.9,11.4,0,0
AGT_PE,D,20110816,000000,11.1,11.1,10.8,11.1,0,0
AGT_PE,D,20110817,000000,11,11.6,11,11.6,0,0
AGT_PE,D,20110818,000000,11.8,11.8,10.7,10.9,0,0
AGT_PE,D,20110819,000000,9.8,10.9,9.8,10.9,0,0
AGT_PE,D,20110822,000000,10.9,11.2,10.7,11.2,0,0
AGT_PE,D,20110823,000000,11.4,12.6,11.4,12.1,0,0
AGT_PE,D,20110824,000000,12.1,12.1,11.7,11.9,0,0
AGT_PE,D,20110825,000000,12.1,12.1,11.7,12,0,0
AGT_PE,D,20110826,000000,12.1,12.1,11.7,12,0,0
AGT_PE,D,20110829,000000,12,13.2,11.7,13.1,0,0
AGT_PE,D,20110830,000000,13.2,13.6,13.1,13.6,0,0
AGT_PE,D,20110831,000000,13.5,14.5,12.5,14,0,0
AGT_PE,D,20110901,000000,14,14,13.5,13.9,0,0
AGT_PE,D,20110902,000000,14.4,14.5,13.3,13.9,0,0
AGT_PE,D,20110905,000000,13.9,13.9,10.5,10.5,0,0
AGT_PE,D,20110906,000000,10.1,10.8,10.1,10.3,0,0
AGT_PE,D,20110907,000000,10.3,10.6,10.3,10.6,0,0
AGT_PE,D,20110908,000000,10.6,10.7,10.5,10.6,0,0
AGT_PE,D,20110909,000000,10.7,10.7,10.5,10.5,0,0
