<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALI_PB,D,20140828,000000,7.0656,7.0656,6.7964,7.0023,0,0
ALI_PB,D,20140829,000000,6.733,7.026,6.733,6.9864,0,0
ALI_PB,D,20140901,000000,6.7251,6.8042,6.6459,6.7646,0,0
ALI_PB,D,20140902,000000,6.7251,6.9231,6.6617,6.7171,0,0
ALI_PB,D,20140903,000000,6.7646,6.7885,6.5983,6.7885,0,0
ALI_PB,D,20140904,000000,6.6538,7.034,6.6538,7.034,0,0
ALI_PB,D,20140905,000000,6.9231,7.026,6.8835,6.9152,0,0
ALI_PB,D,20140908,000000,6.9152,7.0182,6.8835,6.9627,0,0
ALI_PB,D,20140909,000000,7.0103,7.0815,6.8835,6.9627,0,0
ALI_PB,D,20140910,000000,6.9231,7.0815,6.9231,7.0815,0,0
ALI_PB,D,20140911,000000,7.0736,7.0736,6.9152,7.0419,0,0
ALI_PB,D,20140912,000000,7.034,7.034,6.9627,7.034,0,0
ALI_PB,D,20140915,000000,6.9389,7.0182,6.9389,7.0103,0,0
ALI_PB,D,20140916,000000,6.9627,13.949,6.8914,13.949,0,0
ALI_PB,D,20140917,000000,13.949,14.029,13.949,14.029,0,0
ALI_PB,D,20140918,000000,13.949,14.329,13.949,14.329,0,0
ALI_PB,D,20140919,000000,14.187,14.377,13.87,14.377,0,0
ALI_PB,D,20140922,000000,14.187,14.503,14.187,14.488,0,0
ALI_PB,D,20140923,000000,14.472,14.488,14.219,14.488,0,0
ALI_PB,D,20140924,000000,14.488,14.488,13.98,14.472,0,0
ALI_PB,D,20140925,000000,14.456,14.599,14.187,14.472,0,0
ALI_PB,D,20140926,000000,14.646,14.646,14.266,14.503,0,0
ALI_PB,D,20140929,000000,14.552,14.583,14.552,14.567,0,0
ALI_PB,D,20140930,000000,14.567,14.63,14.345,14.488,0,0
ALI_PB,D,20141001,000000,14.503,14.535,14.219,14.472,0,0
ALI_PB,D,20141002,000000,14.425,14.646,14.234,14.63,0,0
ALI_PB,D,20141003,000000,14.646,14.646,14.63,14.63,0,0
ALI_PB,D,20141006,000000,14.646,14.646,14.646,14.646,0,0
ALI_PB,D,20141007,000000,14.646,14.646,14.425,14.63,0,0
ALI_PB,D,20141008,000000,14.503,14.63,14.425,14.63,0,0
ALI_PB,D,20141009,000000,14.63,14.63,14.615,14.615,0,0
ALI_PB,D,20141010,000000,14.599,14.599,14.503,14.599,0,0
ALI_PB,D,20141013,000000,14.503,14.599,14.298,14.503,0,0
ALI_PB,D,20141014,000000,14.583,14.583,14.361,14.472,0,0
ALI_PB,D,20141015,000000,14.329,14.425,14.266,14.425,0,0
ALI_PB,D,20141016,000000,14.567,14.567,14.408,14.425,0,0
ALI_PB,D,20141017,000000,14.425,14.425,14.266,14.408,0,0
ALI_PB,D,20141020,000000,14.345,14.52,14.345,14.52,0,0
ALI_PB,D,20141021,000000,14.646,14.646,14.408,14.552,0,0
ALI_PB,D,20141022,000000,14.599,14.646,14.408,14.646,0,0
ALI_PB,D,20141023,000000,14.646,14.662,14.408,14.662,0,0
ALI_PB,D,20141024,000000,14.646,14.646,14.646,14.646,0,0
ALI_PB,D,20141027,000000,14.567,14.567,13.83,13.83,0,0
ALI_PB,D,20141028,000000,13.886,13.918,13.886,13.918,0,0
ALI_PB,D,20141029,000000,13.87,13.87,13.45,13.664,0,0
ALI_PB,D,20141030,000000,13.918,13.918,13.45,13.545,0,0
ALI_PB,D,20141031,000000,13.45,13.902,13.45,13.751,0,0
ALI_PB,D,20141103,000000,13.719,13.719,13.719,13.719,0,0
ALI_PB,D,20141104,000000,13.719,13.886,13.719,13.87,0,0
ALI_PB,D,20141105,000000,13.719,13.886,13.719,13.886,0,0
ALI_PB,D,20141106,000000,13.529,14.25,13.529,14.203,0,0
ALI_PB,D,20141107,000000,14.25,14.25,14.25,14.25,0,0
ALI_PB,D,20141110,000000,14.052,14.203,14.052,14.187,0,0
ALI_PB,D,20141112,000000,14.131,14.187,14.131,14.131,0,0
ALI_PB,D,20141113,000000,14.131,14.131,14.116,14.116,0,0
ALI_PB,D,20141114,000000,14.131,14.131,2.2021,2.2021,0,0
ALI_PB,D,20141117,000000,2.2338,2.2338,2.1941,2.1941,0,0
ALI_PB,D,20141118,000000,2.2259,2.2338,2.2021,2.2338,0,0
ALI_PB,D,20141119,000000,2.2021,2.2338,2.2021,2.2259,0,0
ALI_PB,D,20141120,000000,2.2259,2.2259,2.21,2.21,0,0
ALI_PB,D,20141121,000000,2.2179,2.2179,2.1625,2.1625,0,0
ALI_PB,D,20141124,000000,2.1941,2.2179,2.1941,2.2179,0,0
ALI_PB,D,20141125,000000,2.1941,2.1941,2.1941,2.1941,0,0
ALI_PB,D,20141126,000000,2.1704,2.21,2.1467,2.1467,0,0
ALI_PB,D,20141127,000000,2.1704,2.2259,2.1467,2.2259,0,0
ALI_PB,D,20141128,000000,2.2179,2.2338,2.2179,2.2259,0,0
ALI_PB,D,20141201,000000,2.2259,2.2259,2.1863,2.1941,0,0
ALI_PB,D,20141202,000000,2.1863,2.2259,2.1863,2.2259,0,0
ALI_PB,D,20141203,000000,2.2259,2.2259,2.2021,2.21,0,0
ALI_PB,D,20141204,000000,2.21,2.21,2.1783,2.1941,0,0
ALI_PB,D,20141205,000000,2.1545,2.2179,2.1545,2.2179,0,0
ALI_PB,D,20141208,000000,2.21,2.21,2.1941,2.21,0,0
ALI_PB,D,20141209,000000,2.1863,2.21,2.1783,2.21,0,0
ALI_PB,D,20141210,000000,2.1783,2.21,2.1783,2.21,0,0
ALI_PB,D,20141211,000000,2.1941,2.21,2.1941,2.21,0,0
ALI_PB,D,20141212,000000,2.21,2.21,2.2021,2.21,0,0
ALI_PB,D,20141215,000000,2.2021,2.2021,2.1863,2.1941,0,0
ALI_PB,D,20141216,000000,2.1863,2.1863,2.1545,2.1863,0,0
ALI_PB,D,20141217,000000,2.1704,2.2021,2.1704,2.2021,0,0
ALI_PB,D,20141218,000000,2.1704,2.2021,2.1704,2.1941,0,0
ALI_PB,D,20141219,000000,2.1941,2.1941,2.1704,2.1863,0,0
ALI_PB,D,20141222,000000,2.1704,2.1863,2.1704,2.1783,0,0
ALI_PB,D,20141223,000000,2.1704,2.2021,2.1704,2.1783,0,0
ALI_PB,D,20141229,000000,2.1783,2.2021,2.1783,2.2021,0,0
ALI_PB,D,20141230,000000,2.1783,2.2021,2.1783,2.2021,0,0
ALI_PB,D,20150102,000000,2.1941,2.21,2.1941,2.21,0,0
ALI_PB,D,20150105,000000,2.21,2.2496,2.2021,2.2496,0,0
ALI_PB,D,20150107,000000,2.1863,2.2417,2.1863,2.2417,0,0
ALI_PB,D,20150108,000000,2.2338,2.2338,2.21,2.2338,0,0
ALI_PB,D,20150109,000000,2.2338,2.2338,2.2021,2.2179,0,0
