<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALL_MV,D,20111013,000000,20.154,20.154,19.9585,19.9585,0,0
ALL_MV,D,20111014,000000,19.5657,19.7003,18.7294,19.7003,0,0
ALL_MV,D,20111017,000000,19.0493,19.5657,18.0885,18.0885,0,0
ALL_MV,D,20111018,000000,17.9548,18.7294,17.3747,18.4084,0,0
ALL_MV,D,20111019,000000,19.3794,19.3794,18.7294,18.7294,0,0
ALL_MV,D,20111020,000000,18.0166,19.3075,18.0166,19.3075,0,0
ALL_MV,D,20111021,000000,18.4084,19.3075,18.3467,19.0493,0,0
ALL_MV,D,20111024,000000,19.3075,21.3113,19.3075,21.3113,0,0
ALL_MV,D,20111025,000000,20.3412,22.2832,19.3794,22.2832,0,0
ALL_MV,D,20111026,000000,21.054,24.5452,20.9912,24.2242,0,0
ALL_MV,D,20111027,000000,23.3787,24.6697,23.315,24.6697,0,0
ALL_MV,D,20111028,000000,24.8034,26.9316,23.8951,26.6734,0,0
ALL_MV,D,20111031,000000,26.478,26.478,25.5152,26.0316,0,0
ALL_MV,D,20111102,000000,25.1861,25.7024,25.1861,25.7024,0,0
ALL_MV,D,20111103,000000,25.7024,25.7024,25.7024,25.7024,0,0
ALL_MV,D,20111104,000000,25.7734,25.7734,25.5152,25.577,0,0
ALL_MV,D,20111107,000000,25.6407,25.6407,25.5152,25.5152,0,0
ALL_MV,D,20111108,000000,25.577,26.0316,25.1861,25.1861,0,0
ALL_MV,D,20111109,000000,24.5452,25.5152,24.4105,25.1233,0,0
ALL_MV,D,20111110,000000,25.1233,25.1861,24.7406,24.7406,0,0
ALL_MV,D,20111114,000000,25.4442,26.5489,22.2832,25.3197,0,0
ALL_MV,D,20111115,000000,25.3197,25.3197,24.8651,25.3197,0,0
ALL_MV,D,20111117,000000,25.3197,25.3197,24.287,25.3197,0,0
ALL_MV,D,20111118,000000,25.3197,25.3197,25.3197,25.3197,0,0
ALL_MV,D,20111121,000000,25.3197,25.3197,23.8951,23.8951,0,0
ALL_MV,D,20111122,000000,24.0905,24.9279,24.0905,24.9279,0,0
ALL_MV,D,20111123,000000,24.1523,24.6697,23.8951,24.5452,0,0
ALL_MV,D,20111124,000000,24.2242,24.2242,24.2242,24.2242,0,0
ALL_MV,D,20111125,000000,23.5732,24.1523,21.3113,24.1523,0,0
ALL_MV,D,20111128,000000,23.1195,24.1523,23.1195,24.1523,0,0
ALL_MV,D,20111129,000000,24.1523,24.1523,23.5732,23.966,0,0
ALL_MV,D,20111130,000000,24.1523,24.1523,23.2532,23.2532,0,0
ALL_MV,D,20111201,000000,23.1195,23.1195,23.1195,23.1195,0,0
ALL_MV,D,20111202,000000,24.1523,24.1523,22.6031,22.995,0,0
ALL_MV,D,20111205,000000,24.1523,24.1523,23.1195,23.1195,0,0
ALL_MV,D,20111206,000000,23.2532,24.1523,23.2532,24.1523,0,0
ALL_MV,D,20111207,000000,24.1523,24.4824,23.2532,24.4824,0,0
ALL_MV,D,20111208,000000,24.9279,24.9279,24.9279,24.9279,0,0
ALL_MV,D,20111209,000000,24.5452,24.5452,24.5452,24.5452,0,0
ALL_MV,D,20111212,000000,24.8034,24.8034,24.2242,24.2242,0,0
ALL_MV,D,20111213,000000,24.5452,24.5452,23.966,24.3487,0,0
ALL_MV,D,20111214,000000,24.5452,24.5452,24.0278,24.5452,0,0
ALL_MV,D,20111215,000000,24.5452,24.5452,24.5452,24.5452,0,0
ALL_MV,D,20111216,000000,24.5452,24.5452,23.966,24.5452,0,0
ALL_MV,D,20111219,000000,24.5452,24.5452,24.5452,24.5452,0,0
ALL_MV,D,20111220,000000,24.5452,24.5452,24.5452,24.5452,0,0
ALL_MV,D,20111221,000000,24.4105,24.4105,23.8951,24.2242,0,0
ALL_MV,D,20111222,000000,24.3487,24.4105,24.3487,24.4105,0,0
ALL_MV,D,20111223,000000,24.4105,24.4105,24.4105,24.4105,0,0
ALL_MV,D,20111227,000000,25.0615,25.0615,24.9988,24.9988,0,0
ALL_MV,D,20111228,000000,25.1861,25.7734,25.1861,25.7734,0,0
ALL_MV,D,20111229,000000,25.7734,25.7734,24.6697,25.1861,0,0
ALL_MV,D,20111230,000000,25.1233,27.5098,25.1233,27.5098,0,0
ALL_MV,D,20120102,000000,25.8361,25.8361,25.1861,25.1861,0,0
ALL_MV,D,20120103,000000,26.478,26.478,25.5152,25.5152,0,0
ALL_MV,D,20120104,000000,25.7734,25.7734,25.7734,25.7734,0,0
ALL_MV,D,20120105,000000,25.7734,25.7734,25.7734,25.7734,0,0
ALL_MV,D,20120109,000000,26.8071,26.8071,26.8071,26.8071,0,0
ALL_MV,D,20120110,000000,25.1861,26.478,25.1861,26.478,0,0
ALL_MV,D,20120111,000000,26.478,26.478,26.478,26.478,0,0
ALL_MV,D,20120112,000000,26.478,26.478,25.8361,26.478,0,0
ALL_MV,D,20120113,000000,26.478,26.478,26.478,26.478,0,0
ALL_MV,D,20120116,000000,26.8071,26.8071,26.478,26.478,0,0
ALL_MV,D,20120117,000000,26.6734,26.6734,26.6734,26.6734,0,0
ALL_MV,D,20120118,000000,26.478,26.6734,26.478,26.6734,0,0
ALL_MV,D,20120119,000000,26.7362,26.7362,25.7734,26.7362,0,0
ALL_MV,D,20120120,000000,26.7362,26.7362,26.7362,26.7362,0,0
ALL_MV,D,20120123,000000,26.7362,26.7362,26.7362,26.7362,0,0
ALL_MV,D,20120124,000000,26.7362,26.7362,26.7362,26.7362,0,0
ALL_MV,D,20120125,000000,26.7362,27.0653,26.7362,27.0653,0,0
ALL_MV,D,20120126,000000,27.0653,27.0653,27.0653,27.0653,0,0
ALL_MV,D,20120127,000000,27.0653,27.3863,26.478,27.3863,0,0
ALL_MV,D,20120130,000000,27.3863,27.3863,26.478,27.3863,0,0
