<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALL_PB,D,20111013,000000,3.95427,3.95427,3.90972,3.90972,0,0
ALL_PB,D,20111014,000000,3.83844,3.86518,3.66924,3.86518,0,0
ALL_PB,D,20111017,000000,3.73157,3.83844,3.54457,3.54457,0,0
ALL_PB,D,20111018,000000,3.51791,3.66924,3.41104,3.6069,0,0
ALL_PB,D,20111019,000000,3.80286,3.80286,3.66924,3.66924,0,0
ALL_PB,D,20111020,000000,3.53572,3.78505,3.53572,3.78505,0,0
ALL_PB,D,20111021,000000,3.6069,3.78505,3.59796,3.73157,0,0
ALL_PB,D,20111024,000000,3.78505,4.17686,3.78505,4.17686,0,0
ALL_PB,D,20111025,000000,3.98986,4.37282,3.80286,4.37282,0,0
ALL_PB,D,20111026,000000,4.13233,4.80926,4.11462,4.74684,0,0
ALL_PB,D,20111027,000000,4.58657,4.83591,4.56877,4.83591,0,0
ALL_PB,D,20111028,000000,4.86265,5.2812,4.6845,5.22781,0,0
ALL_PB,D,20111031,000000,5.19222,5.19222,5.00512,5.10305,0,0
ALL_PB,D,20111102,000000,4.94288,5.04081,4.94288,5.04081,0,0
ALL_PB,D,20111103,000000,5.04081,5.04081,5.04081,5.04081,0,0
ALL_PB,D,20111104,000000,5.04966,5.04966,5.00512,5.01406,0,0
ALL_PB,D,20111107,000000,5.03187,5.03187,5.00512,5.00512,0,0
ALL_PB,D,20111108,000000,5.01406,5.10305,4.94288,4.94288,0,0
ALL_PB,D,20111109,000000,4.80926,5.00512,4.78252,4.92499,0,0
ALL_PB,D,20111110,000000,4.92499,4.94288,4.85371,4.85371,0,0
ALL_PB,D,20111114,000000,4.98732,5.21002,4.37282,4.96059,0,0
ALL_PB,D,20111115,000000,4.96059,4.96059,4.8715,4.96059,0,0
ALL_PB,D,20111117,000000,4.96059,4.96059,4.76473,4.96059,0,0
ALL_PB,D,20111118,000000,4.96059,4.96059,4.96059,4.96059,0,0
ALL_PB,D,20111121,000000,4.96059,4.96059,4.6845,4.6845,0,0
ALL_PB,D,20111122,000000,4.72018,4.88939,4.72018,4.88939,0,0
ALL_PB,D,20111123,000000,4.73798,4.83591,2.92112,2.92112,0,0
ALL_PB,D,20111124,000000,2.88552,2.88552,2.88552,2.88552,0,0
ALL_PB,D,20111125,000000,2.80539,2.87657,2.53825,2.87657,0,0
ALL_PB,D,20111128,000000,2.7519,2.87657,2.7519,2.87657,0,0
ALL_PB,D,20111129,000000,2.87657,2.87657,2.80539,2.85887,0,0
ALL_PB,D,20111130,000000,2.87657,2.87657,2.7697,2.7697,0,0
ALL_PB,D,20111201,000000,2.7519,2.7519,2.7519,2.7519,0,0
ALL_PB,D,20111202,000000,2.87657,2.87657,2.69851,2.74296,0,0
ALL_PB,D,20111205,000000,2.87657,2.87657,2.7519,2.7519,0,0
ALL_PB,D,20111206,000000,2.7697,2.87657,2.7697,2.87657,0,0
ALL_PB,D,20111207,000000,2.87657,2.92112,2.7697,2.92112,0,0
ALL_PB,D,20111208,000000,2.97459,2.97459,2.97459,2.97459,0,0
ALL_PB,D,20111209,000000,2.92112,2.92112,2.92112,2.92112,0,0
ALL_PB,D,20111212,000000,2.9568,2.9568,2.88552,2.88552,0,0
ALL_PB,D,20111213,000000,2.92112,2.92112,2.85887,2.90332,0,0
ALL_PB,D,20111214,000000,2.92112,2.92112,2.86772,2.92112,0,0
ALL_PB,D,20111215,000000,2.92112,2.92112,2.92112,2.92112,0,0
ALL_PB,D,20111216,000000,2.92112,2.92112,2.85887,2.92112,0,0
ALL_PB,D,20111219,000000,2.92112,2.92112,2.92112,2.92112,0,0
ALL_PB,D,20111220,000000,2.92112,2.92112,2.92112,2.92112,0,0
ALL_PB,D,20111221,000000,2.91227,2.91227,2.84993,2.88552,0,0
ALL_PB,D,20111222,000000,2.90332,2.91227,2.90332,2.91227,0,0
ALL_PB,D,20111223,000000,2.91227,2.91227,2.91227,2.91227,0,0
ALL_PB,D,20111227,000000,2.98354,2.98354,2.98354,2.98354,0,0
ALL_PB,D,20111228,000000,3.00125,3.07253,3.00125,3.07253,0,0
ALL_PB,D,20111229,000000,3.07253,3.07253,2.939,3.00125,0,0
ALL_PB,D,20111230,000000,2.99248,3.27743,2.99248,3.27743,0,0
ALL_PB,D,20120102,000000,3.08147,3.08147,3.00125,3.00125,0,0
ALL_PB,D,20120103,000000,3.15266,3.15266,3.03693,3.03693,0,0
ALL_PB,D,20120104,000000,3.07253,3.07253,3.07253,3.07253,0,0
ALL_PB,D,20120105,000000,3.07253,3.07253,3.07253,3.07253,0,0
ALL_PB,D,20120109,000000,3.1972,3.1972,3.1972,3.1972,0,0
ALL_PB,D,20120110,000000,3.00125,3.15266,3.00125,3.15266,0,0
ALL_PB,D,20120111,000000,3.15266,3.15266,3.15266,3.15266,0,0
ALL_PB,D,20120112,000000,3.15266,3.15266,3.08147,3.15266,0,0
ALL_PB,D,20120113,000000,3.15266,3.15266,3.15266,3.15266,0,0
ALL_PB,D,20120116,000000,3.1972,3.1972,3.15266,3.15266,0,0
ALL_PB,D,20120117,000000,3.17941,3.17941,3.17941,3.17941,0,0
ALL_PB,D,20120118,000000,3.15266,3.17941,3.15266,3.17941,0,0
ALL_PB,D,20120119,000000,3.18835,3.18835,3.07253,3.18835,0,0
ALL_PB,D,20120120,000000,3.18835,3.18835,3.18835,3.18835,0,0
ALL_PB,D,20120123,000000,3.18835,3.18835,3.18835,3.18835,0,0
ALL_PB,D,20120124,000000,3.18835,3.18835,3.18835,3.18835,0,0
ALL_PB,D,20120125,000000,3.18835,3.22394,3.18835,3.22394,0,0
