<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALL_PE,D,20111013,000000,13.0924,13.0924,13.0924,13.0924,0,0
ALL_PE,D,20111014,000000,12.825,12.9135,12.2901,12.9135,0,0
ALL_PE,D,20111017,000000,12.468,12.825,11.8456,11.8456,0,0
ALL_PE,D,20111018,000000,11.7562,12.2901,11.3994,12.1122,0,0
ALL_PE,D,20111019,000000,12.7355,12.7355,12.2901,12.2901,0,0
ALL_PE,D,20111020,000000,11.8456,12.6469,11.8456,12.6469,0,0
ALL_PE,D,20111021,000000,12.0227,12.6469,12.0227,12.468,0,0
ALL_PE,D,20111024,000000,12.6469,13.9822,12.6469,13.9822,0,0
ALL_PE,D,20111025,000000,13.3589,14.6065,12.7355,14.6065,0,0
ALL_PE,D,20111026,000000,13.8042,16.1197,13.7148,15.8532,0,0
ALL_PE,D,20111027,000000,15.3183,16.2082,15.2289,16.2082,0,0
ALL_PE,D,20111028,000000,16.2977,17.7224,15.6743,17.5444,0,0
ALL_PE,D,20111031,000000,17.455,17.455,16.7431,17.0999,0,0
ALL_PE,D,20111102,000000,16.5651,16.921,16.5651,16.8325,0,0
ALL_PE,D,20111103,000000,16.8325,16.8325,16.8325,16.8325,0,0
ALL_PE,D,20111104,000000,16.8325,16.8325,16.7431,16.7431,0,0
ALL_PE,D,20111107,000000,16.8325,16.8325,16.7431,16.7431,0,0
ALL_PE,D,20111108,000000,16.7431,17.0999,16.5651,16.5651,0,0
ALL_PE,D,20111109,000000,16.1197,16.7431,16.0311,16.4756,0,0
ALL_PE,D,20111110,000000,16.4756,16.4756,16.2082,16.2082,0,0
ALL_PE,D,20111114,000000,16.6545,17.3673,14.6065,16.6545,0,0
ALL_PE,D,20111115,000000,16.6545,16.6545,16.3871,16.6545,0,0
ALL_PE,D,20111117,000000,16.6545,16.6545,15.9417,16.6545,0,0
ALL_PE,D,20111118,000000,16.6545,16.6545,16.6545,16.6545,0,0
ALL_PE,D,20111121,000000,16.6545,16.6545,15.6743,15.6743,0,0
ALL_PE,D,20111122,000000,15.7638,16.3871,15.7638,16.3871,0,0
ALL_PE,D,20111123,000000,15.8532,16.2082,11.2213,11.2213,0,0
ALL_PE,D,20111124,000000,11.0434,11.1328,11.0434,11.1328,0,0
ALL_PE,D,20111125,000000,10.8654,11.0434,9.79665,11.0434,0,0
ALL_PE,D,20111128,000000,10.5981,11.0434,10.5981,11.0434,0,0
ALL_PE,D,20111129,000000,11.0434,11.0434,10.776,10.9539,0,0
ALL_PE,D,20111130,000000,11.0434,11.0434,10.5981,10.6865,0,0
ALL_PE,D,20111201,000000,10.5981,10.5981,10.5981,10.5981,0,0
ALL_PE,D,20111202,000000,11.0434,11.0434,10.3315,10.5085,0,0
ALL_PE,D,20111205,000000,11.0434,11.0434,10.5981,10.5981,0,0
ALL_PE,D,20111206,000000,10.6865,11.0434,10.6865,11.0434,0,0
ALL_PE,D,20111207,000000,11.0434,11.2213,10.5981,11.2213,0,0
ALL_PE,D,20111208,000000,11.3994,11.3994,11.3994,11.3994,0,0
ALL_PE,D,20111209,000000,11.2213,11.2213,11.2213,11.2213,0,0
ALL_PE,D,20111212,000000,11.3108,11.3108,11.0434,11.1328,0,0
ALL_PE,D,20111213,000000,11.3108,11.3108,11.0434,11.1328,0,0
ALL_PE,D,20111214,000000,11.2213,11.2213,10.9539,11.2213,0,0
ALL_PE,D,20111215,000000,11.2213,11.2213,11.2213,11.2213,0,0
ALL_PE,D,20111216,000000,11.2213,11.2213,10.9539,11.2213,0,0
