<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALR_PB,D,20121214,000000,1.86894,1.86894,1.86894,1.86894,0,0
ALR_PB,D,20121217,000000,1.84286,1.88633,1.84286,1.87763,0,0
ALR_PB,D,20121218,000000,1.89502,1.9124,1.89502,1.9124,0,0
ALR_PB,D,20121219,000000,1.9124,1.9211,1.9124,1.9211,0,0
ALR_PB,D,20121220,000000,1.90371,1.9211,1.90371,1.9124,0,0
ALR_PB,D,20121221,000000,1.9124,1.9124,1.90371,1.9124,0,0
ALR_PB,D,20121227,000000,1.9124,1.94717,1.9124,1.93848,0,0
ALR_PB,D,20121228,000000,1.93848,1.94717,1.9124,1.9211,0,0
ALR_PB,D,20130102,000000,1.9211,1.96456,1.9211,1.96456,0,0
ALR_PB,D,20130103,000000,1.94717,1.99064,1.94717,1.99064,0,0
ALR_PB,D,20130104,000000,1.99064,2.01672,1.99064,2.01672,0,0
ALR_PB,D,20130107,000000,2.01672,2.5122,2.01672,2.5122,0,0
ALR_PB,D,20130108,000000,2.5122,2.5122,2.41658,2.43396,0,0
ALR_PB,D,20130109,000000,2.43396,2.46004,2.3905,2.46004,0,0
ALR_PB,D,20130110,000000,2.46004,2.47743,2.40789,2.45136,0,0
ALR_PB,D,20130111,000000,2.43396,2.44266,2.3992,2.44266,0,0
ALR_PB,D,20130114,000000,2.45136,2.45136,2.3992,2.40789,0,0
ALR_PB,D,20130115,000000,2.3992,2.3992,2.36442,2.38181,0,0
ALR_PB,D,20130116,000000,2.38181,2.41658,2.38181,2.3992,0,0
ALR_PB,D,20130117,000000,2.38181,2.45136,2.38181,2.44266,0,0
ALR_PB,D,20130118,000000,2.44266,2.49482,2.44266,2.47743,0,0
ALR_PB,D,20130121,000000,2.53828,2.65129,2.49482,2.65129,0,0
ALR_PB,D,20130122,000000,2.68605,2.94684,2.68605,2.77298,0,0
ALR_PB,D,20130123,000000,2.85992,2.8773,2.81645,2.85122,0,0
ALR_PB,D,20130124,000000,2.85122,2.85122,2.79037,2.81645,0,0
ALR_PB,D,20130125,000000,2.81645,2.8686,2.79906,2.83384,0,0
ALR_PB,D,20130128,000000,2.83384,2.89468,2.83384,2.8773,0,0
ALR_PB,D,20130129,000000,2.88599,2.88599,2.85992,2.8773,0,0
ALR_PB,D,20130130,000000,2.85992,2.8773,2.79906,2.80776,0,0
ALR_PB,D,20130131,000000,2.79906,2.79906,2.72083,2.72952,0,0
ALR_PB,D,20130201,000000,2.73821,2.7556,2.71213,2.7556,0,0
ALR_PB,D,20130204,000000,2.82514,2.82514,2.76429,2.78168,0,0
ALR_PB,D,20130205,000000,2.81645,2.81645,2.79906,2.79906,0,0
ALR_PB,D,20130206,000000,2.80776,2.81645,2.76429,2.77298,0,0
ALR_PB,D,20130207,000000,2.77298,2.77298,2.72952,2.7556,0,0
ALR_PB,D,20130208,000000,2.74691,2.78168,2.74691,2.78168,0,0
