<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC_MV,D,20070813,000000,128.681,128.681,128.681,128.681,0,0
AMC_MV,D,20070814,000000,127.799,127.799,127.799,127.799,0,0
AMC_MV,D,20070816,000000,120.708,120.708,120.708,120.708,0,0
AMC_MV,D,20070817,000000,119.069,119.069,119.069,119.069,0,0
AMC_MV,D,20070820,000000,123.122,123.122,123.122,123.122,0,0
AMC_MV,D,20070821,000000,122.909,122.909,122.909,122.909,0,0
AMC_MV,D,20070822,000000,123.96,123.96,123.96,123.96,0,0
AMC_MV,D,20070823,000000,124.004,124.004,124.004,124.004,0,0
AMC_MV,D,20070824,000000,124.467,124.467,124.467,124.467,0,0
AMC_MV,D,20070827,000000,127.862,127.862,127.862,127.862,0,0
AMC_MV,D,20070828,000000,127.862,127.862,127.862,127.862,0,0
AMC_MV,D,20070829,000000,126.098,126.098,126.098,126.098,0,0
AMC_MV,D,20070830,000000,124.281,124.281,124.281,124.281,0,0
AMC_MV,D,20070831,000000,124.503,124.503,124.503,124.503,0,0
AMC_MV,D,20070903,000000,128.406,128.406,128.406,128.406,0,0
AMC_MV,D,20070904,000000,125.109,125.109,125.109,125.109,0,0
AMC_MV,D,20070905,000000,124.556,124.556,124.556,124.556,0,0
AMC_MV,D,20070906,000000,126.222,126.222,126.222,126.222,0,0
AMC_MV,D,20070907,000000,126.036,126.036,126.036,126.036,0,0
AMC_MV,D,20070910,000000,120.708,120.708,120.708,120.708,0,0
AMC_MV,D,20070911,000000,124.556,124.556,124.556,124.556,0,0
AMC_MV,D,20070912,000000,125.929,125.929,125.929,125.929,0,0
AMC_MV,D,20070913,000000,125.653,125.653,125.653,125.653,0,0
AMC_MV,D,20070914,000000,128.895,128.895,128.895,128.895,0,0
AMC_MV,D,20070917,000000,128.406,128.406,128.406,128.406,0,0
AMC_MV,D,20070918,000000,124.13,124.13,124.13,124.13,0,0
AMC_MV,D,20070919,000000,124.004,124.004,124.004,124.004,0,0
AMC_MV,D,20070920,000000,126.222,126.222,126.222,126.222,0,0
AMC_MV,D,20070921,000000,126.49,126.49,126.49,126.49,0,0
AMC_MV,D,20070924,000000,125.884,125.884,125.884,125.884,0,0
AMC_MV,D,20070925,000000,125.653,125.653,125.653,125.653,0,0
AMC_MV,D,20070926,000000,126.222,126.222,126.222,126.222,0,0
AMC_MV,D,20070927,000000,127.3,127.3,127.3,127.3,0,0
AMC_MV,D,20070928,000000,126.222,126.222,126.222,126.222,0,0
AMC_MV,D,20071001,000000,125.056,125.056,125.056,125.056,0,0
AMC_MV,D,20071002,000000,124.948,124.948,124.948,124.948,0,0
AMC_MV,D,20071003,000000,122.641,122.641,122.641,122.641,0,0
AMC_MV,D,20071004,000000,120.183,120.183,120.183,120.183,0,0
AMC_MV,D,20071005,000000,122.365,122.365,122.365,122.365,0,0
AMC_MV,D,20071008,000000,121.822,121.822,121.822,121.822,0,0
AMC_MV,D,20071009,000000,123.737,123.737,123.737,123.737,0,0
AMC_MV,D,20071010,000000,124.281,124.281,124.281,124.281,0,0
AMC_MV,D,20071011,000000,126.222,126.222,126.222,126.222,0,0
AMC_MV,D,20071012,000000,126.49,126.49,126.49,126.49,0,0
AMC_MV,D,20071015,000000,126.747,126.747,126.747,126.747,0,0
AMC_MV,D,20071016,000000,126.222,126.222,126.222,126.222,0,0
AMC_MV,D,20071017,000000,121.928,121.928,121.928,121.928,0,0
AMC_MV,D,20071018,000000,127.586,127.586,127.586,127.586,0,0
AMC_MV,D,20071019,000000,126.713,126.713,126.713,126.713,0,0
AMC_MV,D,20071022,000000,126.989,126.989,126.989,126.989,0,0
AMC_MV,D,20071023,000000,126.222,126.222,126.222,126.222,0,0
AMC_MV,D,20071024,000000,126.222,126.222,126.222,126.222,0,0
AMC_MV,D,20071025,000000,126.222,126.222,126.222,126.222,0,0
AMC_MV,D,20071026,000000,124.004,124.004,124.004,124.004,0,0
AMC_MV,D,20071029,000000,121.822,121.822,121.822,121.822,0,0
AMC_MV,D,20071030,000000,124.281,124.281,124.281,124.281,0,0
AMC_MV,D,20071031,000000,124.556,124.556,124.556,124.556,0,0
AMC_MV,D,20071102,000000,122.365,122.365,122.365,122.365,0,0
