<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC_PE,D,20071106,000000,18.7774,18.7774,18.7774,18.7774,0,0
AMC_PE,D,20071107,000000,18.7774,18.7774,18.7774,18.7774,0,0
AMC_PE,D,20071108,000000,18.4015,18.4015,18.4015,18.4015,0,0
AMC_PE,D,20071109,000000,18.1503,19.344,18.0239,19.344,0,0
AMC_PE,D,20071112,000000,19.2808,19.344,18.6528,19.2176,0,0
AMC_PE,D,20071113,000000,19.2808,19.2808,18.7151,19.092,0,0
AMC_PE,D,20071114,000000,19.344,19.344,19.0278,19.344,0,0
AMC_PE,D,20071115,000000,19.344,19.344,17.5856,17.7112,0,0
AMC_PE,D,20071116,000000,18.6528,18.6528,17.207,17.7727,0,0
AMC_PE,D,20071119,000000,17.7727,17.7727,16.7671,17.7727,0,0
AMC_PE,D,20080218,000000,11.3048,11.3048,11.3048,11.3048,0,0
AMC_PE,D,20080219,000000,11.3048,11.6183,10.9903,11.3048,0,0
AMC_PE,D,20080220,000000,11.3048,11.3048,10.9903,11.0527,0,0
AMC_PE,D,20080221,000000,11.0527,11.6183,11.0527,11.3048,0,0
AMC_PE,D,20080222,000000,11.3671,11.5551,11.0527,11.115,0,0
AMC_PE,D,20080225,000000,11.3048,11.3671,11.115,11.1792,0,0
AMC_PE,D,20080226,000000,11.115,11.2415,10.6127,11.115,0,0
AMC_PE,D,20080227,000000,11.0527,11.0527,10.5512,10.5512,0,0
AMC_PE,D,20080228,000000,10.4247,10.7391,10.4247,10.6127,0,0
AMC_PE,D,20080229,000000,10.2376,10.3,9.85993,10.3,0,0
AMC_PE,D,20080303,000000,10.1103,17.3968,9.7967,17.3968,0,0
AMC_PE,D,20080304,000000,17.207,17.5856,16.9567,17.5856,0,0
AMC_PE,D,20080305,000000,17.5856,17.5856,17.272,17.5856,0,0
AMC_PE,D,20080306,000000,17.4582,18.0239,17.4582,17.8983,0,0
AMC_PE,D,20080307,000000,17.3326,17.8983,17.3326,17.8983,0,0
AMC_PE,D,20080310,000000,17.8983,18.0862,17.7112,18.0239,0,0
AMC_PE,D,20080311,000000,18.2109,18.7774,18.0239,18.6528,0,0
AMC_PE,D,20080312,000000,18.7151,18.8407,18.1503,18.5895,0,0
AMC_PE,D,20080313,000000,18.5262,18.5895,18.0239,18.0239,0,0
AMC_PE,D,20080314,000000,18.2109,18.4639,17.9606,18.4639,0,0
AMC_PE,D,20080317,000000,18.4015,18.4015,17.9606,18.2759,0,0
AMC_PE,D,20080318,000000,18.2759,19.0278,18.2759,19.0278,0,0
AMC_PE,D,20080319,000000,19.1534,19.5934,19.0278,19.2808,0,0
AMC_PE,D,20080320,000000,19.4054,19.5934,19.1534,19.1534,0,0
AMC_PE,D,20080325,000000,19.6567,19.9079,19.6567,19.8463,0,0
AMC_PE,D,20080326,000000,20.0967,20.0967,19.5329,19.7823,0,0
AMC_PE,D,20080327,000000,19.8463,20.0335,19.6567,19.8463,0,0
AMC_PE,D,20080328,000000,19.6567,19.719,19.4054,19.6567,0,0
AMC_PE,D,20080331,000000,19.5329,19.5329,19.5329,19.5329,0,0
AMC_PE,D,20080401,000000,19.344,19.344,19.092,19.092,0,0
AMC_PE,D,20080402,000000,19.344,19.344,19.092,19.2808,0,0
AMC_PE,D,20080403,000000,19.1534,19.2176,18.8407,19.092,0,0
AMC_PE,D,20080404,000000,18.8407,19.0278,18.8407,19.0278,0,0
AMC_PE,D,20080407,000000,19.0278,19.0278,18.2109,18.9681,0,0
AMC_PE,D,20080408,000000,18.4639,18.9681,18.1503,18.5895,0,0
AMC_PE,D,20080409,000000,18.3375,18.6528,18.3375,18.5895,0,0
AMC_PE,D,20080410,000000,18.7151,18.8407,18.4639,18.7151,0,0
AMC_PE,D,20080411,000000,18.6528,18.6528,18.2759,18.5262,0,0
AMC_PE,D,20080414,000000,18.7774,18.7774,18.2759,18.3375,0,0
AMC_PE,D,20080415,000000,17.9606,17.9606,17.0814,17.3968,0,0
AMC_PE,D,20080416,000000,17.3968,17.3968,16.9567,17.3326,0,0
AMC_PE,D,20080417,000000,17.1447,17.1447,16.7065,16.7671,0,0
AMC_PE,D,20080418,000000,16.4543,16.9567,16.4543,16.8302,0,0
AMC_PE,D,20080421,000000,16.5167,17.0209,16.2031,16.2646,0,0
AMC_PE,D,20080422,000000,16.2031,16.7065,16.2031,16.2031,0,0
AMC_PE,D,20080423,000000,16.3279,16.3279,15.951,16.14,0,0
AMC_PE,D,20080424,000000,16.3279,16.5791,16.2031,16.4543,0,0
AMC_PE,D,20080425,000000,16.5791,16.5791,16.3279,16.5167,0,0
AMC_PE,D,20080428,000000,16.7065,16.7671,16.5167,16.7671,0,0
AMC_PE,D,20080429,000000,16.7671,16.7671,16.5167,16.6432,0,0
AMC_PE,D,20080430,000000,16.6432,16.8302,16.6432,16.8302,0,0
AMC_PE,D,20080505,000000,17.0814,17.5856,17.0814,17.5215,0,0
AMC_PE,D,20080506,000000,18.4639,18.4639,17.8983,18.2109,0,0
AMC_PE,D,20080507,000000,18.2109,18.7151,10.1103,10.1103,0,0
AMC_PE,D,20080508,000000,9.85993,10.0479,9.7967,9.7967,0,0
AMC_PE,D,20080509,000000,9.67206,9.9864,9.67206,9.85993,0,0
AMC_PE,D,20080512,000000,9.92143,10.1103,9.85993,9.9864,0,0
AMC_PE,D,20080513,000000,9.9864,9.9864,9.60873,9.73346,0,0
AMC_PE,D,20080514,000000,9.73346,9.92143,9.67206,9.85993,0,0
