<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANR_PE,D,20210108,000000,71.6,71.6,71.6,71.6,0,0
ANR_PE,D,20210111,000000,80.2,80.2,71.7,71.7,0,0
ANR_PE,D,20210112,000000,71.9,72.6,70.8,71.7,0,0
ANR_PE,D,20210113,000000,71.9,71.9,69.9,71.5,0,0
ANR_PE,D,20210114,000000,69.5,70,67.3,68.4,0,0
ANR_PE,D,20210115,000000,69.2,70.4,68.4,68.7,0,0
ANR_PE,D,20210118,000000,68.4,68.4,65.1,65.8,0,0
ANR_PE,D,20210119,000000,65.8,65.8,62.9,63.7,0,0
ANR_PE,D,20210120,000000,62.9,63.4,62.3,62.9,0,0
ANR_PE,D,20210121,000000,63.1,66.2,63.1,64.6,0,0
ANR_PE,D,20210122,000000,65.6,65.8,63.8,65.6,0,0
ANR_PE,D,20210125,000000,66.2,66.9,64,64.4,0,0
ANR_PE,D,20210126,000000,66.1,66.1,64,65.1,0,0
ANR_PE,D,20210127,000000,66.2,67.3,62.5,63.1,0,0
ANR_PE,D,20210128,000000,66.6,66.6,62.7,64.9,0,0
ANR_PE,D,20210129,000000,64.9,65.5,62,63.1,0,0
ANR_PE,D,20210201,000000,62.9,63.7,62.4,63.1,0,0
ANR_PE,D,20210202,000000,64,64,62.9,63.1,0,0
ANR_PE,D,20210203,000000,63.1,63.8,62.9,62.9,0,0
ANR_PE,D,20210204,000000,62.9,66.6,62.9,64.5,0,0
ANR_PE,D,20210205,000000,65.9,66,64.5,66,0,0
ANR_PE,D,20210208,000000,66,66.9,65.8,66.9,0,0
ANR_PE,D,20210209,000000,69.4,73.5,69.4,73.5,0,0
ANR_PE,D,20210210,000000,75.9,79.2,75.4,79.2,0,0
ANR_PE,D,20210211,000000,79.6,86.1,79.4,83.2,0,0
ANR_PE,D,20210212,000000,83.2,85.6,81,81.6,0,0
ANR_PE,D,20210215,000000,85.6,85.6,81.6,82.5,0,0
ANR_PE,D,20210216,000000,82.5,82.5,80.7,80.8,0,0
ANR_PE,D,20210217,000000,81.7,81.7,79.9,79.9,0,0
ANR_PE,D,20210218,000000,80.8,80.8,78.1,78.4,0,0
ANR_PE,D,20210219,000000,80.2,80.2,78.4,79.9,0,0
ANR_PE,D,20210222,000000,82.3,82.3,80.1,81.3,0,0
ANR_PE,D,20210223,000000,81.6,81.6,80.1,81.2,0,0
ANR_PE,D,20210224,000000,81.2,81.2,76,77.2,0,0
ANR_PE,D,20210225,000000,77.2,77.2,75,76,0,0
ANR_PE,D,20210226,000000,73.7,82.5,72.6,82.5,0,0
ANR_PE,D,20210301,000000,84.1,84.1,81.7,83.3,0,0
ANR_PE,D,20210302,000000,84.7,85.1,83.3,84.5,0,0
ANR_PE,D,20210303,000000,85.2,87.7,84.5,85.9,0,0
ANR_PE,D,20210304,000000,86.1,87,86.1,86.7,0,0
ANR_PE,D,20210305,000000,86.7,86.7,85.8,86.5,0,0
ANR_PE,D,20210308,000000,86.8,86.8,85,85.3,0,0
ANR_PE,D,20210309,000000,85.3,85.3,81.6,81.8,0,0
ANR_PE,D,20210310,000000,82.3,82.3,80.8,81.7,0,0
ANR_PE,D,20210311,000000,81.7,81.7,80.9,81.2,0,0
ANR_PE,D,20210312,000000,81.1,82.2,80.8,81.1,0,0
ANR_PE,D,20210315,000000,81.6,82.8,81.6,82.1,0,0
ANR_PE,D,20210316,000000,82.2,82.2,80.9,81.6,0,0
ANR_PE,D,20210317,000000,81.6,82.2,79.4,81.1,0,0
ANR_PE,D,20210318,000000,81.2,81.2,80.3,80.8,0,0
ANR_PE,D,20210319,000000,81.5,84.3,81.5,84,0,0
ANR_PE,D,20210322,000000,84,85.4,84,84.9,0,0
ANR_PE,D,20210323,000000,85.2,85.2,82.8,84.8,0,0
ANR_PE,D,20210324,000000,85,85,81.6,82.3,0,0
ANR_PE,D,20210325,000000,82.3,83.9,81.8,81.8,0,0
ANR_PE,D,20210326,000000,81.8,83,81.8,83,0,0
ANR_PE,D,20210329,000000,82.1,83.1,81.8,83,0,0
ANR_PE,D,20210330,000000,83,84,81.9,83.5,0,0
ANR_PE,D,20210331,000000,84,84,81.8,83.5,0,0
ANR_PE,D,20210401,000000,83.5,83.5,82,83.5,0,0
ANR_PE,D,20210406,000000,84,84,82.8,84,0,0
ANR_PE,D,20210407,000000,86.8,87.9,86.1,86.6,0,0
ANR_PE,D,20210408,000000,87.5,88.9,87.5,87.8,0,0
ANR_PE,D,20210409,000000,87.7,87.7,86.5,86.7,0,0
ANR_PE,D,20210412,000000,88,89.7,88,89,0,0
ANR_PE,D,20210413,000000,87.8,89.2,87.5,87.5,0,0
ANR_PE,D,20210414,000000,87.7,88.5,86.5,86.6,0,0
ANR_PE,D,20210415,000000,86.5,87.7,86.5,87.5,0,0
ANR_PE,D,20210416,000000,86.9,87,85.7,86.6,0,0
ANR_PE,D,20210419,000000,87,87.1,83,85.7,0,0
ANR_PE,D,20210420,000000,85.3,85.3,84.3,84.4,0,0
ANR_PE,D,20210421,000000,84.3,84.3,82.3,84.3,0,0
ANR_PE,D,20210422,000000,83.1,86.5,83.1,85.3,0,0
ANR_PE,D,20210423,000000,84.1,87.3,84.1,86.7,0,0
ANR_PE,D,20210426,000000,87.5,87.5,84.9,86.5,0,0
ANR_PE,D,20210427,000000,86.8,87.4,85.2,86.5,0,0
ANR_PE,D,20210428,000000,86.5,86.5,69.7,69.7,0,0
ANR_PE,D,20210429,000000,70.4,70.4,68.7,69.2,0,0
ANR_PE,D,20210430,000000,69,69.4,69,69.2,0,0
ANR_PE,D,20210504,000000,69.1,69.1,68,68.8,0,0
ANR_PE,D,20210505,000000,68.8,69,68.4,68.7,0,0
ANR_PE,D,20210506,000000,67.8,68.1,64.4,64.4,0,0
ANR_PE,D,20210507,000000,64.4,65.6,64.4,65.4,0,0
ANR_PE,D,20210510,000000,65.6,65.7,63.8,65.1,0,0
ANR_PE,D,20210511,000000,65.1,65.4,64.6,65.4,0,0
ANR_PE,D,20210512,000000,64.9,64.9,63.8,64,0,0
ANR_PE,D,20210513,000000,64.4,64.4,62.9,63.4,0,0
ANR_PE,D,20210514,000000,62.8,64,62.8,63,0,0
ANR_PE,D,20210517,000000,61.7,63.2,61.7,63,0,0
ANR_PE,D,20210518,000000,63,63.4,62.8,63,0,0
ANR_PE,D,20210519,000000,63.4,63.6,62.3,62.4,0,0
ANR_PE,D,20210520,000000,62.4,64.1,62.4,63.6,0,0
ANR_PE,D,20210521,000000,64,64.4,63.8,64.4,0,0
ANR_PE,D,20210524,000000,64.4,65.2,64.4,65.2,0,0
ANR_PE,D,20210525,000000,65.4,66,65.4,65.8,0,0
ANR_PE,D,20210526,000000,65.8,66,64.4,64.4,0,0
