<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APR_MV,D,20160606,000000,214.039,214.039,214.039,214.039,0,0
APR_MV,D,20160607,000000,218.526,224.826,214.039,215.831,0,0
APR_MV,D,20160608,000000,224.826,224.826,216.723,223.925,0,0
APR_MV,D,20160609,000000,232.919,233.811,218.526,218.526,0,0
APR_MV,D,20160610,000000,224.826,224.826,217.626,220.329,0,0
APR_MV,D,20160613,000000,220.329,229.314,220.329,227.521,0,0
APR_MV,D,20160614,000000,229.314,232.919,228.422,232.919,0,0
APR_MV,D,20160615,000000,251.8,251.8,235.613,237.417,0,0
APR_MV,D,20160616,000000,259.894,259.894,243.708,243.708,0,0
APR_MV,D,20160617,000000,243.708,249.096,237.417,249.096,0,0
APR_MV,D,20160620,000000,268.889,269.79,253.593,254.504,0,0
APR_MV,D,20160621,000000,268.889,268.889,253.593,264.391,0,0
APR_MV,D,20160622,000000,264.391,286.876,264.391,282.38,0,0
APR_MV,D,20160623,000000,285.977,287.769,269.79,274.287,0,0
APR_MV,D,20160624,000000,251.8,259.894,245.51,259.894,0,0
APR_MV,D,20160627,000000,267.996,268.889,260.794,267.996,0,0
APR_MV,D,20160628,000000,267.996,267.996,256.297,261.686,0,0
APR_MV,D,20160629,000000,286.876,286.876,265.292,279.676,0,0
APR_MV,D,20160630,000000,285.074,285.074,275.178,279.676,0,0
APR_MV,D,20160701,000000,283.271,283.271,270.68,277.882,0,0
APR_MV,D,20160704,000000,272.484,276.981,260.794,266.184,0,0
APR_MV,D,20160705,000000,269.79,269.79,261.686,265.292,0,0
APR_MV,D,20160706,000000,268.889,268.889,256.297,259.894,0,0
APR_MV,D,20160707,000000,263.498,263.498,255.397,259.002,0,0
APR_MV,D,20160708,000000,259.002,332.441,256.297,332.441,0,0
APR_MV,D,20160711,000000,332.441,351.467,332.441,350.343,0,0
APR_MV,D,20160712,000000,349.229,358.185,346.99,353.706,0,0
APR_MV,D,20160713,000000,355.946,369.369,349.229,369.369,0,0
APR_MV,D,20160714,000000,369.369,395.123,369.369,389.529,0,0
APR_MV,D,20160715,000000,390.654,391.768,378.335,381.698,0,0
APR_MV,D,20160718,000000,381.698,387.29,377.211,386.176,0,0
APR_MV,D,20160719,000000,387.29,387.29,378.335,378.335,0,0
APR_MV,D,20160720,000000,378.335,385.051,371.608,385.051,0,0
APR_MV,D,20160721,000000,380.574,383.937,370.494,377.211,0,0
APR_MV,D,20160722,000000,377.211,385.051,374.972,383.937,0,0
APR_MV,D,20160725,000000,381.698,382.812,374.972,382.812,0,0
APR_MV,D,20160726,000000,382.812,382.812,377.211,380.574,0,0
APR_MV,D,20160727,000000,380.574,380.574,374.972,379.459,0,0
APR_MV,D,20160728,000000,374.972,380.574,374.972,380.574,0,0
APR_MV,D,20160729,000000,380.574,394.008,376.087,391.768,0,0
APR_MV,D,20160801,000000,389.529,399.601,389.529,396.248,0,0
