<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH_MV,D,20160509,000000,148.996,148.996,148.996,148.996,0,0
ARH_MV,D,20160510,000000,148.996,149.689,148.996,149.689,0,0
ARH_MV,D,20160511,000000,149.186,153.957,149.186,153.957,0,0
ARH_MV,D,20160512,000000,154.353,154.353,151.979,153.264,0,0
ARH_MV,D,20160513,000000,152.967,152.967,152.967,152.967,0,0
ARH_MV,D,20160516,000000,153.569,153.865,153.166,153.865,0,0
ARH_MV,D,20160517,000000,153.957,153.957,153.47,153.47,0,0
ARH_MV,D,20160518,000000,152.967,152.967,152.967,152.967,0,0
ARH_MV,D,20160519,000000,151.979,153.957,151.979,153.957,0,0
ARH_MV,D,20160520,000000,154.862,154.954,154.862,154.954,0,0
ARH_MV,D,20160523,000000,152.967,152.967,151.979,151.979,0,0
ARH_MV,D,20160524,000000,153.957,154.954,153.957,154.055,0,0
ARH_MV,D,20160525,000000,154.954,154.954,154.954,154.954,0,0
ARH_MV,D,20160530,000000,153.957,153.957,152.071,153.957,0,0
ARH_MV,D,20160531,000000,153.47,153.957,151.979,153.957,0,0
ARH_MV,D,20160601,000000,152.071,152.071,149.392,149.392,0,0
ARH_MV,D,20160602,000000,149.095,154.954,148.996,154.954,0,0
ARH_MV,D,20160603,000000,154.954,154.954,154.954,154.954,0,0
ARH_MV,D,20160606,000000,154.954,154.954,150.989,150.989,0,0
ARH_MV,D,20160607,000000,150.776,154.757,150.776,154.757,0,0
ARH_MV,D,20160608,000000,150.487,151.979,150.487,151.979,0,0
ARH_MV,D,20160609,000000,151.979,151.979,151.979,151.979,0,0
ARH_MV,D,20160610,000000,150.989,150.989,150.989,150.989,0,0
ARH_MV,D,20160614,000000,151.08,151.08,149.095,149.095,0,0
ARH_MV,D,20160615,000000,149.095,149.095,148.996,148.996,0,0
ARH_MV,D,20160616,000000,148.006,148.006,146.012,146.012,0,0
ARH_MV,D,20160620,000000,146.012,146.012,146.012,146.012,0,0
ARH_MV,D,20160621,000000,142.141,142.141,142.141,142.141,0,0
ARH_MV,D,20160622,000000,145.815,147.793,145.815,147.793,0,0
ARH_MV,D,20160624,000000,142.141,143.929,134.099,143.435,0,0
ARH_MV,D,20160627,000000,148.525,148.525,147.475,148.525,0,0
ARH_MV,D,20160628,000000,148.525,148.525,148.525,148.525,0,0
ARH_MV,D,20160629,000000,147.475,153.729,147.475,153.729,0,0
ARH_MV,D,20160630,000000,150.648,150.648,150.648,150.648,0,0
ARH_MV,D,20160701,000000,149.575,149.689,149.575,149.689,0,0
ARH_MV,D,20160704,000000,150.648,150.648,146.411,146.411,0,0
ARH_MV,D,20160705,000000,147.475,147.475,141.623,141.623,0,0
ARH_MV,D,20160706,000000,141.091,141.091,141.091,141.091,0,0
ARH_MV,D,20160707,000000,141.091,142.156,141.091,142.156,0,0
ARH_MV,D,20160712,000000,143.113,143.213,143.113,143.213,0,0
ARH_MV,D,20160713,000000,142.156,142.156,142.156,142.156,0,0
ARH_MV,D,20160714,000000,140.131,140.131,140.131,140.131,0,0
ARH_MV,D,20160715,000000,143.755,143.755,143.755,143.755,0,0
ARH_MV,D,20160718,000000,143.755,143.755,141.304,141.304,0,0
ARH_MV,D,20160719,000000,141.091,141.091,140.664,140.664,0,0
ARH_MV,D,20160720,000000,140.992,144.18,140.992,144.18,0,0
ARH_MV,D,20160721,000000,144.18,144.18,140.131,140.459,0,0
ARH_MV,D,20160722,000000,146.08,146.411,146.08,146.411,0,0
ARH_MV,D,20160725,000000,148.525,153.828,143.329,153.828,0,0
ARH_MV,D,20160726,000000,153.828,155.624,153.828,155.624,0,0
ARH_MV,D,20160727,000000,155.943,155.943,155.624,155.624,0,0
ARH_MV,D,20160728,000000,153.828,153.828,153.828,153.828,0,0
ARH_MV,D,20160729,000000,153.729,158.606,153.729,158.606,0,0
ARH_MV,D,20160801,000000,153.196,153.196,153.196,153.196,0,0
ARH_MV,D,20160804,000000,157.541,157.541,157.541,157.541,0,0
ARH_MV,D,20160808,000000,153.295,153.295,153.295,153.295,0,0
ARH_MV,D,20160809,000000,153.729,153.729,153.729,153.729,0,0
ARH_MV,D,20160810,000000,153.729,153.729,153.196,153.196,0,0
ARH_MV,D,20160811,000000,153.828,153.828,153.828,153.828,0,0
ARH_MV,D,20160812,000000,154.36,159.017,154.36,159.017,0,0
ARH_MV,D,20160816,000000,154.035,159.017,153.196,159.017,0,0
ARH_MV,D,20160817,000000,153.295,159.017,153.295,159.017,0,0
ARH_MV,D,20160818,000000,159.017,159.017,159.017,159.017,0,0
ARH_MV,D,20160824,000000,157.017,157.017,152.877,156.475,0,0
ARH_MV,D,20160829,000000,152.768,155.943,152.768,155.943,0,0
