<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH_PB,D,20160509,000000,0.511998,0.511998,0.511998,0.511998,0,0
ARH_PB,D,20160510,000000,0.511998,0.516412,0.511998,0.516412,0,0
ARH_PB,D,20160511,000000,0.511998,0.529118,0.511998,0.529118,0,0
ARH_PB,D,20160512,000000,0.533379,0.533379,0.524781,0.529118,0,0
ARH_PB,D,20160513,000000,0.524781,0.524781,0.524781,0.524781,0,0
ARH_PB,D,20160516,000000,0.529118,0.529118,0.529118,0.529118,0,0
ARH_PB,D,20160517,000000,0.529118,0.529118,0.529118,0.529118,0,0
ARH_PB,D,20160518,000000,0.524781,0.524781,0.524781,0.524781,0,0
ARH_PB,D,20160519,000000,0.524781,0.529118,0.524781,0.529118,0,0
ARH_PB,D,20160520,000000,0.533379,0.533379,0.533379,0.533379,0,0
ARH_PB,D,20160523,000000,0.529118,0.529118,0.524781,0.524781,0,0
ARH_PB,D,20160524,000000,0.533379,0.533379,0.533379,0.533379,0,0
ARH_PB,D,20160525,000000,0.533379,0.533379,0.533379,0.533379,0,0
ARH_PB,D,20160530,000000,0.533379,0.533379,0.524781,0.533379,0,0
ARH_PB,D,20160531,000000,0.529118,0.533379,0.524781,0.533379,0,0
ARH_PB,D,20160601,000000,0.524781,0.524781,0.516412,0.516412,0,0
ARH_PB,D,20160602,000000,0.516412,0.533379,0.516412,0.533379,0,0
ARH_PB,D,20160603,000000,0.533379,0.533379,0.533379,0.533379,0,0
ARH_PB,D,20160606,000000,0.533379,0.533379,0.520597,0.520597,0,0
ARH_PB,D,20160607,000000,0.520597,0.533379,0.520597,0.533379,0,0
ARH_PB,D,20160608,000000,0.520597,0.524781,0.520597,0.524781,0,0
ARH_PB,D,20160609,000000,0.524781,0.524781,0.524781,0.524781,0,0
ARH_PB,D,20160610,000000,0.520597,0.520597,0.520597,0.520597,0,0
ARH_PB,D,20160614,000000,0.520597,0.520597,0.516412,0.516412,0,0
ARH_PB,D,20160615,000000,0.516412,0.516412,0.516412,0.516412,0,0
ARH_PB,D,20160616,000000,0.511998,0.511998,0.503552,0.503552,0,0
ARH_PB,D,20160620,000000,0.503552,0.503552,0.503552,0.503552,0,0
ARH_PB,D,20160621,000000,0.49077,0.49077,0.49077,0.49077,0,0
ARH_PB,D,20160622,000000,0.503552,0.511998,0.503552,0.511998,0,0
ARH_PB,D,20160624,000000,0.49077,0.499292,0.465128,0.494955,0,0
ARH_PB,D,20160627,000000,0.514966,0.514966,0.5104,0.514966,0,0
ARH_PB,D,20160628,000000,0.514966,0.514966,0.514966,0.514966,0,0
ARH_PB,D,20160629,000000,0.5104,0.533226,0.5104,0.533226,0,0
ARH_PB,D,20160630,000000,0.519532,0.519532,0.519532,0.519532,0,0
ARH_PB,D,20160701,000000,0.514966,0.514966,0.514966,0.514966,0,0
ARH_PB,D,20160704,000000,0.519532,0.519532,0.505835,0.505835,0,0
ARH_PB,D,20160705,000000,0.5104,0.5104,0.48765,0.48765,0,0
ARH_PB,D,20160706,000000,0.48765,0.48765,0.48765,0.48765,0,0
ARH_PB,D,20160707,000000,0.48765,0.49214,0.48765,0.49214,0,0
ARH_PB,D,20160712,000000,0.49214,0.496781,0.49214,0.496781,0,0
ARH_PB,D,20160713,000000,0.49214,0.49214,0.49214,0.49214,0,0
ARH_PB,D,20160714,000000,0.483084,0.483084,0.483084,0.483084,0,0
ARH_PB,D,20160715,000000,0.496781,0.496781,0.496781,0.496781,0,0
ARH_PB,D,20160718,000000,0.496781,0.496781,0.48765,0.48765,0,0
ARH_PB,D,20160719,000000,0.48765,0.48765,0.48765,0.48765,0,0
ARH_PB,D,20160720,000000,0.48765,0.496781,0.48765,0.496781,0,0
ARH_PB,D,20160721,000000,0.496781,0.496781,0.483084,0.483084,0,0
ARH_PB,D,20160722,000000,0.505835,0.505835,0.505835,0.505835,0,0
ARH_PB,D,20160725,000000,0.514966,0.533226,0.496781,0.533226,0,0
ARH_PB,D,20160726,000000,0.533226,0.537793,0.533226,0.537793,0,0
ARH_PB,D,20160727,000000,0.537793,0.537793,0.537793,0.537793,0,0
ARH_PB,D,20160728,000000,0.533226,0.533226,0.533226,0.533226,0,0
ARH_PB,D,20160729,000000,0.533226,0.546923,0.533226,0.546923,0,0
ARH_PB,D,20160801,000000,0.528661,0.528661,0.528661,0.528661,0,0
ARH_PB,D,20160804,000000,0.542281,0.542281,0.542281,0.542281,0,0
ARH_PB,D,20160808,000000,0.528661,0.528661,0.528661,0.528661,0,0
ARH_PB,D,20160809,000000,0.533226,0.533226,0.533226,0.533226,0,0
ARH_PB,D,20160810,000000,0.533226,0.533226,0.528661,0.528661,0,0
ARH_PB,D,20160811,000000,0.533226,0.533226,0.533226,0.533226,0,0
ARH_PB,D,20160812,000000,0.533226,0.551412,0.533226,0.551412,0,0
ARH_PB,D,20160816,000000,0.533226,0.551412,0.528661,0.551412,0,0
ARH_PB,D,20160817,000000,0.528661,0.551412,0.528661,0.551412,0,0
ARH_PB,D,20160818,000000,0.551412,0.551412,0.551412,0.551412,0,0
ARH_PB,D,20160824,000000,0.542281,0.542281,0.528661,0.542281,0,0
ARH_PB,D,20160829,000000,0.528661,0.537793,0.528661,0.537793,0,0
ARH_PB,D,20160830,000000,0.528661,0.528661,0.528661,0.528661,0,0
ARH_PB,D,20160831,000000,0.537793,0.551412,0.533226,0.546923,0,0
ARH_PB,D,20160901,000000,0.546923,0.546923,0.546923,0.546923,0,0
ARH_PB,D,20160902,000000,0.546923,0.546923,0.528661,0.546923,0,0
ARH_PB,D,20160905,000000,0.546923,0.546923,0.442149,0.442149,0,0
ARH_PB,D,20160906,000000,0.437507,0.446637,0.437507,0.446637,0,0
ARH_PB,D,20160907,000000,0.446637,0.451204,0.446637,0.451204,0,0
ARH_PB,D,20160908,000000,0.451204,0.455692,0.446637,0.455692,0,0
ARH_PB,D,20160909,000000,0.455692,0.464823,0.455692,0.455692,0,0
ARH_PB,D,20160912,000000,0.446637,0.446637,0.442149,0.442149,0,0
ARH_PB,D,20160913,000000,0.442149,0.442149,0.442149,0.442149,0,0
ARH_PB,D,20160914,000000,0.437507,0.437507,0.437507,0.437507,0,0
ARH_PB,D,20160915,000000,0.437507,0.460334,0.437507,0.460334,0,0
ARH_PB,D,20160916,000000,0.460334,0.460334,0.460334,0.460334,0,0
ARH_PB,D,20160919,000000,0.460334,0.460334,0.460334,0.460334,0,0
ARH_PB,D,20160920,000000,0.455692,0.460334,0.451204,0.455692,0,0
ARH_PB,D,20160921,000000,0.455692,0.464823,0.455692,0.460334,0,0
ARH_PB,D,20160923,000000,0.460334,0.464823,0.460334,0.464823,0,0
ARH_PB,D,20160926,000000,0.464823,0.464823,0.451204,0.464823,0,0
ARH_PB,D,20160927,000000,0.455692,0.464823,0.455692,0.464823,0,0
ARH_PB,D,20160928,000000,0.455692,0.464823,0.451204,0.464823,0,0
ARH_PB,D,20160929,000000,0.464823,0.469389,0.464823,0.469389,0,0
ARH_PB,D,20160930,000000,0.469389,0.473953,0.469389,0.473953,0,0
ARH_PB,D,20161003,000000,0.473953,0.473953,0.469389,0.469389,0,0
ARH_PB,D,20161004,000000,0.469389,0.473953,0.460334,0.469389,0,0
ARH_PB,D,20161006,000000,0.464823,0.469389,0.464823,0.469389,0,0
ARH_PB,D,20161007,000000,0.469389,0.469389,0.469389,0.469389,0,0
ARH_PB,D,20161010,000000,0.469389,0.469389,0.460334,0.464823,0,0
ARH_PB,D,20161011,000000,0.464823,0.464823,0.464823,0.464823,0,0
ARH_PB,D,20161012,000000,0.464823,0.464823,0.464823,0.464823,0,0
ARH_PB,D,20161013,000000,0.464823,0.473953,0.464823,0.473953,0,0
ARH_PB,D,20161014,000000,0.464823,0.464823,0.464823,0.464823,0,0
ARH_PB,D,20161017,000000,0.460334,0.469389,0.460334,0.464823,0,0
ARH_PB,D,20161018,000000,0.464823,0.464823,0.464823,0.464823,0,0
ARH_PB,D,20161019,000000,0.473953,0.473953,0.473953,0.473953,0,0
ARH_PB,D,20161021,000000,0.464823,0.464823,0.464823,0.464823,0,0
ARH_PB,D,20161024,000000,0.464823,0.464823,0.460334,0.460334,0,0
ARH_PB,D,20161025,000000,0.469389,0.469389,0.469389,0.469389,0,0
ARH_PB,D,20161027,000000,0.460334,0.464823,0.451204,0.460334,0,0
ARH_PB,D,20161028,000000,0.460334,0.460334,0.460334,0.460334,0,0
ARH_PB,D,20161031,000000,0.460334,0.464823,0.460334,0.464823,0,0
ARH_PB,D,20161103,000000,0.451204,0.455692,0.451204,0.455692,0,0
ARH_PB,D,20161104,000000,0.455692,0.464823,0.455692,0.464823,0,0
ARH_PB,D,20161107,000000,0.451204,0.451204,0.451204,0.451204,0,0
ARH_PB,D,20161109,000000,0.455692,0.464823,0.455692,0.464823,0,0
ARH_PB,D,20161110,000000,0.451204,0.460334,0.451204,0.451204,0,0
ARH_PB,D,20161114,000000,0.446637,0.455692,0.446637,0.451204,0,0
ARH_PB,D,20161115,000000,0.451204,0.455692,0.451204,0.451204,0,0
ARH_PB,D,20161116,000000,0.446637,0.446637,0.446637,0.446637,0,0
ARH_PB,D,20161117,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20161118,000000,0.455692,0.460334,0.432943,0.432943,0,0
ARH_PB,D,20161121,000000,0.437507,0.437507,0.437507,0.437507,0,0
ARH_PB,D,20161122,000000,0.432943,0.437507,0.428454,0.437507,0,0
ARH_PB,D,20161123,000000,0.432943,0.437507,0.432943,0.437507,0,0
ARH_PB,D,20161124,000000,0.437507,0.437507,0.428454,0.428454,0,0
ARH_PB,D,20161125,000000,0.428454,0.428454,0.428454,0.428454,0,0
ARH_PB,D,20161128,000000,0.428454,0.437507,0.428454,0.437507,0,0
ARH_PB,D,20161129,000000,0.437507,0.437507,0.437507,0.437507,0,0
ARH_PB,D,20161130,000000,0.437507,0.437507,0.428454,0.437507,0,0
ARH_PB,D,20161201,000000,0.437507,0.437507,0.437507,0.437507,0,0
ARH_PB,D,20161202,000000,0.437507,0.437507,0.428454,0.428454,0,0
ARH_PB,D,20161205,000000,0.437507,0.437507,0.428454,0.428454,0,0
ARH_PB,D,20161206,000000,0.428454,0.428454,0.423889,0.428454,0,0
ARH_PB,D,20161207,000000,0.423889,0.423889,0.414758,0.423889,0,0
ARH_PB,D,20161208,000000,0.423889,0.423889,0.423889,0.423889,0,0
ARH_PB,D,20161212,000000,0.405627,0.428454,0.405627,0.428454,0,0
ARH_PB,D,20161213,000000,0.432943,0.437507,0.432943,0.437507,0,0
ARH_PB,D,20161214,000000,0.437507,0.451204,0.437507,0.451204,0,0
ARH_PB,D,20161215,000000,0.451204,0.460334,0.451204,0.460334,0,0
ARH_PB,D,20161216,000000,0.460334,0.464823,0.460334,0.460334,0,0
ARH_PB,D,20161219,000000,0.460334,0.460334,0.437507,0.460334,0,0
ARH_PB,D,20161220,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20161221,000000,0.460334,0.460334,0.446637,0.455692,0,0
ARH_PB,D,20161223,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20161227,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20161228,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20161229,000000,0.455692,0.455692,0.446637,0.451204,0,0
ARH_PB,D,20161230,000000,0.446637,0.446637,0.446637,0.446637,0,0
ARH_PB,D,20170102,000000,0.446637,0.446637,0.446637,0.446637,0,0
ARH_PB,D,20170103,000000,0.455692,0.464823,0.437507,0.446637,0,0
ARH_PB,D,20170104,000000,0.446637,0.446637,0.437507,0.437507,0,0
ARH_PB,D,20170105,000000,0.437507,0.437507,0.428454,0.428454,0,0
ARH_PB,D,20170109,000000,0.442149,0.446637,0.442149,0.446637,0,0
ARH_PB,D,20170110,000000,0.437507,0.437507,0.437507,0.437507,0,0
ARH_PB,D,20170111,000000,0.446637,0.446637,0.446637,0.446637,0,0
ARH_PB,D,20170112,000000,0.446637,0.455692,0.446637,0.455692,0,0
ARH_PB,D,20170113,000000,0.455692,0.455692,0.446637,0.446637,0,0
ARH_PB,D,20170116,000000,0.455692,0.455692,0.446637,0.446637,0,0
ARH_PB,D,20170117,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20170118,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20170119,000000,0.455692,0.455692,0.446637,0.446637,0,0
ARH_PB,D,20170120,000000,0.437507,0.451204,0.437507,0.437507,0,0
ARH_PB,D,20170123,000000,0.437507,0.451204,0.437507,0.451204,0,0
ARH_PB,D,20170124,000000,0.451204,0.455692,0.437507,0.455692,0,0
ARH_PB,D,20170125,000000,0.455692,0.455692,0.437507,0.455692,0,0
ARH_PB,D,20170126,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20170127,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20170130,000000,0.460334,0.460334,0.460334,0.460334,0,0
ARH_PB,D,20170131,000000,0.460334,0.460334,0.455692,0.455692,0,0
ARH_PB,D,20170201,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20170202,000000,0.455692,0.455692,0.437507,0.437507,0,0
ARH_PB,D,20170203,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20170207,000000,0.455692,0.455692,0.455692,0.455692,0,0
ARH_PB,D,20170208,000000,0.451204,0.451204,0.451204,0.451204,0,0
ARH_PB,D,20170209,000000,0.455692,0.455692,0.451204,0.451204,0,0
ARH_PB,D,20170210,000000,0.446637,0.455692,0.446637,0.455692,0,0
ARH_PB,D,20170213,000000,0.446637,0.455692,0.446637,0.455692,0,0
ARH_PB,D,20170214,000000,0.437507,0.437507,0.437507,0.437507,0,0
ARH_PB,D,20170215,000000,0.437507,0.437507,0.437507,0.437507,0,0
ARH_PB,D,20170216,000000,0.442149,0.442149,0.437507,0.437507,0,0
ARH_PB,D,20170217,000000,0.442149,0.442149,0.419247,0.419247,0,0
