<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARL_PB,D,20250624,000000,3.674,3.674,3.674,3.674,0,0
ARL_PB,D,20250625,000000,3.71,3.738,3.68,3.696,0,0
ARL_PB,D,20250626,000000,3.696,3.714,3.622,3.661,0,0
ARL_PB,D,20250627,000000,3.661,3.661,3.551,3.622,0,0
ARL_PB,D,20250630,000000,3.622,3.651,3.563,3.563,0,0
ARL_PB,D,20250701,000000,3.578,3.607,3.545,3.546,0,0
ARL_PB,D,20250702,000000,3.546,3.572,3.54,3.553,0,0
ARL_PB,D,20250703,000000,3.549,3.611,3.549,3.593,0,0
ARL_PB,D,20250704,000000,3.604,3.622,3.584,3.622,0,0
ARL_PB,D,20250707,000000,3.622,3.671,3.622,3.632,0,0
ARL_PB,D,20250708,000000,3.661,3.666,3.604,3.612,0,0
ARL_PB,D,20250709,000000,3.642,3.642,3.615,3.617,0,0
ARL_PB,D,20250710,000000,3.622,3.665,3.614,3.641,0,0
ARL_PB,D,20250711,000000,3.657,3.669,3.633,3.661,0,0
ARL_PB,D,20250714,000000,3.661,3.661,3.633,3.647,0,0
ARL_PB,D,20250715,000000,3.648,3.654,3.603,3.603,0,0
ARL_PB,D,20250716,000000,3.612,3.661,3.594,3.633,0,0
ARL_PB,D,20250717,000000,3.661,3.661,3.603,3.617,0,0
ARL_PB,D,20250718,000000,3.622,3.65,3.598,3.637,0,0
ARL_PB,D,20250721,000000,3.637,3.637,3.605,3.621,0,0
ARL_PB,D,20250722,000000,3.598,3.612,3.575,3.581,0,0
ARL_PB,D,20250723,000000,3.574,3.603,3.574,3.581,0,0
ARL_PB,D,20250724,000000,3.622,3.671,3.622,3.644,0,0
ARL_PB,D,20250725,000000,3.693,3.703,3.644,3.669,0,0
ARL_PB,D,20250728,000000,3.67,3.707,3.622,3.65,0,0
ARL_PB,D,20250729,000000,3.622,3.661,3.622,3.661,0,0
ARL_PB,D,20250730,000000,3.696,3.793,3.696,3.787,0,0
ARL_PB,D,20250731,000000,3.787,3.86,3.787,3.842,0,0
ARL_PB,D,20250801,000000,3.836,3.836,3.74,3.749,0,0
ARL_PB,D,20250804,000000,3.784,3.998,3.784,3.975,0,0
ARL_PB,D,20250805,000000,4.014,4.047,3.994,4.009,0,0
ARL_PB,D,20250806,000000,4.052,4.052,3.985,4.014,0,0
ARL_PB,D,20250807,000000,4.043,4.043,3.906,3.926,0,0
ARL_PB,D,20250808,000000,3.994,4.043,3.975,4.043,0,0
ARL_PB,D,20250811,000000,4.053,4.298,4.053,4.249,0,0
ARL_PB,D,20250812,000000,4.229,4.45,4.18,4.386,0,0
ARL_PB,D,20250813,000000,4.395,4.595,4.395,4.503,0,0
ARL_PB,D,20250814,000000,4.503,4.503,4.368,4.368,0,0
ARL_PB,D,20250818,000000,4.368,4.441,4.322,4.366,0,0
ARL_PB,D,20250819,000000,4.404,4.601,4.223,4.601,0,0
ARL_PB,D,20250820,000000,4.474,4.515,4.39,4.39,0,0
ARL_PB,D,20250821,000000,4.376,4.405,4.322,4.356,0,0
ARL_PB,D,20250822,000000,4.386,4.386,4.237,4.273,0,0
ARL_PB,D,20250825,000000,4.276,4.298,4.156,4.268,0,0
ARL_PB,D,20250826,000000,4.209,4.327,4.195,4.308,0,0
ARL_PB,D,20250827,000000,4.325,4.326,4.175,4.18,0,0
ARL_PB,D,20250828,000000,4.29,4.29,4.18,4.229,0,0
ARL_PB,D,20250829,000000,4.254,4.254,4.18,4.209,0,0
ARL_PB,D,20250901,000000,4.209,4.337,4.209,4.337,0,0
ARL_PB,D,20250902,000000,4.366,4.498,4.307,4.366,0,0
ARL_PB,D,20250903,000000,4.403,4.405,4.307,4.355,0,0
ARL_PB,D,20250904,000000,4.356,4.448,4.308,4.311,0,0
ARL_PB,D,20250905,000000,4.335,4.39,4.307,4.307,0,0
ARL_PB,D,20250908,000000,4.307,4.405,4.307,4.403,0,0
ARL_PB,D,20250909,000000,4.403,4.403,4.307,4.356,0,0
ARL_PB,D,20250910,000000,4.361,4.405,4.307,4.351,0,0
ARL_PB,D,20250911,000000,4.355,4.446,4.308,4.381,0,0
ARL_PB,D,20250912,000000,4.394,4.601,4.356,4.542,0,0
ARL_PB,D,20250915,000000,4.554,4.554,4.444,4.484,0,0
ARL_PB,D,20250916,000000,4.435,4.503,4.435,4.488,0,0
ARL_PB,D,20250917,000000,4.488,4.488,4.381,4.433,0,0
ARL_PB,D,20250918,000000,4.406,4.471,4.406,4.447,0,0
ARL_PB,D,20250919,000000,4.449,4.572,4.449,4.505,0,0
ARL_PB,D,20250922,000000,4.577,4.65,4.577,4.649,0,0
ARL_PB,D,20250923,000000,4.65,4.65,4.469,4.503,0,0
ARL_PB,D,20250924,000000,4.405,4.405,4.192,4.239,0,0
ARL_PB,D,20250925,000000,4.239,4.307,4.103,4.103,0,0
ARL_PB,D,20250926,000000,4.103,4.103,4.008,4.046,0,0
ARL_PB,D,20250929,000000,4.046,4.13,4.037,4.109,0,0
ARL_PB,D,20250930,000000,4.112,4.112,4.039,4.112,0,0
ARL_PB,D,20251001,000000,4.112,4.121,4.027,4.111,0,0
ARL_PB,D,20251002,000000,4.11,4.178,4.057,4.14,0,0
ARL_PB,D,20251003,000000,4.178,4.205,4.108,4.14,0,0
ARL_PB,D,20251006,000000,4.234,4.244,4.103,4.105,0,0
ARL_PB,D,20251007,000000,4.136,4.178,4.081,4.178,0,0
ARL_PB,D,20251008,000000,4.234,4.347,4.195,4.23,0,0
ARL_PB,D,20251009,000000,4.31,4.31,4.151,4.215,0,0
ARL_PB,D,20251010,000000,4.225,4.23,4.14,4.187,0,0
ARL_PB,D,20251013,000000,4.18,4.215,4.14,4.162,0,0
ARL_PB,D,20251014,000000,4.15,4.181,3.971,3.982,0,0
ARL_PB,D,20251015,000000,4.027,4.126,4.027,4.057,0,0
ARL_PB,D,20251016,000000,4.121,4.121,4.065,4.091,0,0
ARL_PB,D,20251017,000000,4.065,4.159,4.028,4.14,0,0
ARL_PB,D,20251020,000000,4.15,4.186,4.067,4.069,0,0
ARL_PB,D,20251021,000000,4.065,4.14,4.016,4.058,0,0
