<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ART_MV,D,20161117,000000,220,220,220,220,0,0
ART_MV,D,20161118,000000,220,222.2,215,219.3,0,0
ART_MV,D,20161121,000000,215.4,225.5,215.4,225.5,0,0
ART_MV,D,20161122,000000,226.9,226.9,223,225.5,0,0
ART_MV,D,20161123,000000,225.3,225.3,219.2,225,0,0
ART_MV,D,20161124,000000,220.2,236.1,220.2,234.9,0,0
ART_MV,D,20161125,000000,236,236,227.1,227.3,0,0
ART_MV,D,20161128,000000,225.9,226,225,225,0,0
ART_MV,D,20161129,000000,228.5,228.5,219.5,219.5,0,0
ART_MV,D,20161130,000000,224.5,225,219.5,225,0,0
ART_MV,D,20161201,000000,226,226,224,225.5,0,0
ART_MV,D,20161202,000000,226,226,220,224.9,0,0
ART_MV,D,20161205,000000,224.9,224.9,211.1,222,0,0
ART_MV,D,20161206,000000,224.7,224.7,212.1,212.1,0,0
ART_MV,D,20161207,000000,213.1,213.1,210,210.1,0,0
ART_MV,D,20161208,000000,210.1,218.5,197.7,218.5,0,0
ART_MV,D,20161209,000000,218.5,218.5,211.1,215,0,0
ART_MV,D,20161212,000000,214,218.7,209,218.7,0,0
ART_MV,D,20161213,000000,218.6,223.7,215,223,0,0
ART_MV,D,20161214,000000,223.4,223.6,220,223,0,0
ART_MV,D,20161215,000000,221,223.6,220,222.5,0,0
ART_MV,D,20161216,000000,223,223,210,220,0,0
ART_MV,D,20161219,000000,221.5,221.5,219.8,221.5,0,0
ART_MV,D,20161220,000000,221.5,221.5,217.4,219.9,0,0
ART_MV,D,20161221,000000,220,231,215.2,231,0,0
ART_MV,D,20161222,000000,225.86,239.82,225.86,231,0,0
ART_MV,D,20161223,000000,231,231,230.9,230.9,0,0
ART_MV,D,20161227,000000,230.9,231,228.8,231,0,0
ART_MV,D,20161228,000000,231,236.15,229.01,231.11,0,0
ART_MV,D,20161229,000000,231.11,236.15,231,235.31,0,0
ART_MV,D,20161230,000000,236.04,236.25,229.95,236.25,0,0
ART_MV,D,20170102,000000,236.25,236.25,231.32,235.94,0,0
ART_MV,D,20170103,000000,235.94,235.94,233.63,233.63,0,0
ART_MV,D,20170104,000000,235.62,236.25,224.7,236.25,0,0
ART_MV,D,20170105,000000,236.25,236.25,229.85,229.85,0,0
ART_MV,D,20170109,000000,229.85,230.9,229.85,230.9,0,0
ART_MV,D,20170110,000000,229.95,229.95,223.86,224.7,0,0
ART_MV,D,20170111,000000,229.95,229.95,228.59,228.9,0,0
ART_MV,D,20170112,000000,228.9,229.95,223.97,224.7,0,0
ART_MV,D,20170113,000000,228.9,228.9,228.59,228.59,0,0
ART_MV,D,20170116,000000,227.85,227.85,226.8,226.8,0,0
ART_MV,D,20170117,000000,227.85,227.85,225.75,225.75,0,0
ART_MV,D,20170118,000000,221.55,223.13,221.55,223.13,0,0
ART_MV,D,20170119,000000,225.75,225.75,216.3,221.55,0,0
ART_MV,D,20170120,000000,222.6,224.18,202.65,215.25,0,0
ART_MV,D,20170123,000000,215.25,220.5,215.25,220.4,0,0
ART_MV,D,20170124,000000,215.36,220.4,215.15,220.4,0,0
ART_MV,D,20170125,000000,220.4,231,214.31,231,0,0
ART_MV,D,20170126,000000,222.6,228.9,222.6,228.9,0,0
ART_MV,D,20170127,000000,231,231,220.4,220.4,0,0
ART_MV,D,20170130,000000,229.32,229.32,224.7,226.8,0,0
ART_MV,D,20170131,000000,226.8,226.8,216.51,216.51,0,0
ART_MV,D,20170201,000000,215.25,224.7,215.25,224.6,0,0
ART_MV,D,20170202,000000,229.85,229.85,219.87,220.5,0,0
ART_MV,D,20170203,000000,227.85,227.85,218.4,218.4,0,0
ART_MV,D,20170206,000000,227.33,227.33,223.65,223.65,0,0
ART_MV,D,20170207,000000,221.55,221.55,220.5,220.5,0,0
ART_MV,D,20170208,000000,227.85,227.85,215.57,219.35,0,0
ART_MV,D,20170209,000000,219.35,219.35,215.25,218.3,0,0
ART_MV,D,20170210,000000,218.3,220.29,215.25,219.77,0,0
ART_MV,D,20170213,000000,219.77,219.77,215.25,219.35,0,0
ART_MV,D,20170214,000000,219.35,220.5,215.78,220.29,0,0
ART_MV,D,20170215,000000,220.29,225.75,216.83,225.54,0,0
ART_MV,D,20170216,000000,224.7,224.7,221.03,223.65,0,0
