<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB_MV,D,20071030,000000,141.779,141.779,141.779,141.779,0,0
ASB_MV,D,20071031,000000,136.842,136.842,136.842,136.842,0,0
ASB_MV,D,20071102,000000,138.92,138.92,138.92,138.92,0,0
ASB_MV,D,20071105,000000,136.842,136.842,136.842,136.842,0,0
ASB_MV,D,20071106,000000,138.92,138.92,138.92,138.92,0,0
ASB_MV,D,20071107,000000,131.7,131.7,131.7,131.7,0,0
ASB_MV,D,20071108,000000,135.619,135.619,135.619,135.619,0,0
ASB_MV,D,20071109,000000,126.556,135.619,126.556,135.619,0,0
ASB_MV,D,20071112,000000,126.556,141.779,126.556,133.755,0,0
ASB_MV,D,20071113,000000,141.779,141.779,133.755,133.755,0,0
ASB_MV,D,20071114,000000,141.984,141.984,133.755,138.698,0,0
ASB_MV,D,20071115,000000,141.984,141.984,126.556,136.437,0,0
ASB_MV,D,20071116,000000,133.755,136.437,133.755,133.755,0,0
ASB_MV,D,20071119,000000,135.825,136.437,133.755,136.437,0,0
ASB_MV,D,20071120,000000,135.825,135.825,128.414,128.414,0,0
ASB_MV,D,20071121,000000,122.043,122.043,113.186,113.186,0,0
ASB_MV,D,20071122,000000,113.186,113.186,113.186,113.186,0,0
ASB_MV,D,20071123,000000,103.115,127.382,103.115,127.382,0,0
ASB_MV,D,20071126,000000,135.619,136.223,123.471,123.471,0,0
ASB_MV,D,20071127,000000,123.471,129.431,123.471,126.556,0,0
ASB_MV,D,20071128,000000,126.556,133.755,119.351,133.755,0,0
ASB_MV,D,20071129,000000,133.755,133.755,133.755,133.755,0,0
ASB_MV,D,20071130,000000,122.438,137.873,122.438,137.873,0,0
ASB_MV,D,20071203,000000,137.873,141.984,133.755,141.984,0,0
ASB_MV,D,20071205,000000,137.667,139.937,130.881,137.873,0,0
ASB_MV,D,20071206,000000,137.873,141.779,137.873,141.779,0,0
ASB_MV,D,20071210,000000,133.557,137.667,133.557,133.976,0,0
ASB_MV,D,20071211,000000,133.755,149.204,133.755,149.204,0,0
ASB_MV,D,20071212,000000,149.611,149.611,144.468,148.173,0,0
ASB_MV,D,20071213,000000,144.468,147.967,144.468,147.967,0,0
ASB_MV,D,20071214,000000,142.404,148.173,142.404,148.173,0,0
ASB_MV,D,20071217,000000,147.967,147.967,145.492,145.492,0,0
ASB_MV,D,20071218,000000,144.047,144.047,144.047,144.047,0,0
ASB_MV,D,20071219,000000,148.173,148.173,148.173,148.173,0,0
ASB_MV,D,20071220,000000,148.173,162.562,148.173,162.562,0,0
ASB_MV,D,20071221,000000,162.562,174.931,162.562,168.749,0,0
ASB_MV,D,20071227,000000,168.957,183.154,168.957,174.931,0,0
ASB_MV,D,20071228,000000,182.137,185.201,177.995,181.09,0,0
ASB_MV,D,20080102,000000,188.296,188.296,181.09,185.201,0,0
ASB_MV,D,20080103,000000,183.154,185.201,174.931,174.931,0,0
ASB_MV,D,20080104,000000,174.931,174.931,174.931,174.931,0,0
ASB_MV,D,20080107,000000,171.225,171.225,158.465,164.623,0,0
ASB_MV,D,20080108,000000,158.465,158.672,158.465,158.672,0,0
ASB_MV,D,20080109,000000,150.213,156.395,146.111,156.395,0,0
ASB_MV,D,20080110,000000,150.213,152.078,146.111,152.078,0,0
ASB_MV,D,20080111,000000,150.213,150.213,144.261,149.204,0,0
ASB_MV,D,20080114,000000,144.047,144.047,144.047,144.047,0,0
ASB_MV,D,20080115,000000,144.047,154.348,144.047,148.173,0,0
ASB_MV,D,20080116,000000,139.937,144.047,132.748,139.937,0,0
ASB_MV,D,20080117,000000,135.825,148.173,135.825,137.873,0,0
ASB_MV,D,20080118,000000,144.047,144.047,139.937,140.35,0,0
ASB_MV,D,20080121,000000,144.047,144.047,126.755,136.842,0,0
ASB_MV,D,20080122,000000,140.961,140.961,133.755,133.755,0,0
