<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AST_PB,D,20070813,000000,1.54907,1.54907,1.54907,1.54907,0,0
AST_PB,D,20070814,000000,1.49315,1.49315,1.49315,1.49315,0,0
AST_PB,D,20070816,000000,1.45324,1.45324,1.45324,1.45324,0,0
AST_PB,D,20070817,000000,1.43732,1.43732,1.43732,1.43732,0,0
AST_PB,D,20070820,000000,1.46924,1.46924,1.46924,1.46924,0,0
AST_PB,D,20070821,000000,1.50915,1.50915,1.50915,1.50915,0,0
AST_PB,D,20070822,000000,1.58898,1.58898,1.58898,1.58898,0,0
AST_PB,D,20070823,000000,1.65289,1.65289,1.65289,1.65289,0,0
AST_PB,D,20070824,000000,1.59698,1.59698,1.59698,1.59698,0,0
AST_PB,D,20070827,000000,1.6609,1.6609,1.6609,1.6609,0,0
AST_PB,D,20070828,000000,1.63689,1.63689,1.63689,1.63689,0,0
AST_PB,D,20070829,000000,1.65289,1.65289,1.65289,1.65289,0,0
AST_PB,D,20070830,000000,1.58898,1.58898,1.58898,1.58898,0,0
AST_PB,D,20070831,000000,1.6289,1.6289,1.6289,1.6289,0,0
AST_PB,D,20070903,000000,1.73273,1.73273,1.73273,1.73273,0,0
AST_PB,D,20070904,000000,1.70882,1.70882,1.70882,1.70882,0,0
AST_PB,D,20070905,000000,1.58098,1.58098,1.58098,1.58098,0,0
AST_PB,D,20070906,000000,1.62099,1.62099,1.62099,1.62099,0,0
AST_PB,D,20070907,000000,1.55707,1.55707,1.55707,1.55707,0,0
AST_PB,D,20070910,000000,1.54907,1.54907,1.54907,1.54907,0,0
AST_PB,D,20070911,000000,1.61298,1.61298,1.61298,1.61298,0,0
AST_PB,D,20070912,000000,1.62099,1.62099,1.62099,1.62099,0,0
AST_PB,D,20070913,000000,1.62099,1.62099,1.62099,1.62099,0,0
AST_PB,D,20070914,000000,1.62099,1.62099,1.62099,1.62099,0,0
AST_PB,D,20070917,000000,1.60498,1.60498,1.60498,1.60498,0,0
AST_PB,D,20070918,000000,1.59698,1.59698,1.59698,1.59698,0,0
AST_PB,D,20070919,000000,1.71672,1.71672,1.71672,1.71672,0,0
AST_PB,D,20070920,000000,1.69281,1.69281,1.69281,1.69281,0,0
AST_PB,D,20070921,000000,1.67681,1.67681,1.67681,1.67681,0,0
AST_PB,D,20070924,000000,1.63689,1.63689,1.63689,1.63689,0,0
AST_PB,D,20070925,000000,1.64489,1.64489,1.64489,1.64489,0,0
AST_PB,D,20070926,000000,1.65289,1.65289,1.65289,1.65289,0,0
AST_PB,D,20070927,000000,1.64489,1.64489,1.64489,1.64489,0,0
AST_PB,D,20070928,000000,1.64489,1.64489,1.64489,1.64489,0,0
AST_PB,D,20071001,000000,1.63689,1.63689,1.63689,1.63689,0,0
AST_PB,D,20071002,000000,1.6609,1.6609,1.6609,1.6609,0,0
AST_PB,D,20071003,000000,1.6609,1.6609,1.6609,1.6609,0,0
AST_PB,D,20071004,000000,1.6609,1.6609,1.6609,1.6609,0,0
AST_PB,D,20071005,000000,1.6609,1.6609,1.6609,1.6609,0,0
AST_PB,D,20071008,000000,1.60498,1.60498,1.60498,1.60498,0,0
AST_PB,D,20071009,000000,1.60498,1.60498,1.60498,1.60498,0,0
AST_PB,D,20071010,000000,1.6689,1.6689,1.6689,1.6689,0,0
AST_PB,D,20071011,000000,1.70882,1.70882,1.70882,1.70882,0,0
AST_PB,D,20071012,000000,1.76464,1.76464,1.76464,1.76464,0,0
AST_PB,D,20071015,000000,1.82855,1.82855,1.82855,1.82855,0,0
AST_PB,D,20071016,000000,1.81256,1.81256,1.81256,1.81256,0,0
AST_PB,D,20071017,000000,1.90838,1.90838,1.90838,1.90838,0,0
AST_PB,D,20071018,000000,1.90038,1.90038,1.90038,1.90038,0,0
AST_PB,D,20071019,000000,1.94829,1.94829,1.94829,1.94829,0,0
AST_PB,D,20071022,000000,1.94829,1.94829,1.94829,1.94829,0,0
