<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC_MV,D,20091023,000000,462.962,462.962,462.962,462.962,0,0
ATC_MV,D,20091026,000000,465.674,465.674,458.753,459.961,0,0
ATC_MV,D,20091027,000000,459.961,468.378,453.945,468.378,0,0
ATC_MV,D,20091028,000000,465.674,465.674,453.945,454.25,0,0
ATC_MV,D,20091029,000000,454.554,454.554,438.914,445.226,0,0
ATC_MV,D,20091030,000000,440.113,444.938,440.113,441.922,0,0
ATC_MV,D,20091102,000000,444.938,444.938,440.435,441.922,0,0
ATC_MV,D,20091103,000000,441.922,450.642,435.914,446.434,0,0
ATC_MV,D,20091104,000000,449.442,449.442,441.922,441.922,0,0
ATC_MV,D,20091105,000000,437.417,450.642,437.417,438.017,0,0
ATC_MV,D,20091106,000000,438.914,446.73,434.409,446.73,0,0
ATC_MV,D,20091109,000000,437.713,464.482,437.713,454.554,0,0
ATC_MV,D,20091110,000000,461.466,461.466,451.546,456.954,0,0
ATC_MV,D,20091112,000000,455.449,456.954,450.346,450.346,0,0
ATC_MV,D,20091113,000000,452.45,453.945,452.45,453.945,0,0
ATC_MV,D,20091116,000000,459.961,459.961,451.251,454.85,0,0
ATC_MV,D,20091117,000000,451.546,453.346,450.938,450.938,0,0
ATC_MV,D,20091118,000000,450.938,450.938,444.938,444.938,0,0
ATC_MV,D,20091119,000000,443.425,446.13,439.818,440.435,0,0
ATC_MV,D,20091120,000000,443.425,446.73,439.218,446.73,0,0
ATC_MV,D,20091123,000000,438.914,440.722,438.914,440.722,0,0
ATC_MV,D,20091124,000000,440.722,442.53,439.218,440.435,0,0
ATC_MV,D,20091125,000000,440.435,441.626,436.218,436.218,0,0
ATC_MV,D,20091126,000000,438.618,438.618,429.898,432.905,0,0
ATC_MV,D,20091127,000000,420.889,510.63,420.889,510.63,0,0
ATC_MV,D,20091130,000000,499.963,511.699,496.058,510.277,0,0
ATC_MV,D,20091201,000000,504.952,506.365,498.54,504.589,0,0
ATC_MV,D,20091202,000000,504.589,504.952,497.826,504.589,0,0
ATC_MV,D,20091203,000000,498.187,528.054,498.187,528.054,0,0
ATC_MV,D,20091204,000000,527.339,532.682,515.956,532.328,0,0
ATC_MV,D,20091207,000000,532.328,532.328,522.729,529.484,0,0
ATC_MV,D,20091208,000000,532.682,574.284,532.682,562.548,0,0
ATC_MV,D,20091209,000000,569.666,590.641,569.666,586.735,0,0
ATC_MV,D,20091210,000000,593.483,593.845,573.216,576.067,0,0
ATC_MV,D,20091211,000000,579.618,582.816,571.079,577.128,0,0
ATC_MV,D,20091214,000000,572.864,577.843,567.175,572.501,0,0
ATC_MV,D,20091215,000000,570.364,576.067,570.364,574.638,0,0
ATC_MV,D,20091216,000000,570.364,578.903,570.364,578.903,0,0
ATC_MV,D,20091217,000000,577.843,582.816,572.501,575.698,0,0
ATC_MV,D,20091218,000000,577.843,577.843,567.175,576.067,0,0
ATC_MV,D,20091221,000000,576.067,577.128,574.284,574.284,0,0
ATC_MV,D,20091222,000000,574.284,574.638,567.175,574.284,0,0
ATC_MV,D,20091223,000000,575.345,575.345,570.726,574.991,0,0
ATC_MV,D,20091228,000000,574.284,575.698,572.501,574.284,0,0
ATC_MV,D,20091229,000000,573.216,578.903,573.216,574.284,0,0
ATC_MV,D,20091230,000000,572.501,578.55,572.501,575.698,0,0
ATC_MV,D,20091231,000000,574.638,574.991,570.726,574.284,0,0
ATC_MV,D,20100104,000000,574.284,577.843,568.588,576.067,0,0
ATC_MV,D,20100105,000000,578.197,582.109,574.991,579.618,0,0
ATC_MV,D,20100106,000000,578.55,578.55,574.991,576.067,0,0
ATC_MV,D,20100107,000000,579.618,579.618,567.175,568.95,0,0
ATC_MV,D,20100108,000000,572.139,572.139,550.105,550.105,0,0
ATC_MV,D,20100111,000000,550.811,558.274,537.3,538.007,0,0
