<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC_PE,D,20091023,000000,4.68213,4.68213,4.68213,4.68213,0,0
ATC_PE,D,20091026,000000,4.68213,4.68213,4.61416,4.61416,0,0
ATC_PE,D,20091027,000000,4.61416,4.68213,4.54636,4.68213,0,0
ATC_PE,D,20091028,000000,4.68213,4.68213,4.54636,4.54636,0,0
ATC_PE,D,20091029,000000,4.54636,4.54636,4.41075,4.47856,0,0
ATC_PE,D,20091030,000000,4.41075,4.47856,4.41075,4.47856,0,0
ATC_PE,D,20091102,000000,4.47856,4.47856,4.47856,4.47856,0,0
ATC_PE,D,20091103,000000,4.47856,4.54636,4.41075,4.47856,0,0
ATC_PE,D,20091104,000000,4.47856,4.47856,4.41075,4.47856,0,0
ATC_PE,D,20091105,000000,4.41075,4.54636,4.41075,4.41075,0,0
ATC_PE,D,20091106,000000,4.41075,4.47856,4.34287,4.47856,0,0
ATC_PE,D,20091109,000000,4.41075,4.68213,4.41075,4.54636,0,0
ATC_PE,D,20091110,000000,4.61416,4.61416,4.54636,4.61416,0,0
ATC_PE,D,20091112,000000,4.61416,4.61416,4.54636,4.54636,0,0
ATC_PE,D,20091113,000000,4.54636,4.61416,4.54636,4.54636,0,0
ATC_PE,D,20091116,000000,4.61416,4.61416,4.54636,4.54636,0,0
ATC_PE,D,20091117,000000,4.54636,4.54636,4.47856,4.54636,0,0
ATC_PE,D,20091118,000000,4.54636,4.54636,4.47856,4.47856,0,0
ATC_PE,D,20091119,000000,4.47856,4.47856,4.0714,4.0714,0,0
ATC_PE,D,20091120,000000,4.0714,4.13929,4.0714,4.13929,0,0
ATC_PE,D,20091123,000000,4.0714,4.0714,4.0714,4.0714,0,0
ATC_PE,D,20091124,000000,4.0714,4.0714,4.0714,4.0714,0,0
ATC_PE,D,20091125,000000,4.0714,4.0714,4.00351,4.0714,0,0
