<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATD_PB,D,20120528,000000,1.49556,1.49556,1.49556,1.49556,0,0
ATD_PB,D,20120529,000000,1.49556,1.55123,1.37373,1.37888,0,0
ATD_PB,D,20120530,000000,1.3129,1.3383,1.27738,1.3383,0,0
ATD_PB,D,20120531,000000,1.28493,1.30078,1.10427,1.20529,0,0
ATD_PB,D,20120601,000000,1.23699,1.23699,1.12022,1.12022,0,0
ATD_PB,D,20120604,000000,1.1101,1.1101,1.00869,1.08985,0,0
ATD_PB,D,20120605,000000,1.05118,1.11497,0.982147,0.998093,0,0
ATD_PB,D,20120606,000000,0.9768,1.04058,0.9768,1.01939,0,0
ATD_PB,D,20120608,000000,0.993701,0.993701,0.917505,0.917505,0,0
ATD_PB,D,20120611,000000,0.927721,0.927721,0.907479,0.917505,0,0
ATD_PB,D,20120612,000000,0.917505,0.932877,0.887236,0.917505,0,0
ATD_PB,D,20120613,000000,0.932877,0.932877,0.892297,0.912444,0,0
ATD_PB,D,20120614,000000,0.917505,0.917505,0.892297,0.892297,0,0
ATD_PB,D,20120615,000000,0.918364,0.93431,0.897262,0.93431,0,0
ATD_PB,D,20120618,000000,0.952929,0.973267,0.937938,0.942999,0,0
ATD_PB,D,20120619,000000,0.963146,0.963146,0.958085,0.958085,0,0
ATD_PB,D,20120620,000000,0.983484,1.01891,0.983484,0.983484,0,0
ATD_PB,D,20120621,000000,1.01891,1.0444,1.01891,1.02913,0,0
ATD_PB,D,20120622,000000,1.05118,1.05118,0.982147,1.04583,0,0
ATD_PB,D,20120625,000000,1.07477,1.07477,0.993701,0.993701,0,0
ATD_PB,D,20120626,000000,0.978519,1.05452,0.978519,0.983484,0,0
ATD_PB,D,20120627,000000,0.971548,0.982147,0.945004,0.945004,0,0
ATD_PB,D,20120628,000000,0.982147,1.00869,0.955603,1.00869,0,0
ATD_PB,D,20120629,000000,1.04058,1.04058,1.04058,1.04058,0,0
ATD_PB,D,20120703,000000,0.9768,1.04583,0.9768,0.982147,0,0
