<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATD_PE,D,20120601,000000,5.72817,5.72817,5.72817,5.72817,0,0
ATD_PE,D,20120604,000000,5.67766,5.67766,5.17074,5.57626,0,0
ATD_PE,D,20120605,000000,5.37288,5.72817,5.0171,5.07019,0,0
ATD_PE,D,20120606,000000,4.96927,5.27186,4.96927,5.17122,0,0
ATD_PE,D,20120608,000000,5.01863,5.01863,4.66372,4.66372,0,0
ATD_PE,D,20120611,000000,4.71442,4.71442,4.61321,4.66372,0,0
ATD_PE,D,20120612,000000,4.66372,4.71442,4.5119,4.66372,0,0
ATD_PE,D,20120613,000000,4.71442,4.71442,4.5119,4.66372,0,0
ATD_PE,D,20120614,000000,4.71442,4.71442,4.56241,4.56241,0,0
ATD_PE,D,20120615,000000,4.71442,4.76751,4.61369,4.76751,0,0
ATD_PE,D,20120618,000000,4.86672,4.96793,4.81592,4.81592,0,0
ATD_PE,D,20120619,000000,4.91723,4.91723,4.86672,4.86672,0,0
ATD_PE,D,20120620,000000,5.01863,5.17074,5.01863,5.01863,0,0
ATD_PE,D,20120621,000000,5.17074,5.32284,5.17074,5.27214,0,0
ATD_PE,D,20120622,000000,5.37288,5.37288,5.0171,5.32504,0,0
ATD_PE,D,20120625,000000,5.47505,5.47505,5.06933,5.06933,0,0
ATD_PE,D,20120626,000000,5.01863,5.42463,5.01863,5.01863,0,0
ATD_PE,D,20120627,000000,4.96927,5.0171,4.81544,4.81544,0,0
ATD_PE,D,20120628,000000,5.0171,5.17122,4.86844,5.17122,0,0
ATD_PE,D,20120629,000000,5.32504,5.32504,5.27186,5.27186,0,0
ATD_PE,D,20120703,000000,4.96927,5.32504,4.96927,5.0171,0,0
ATD_PE,D,20120704,000000,5.0171,5.17122,5.0171,5.17122,0,0
ATD_PE,D,20120705,000000,5.04365,5.36228,4.93747,5.25601,0,0
ATD_PE,D,20120706,000000,5.20292,5.25601,5.20292,5.20292,0,0
ATD_PE,D,20120709,000000,5.25601,5.25601,5.25601,5.25601,0,0
ATD_PE,D,20120710,000000,5.20292,5.25601,4.88438,4.88438,0,0
ATD_PE,D,20120711,000000,4.93747,5.04365,4.88438,5.04365,0,0
ATD_PE,D,20120712,000000,5.04365,5.04365,4.93747,4.93747,0,0
ATD_PE,D,20120713,000000,4.93747,4.93747,4.93747,4.93747,0,0
ATD_PE,D,20120716,000000,4.93747,4.93747,4.93747,4.93747,0,0
ATD_PE,D,20120717,000000,4.93747,4.93747,4.72511,4.72511,0,0
ATD_PE,D,20120718,000000,4.77811,4.77811,4.77811,4.77811,0,0
ATD_PE,D,20120719,000000,4.61894,4.61894,4.61894,4.61894,0,0
ATD_PE,D,20120720,000000,4.72511,4.72511,4.67203,4.67203,0,0
ATD_PE,D,20120723,000000,4.61894,4.61894,4.61894,4.61894,0,0
ATD_PE,D,20120724,000000,4.56585,4.83129,4.56585,4.83129,0,0
ATD_PE,D,20120725,000000,4.67203,4.77811,4.67203,4.72511,0,0
ATD_PE,D,20120726,000000,4.83129,4.83129,4.56585,4.72511,0,0
ATD_PE,D,20120727,000000,4.77811,4.83129,4.77811,4.83129,0,0
ATD_PE,D,20120730,000000,4.83129,4.83129,4.83129,4.83129,0,0
ATD_PE,D,20120731,000000,4.83129,4.88438,4.83129,4.88438,0,0
ATD_PE,D,20120801,000000,4.72511,4.99056,4.72511,4.99056,0,0
ATD_PE,D,20120802,000000,5.04365,5.46827,5.04365,5.46827,0,0
ATD_PE,D,20120803,000000,5.57454,5.57454,5.41556,5.52145,0,0
ATD_PE,D,20120808,000000,5.41556,5.41556,5.09683,5.25601,0,0
ATD_PE,D,20120809,000000,5.46827,5.46827,5.25601,5.25601,0,0
ATD_PE,D,20120810,000000,5.20292,5.25601,5.20292,5.25601,0,0
ATD_PE,D,20120813,000000,4.88438,4.88438,4.88438,4.88438,0,0
ATD_PE,D,20120814,000000,4.83129,5.25601,4.83129,5.20292,0,0
