<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATG_MV,D,20070813,000000,297.432,297.432,297.432,297.432,0,0
ATG_MV,D,20070814,000000,298.95,298.95,298.95,298.95,0,0
ATG_MV,D,20070816,000000,283.975,283.975,283.975,283.975,0,0
ATG_MV,D,20070817,000000,283.975,283.975,283.975,283.975,0,0
ATG_MV,D,20070820,000000,280.993,280.993,280.993,280.993,0,0
ATG_MV,D,20070821,000000,269.038,269.038,269.038,269.038,0,0
ATG_MV,D,20070822,000000,289.811,289.811,289.811,289.811,0,0
ATG_MV,D,20070823,000000,328.83,328.83,328.83,328.83,0,0
ATG_MV,D,20070824,000000,337.798,337.798,337.798,337.798,0,0
ATG_MV,D,20070827,000000,343.024,343.024,343.024,343.024,0,0
ATG_MV,D,20070828,000000,341.375,341.375,341.375,341.375,0,0
ATG_MV,D,20070829,000000,329.575,329.575,329.575,329.575,0,0
ATG_MV,D,20070830,000000,340.933,340.933,340.933,340.933,0,0
ATG_MV,D,20070831,000000,342.281,342.281,342.281,342.281,0,0
ATG_MV,D,20070903,000000,344.527,344.527,344.527,344.527,0,0
ATG_MV,D,20070904,000000,347.957,347.957,347.957,347.957,0,0
ATG_MV,D,20070905,000000,373.664,373.664,373.664,373.664,0,0
ATG_MV,D,20070906,000000,366.191,366.191,366.191,366.191,0,0
ATG_MV,D,20070907,000000,366.191,366.191,366.191,366.191,0,0
ATG_MV,D,20070910,000000,366.191,366.191,366.191,366.191,0,0
ATG_MV,D,20070911,000000,369.025,369.025,369.025,369.025,0,0
ATG_MV,D,20070912,000000,372.177,372.177,372.177,372.177,0,0
ATG_MV,D,20070913,000000,372.177,372.177,372.177,372.177,0,0
ATG_MV,D,20070914,000000,372.177,372.177,372.177,372.177,0,0
ATG_MV,D,20070917,000000,363.211,363.211,363.211,363.211,0,0
ATG_MV,D,20070918,000000,358.727,358.727,358.727,358.727,0,0
ATG_MV,D,20070919,000000,372.177,372.177,372.177,372.177,0,0
ATG_MV,D,20070920,000000,371.418,371.418,371.418,371.418,0,0
ATG_MV,D,20070921,000000,373.664,373.664,373.664,373.664,0,0
ATG_MV,D,20070924,000000,370.675,370.675,370.675,370.675,0,0
ATG_MV,D,20070925,000000,370.52,370.52,370.52,370.52,0,0
ATG_MV,D,20070926,000000,403.552,403.552,403.552,403.552,0,0
ATG_MV,D,20070927,000000,402.817,402.817,402.817,402.817,0,0
ATG_MV,D,20070928,000000,366.943,366.943,366.943,366.943,0,0
ATG_MV,D,20071001,000000,369.932,369.932,369.932,369.932,0,0
ATG_MV,D,20071002,000000,370.675,370.675,370.675,370.675,0,0
ATG_MV,D,20071003,000000,366.191,366.191,366.191,366.191,0,0
ATG_MV,D,20071004,000000,354.979,354.979,354.979,354.979,0,0
ATG_MV,D,20071005,000000,373.664,373.664,373.664,373.664,0,0
ATG_MV,D,20071008,000000,373.664,373.664,373.664,373.664,0,0
ATG_MV,D,20071009,000000,403.552,403.552,403.552,403.552,0,0
ATG_MV,D,20071010,000000,403.552,403.552,403.552,403.552,0,0
ATG_MV,D,20071011,000000,408.044,408.044,408.044,408.044,0,0
ATG_MV,D,20071012,000000,414.021,414.021,414.021,414.021,0,0
ATG_MV,D,20071015,000000,432.704,432.704,432.704,432.704,0,0
ATG_MV,D,20071016,000000,425.984,425.984,425.984,425.984,0,0
ATG_MV,D,20071017,000000,447.65,447.65,447.65,447.65,0,0
ATG_MV,D,20071018,000000,433.449,433.449,433.449,433.449,0,0
ATG_MV,D,20071019,000000,425.984,425.984,425.984,425.984,0,0
ATG_MV,D,20071022,000000,425.535,425.535,425.535,425.535,0,0
ATG_MV,D,20071023,000000,508.457,508.457,508.457,508.457,0,0
ATG_MV,D,20071024,000000,508.457,508.457,508.457,508.457,0,0
ATG_MV,D,20071025,000000,499.893,499.893,499.893,499.893,0,0
ATG_MV,D,20071026,000000,508.806,508.806,508.806,508.806,0,0
ATG_MV,D,20071029,000000,508.806,508.806,508.806,508.806,0,0
ATG_MV,D,20071030,000000,508.806,508.806,508.806,508.806,0,0
ATG_MV,D,20071031,000000,508.806,508.806,508.806,508.806,0,0
ATG_MV,D,20071102,000000,496.316,496.316,496.316,496.316,0,0
ATG_MV,D,20071105,000000,485.599,485.599,485.599,485.599,0,0
ATG_MV,D,20071106,000000,472.917,472.917,472.917,472.917,0,0
ATG_MV,D,20071107,000000,464.174,464.174,464.174,464.174,0,0
ATG_MV,D,20071108,000000,464.174,464.174,464.174,464.174,0,0
ATG_MV,D,20071109,000000,437.397,464.174,432.048,464.174,0,0
ATG_MV,D,20071112,000000,464.174,464.174,437.567,446.334,0,0
ATG_MV,D,20071113,000000,449.895,455.246,433.829,455.246,0,0
ATG_MV,D,20071114,000000,448.114,453.456,448.114,453.456,0,0
ATG_MV,D,20071115,000000,448.114,448.114,410.614,410.614,0,0
ATG_MV,D,20071116,000000,449.895,449.895,442.741,442.741,0,0
ATG_MV,D,20071119,000000,442.741,442.741,432.048,436.16,0,0
ATG_MV,D,20071120,000000,439.179,439.179,420.625,424.909,0,0
ATG_MV,D,20071121,000000,414.192,414.192,397.762,412.411,0,0
ATG_MV,D,20071122,000000,412.411,437.397,412.411,437.397,0,0
ATG_MV,D,20071123,000000,428.471,428.471,428.471,428.471,0,0
ATG_MV,D,20071126,000000,437.397,437.397,423.127,428.471,0,0
ATG_MV,D,20071127,000000,428.471,428.471,410.614,417.761,0,0
ATG_MV,D,20071128,000000,417.761,417.761,410.614,410.614,0,0
ATG_MV,D,20071129,000000,410.614,428.471,410.614,428.471,0,0
ATG_MV,D,20071130,000000,432.048,446.334,428.471,428.471,0,0
ATG_MV,D,20071203,000000,419.535,419.535,410.614,419.535,0,0
ATG_MV,D,20071204,000000,419.535,419.535,401.687,401.687,0,0
ATG_MV,D,20071205,000000,392.766,428.471,392.766,428.471,0,0
ATG_MV,D,20071206,000000,426.696,435.616,426.696,435.616,0,0
ATG_MV,D,20071207,000000,439.907,446.334,439.907,446.334,0,0
ATG_MV,D,20071210,000000,437.397,437.397,437.397,437.397,0,0
ATG_MV,D,20071211,000000,437.397,437.397,419.535,419.535,0,0
ATG_MV,D,20071212,000000,421.331,437.397,407.053,437.397,0,0
ATG_MV,D,20071213,000000,437.397,437.397,435.616,435.616,0,0
ATG_MV,D,20071214,000000,425.085,437.397,420.625,437.397,0,0
ATG_MV,D,20071217,000000,424.909,437.397,415.98,437.22,0,0
ATG_MV,D,20071219,000000,437.22,437.397,437.22,437.397,0,0
ATG_MV,D,20071220,000000,428.647,437.397,428.647,437.22,0,0
ATG_MV,D,20071221,000000,437.397,437.397,432.048,437.397,0,0
ATG_MV,D,20071227,000000,437.397,471.329,437.397,449.895,0,0
ATG_MV,D,20071228,000000,449.724,449.724,442.926,446.334,0,0
ATG_MV,D,20080102,000000,439.179,439.179,435.616,437.397,0,0
ATG_MV,D,20080103,000000,430.252,430.252,428.471,430.252,0,0
ATG_MV,D,20080104,000000,430.252,437.397,424.909,428.471,0,0
ATG_MV,D,20080108,000000,419.535,419.535,419.535,419.535,0,0
ATG_MV,D,20080109,000000,419.372,419.372,410.614,410.614,0,0
ATG_MV,D,20080110,000000,401.687,401.687,351.696,382.065,0,0
ATG_MV,D,20080111,000000,365.999,382.065,352.593,371.348,0,0
ATG_MV,D,20080114,000000,365.999,365.999,365.999,365.999,0,0
ATG_MV,D,20080115,000000,357.233,365.999,344.565,365.999,0,0
ATG_MV,D,20080116,000000,344.565,344.565,320.452,320.452,0,0
ATG_MV,D,20080117,000000,322.248,324.919,315.102,320.452,0,0
ATG_MV,D,20080118,000000,310.641,321.358,310.641,319.562,0,0
ATG_MV,D,20080121,000000,317.603,317.603,294.574,295.466,0,0
ATG_MV,D,20080122,000000,267.799,295.466,267.799,295.466,0,0
ATG_MV,D,20080123,000000,298.153,298.153,278.508,279.398,0,0
ATG_MV,D,20080124,000000,287.434,299.933,287.434,299.933,0,0
ATG_MV,D,20080125,000000,316,316,301.721,305.284,0,0
ATG_MV,D,20080129,000000,310.641,310.641,310.472,310.472,0,0
ATG_MV,D,20080130,000000,312.437,316,312.437,316,0,0
ATG_MV,D,20080131,000000,312.437,321.358,296.364,321.358,0,0
ATG_MV,D,20080201,000000,357.054,357.054,321.358,321.358,0,0
ATG_MV,D,20080204,000000,317.78,330.278,313.32,330.278,0,0
ATG_MV,D,20080205,000000,313.32,330.278,313.32,330.278,0,0
ATG_MV,D,20080206,000000,323.148,323.148,323.148,323.148,0,0
ATG_MV,D,20080207,000000,319.562,319.562,312.437,313.499,0,0
ATG_MV,D,20080208,000000,314.203,314.203,308.496,308.496,0,0
ATG_MV,D,20080213,000000,307.073,307.073,307.073,307.073,0,0
ATG_MV,D,20080218,000000,323.318,323.318,303.495,303.495,0,0
ATG_MV,D,20080219,000000,299.933,299.933,299.933,299.933,0,0
ATG_MV,D,20080220,000000,304.927,304.927,304.927,304.927,0,0
ATG_MV,D,20080222,000000,292.794,304.749,292.794,304.749,0,0
ATG_MV,D,20080227,000000,304.749,304.749,304.749,304.749,0,0
ATG_MV,D,20080228,000000,303.495,303.495,303.495,303.495,0,0
ATG_MV,D,20080304,000000,304.927,304.927,298.153,298.153,0,0
ATG_MV,D,20080305,000000,294.574,294.574,294.574,294.574,0,0
ATG_MV,D,20080307,000000,280.312,285.654,262.432,262.432,0,0
ATG_MV,D,20080310,000000,264.222,264.222,242.092,242.092,0,0
ATG_MV,D,20080311,000000,232.087,266.009,232.087,247.976,0,0
ATG_MV,D,20080312,000000,253.512,253.512,243.693,251.724,0,0
ATG_MV,D,20080313,000000,229.409,251.724,229.409,249.936,0,0
ATG_MV,D,20080314,000000,249.936,249.936,237.453,247.798,0,0
ATG_MV,D,20080317,000000,253.512,258.87,234.24,250.308,0,0
ATG_MV,D,20080318,000000,251.724,251.724,239.589,244.229,0,0
ATG_MV,D,20080319,000000,239.226,244.949,239.226,244.949,0,0
ATG_MV,D,20080320,000000,235.672,246.373,232.444,245.653,0,0
ATG_MV,D,20080325,000000,242.788,242.788,241.007,241.007,0,0
ATG_MV,D,20080326,000000,242.092,242.092,239.226,242.092,0,0
ATG_MV,D,20080327,000000,248.162,248.162,239.226,239.226,0,0
ATG_MV,D,20080328,000000,238.157,242.788,238.157,242.788,0,0
ATG_MV,D,20080331,000000,251.724,251.724,251.724,251.724,0,0
ATG_MV,D,20080401,000000,251.724,251.724,249.936,251.724,0,0
ATG_MV,D,20080402,000000,260.651,260.651,253.512,253.512,0,0
ATG_MV,D,20080403,000000,243.15,243.15,237.453,237.453,0,0
ATG_MV,D,20080404,000000,248.162,252.799,246.729,252.799,0,0
ATG_MV,D,20080407,000000,252.799,252.799,252.799,252.799,0,0
ATG_MV,D,20080408,000000,241.007,252.799,239.226,252.799,0,0
ATG_MV,D,20080410,000000,249.936,252.799,242.788,249.936,0,0
ATG_MV,D,20080411,000000,249.936,253.512,246.373,253.512,0,0
ATG_MV,D,20080414,000000,248.867,248.867,239.226,245.653,0,0
ATG_MV,D,20080415,000000,243.15,246.017,243.15,245.653,0,0
ATG_MV,D,20080416,000000,246.017,246.017,240.66,242.788,0,0
