<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATP_MV,D,20070813,000000,41.1824,41.1824,41.1824,41.1824,0,0
ATP_MV,D,20070814,000000,41.8216,41.8216,41.8216,41.8216,0,0
ATP_MV,D,20070816,000000,38.9912,38.9912,38.9912,38.9912,0,0
ATP_MV,D,20070817,000000,38.6048,38.6048,38.6048,38.6048,0,0
ATP_MV,D,20070820,000000,41.0193,41.0193,41.0193,41.0193,0,0
ATP_MV,D,20070821,000000,37.9614,37.9614,37.9614,37.9614,0,0
ATP_MV,D,20070822,000000,40.5392,40.5392,40.5392,40.5392,0,0
ATP_MV,D,20070823,000000,39.8619,39.8619,39.8619,39.8619,0,0
ATP_MV,D,20070824,000000,39.8619,39.8619,39.8619,39.8619,0,0
ATP_MV,D,20070827,000000,39.1239,39.1239,39.1239,39.1239,0,0
ATP_MV,D,20070828,000000,39.446,39.446,39.446,39.446,0,0
ATP_MV,D,20070829,000000,40.5392,40.5392,40.5392,40.5392,0,0
ATP_MV,D,20070830,000000,40.0531,40.0531,40.0531,40.0531,0,0
ATP_MV,D,20070831,000000,40.217,40.217,40.217,40.217,0,0
ATP_MV,D,20070903,000000,40.2482,40.2482,40.2482,40.2482,0,0
ATP_MV,D,20070904,000000,40.4072,40.4072,40.4072,40.4072,0,0
ATP_MV,D,20070905,000000,40.217,40.217,40.217,40.217,0,0
ATP_MV,D,20070906,000000,39.8924,39.8924,39.8924,39.8924,0,0
ATP_MV,D,20070907,000000,40.217,40.217,40.217,40.217,0,0
ATP_MV,D,20070910,000000,40.0531,40.0531,40.0531,40.0531,0,0
ATP_MV,D,20070911,000000,39.8924,39.8924,39.8924,39.8924,0,0
ATP_MV,D,20070912,000000,39.8924,39.8924,39.8924,39.8924,0,0
ATP_MV,D,20070913,000000,40.217,40.217,40.217,40.217,0,0
ATP_MV,D,20070914,000000,40.217,40.217,40.217,40.217,0,0
ATP_MV,D,20070917,000000,40.217,40.217,40.217,40.217,0,0
ATP_MV,D,20070918,000000,39.2499,39.2499,39.2499,39.2499,0,0
ATP_MV,D,20070919,000000,39.0909,39.0909,39.0909,39.0909,0,0
ATP_MV,D,20070920,000000,39.2499,39.2499,39.2499,39.2499,0,0
ATP_MV,D,20070921,000000,40.0531,40.0531,40.0531,40.0531,0,0
ATP_MV,D,20070924,000000,39.0909,39.0909,39.0909,39.0909,0,0
ATP_MV,D,20070925,000000,38.9286,38.9286,38.9286,38.9286,0,0
ATP_MV,D,20070926,000000,38.2514,38.2514,38.2514,38.2514,0,0
ATP_MV,D,20070927,000000,39.8924,39.8924,39.8924,39.8924,0,0
ATP_MV,D,20070928,000000,38.6048,38.6048,38.6048,38.6048,0,0
ATP_MV,D,20071001,000000,38.6048,38.6048,38.6048,38.6048,0,0
ATP_MV,D,20071002,000000,38.9286,38.9286,38.9286,38.9286,0,0
