<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATS_PE,D,20070813,000000,30.3,30.3,30.3,30.3,0,0
ATS_PE,D,20070814,000000,29.6,29.6,29.6,29.6,0,0
ATS_PE,D,20070816,000000,23.7,23.7,23.7,23.7,0,0
ATS_PE,D,20070817,000000,24.3,24.3,24.3,24.3,0,0
ATS_PE,D,20070820,000000,26.3,26.3,26.3,26.3,0,0
ATS_PE,D,20070821,000000,25,25,25,25,0,0
ATS_PE,D,20070822,000000,26.6,26.6,26.6,26.6,0,0
ATS_PE,D,20070823,000000,27.3,27.3,27.3,27.3,0,0
ATS_PE,D,20070824,000000,28,28,28,28,0,0
ATS_PE,D,20070827,000000,29.6,29.6,29.6,29.6,0,0
ATS_PE,D,20070828,000000,29.2,29.2,29.2,29.2,0,0
ATS_PE,D,20070829,000000,28.7,28.7,28.7,28.7,0,0
ATS_PE,D,20070830,000000,28.6,28.6,28.6,28.6,0,0
ATS_PE,D,20070831,000000,29.4,29.4,29.4,29.4,0,0
ATS_PE,D,20070903,000000,30.3,30.3,30.3,30.3,0,0
ATS_PE,D,20070904,000000,30.6,30.6,30.6,30.6,0,0
ATS_PE,D,20070905,000000,29.6,29.6,29.6,29.6,0,0
ATS_PE,D,20070906,000000,29,29,29,29,0,0
ATS_PE,D,20070907,000000,28.4,28.4,28.4,28.4,0,0
ATS_PE,D,20070910,000000,26.4,26.4,26.4,26.4,0,0
ATS_PE,D,20070911,000000,26.4,26.4,26.4,26.4,0,0
ATS_PE,D,20070912,000000,26.7,26.7,26.7,26.7,0,0
ATS_PE,D,20070913,000000,26.1,26.1,26.1,26.1,0,0
ATS_PE,D,20070914,000000,26,26,26,26,0,0
ATS_PE,D,20070917,000000,26,26,26,26,0,0
ATS_PE,D,20070918,000000,26.3,26.3,26.3,26.3,0,0
ATS_PE,D,20070919,000000,33.6,33.6,33.6,33.6,0,0
ATS_PE,D,20070920,000000,37.6,37.6,37.6,37.6,0,0
ATS_PE,D,20070921,000000,37.1,37.1,37.1,37.1,0,0
ATS_PE,D,20070924,000000,35.4,35.4,35.4,35.4,0,0
ATS_PE,D,20070925,000000,33.4,33.4,33.4,33.4,0,0
ATS_PE,D,20070926,000000,35.4,35.4,35.4,35.4,0,0
ATS_PE,D,20070927,000000,35.4,35.4,35.4,35.4,0,0
ATS_PE,D,20070928,000000,34.9,34.9,34.9,34.9,0,0
ATS_PE,D,20071001,000000,33.6,33.6,33.6,33.6,0,0
ATS_PE,D,20071002,000000,33.6,33.6,33.6,33.6,0,0
ATS_PE,D,20071003,000000,33,33,33,33,0,0
ATS_PE,D,20071004,000000,35.6,35.6,35.6,35.6,0,0
