<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AWM_PE,D,20170928,000000,2.48,2.48,2.48,2.48,0,0
AWM_PE,D,20180405,000000,63.5,63.5,63.5,63.5,0,0
AWM_PE,D,20180406,000000,66.3,66.3,62.6,62.6,0,0
AWM_PE,D,20180409,000000,60,61.8,60,61.6,0,0
AWM_PE,D,20180410,000000,61.5,63.3,61.5,62.6,0,0
AWM_PE,D,20180411,000000,63.3,63.5,62.4,63.5,0,0
AWM_PE,D,20180412,000000,61.5,61.5,57.8,59.8,0,0
AWM_PE,D,20180413,000000,55,60.6,55,59.8,0,0
AWM_PE,D,20180416,000000,60.6,60.6,56,58.9,0,0
AWM_PE,D,20180417,000000,55,58.7,55,58,0,0
AWM_PE,D,20180418,000000,55,57.8,53.2,57,0,0
AWM_PE,D,20180419,000000,56,60.6,55,59.8,0,0
AWM_PE,D,20180420,000000,59.6,59.6,57.8,58.9,0,0
AWM_PE,D,20180423,000000,58.7,58.9,58.7,58.9,0,0
AWM_PE,D,20180424,000000,58.7,60.6,56,59.8,0,0
AWM_PE,D,20180425,000000,60.6,61.5,58.7,58.9,0,0
AWM_PE,D,20180426,000000,58.7,60.6,57.8,59.8,0,0
AWM_PE,D,20180427,000000,58.7,60.7,56,60.7,0,0
AWM_PE,D,20180430,000000,59.6,60.6,59.6,59.8,0,0
AWM_PE,D,20180502,000000,61.5,61.5,57.8,58,0,0
AWM_PE,D,20180504,000000,57.8,60.6,56.9,59.8,0,0
AWM_PE,D,20180507,000000,58.7,59.8,56.9,59.8,0,0
AWM_PE,D,20180508,000000,57.8,59.6,56.9,58,0,0
AWM_PE,D,20180509,000000,57.8,58,56.9,58,0,0
AWM_PE,D,20180510,000000,55,57.8,54.1,54.3,0,0
AWM_PE,D,20180511,000000,54.1,56,54.1,54.3,0,0
AWM_PE,D,20180514,000000,56,56,51.4,55.2,0,0
AWM_PE,D,20180515,000000,55,55,51.4,54.3,0,0
AWM_PE,D,20180516,000000,54.1,54.3,54.1,54.3,0,0
AWM_PE,D,20180517,000000,54.1,54.3,52.3,54.3,0,0
AWM_PE,D,20180518,000000,52.3,55,31.9,31.9,0,0
AWM_PE,D,20180521,000000,32.4,32.4,30.8,31.9,0,0
AWM_PE,D,20180522,000000,32.4,35.2,31.9,35.2,0,0
AWM_PE,D,20180523,000000,35.2,35.2,33.5,35.2,0,0
AWM_PE,D,20180524,000000,35.2,36.3,34.6,35.8,0,0
AWM_PE,D,20180525,000000,33.5,35.7,33.5,33.6,0,0
AWM_PE,D,20180528,000000,35.2,40.7,33,40.7,0,0
AWM_PE,D,20180529,000000,41.8,44,39,42.3,0,0
AWM_PE,D,20180530,000000,43.4,44,40.7,41.8,0,0
AWM_PE,D,20180601,000000,39.6,41.8,38.5,39.6,0,0
AWM_PE,D,20180604,000000,41.2,41.8,38.5,40.2,0,0
AWM_PE,D,20180605,000000,41.2,41.8,39.6,41.8,0,0
AWM_PE,D,20180606,000000,41.8,48.9,40.7,47.3,0,0
AWM_PE,D,20180607,000000,48.4,50,46.7,49,0,0
AWM_PE,D,20180608,000000,48.9,48.9,45.6,46.8,0,0
AWM_PE,D,20180611,000000,47.8,47.8,45.1,45.1,0,0
AWM_PE,D,20180612,000000,44,47.3,44,46.2,0,0
AWM_PE,D,20180613,000000,45.1,47.3,44,44,0,0
AWM_PE,D,20180614,000000,45.1,45.6,44,44.6,0,0
AWM_PE,D,20180615,000000,45.6,45.6,43.4,44.6,0,0
AWM_PE,D,20180618,000000,44.5,44.5,40.7,40.7,0,0
AWM_PE,D,20180619,000000,40.7,43.4,40.7,41.8,0,0
AWM_PE,D,20180620,000000,41.8,42.4,40.7,42.4,0,0
AWM_PE,D,20180621,000000,42.3,42.9,41.2,42.9,0,0
AWM_PE,D,20180622,000000,41.8,43.4,41.2,41.3,0,0
AWM_PE,D,20180625,000000,42.9,42.9,41.8,41.8,0,0
AWM_PE,D,20180626,000000,41.8,42.4,41.2,42.4,0,0
AWM_PE,D,20180627,000000,41.2,41.2,39.6,40.7,0,0
AWM_PE,D,20180628,000000,39.6,40.7,39.6,40.2,0,0
AWM_PE,D,20180629,000000,39.6,42.3,39.6,39.6,0,0
AWM_PE,D,20180702,000000,39,41.2,39,40.2,0,0
AWM_PE,D,20180703,000000,41.2,42.9,41.2,42.4,0,0
AWM_PE,D,20180704,000000,42.9,42.9,41.2,41.8,0,0
AWM_PE,D,20180705,000000,42.3,42.3,39.6,41.3,0,0
AWM_PE,D,20180706,000000,41.8,41.8,41.8,41.8,0,0
AWM_PE,D,20180709,000000,41.8,41.8,39,39.1,0,0
AWM_PE,D,20180710,000000,39.6,42.9,39.6,40.2,0,0
AWM_PE,D,20180711,000000,40.7,44,40.7,42.4,0,0
AWM_PE,D,20180712,000000,42.9,46.2,42.9,45.1,0,0
AWM_PE,D,20180713,000000,45.1,46.2,45.1,46.2,0,0
AWM_PE,D,20180716,000000,46.2,46.2,44,44,0,0
AWM_PE,D,20180717,000000,44,44,42.9,42.9,0,0
AWM_PE,D,20180718,000000,42.9,45.1,42.9,45.1,0,0
AWM_PE,D,20180719,000000,43.4,45.1,43.4,43.5,0,0
AWM_PE,D,20180720,000000,43.4,44.6,43.4,44.6,0,0
AWM_PE,D,20180723,000000,43.4,44.6,43.4,44.6,0,0
AWM_PE,D,20180724,000000,44.5,45.6,42.3,45.1,0,0
AWM_PE,D,20180725,000000,44.5,48.9,44.5,45.7,0,0
AWM_PE,D,20180726,000000,47.8,48.4,45.6,46.8,0,0
AWM_PE,D,20180727,000000,47.3,47.8,46.7,46.8,0,0
AWM_PE,D,20180730,000000,46.2,46.8,45.1,46.8,0,0
AWM_PE,D,20180731,000000,46.2,46.2,45.1,46.2,0,0
AWM_PE,D,20180801,000000,46.2,46.2,45.1,46.2,0,0
AWM_PE,D,20180802,000000,45.1,48.4,44.5,48.4,0,0
AWM_PE,D,20180803,000000,48.4,48.4,45.6,46.2,0,0
AWM_PE,D,20180806,000000,45.1,46.2,45.1,46.2,0,0
AWM_PE,D,20180807,000000,46.2,46.2,45.1,45.7,0,0
AWM_PE,D,20180808,000000,45.6,45.6,44.5,45.1,0,0
AWM_PE,D,20180809,000000,43.4,45.1,43.4,44.6,0,0
AWM_PE,D,20180810,000000,43.4,44.5,43.4,44,0,0
AWM_PE,D,20180813,000000,42.9,45.1,42.9,44.6,0,0
AWM_PE,D,20180814,000000,43.4,45.6,43.4,44.6,0,0
AWM_PE,D,20180816,000000,44,45.1,44,45.1,0,0
AWM_PE,D,20180817,000000,44,44.6,43.4,44.6,0,0
AWM_PE,D,20180820,000000,44.5,48.4,44,48.4,0,0
AWM_PE,D,20180821,000000,48.9,48.9,45.1,46.2,0,0
AWM_PE,D,20180822,000000,45.6,49.5,45.6,49,0,0
AWM_PE,D,20180823,000000,50.5,61.1,49.5,61.1,0,0
AWM_PE,D,20180824,000000,61,61.5,57.1,57.2,0,0
AWM_PE,D,20180827,000000,58.2,59.9,50.5,50.6,0,0
AWM_PE,D,20180828,000000,51.6,55.5,49.5,50.6,0,0
AWM_PE,D,20180829,000000,51.1,52.2,48.4,51.2,0,0
AWM_PE,D,20180830,000000,52.2,52.7,49.5,51.2,0,0
AWM_PE,D,20180831,000000,52.2,52.2,49.5,50.6,0,0
AWM_PE,D,20180903,000000,51.6,51.6,49.5,50.6,0,0
AWM_PE,D,20180904,000000,49.5,50.5,47.3,49,0,0
AWM_PE,D,20180905,000000,47.8,48.4,45.6,47.9,0,0
AWM_PE,D,20180906,000000,45.6,46.7,41.8,41.8,0,0
AWM_PE,D,20180907,000000,41.2,43.5,41.2,43.5,0,0
AWM_PE,D,20180910,000000,42.9,44.5,42.3,44,0,0
AWM_PE,D,20180911,000000,42.9,45.1,42.3,45.1,0,0
AWM_PE,D,20180912,000000,44,46.7,43.4,45.7,0,0
AWM_PE,D,20180913,000000,45.6,47.3,45.6,47.3,0,0
AWM_PE,D,20180914,000000,47.3,50,46.2,46.2,0,0
AWM_PE,D,20180917,000000,46.2,47.3,46.2,46.8,0,0
AWM_PE,D,20180918,000000,47.3,49.5,46.2,49,0,0
AWM_PE,D,20180919,000000,48.4,48.9,44.5,44.6,0,0
AWM_PE,D,20180920,000000,45.6,46.2,44,45.7,0,0
AWM_PE,D,20180921,000000,44.5,45.1,43.4,45.1,0,0
AWM_PE,D,20180924,000000,45.1,46.2,44,45.1,0,0
AWM_PE,D,20180925,000000,45.1,45.1,43.4,44.6,0,0
AWM_PE,D,20180926,000000,44.5,45.1,42.3,44,0,0
AWM_PE,D,20180927,000000,44,44,42.9,43.5,0,0
AWM_PE,D,20180928,000000,44,46.8,42.9,46.8,0,0
AWM_PE,D,20181001,000000,45.6,47.3,45.6,46.8,0,0
AWM_PE,D,20181002,000000,45.6,62.6,44.5,62.6,0,0
AWM_PE,D,20181003,000000,62.8,62.8,60.5,62.6,0,0
AWM_PE,D,20181004,000000,61.2,62.8,61.2,62.6,0,0
AWM_PE,D,20181005,000000,62.8,62.8,61.2,62.6,0,0
AWM_PE,D,20181008,000000,61.2,62.8,60.5,62.6,0,0
AWM_PE,D,20181009,000000,61.2,62,60.3,60.3,0,0
AWM_PE,D,20181010,000000,62,62,61.2,61.8,0,0
AWM_PE,D,20181011,000000,59.7,60.5,58.7,58.7,0,0
AWM_PE,D,20181012,000000,58.9,61.2,58.1,59.5,0,0
AWM_PE,D,20181015,000000,58.1,59.7,56.6,57.2,0,0
AWM_PE,D,20181016,000000,58.1,59.7,54.3,55.6,0,0
AWM_PE,D,20181017,000000,55.8,56.6,52.7,56.4,0,0
AWM_PE,D,20181018,000000,53.5,57.4,52.7,54.9,0,0
AWM_PE,D,20181019,000000,55,56.6,54.3,55.6,0,0
AWM_PE,D,20181022,000000,54.3,56.6,53.5,56.4,0,0
AWM_PE,D,20181023,000000,56.6,56.6,51.9,52.5,0,0
AWM_PE,D,20181024,000000,53.1,53.3,51.5,53.3,0,0
AWM_PE,D,20181025,000000,51.2,53.5,51.2,53.3,0,0
AWM_PE,D,20181026,000000,53.5,55.8,53.5,55.6,0,0
AWM_PE,D,20181029,000000,55.8,55.8,51.8,51.8,0,0
AWM_PE,D,20181030,000000,53.5,53.5,52.7,53.3,0,0
AWM_PE,D,20181031,000000,52.7,53.5,51.2,52.5,0,0
AWM_PE,D,20181102,000000,53.1,54.1,52.3,54.1,0,0
AWM_PE,D,20181105,000000,52.7,54.3,51.9,54.1,0,0
AWM_PE,D,20181106,000000,53.5,55,52.7,54.9,0,0
AWM_PE,D,20181107,000000,55,55,51.9,54.1,0,0
AWM_PE,D,20181108,000000,54.3,54.3,52.7,54.1,0,0
AWM_PE,D,20181109,000000,52.7,55,52.7,53.3,0,0
AWM_PE,D,20181113,000000,52.7,54.3,51.8,51.8,0,0
AWM_PE,D,20181114,000000,53.5,53.5,51.9,53.3,0,0
AWM_PE,D,20181115,000000,51.9,51.9,51.2,51.9,0,0
AWM_PE,D,20220919,000000,9,9,9,9,0,0
AWM_PE,D,20220920,000000,8.3,9.1,8.2,9.1,0,0
AWM_PE,D,20220921,000000,9.4,9.4,8.9,9.4,0,0
AWM_PE,D,20220922,000000,9.5,9.6,8.7,8.8,0,0
AWM_PE,D,20220923,000000,9,9,8.2,8.4,0,0
AWM_PE,D,20220926,000000,8.5,8.7,8.2,8.3,0,0
AWM_PE,D,20220927,000000,8.4,8.4,7.7,8.1,0,0
AWM_PE,D,20220928,000000,8.2,8.2,7.8,8,0,0
AWM_PE,D,20220929,000000,8.1,8.4,7.6,7.6,0,0
AWM_PE,D,20220930,000000,7.9,8.1,7.5,7.6,0,0
AWM_PE,D,20221003,000000,7.6,7.8,7.4,7.4,0,0
AWM_PE,D,20221004,000000,7.6,7.6,7.3,7.3,0,0
AWM_PE,D,20221005,000000,7.5,7.5,7.2,7.5,0,0
AWM_PE,D,20221006,000000,7.4,7.5,6.9,7.1,0,0
AWM_PE,D,20221007,000000,7.1,7.1,6.7,6.9,0,0
AWM_PE,D,20221010,000000,6.9,7,6.6,6.7,0,0
AWM_PE,D,20221011,000000,6.5,6.7,6.2,6.6,0,0
AWM_PE,D,20221012,000000,6.6,6.6,6.2,6.4,0,0
AWM_PE,D,20221013,000000,6.4,6.4,5.9,6,0,0
AWM_PE,D,20221014,000000,6.3,6.8,5.9,6.8,0,0
AWM_PE,D,20221017,000000,6.8,7.2,6.6,6.8,0,0
AWM_PE,D,20221018,000000,6.8,7.1,6.4,7.1,0,0
AWM_PE,D,20221019,000000,7.4,7.5,6.3,6.4,0,0
AWM_PE,D,20221020,000000,6.2,6.7,5.6,5.8,0,0
AWM_PE,D,20221021,000000,5.7,5.8,5.1,5.5,0,0
AWM_PE,D,20221024,000000,5.1,5.4,5,5,0,0
AWM_PE,D,20221025,000000,4.7,5.5,4.7,5.1,0,0
AWM_PE,D,20221026,000000,5.4,5.8,5.4,5.8,0,0
AWM_PE,D,20221027,000000,5.8,5.9,5.5,5.8,0,0
AWM_PE,D,20221028,000000,5.8,5.8,5.5,5.7,0,0
AWM_PE,D,20221031,000000,5.8,6.6,5.8,6.5,0,0
AWM_PE,D,20221102,000000,6.7,6.7,6.1,6.4,0,0
AWM_PE,D,20221103,000000,6.4,6.7,6.2,6.6,0,0
AWM_PE,D,20221104,000000,6.4,6.7,6.3,6.4,0,0
AWM_PE,D,20221107,000000,6.4,6.7,6.3,6.6,0,0
AWM_PE,D,20221108,000000,6.6,7.1,6.4,7.1,0,0
AWM_PE,D,20221109,000000,6.9,7.1,6.6,6.8,0,0
AWM_PE,D,20221110,000000,6.5,6.8,6.2,6.6,0,0
AWM_PE,D,20221114,000000,6.6,6.7,6.2,6.5,0,0
AWM_PE,D,20221115,000000,6.5,6.5,6.1,6.3,0,0
AWM_PE,D,20221116,000000,6.3,6.6,5.9,6.6,0,0
AWM_PE,D,20221117,000000,6.6,6.6,6.2,6.5,0,0
AWM_PE,D,20221118,000000,6.5,6.5,6.2,6.5,0,0
AWM_PE,D,20221121,000000,6.5,6.5,6.3,6.4,0,0
AWM_PE,D,20221122,000000,6.1,6.7,6.1,6.5,0,0
AWM_PE,D,20221123,000000,6.5,6.6,6.1,6.2,0,0
AWM_PE,D,20221124,000000,6.4,6.6,6.3,6.5,0,0
AWM_PE,D,20221125,000000,6.6,6.6,6.4,6.6,0,0
AWM_PE,D,20221128,000000,6.5,6.8,6.3,6.3,0,0
AWM_PE,D,20221129,000000,6.5,6.6,6.3,6.6,0,0
