<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
B24_PB,D,20180130,000000,99.56,99.56,99.56,99.56,0,0
B24_PB,D,20180131,000000,100.81,110.38,99.98,99.98,0,0
B24_PB,D,20180201,000000,101.23,101.23,90.19,91.65,0,0
B24_PB,D,20180202,000000,93.52,93.52,83.35,88.69,0,0
B24_PB,D,20180205,000000,88.69,89.56,81.25,82.83,0,0
B24_PB,D,20180206,000000,75.02,80.48,72.9,76,0,0
B24_PB,D,20180207,000000,81.23,91.65,77.06,88.52,0,0
B24_PB,D,20180208,000000,88.52,92.48,83.52,91.42,0,0
B24_PB,D,20180209,000000,87.48,91.33,84.35,91.33,0,0
B24_PB,D,20180212,000000,91.33,95.19,89.56,91.65,0,0
B24_PB,D,20180213,000000,91.85,91.85,85.42,91.65,0,0
B24_PB,D,20180214,000000,91.65,91.65,89.56,89.56,0,0
B24_PB,D,20180215,000000,90.6,92.69,90.6,91.65,0,0
B24_PB,D,20180216,000000,91.65,91.65,87.48,87.58,0,0
B24_PB,D,20180219,000000,84.56,90.4,84.56,90.4,0,0
B24_PB,D,20180220,000000,89.56,90.58,89.56,90.58,0,0
B24_PB,D,20180221,000000,90.4,90.58,89.56,90.58,0,0
B24_PB,D,20180222,000000,90.6,91.65,90.6,91.65,0,0
B24_PB,D,20180223,000000,92.69,96.85,91.56,91.56,0,0
B24_PB,D,20180226,000000,93.1,97.9,93.1,97.9,0,0
B24_PB,D,20180227,000000,95.81,95.81,93.73,95.81,0,0
B24_PB,D,20180228,000000,94.77,94.77,91.85,91.85,0,0
B24_PB,D,20180301,000000,94.77,94.77,90.6,90.6,0,0
B24_PB,D,20180302,000000,92.9,93.73,91.65,91.65,0,0
B24_PB,D,20180305,000000,92.69,95.81,92.69,93.73,0,0
B24_PB,D,20180306,000000,91.65,99.77,91.65,97.9,0,0
B24_PB,D,20180307,000000,97.9,98.94,96.85,96.85,0,0
B24_PB,D,20180308,000000,99.77,105.19,99.15,105.19,0,0
B24_PB,D,20180309,000000,102.06,105.19,99.98,99.98,0,0
B24_PB,D,20180312,000000,103.94,103.94,97.9,103.73,0,0
B24_PB,D,20180313,000000,102.06,102.06,102.06,102.06,0,0
B24_PB,D,20180314,000000,102.06,102.06,101.02,101.02,0,0
B24_PB,D,20180315,000000,101.02,102.06,101.02,101.02,0,0
B24_PB,D,20180316,000000,102.06,102.06,98.52,101.02,0,0
B24_PB,D,20180319,000000,101.02,110.4,101.02,105.19,0,0
B24_PB,D,20180320,000000,105.19,108.31,105.19,106.23,0,0
B24_PB,D,20180321,000000,106.23,108.83,106.23,108.31,0,0
B24_PB,D,20180322,000000,108.31,120.8,108.31,114.45,0,0
B24_PB,D,20180323,000000,110.4,113.51,26.94,26.94,0,0
B24_PB,D,20180326,000000,26.81,28.2,26.81,26.83,0,0
B24_PB,D,20180327,000000,26.94,27.97,26.94,27.72,0,0
B24_PB,D,20180328,000000,27.09,27.09,25.38,25.38,0,0
B24_PB,D,20180329,000000,25.38,27.35,25.38,25.38,0,0
B24_PB,D,20180403,000000,25.91,27.2,25.9,27.2,0,0
B24_PB,D,20180404,000000,27.35,27.35,26.68,27.35,0,0
B24_PB,D,20180405,000000,27.35,27.45,26.78,27.45,0,0
B24_PB,D,20180406,000000,27.45,27.46,26.94,26.94,0,0
B24_PB,D,20180409,000000,26.68,27.46,26.68,27.46,0,0
B24_PB,D,20180410,000000,27.46,27.72,27.2,27.2,0,0
B24_PB,D,20180411,000000,27.92,27.92,26.63,26.63,0,0
B24_PB,D,20180412,000000,26.47,26.47,26.42,26.42,0,0
B24_PB,D,20180413,000000,27.17,27.45,27.17,27.35,0,0
B24_PB,D,20180416,000000,27.35,27.35,25.38,25.38,0,0
B24_PB,D,20180417,000000,26.52,26.52,26.52,26.52,0,0
B24_PB,D,20180418,000000,25.95,27.43,25.95,27.42,0,0
B24_PB,D,20180419,000000,26.42,26.42,26.42,26.42,0,0
B24_PB,D,20180420,000000,26.47,26.47,26.42,26.42,0,0
B24_PB,D,20180423,000000,26.42,26.42,25.9,26.42,0,0
B24_PB,D,20180424,000000,25.9,26.16,25.44,26.11,0,0
B24_PB,D,20180425,000000,25.38,25.46,25.36,25.46,0,0
B24_PB,D,20180426,000000,25.38,25.38,25.23,25.23,0,0
B24_PB,D,20180427,000000,25.38,25.88,25.28,25.88,0,0
B24_PB,D,20180430,000000,25.9,25.9,25.36,25.36,0,0
B24_PB,D,20180502,000000,24.35,24.35,20.62,23.31,0,0
B24_PB,D,20180504,000000,23.78,25.12,23.78,25.12,0,0
B24_PB,D,20180507,000000,25.23,25.38,24.61,24.61,0,0
B24_PB,D,20180508,000000,24.35,25.9,23.83,24.87,0,0
B24_PB,D,20180509,000000,24.61,24.61,22.79,24.35,0,0
B24_PB,D,20180510,000000,24.09,24.09,23.31,23.31,0,0
B24_PB,D,20180511,000000,23.05,25.38,21.24,23.83,0,0
B24_PB,D,20180514,000000,25.25,26.7,23.31,26.7,0,0
B24_PB,D,20180515,000000,27.29,27.29,25.51,25.51,0,0
B24_PB,D,20180516,000000,25.96,25.96,24.92,25.04,0,0
B24_PB,D,20180517,000000,26.7,26.7,26.11,26.11,0,0
B24_PB,D,20180518,000000,26.7,26.7,25.51,26.4,0,0
B24_PB,D,20180521,000000,27.29,28.78,27.29,28.48,0,0
B24_PB,D,20180522,000000,28.48,28.48,27.89,28.18,0,0
B24_PB,D,20180523,000000,28.48,28.48,28.48,28.48,0,0
B24_PB,D,20180524,000000,28.48,28.48,26.64,26.64,0,0
B24_PB,D,20180525,000000,27.29,28.48,27.29,27.29,0,0
B24_PB,D,20180528,000000,27.29,27.59,26.7,26.7,0,0
B24_PB,D,20180529,000000,26.7,28.18,26.7,28.18,0,0
B24_PB,D,20180530,000000,28.12,28.12,28.12,28.12,0,0
B24_PB,D,20180601,000000,27.89,28.18,26.11,26.11,0,0
B24_PB,D,20180604,000000,26.7,27.29,24.92,26.7,0,0
B24_PB,D,20180605,000000,26.7,27.29,26.7,27.29,0,0
B24_PB,D,20180606,000000,26.7,26.7,23.79,26.7,0,0
B24_PB,D,20180607,000000,25.51,26.11,24.33,25.81,0,0
B24_PB,D,20180608,000000,25.81,26.58,24.33,24.33,0,0
B24_PB,D,20180611,000000,25.51,25.51,23.79,25.45,0,0
B24_PB,D,20180612,000000,24.92,25.45,23.73,24.92,0,0
B24_PB,D,20180613,000000,24.8,24.92,23.73,23.73,0,0
B24_PB,D,20180614,000000,23.73,24.8,23.73,24.8,0,0
B24_PB,D,20180615,000000,24.56,24.56,23.44,23.79,0,0
B24_PB,D,20180618,000000,24.03,24.33,23.97,24.33,0,0
B24_PB,D,20180619,000000,24.33,24.33,23.44,24.03,0,0
B24_PB,D,20180620,000000,24.03,24.56,24.03,24.33,0,0
B24_PB,D,20180621,000000,23.73,24.09,23.73,24.09,0,0
B24_PB,D,20180622,000000,23.73,23.73,22.31,22.84,0,0
B24_PB,D,20180625,000000,22.25,23.05,22.25,23.05,0,0
B24_PB,D,20180626,000000,23.05,23.11,23.05,23.11,0,0
B24_PB,D,20180627,000000,23.44,23.44,23.11,23.11,0,0
B24_PB,D,20180628,000000,23.14,23.14,22.55,22.55,0,0
B24_PB,D,20180629,000000,22.55,23.14,22.55,23.14,0,0
B24_PB,D,20180702,000000,22.31,24.33,22.31,24.33,0,0
B24_PB,D,20180703,000000,23.26,24.33,23.26,23.79,0,0
B24_PB,D,20180704,000000,23.79,23.79,23.79,23.79,0,0
B24_PB,D,20180705,000000,24.03,24.03,24.03,24.03,0,0
B24_PB,D,20180706,000000,23.14,24.03,22.84,23.44,0,0
B24_PB,D,20180709,000000,24.33,24.33,23.44,23.44,0,0
B24_PB,D,20180710,000000,23.55,23.55,23.55,23.55,0,0
B24_PB,D,20180711,000000,24.33,24.33,23.14,23.14,0,0
B24_PB,D,20180712,000000,23.14,23.37,23.14,23.37,0,0
B24_PB,D,20180713,000000,21.06,22.78,21.06,22.25,0,0
B24_PB,D,20180716,000000,22.55,22.55,22.55,22.55,0,0
B24_PB,D,20180717,000000,22.55,22.55,22.25,22.25,0,0
B24_PB,D,20180718,000000,22.96,22.96,22.55,22.55,0,0
B24_PB,D,20180719,000000,22.96,23.08,22.55,22.55,0,0
B24_PB,D,20180720,000000,23.08,23.08,23.08,23.08,0,0
B24_PB,D,20180723,000000,23.14,23.14,23.14,23.14,0,0
B24_PB,D,20180724,000000,23.14,23.14,22.55,23.11,0,0
B24_PB,D,20180725,000000,23.11,23.11,22.55,23.11,0,0
B24_PB,D,20180726,000000,23.11,23.11,22.55,23.11,0,0
B24_PB,D,20180727,000000,23.11,23.13,22.55,22.55,0,0
B24_PB,D,20180730,000000,22.55,23.14,22.55,23.14,0,0
B24_PB,D,20180731,000000,23.11,23.26,22.55,23.26,0,0
B24_PB,D,20180802,000000,23.26,23.26,22.84,22.84,0,0
B24_PB,D,20180803,000000,23.14,23.14,22.55,22.55,0,0
B24_PB,D,20180806,000000,23.08,23.14,23.08,23.14,0,0
B24_PB,D,20180807,000000,23.14,23.14,23.14,23.14,0,0
B24_PB,D,20180808,000000,23.14,23.14,21.96,23.05,0,0
B24_PB,D,20180809,000000,23.05,23.14,21.99,23.14,0,0
B24_PB,D,20180810,000000,23.14,23.14,23.14,23.14,0,0
B24_PB,D,20180813,000000,23.14,23.14,23.14,23.14,0,0
B24_PB,D,20180814,000000,23.14,24.51,23.14,24.51,0,0
B24_PB,D,20180816,000000,24.45,24.45,24.45,24.45,0,0
B24_PB,D,20180817,000000,24.45,24.45,24.32,24.45,0,0
B24_PB,D,20180820,000000,24.45,24.45,24.32,24.32,0,0
B24_PB,D,20180821,000000,24.45,24.45,24.45,24.45,0,0
B24_PB,D,20180822,000000,24.45,24.51,24.45,24.51,0,0
B24_PB,D,20180823,000000,24.45,24.45,23.82,23.82,0,0
B24_PB,D,20180824,000000,24.45,24.51,24.45,24.51,0,0
B24_PB,D,20180827,000000,24.63,26.94,24.45,24.45,0,0
B24_PB,D,20180828,000000,24.45,24.45,23.82,24.45,0,0
B24_PB,D,20180829,000000,24.45,24.45,23.5,23.76,0,0
B24_PB,D,20180830,000000,23.76,23.79,23.76,23.76,0,0
B24_PB,D,20180831,000000,23.76,23.79,23.19,23.79,0,0
B24_PB,D,20180903,000000,23.76,23.76,23.19,23.72,0,0
B24_PB,D,20180904,000000,23.13,23.63,23,23,0,0
B24_PB,D,20180905,000000,22.88,22.88,21.56,21.56,0,0
B24_PB,D,20180906,000000,22.25,22.25,19.18,21.31,0,0
B24_PB,D,20180907,000000,21.94,22.25,20.5,21.31,0,0
B24_PB,D,20180910,000000,19.24,20,18.81,19.5,0,0
B24_PB,D,20180911,000000,20.06,21.94,20.06,21.94,0,0
B24_PB,D,20180912,000000,21.12,23.79,20.31,23.79,0,0
B24_PB,D,20180913,000000,24.6,24.6,23.07,24.35,0,0
B24_PB,D,20180914,000000,24.45,24.45,24.42,24.42,0,0
B24_PB,D,20180917,000000,24.38,24.38,23.25,23.82,0,0
B24_PB,D,20180918,000000,24.38,24.38,23.82,23.82,0,0
B24_PB,D,20180919,000000,23.19,23.19,23.19,23.19,0,0
B24_PB,D,20180920,000000,23.19,23.81,23.19,23.81,0,0
B24_PB,D,20180921,000000,23.75,23.75,22.88,22.88,0,0
B24_PB,D,20180924,000000,22.38,22.38,20.75,20.75,0,0
B24_PB,D,20180925,000000,21.31,22.81,21.31,22.81,0,0
B24_PB,D,20180928,000000,22.87,23.19,22.87,23.19,0,0
B24_PB,D,20181001,000000,22.25,22.88,21.62,22.88,0,0
B24_PB,D,20181002,000000,22.88,22.88,22.88,22.88,0,0
B24_PB,D,20181003,000000,22.88,23.57,22.88,23.57,0,0
B24_PB,D,20181004,000000,23.69,23.69,23.69,23.69,0,0
B24_PB,D,20181005,000000,23.69,23.69,22.88,22.88,0,0
B24_PB,D,20181008,000000,22.25,22.25,21.62,21.94,0,0
B24_PB,D,20181009,000000,21.62,21.62,21.62,21.62,0,0
B24_PB,D,20181010,000000,21.66,21.94,21.66,21.66,0,0
B24_PB,D,20181011,000000,21.31,21.31,19.48,21.31,0,0
B24_PB,D,20181012,000000,22.56,22.88,22.31,22.56,0,0
B24_PB,D,20181015,000000,20.06,23.44,20.06,21.94,0,0
B24_PB,D,20181016,000000,20.68,22.56,20.06,22.56,0,0
B24_PB,D,20181017,000000,22.56,22.56,21.31,21.31,0,0
B24_PB,D,20181018,000000,21.31,21.31,21.31,21.31,0,0
B24_PB,D,20181019,000000,21.94,21.94,21.94,21.94,0,0
B24_PB,D,20181022,000000,22.56,22.56,21.94,22.25,0,0
B24_PB,D,20181023,000000,21.62,22.56,21.62,22.56,0,0
B24_PB,D,20181024,000000,22.25,22.25,22.25,22.25,0,0
B24_PB,D,20181025,000000,21.94,21.94,21.94,21.94,0,0
B24_PB,D,20181026,000000,22.56,22.56,21.31,21.31,0,0
B24_PB,D,20181029,000000,22.25,22.25,21.94,21.94,0,0
B24_PB,D,20181031,000000,21.94,22.25,20.31,22.25,0,0
B24_PB,D,20181102,000000,22.25,22.25,20.44,21.81,0,0
B24_PB,D,20181105,000000,22.06,22.06,22.06,22.06,0,0
B24_PB,D,20181106,000000,21.94,21.94,21.94,21.94,0,0
B24_PB,D,20181107,000000,22.06,22.06,22.06,22.06,0,0
B24_PB,D,20181108,000000,22.56,22.56,21.94,22.44,0,0
B24_PB,D,20181109,000000,22.19,22.19,22.19,22.19,0,0
B24_PB,D,20181113,000000,21.5,21.5,21.5,21.5,0,0
B24_PB,D,20181114,000000,21.94,22.75,21.94,22.75,0,0
B24_PB,D,20181116,000000,23.07,23.07,22.75,22.75,0,0
B24_PB,D,20181119,000000,22.81,22.81,21.98,21.98,0,0
B24_PB,D,20181120,000000,21.92,21.92,21.92,21.92,0,0
B24_PB,D,20181121,000000,22.11,22.11,22.11,22.11,0,0
B24_PB,D,20181122,000000,22.11,22.11,22.11,22.11,0,0
B24_PB,D,20181126,000000,22.72,23.2,22.43,23.2,0,0
B24_PB,D,20181127,000000,23.2,23.39,22.94,23.03,0,0
B24_PB,D,20181128,000000,23.48,23.48,23.48,23.48,0,0
B24_PB,D,20181129,000000,22.84,23.8,22.84,23.8,0,0
B24_PB,D,20181130,000000,23.8,23.8,23.8,23.8,0,0
B24_PB,D,20181203,000000,24.06,24.45,24.06,24.45,0,0
B24_PB,D,20181204,000000,24.45,24.45,23.8,23.8,0,0
B24_PB,D,20181205,000000,24.45,25.09,23.88,25.09,0,0
B24_PB,D,20181206,000000,23.88,25.09,23.87,25.09,0,0
B24_PB,D,20181207,000000,25.09,25.09,24.45,24.45,0,0
B24_PB,D,20181210,000000,23.16,23.8,22.84,23.8,0,0
B24_PB,D,20181211,000000,23.8,24.03,23.8,24.03,0,0
B24_PB,D,20181212,000000,24.03,24.03,23.16,23.16,0,0
B24_PB,D,20181213,000000,23.16,23.8,22.84,23.8,0,0
B24_PB,D,20181214,000000,23.77,23.77,23.77,23.77,0,0
B24_PB,D,20181217,000000,23.8,23.8,23.16,23.16,0,0
B24_PB,D,20181218,000000,23.8,23.8,23.16,23.8,0,0
B24_PB,D,20181219,000000,23.16,23.16,23.16,23.16,0,0
B24_PB,D,20181220,000000,23.16,23.16,22.52,22.52,0,0
B24_PB,D,20181221,000000,22.39,22.52,22.13,22.2,0,0
B24_PB,D,20181227,000000,22.52,23.16,22.52,23.16,0,0
B24_PB,D,20181228,000000,23.8,23.8,22.84,22.84,0,0
B24_PB,D,20190102,000000,22.97,22.97,22.45,22.52,0,0
B24_PB,D,20190103,000000,23.8,25.09,23.8,23.87,0,0
B24_PB,D,20190104,000000,23.87,23.87,23.8,23.8,0,0
B24_PB,D,20190107,000000,23.8,23.8,23.77,23.77,0,0
B24_PB,D,20190108,000000,23.8,23.8,23.16,23.16,0,0
B24_PB,D,20190109,000000,22.65,23.48,22.65,23.48,0,0
B24_PB,D,20190110,000000,23.48,24.77,23.48,24.77,0,0
B24_PB,D,20190111,000000,24.83,24.83,24.51,24.51,0,0
B24_PB,D,20190114,000000,24.77,24.77,24.45,24.45,0,0
B24_PB,D,20190115,000000,24.77,24.77,24.77,24.77,0,0
B24_PB,D,20190116,000000,24.13,24.45,24.06,24.45,0,0
B24_PB,D,20190117,000000,24.45,24.45,24.45,24.45,0,0
B24_PB,D,20190118,000000,24.45,24.45,24.42,24.42,0,0
B24_PB,D,20190121,000000,24.42,24.42,24.42,24.42,0,0
B24_PB,D,20190122,000000,24.16,24.29,24.06,24.06,0,0
B24_PB,D,20190123,000000,24.06,24.06,24.06,24.06,0,0
B24_PB,D,20190124,000000,24.06,24.26,24.06,24.26,0,0
B24_PB,D,20190125,000000,24.06,24.06,23.8,23.8,0,0
B24_PB,D,20190128,000000,23.36,23.36,23.16,23.16,0,0
B24_PB,D,20190129,000000,23.8,23.8,23.48,23.48,0,0
B24_PB,D,20190130,000000,23.48,23.48,23.16,23.16,0,0
B24_PB,D,20190201,000000,23.16,23.8,23.16,23.8,0,0
B24_PB,D,20190204,000000,23.93,24.45,23.93,24.38,0,0
B24_PB,D,20190205,000000,23.8,24.13,23.8,24.13,0,0
B24_PB,D,20190206,000000,24.13,24.35,24.13,24.35,0,0
