<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBD_PE,D,20070813,000000,85.3,85.3,85.3,85.3,0,0
BBD_PE,D,20070814,000000,83.1,83.1,83.1,83.1,0,0
BBD_PE,D,20070816,000000,69.1,69.1,69.1,69.1,0,0
BBD_PE,D,20070817,000000,70.8,70.8,70.8,70.8,0,0
BBD_PE,D,20070820,000000,78,78,78,78,0,0
BBD_PE,D,20070821,000000,82.5,82.5,82.5,82.5,0,0
BBD_PE,D,20070822,000000,100.3,100.3,100.3,100.3,0,0
BBD_PE,D,20070823,000000,105.9,105.9,105.9,105.9,0,0
BBD_PE,D,20070824,000000,114.3,114.3,114.3,114.3,0,0
BBD_PE,D,20070827,000000,109.3,109.3,109.3,109.3,0,0
BBD_PE,D,20070828,000000,105.4,105.4,105.4,105.4,0,0
BBD_PE,D,20070829,000000,106.5,106.5,106.5,106.5,0,0
BBD_PE,D,20070830,000000,63.2,63.2,63.2,63.2,0,0
BBD_PE,D,20070831,000000,64.5,64.5,64.5,64.5,0,0
BBD_PE,D,20070903,000000,65.5,65.5,65.5,65.5,0,0
BBD_PE,D,20070904,000000,65.5,65.5,65.5,65.5,0,0
BBD_PE,D,20070905,000000,63.8,63.8,63.8,63.8,0,0
BBD_PE,D,20070906,000000,61.5,61.5,61.5,61.5,0,0
BBD_PE,D,20070907,000000,58.8,58.8,58.8,58.8,0,0
BBD_PE,D,20070910,000000,56.4,56.4,56.4,56.4,0,0
BBD_PE,D,20070911,000000,57.8,57.8,57.8,57.8,0,0
BBD_PE,D,20070912,000000,56.1,56.1,56.1,56.1,0,0
BBD_PE,D,20070913,000000,58.8,58.8,58.8,58.8,0,0
BBD_PE,D,20070914,000000,57.8,57.8,57.8,57.8,0,0
BBD_PE,D,20070917,000000,56.4,56.4,56.4,56.4,0,0
BBD_PE,D,20070918,000000,57.1,57.1,57.1,57.1,0,0
BBD_PE,D,20070919,000000,60.1,60.1,60.1,60.1,0,0
BBD_PE,D,20070920,000000,59.8,59.8,59.8,59.8,0,0
BBD_PE,D,20070921,000000,64.2,64.2,64.2,64.2,0,0
BBD_PE,D,20070924,000000,64.2,64.2,64.2,64.2,0,0
BBD_PE,D,20070925,000000,63.5,63.5,63.5,63.5,0,0
BBD_PE,D,20070926,000000,63.5,63.5,63.5,63.5,0,0
BBD_PE,D,20070927,000000,60.5,60.5,60.5,60.5,0,0
BBD_PE,D,20070928,000000,58.8,58.8,58.8,58.8,0,0
BBD_PE,D,20071001,000000,58.8,58.8,58.8,58.8,0,0
BBD_PE,D,20071002,000000,58.8,58.8,58.8,58.8,0,0
BBD_PE,D,20071003,000000,57.4,57.4,57.4,57.4,0,0
BBD_PE,D,20071004,000000,58.1,58.1,58.1,58.1,0,0
BBD_PE,D,20071005,000000,59.8,59.8,59.8,59.8,0,0
BBD_PE,D,20071008,000000,61.1,61.1,61.1,61.1,0,0
BBD_PE,D,20071009,000000,61.8,61.8,61.8,61.8,0,0
BBD_PE,D,20071010,000000,61.5,61.5,61.5,61.5,0,0
BBD_PE,D,20071011,000000,61.8,61.8,61.8,61.8,0,0
BBD_PE,D,20071012,000000,63.2,63.2,63.2,63.2,0,0
BBD_PE,D,20071015,000000,70.2,70.2,70.2,70.2,0,0
BBD_PE,D,20071016,000000,68.6,68.6,68.6,68.6,0,0
BBD_PE,D,20071017,000000,72.6,72.6,72.6,72.6,0,0
BBD_PE,D,20071018,000000,72.3,72.3,72.3,72.3,0,0
BBD_PE,D,20071019,000000,70.2,70.2,70.2,70.2,0,0
BBD_PE,D,20071022,000000,66.2,66.2,66.2,66.2,0,0
BBD_PE,D,20071023,000000,68.2,68.2,68.2,68.2,0,0
BBD_PE,D,20071024,000000,66.9,66.9,66.9,66.9,0,0
BBD_PE,D,20071025,000000,64.8,64.8,64.8,64.8,0,0
BBD_PE,D,20071026,000000,64.5,64.5,64.5,64.5,0,0
BBD_PE,D,20071029,000000,62.1,62.1,62.1,62.1,0,0
BBD_PE,D,20071030,000000,60.8,60.8,60.8,60.8,0,0
BBD_PE,D,20071031,000000,60.8,60.8,60.8,60.8,0,0
BBD_PE,D,20071102,000000,61.1,61.1,61.1,61.1,0,0
BBD_PE,D,20071105,000000,60.8,60.8,60.8,60.8,0,0
BBD_PE,D,20071106,000000,59.1,59.1,59.1,59.1,0,0
BBD_PE,D,20071107,000000,54,54,54,54,0,0
BBD_PE,D,20071108,000000,54,54,54,54,0,0
BBD_PE,D,20071109,000000,55.1,55.1,51,51.7,0,0
BBD_PE,D,20071112,000000,51,52.4,50.7,51.7,0,0
BBD_PE,D,20071113,000000,51.7,54.4,50.7,54,0,0
BBD_PE,D,20071114,000000,55.7,55.7,52.7,53,0,0
BBD_PE,D,20071115,000000,52.4,53,49,49,0,0
BBD_PE,D,20071116,000000,47.3,50,44.3,48.6,0,0
BBD_PE,D,20071119,000000,49.7,49.7,45.9,45.9,0,0
BBD_PE,D,20071120,000000,44.2,44.2,44.2,44.2,0,0
BBD_PE,D,20071121,000000,42.9,42.9,37.5,38.5,0,0
BBD_PE,D,20071122,000000,37.5,44.6,36.1,44.6,0,0
BBD_PE,D,20071123,000000,47.3,47.3,45.9,46.3,0,0
BBD_PE,D,20071126,000000,47.6,48.3,43.9,45.6,0,0
BBD_PE,D,20071127,000000,43.9,44.9,43.6,44.6,0,0
BBD_PE,D,20071128,000000,45.6,47.6,43.9,47.3,0,0
BBD_PE,D,20071129,000000,50,50,46.6,46.6,0,0
BBD_PE,D,20071130,000000,47.3,49.7,46.6,49.3,0,0
BBD_PE,D,20071203,000000,49.7,50,47.6,48.6,0,0
BBD_PE,D,20071204,000000,48.3,49.7,46.9,46.9,0,0
BBD_PE,D,20071205,000000,48.3,49,47.3,49,0,0
BBD_PE,D,20071206,000000,49,49.3,47.6,48.3,0,0
BBD_PE,D,20071207,000000,49,49,47.6,48.6,0,0
BBD_PE,D,20071210,000000,47.6,48.6,47.3,47.3,0,0
BBD_PE,D,20071211,000000,47.6,47.6,45.6,45.6,0,0
BBD_PE,D,20071212,000000,43.6,47,43.6,46.9,0,0
BBD_PE,D,20071213,000000,45.6,45.9,43.9,44.6,0,0
BBD_PE,D,20071214,000000,44.3,44.9,43.2,43.9,0,0
BBD_PE,D,20071217,000000,43.2,43.2,41.9,41.9,0,0
BBD_PE,D,20071218,000000,41.6,42.6,39.9,42.2,0,0
BBD_PE,D,20071219,000000,42.9,42.9,40.2,40.9,0,0
BBD_PE,D,20071220,000000,41.6,41.6,39.9,39.9,0,0
BBD_PE,D,20071221,000000,40.2,40.9,39.2,40.2,0,0
BBD_PE,D,20071227,000000,41.2,41.9,40.9,41.9,0,0
BBD_PE,D,20071228,000000,41.6,42.6,40.9,42.2,0,0
BBD_PE,D,20080102,000000,42.9,45.6,42.2,44.9,0,0
BBD_PE,D,20080103,000000,43.9,49.3,43.9,49,0,0
BBD_PE,D,20080104,000000,48.6,51.7,46.9,46.9,0,0
BBD_PE,D,20080107,000000,45.9,47.3,45.3,46.3,0,0
BBD_PE,D,20080108,000000,46.6,47,44.9,46.3,0,0
BBD_PE,D,20080109,000000,44.6,44.6,42.9,43.6,0,0
BBD_PE,D,20080110,000000,43.9,43.9,41.2,41.9,0,0
BBD_PE,D,20080111,000000,41.2,43.2,40.9,40.9,0,0
BBD_PE,D,20080114,000000,41.2,41.2,41.2,41.2,0,0
BBD_PE,D,20080115,000000,40.9,42.9,39.2,39.2,0,0
BBD_PE,D,20080116,000000,36.1,38.2,35.1,37.5,0,0
BBD_PE,D,20080117,000000,39.2,39.2,37.2,38.8,0,0
BBD_PE,D,20080118,000000,37.8,41.6,37.8,40.5,0,0
BBD_PE,D,20080121,000000,38.5,40.5,37.8,38.2,0,0
BBD_PE,D,20080122,000000,36.5,39.5,36.5,39.5,0,0
BBD_PE,D,20080123,000000,40.5,40.5,37.8,39.5,0,0
BBD_PE,D,20080124,000000,40.9,42.6,40.5,42.2,0,0
BBD_PE,D,20080125,000000,43.2,45.8,41.6,45.8,0,0
BBD_PE,D,20080128,000000,44.4,44.7,42.9,42.9,0,0
BBD_PE,D,20080129,000000,44.4,45.1,43.6,43.6,0,0
BBD_PE,D,20080130,000000,44,44,42.9,43.6,0,0
BBD_PE,D,20080131,000000,43.6,43.6,42.5,42.5,0,0
BBD_PE,D,20080201,000000,43.6,43.6,42.9,43.2,0,0
BBD_PE,D,20080204,000000,43.6,45.5,43.6,43.6,0,0
BBD_PE,D,20080228,000000,897.7,897.7,897.7,897.7,0,0
BBD_PE,D,20080229,000000,900,923.1,874.9,874.9,0,0
BBD_PE,D,20080303,000000,876.9,876.9,846.2,852.1,0,0
BBD_PE,D,20080304,000000,869.2,915.4,852.1,867.3,0,0
BBD_PE,D,20080305,000000,892.3,907.7,882.5,882.5,0,0
BBD_PE,D,20080306,000000,892.3,892.3,867.3,867.3,0,0
BBD_PE,D,20080307,000000,861.5,869.2,852.1,852.1,0,0
BBD_PE,D,20080310,000000,861.5,884.6,861.5,867.3,0,0
BBD_PE,D,20080311,000000,884.6,900,874.9,874.9,0,0
BBD_PE,D,20080312,000000,900,907.7,874.9,882.5,0,0
BBD_PE,D,20080313,000000,884.6,884.6,859.7,859.7,0,0
BBD_PE,D,20080314,000000,876.9,884.6,852.1,852.1,0,0
BBD_PE,D,20080317,000000,853.8,853.8,836.9,836.9,0,0
