<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBT_PB,D,20190611,000000,6.12709,6.12709,6.12709,6.12709,0,0
BBT_PB,D,20190612,000000,6.10203,6.25251,5.60045,5.65066,0,0
BBT_PB,D,20190613,000000,5.65066,6.09364,5.58377,5.58377,0,0
BBT_PB,D,20190614,000000,5.75093,5.90141,5.54202,5.85128,0,0
BBT_PB,D,20190617,000000,5.93486,5.93486,5.61722,5.80945,0,0
BBT_PB,D,20190618,000000,5.90141,5.90141,5.61722,5.65066,0,0
BBT_PB,D,20190619,000000,5.65066,5.65066,5.19922,5.23268,0,0
BBT_PB,D,20190621,000000,5.25774,5.60045,5.25774,5.45835,0,0
BBT_PB,D,20190624,000000,5.45835,5.45835,5.17416,5.31626,0,0
BBT_PB,D,20190625,000000,5.31626,5.63389,4.88997,5.51686,0,0
BBT_PB,D,20190626,000000,5.42499,5.59214,5.26612,5.53363,0,0
BBT_PB,D,20190627,000000,5.63389,5.74263,5.47512,5.53363,0,0
BBT_PB,D,20190628,000000,5.61722,5.73425,5.42499,5.67573,0,0
BBT_PB,D,20190701,000000,5.90141,5.96831,5.67573,5.93486,0,0
BBT_PB,D,20190702,000000,5.9181,6.57853,5.9181,6.47819,0,0
BBT_PB,D,20190703,000000,6.47819,6.47819,6.20237,6.38622,0,0
BBT_PB,D,20190704,000000,6.3946,6.3946,5.97661,6.09364,0,0
BBT_PB,D,20190705,000000,6.03513,6.09364,5.81782,5.9181,0,0
BBT_PB,D,20190708,000000,6.05189,6.09364,5.84289,5.96831,0,0
BBT_PB,D,20190709,000000,6.03513,6.16893,5.96831,6.09364,0,0
BBT_PB,D,20190710,000000,6.18561,6.21906,6.03513,6.11872,0,0
BBT_PB,D,20190711,000000,6.194,6.194,5.99337,6.17722,0,0
BBT_PB,D,20190712,000000,6.16893,6.16893,6.09364,6.09364,0,0
BBT_PB,D,20190715,000000,6.17722,6.49486,6.16055,6.26919,0,0
BBT_PB,D,20190716,000000,6.35277,6.57853,6.25251,6.31941,0,0
BBT_PB,D,20190717,000000,6.47819,6.51164,6.38622,6.41967,0,0
BBT_PB,D,20190718,000000,6.54508,6.54508,6.31941,6.46151,0,0
BBT_PB,D,20190719,000000,6.41967,6.54508,6.33608,6.50325,0,0
BBT_PB,D,20190722,000000,6.50325,6.52832,6.28596,6.41967,0,0
BBT_PB,D,20190723,000000,6.48657,6.48657,6.25251,6.35277,0,0
BBT_PB,D,20190724,000000,6.35277,6.35277,6.25251,6.25251,0,0
BBT_PB,D,20190725,000000,6.31941,6.31941,5.96831,5.985,0,0
BBT_PB,D,20190726,000000,5.985,6.00175,5.88473,5.985,0,0
BBT_PB,D,20190729,000000,5.985,6.01845,5.86797,5.95155,0,0
BBT_PB,D,20190730,000000,5.985,6.09364,5.86797,5.93486,0,0
BBT_PB,D,20190731,000000,6.07697,6.07697,5.74263,5.93486,0,0
BBT_PB,D,20190801,000000,5.96831,5.96831,5.90141,5.93486,0,0
BBT_PB,D,20190802,000000,5.96831,5.96831,5.80945,5.93486,0,0
BBT_PB,D,20190805,000000,5.93486,5.93486,5.61722,5.70919,0,0
BBT_PB,D,20190806,000000,5.6256,6.63697,5.6256,5.92648,0,0
BBT_PB,D,20190807,000000,6.03513,6.56176,6.03513,6.40299,0,0
BBT_PB,D,20190808,000000,6.54508,7.15521,6.54508,7.02989,0,0
BBT_PB,D,20190809,000000,7.13015,7.19704,6.89608,7.0215,0,0
BBT_PB,D,20190812,000000,6.99644,7.0215,6.6119,6.89608,0,0
BBT_PB,D,20190813,000000,6.73731,6.86272,6.57853,6.73731,0,0
BBT_PB,D,20190814,000000,6.8209,6.8209,6.41967,6.64534,0,0
BBT_PB,D,20190816,000000,6.48657,6.79583,6.48657,6.79583,0,0
BBT_PB,D,20190819,000000,6.80421,7.12186,6.80421,7.02989,0,0
BBT_PB,D,20190820,000000,7.02989,7.05495,6.92124,7.05495,0,0
BBT_PB,D,20190821,000000,7.02989,7.04657,6.80421,6.92953,0,0
BBT_PB,D,20190822,000000,6.80421,6.87941,6.57853,6.77915,0,0
BBT_PB,D,20190823,000000,6.77915,6.9463,6.77915,6.84596,0,0
BBT_PB,D,20190826,000000,6.83766,7.59827,6.83766,7.57321,0,0
BBT_PB,D,20190827,000000,7.48963,7.69862,7.38097,7.5063,0,0
BBT_PB,D,20190828,000000,7.60665,7.60665,7.2974,7.31408,0,0
BBT_PB,D,20190829,000000,7.3726,7.57321,7.31408,7.47286,0,0
BBT_PB,D,20190830,000000,7.53975,7.60665,7.38097,7.53137,0,0
BBT_PB,D,20190902,000000,7.53137,7.53975,7.38927,7.38927,0,0
BBT_PB,D,20190903,000000,7.43949,7.43949,7.05495,7.33076,0,0
BBT_PB,D,20190904,000000,7.3726,7.5063,7.2974,7.43111,0,0
BBT_PB,D,20190905,000000,7.53975,7.53975,7.23889,7.23889,0,0
BBT_PB,D,20190906,000000,7.32247,7.3726,7.17198,7.20544,0,0
BBT_PB,D,20190909,000000,7.22211,7.31408,6.92953,6.9463,0,0
BBT_PB,D,20190910,000000,6.92953,7.05495,6.6119,6.85434,0,0
BBT_PB,D,20190911,000000,6.73731,7.02989,6.66212,6.99644,0,0
BBT_PB,D,20190912,000000,6.99644,7.05495,6.80421,6.99644,0,0
BBT_PB,D,20190913,000000,7.02989,7.22211,7.02989,7.15521,0,0
BBT_PB,D,20190916,000000,7.23889,7.23889,6.92953,7.05495,0,0
BBT_PB,D,20190917,000000,7.05495,7.15521,6.76238,6.92953,0,0
BBT_PB,D,20190918,000000,6.89608,6.89608,6.35277,6.5367,0,0
BBT_PB,D,20190919,000000,6.51164,6.67042,6.36954,6.64534,0,0
BBT_PB,D,20190920,000000,6.67042,6.70386,6.47819,6.51164,0,0
BBT_PB,D,20190923,000000,6.5367,6.65373,6.46151,6.48657,0,0
BBT_PB,D,20190924,000000,6.41967,6.54508,6.14385,6.18561,0,0
BBT_PB,D,20190925,000000,6.13548,6.63697,6.12709,6.63697,0,0
BBT_PB,D,20190926,000000,6.73731,7.02989,6.73731,6.86272,0,0
BBT_PB,D,20190927,000000,6.25251,6.40299,3.42717,3.42717,0,0
BBT_PB,D,20190930,000000,3.35197,3.35197,2.71669,2.76682,0,0
BBT_PB,D,20191001,000000,2.71669,2.79188,2.49931,2.74176,0,0
BBT_PB,D,20191002,000000,2.73336,2.81695,2.54943,2.62473,0,0
BBT_PB,D,20191003,000000,2.68324,2.71669,2.52437,2.66648,0,0
BBT_PB,D,20191004,000000,2.7083,2.94236,2.66648,2.7752,0,0
BBT_PB,D,20191007,000000,2.74176,2.7752,2.64979,2.64979,0,0
BBT_PB,D,20191008,000000,2.71669,2.71669,2.59966,2.67485,0,0
BBT_PB,D,20191009,000000,2.66648,2.68324,2.46586,2.46586,0,0
BBT_PB,D,20191010,000000,2.35722,2.36559,1.91424,1.91424,0,0
BBT_PB,D,20191011,000000,1.85573,2.14821,1.85573,1.97267,0,0
BBT_PB,D,20191014,000000,1.99782,1.99782,1.93931,1.98944,0,0
BBT_PB,D,20191015,000000,1.98944,1.98944,1.91424,1.98944,0,0
BBT_PB,D,20191016,000000,1.94761,1.98944,1.93092,1.93092,0,0
BBT_PB,D,20191017,000000,1.93092,1.98944,1.93092,1.94761,0,0
BBT_PB,D,20191018,000000,1.94761,1.94761,1.83895,1.90586,0,0
BBT_PB,D,20191021,000000,1.86403,1.97267,1.86403,1.95599,0,0
BBT_PB,D,20191022,000000,1.95599,2.04795,1.94761,1.97267,0,0
BBT_PB,D,20191023,000000,1.99782,2.03957,1.95599,1.98944,0,0
BBT_PB,D,20191024,000000,1.98944,2.01451,1.93092,1.93092,0,0
BBT_PB,D,20191025,000000,1.91424,1.96438,1.91424,1.91424,0,0
BBT_PB,D,20191028,000000,1.91424,1.96438,1.72193,1.84734,0,0
BBT_PB,D,20191029,000000,1.78883,1.78883,1.61329,1.66341,0,0
BBT_PB,D,20191030,000000,1.62996,1.64673,1.55477,1.55477,0,0
BBT_PB,D,20191031,000000,1.50463,1.55477,1.41267,1.52132,0,0
BBT_PB,D,20191104,000000,1.5297,1.64673,1.5297,1.57144,0,0
BBT_PB,D,20191105,000000,1.63835,1.63835,1.47119,1.57984,0,0
BBT_PB,D,20191106,000000,1.57984,1.5966,1.51293,1.51293,0,0
