<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCS_MV,D,20211207,000000,115.649,115.649,115.649,115.649,0,0
BCS_MV,D,20211208,000000,115.649,115.649,111.744,113.939,0,0
BCS_MV,D,20211209,000000,111.023,113.939,104.319,113.805,0,0
BCS_MV,D,20211210,000000,111.291,113.973,109.615,112.968,0,0
BCS_MV,D,20211213,000000,108.341,113.135,107.604,113.135,0,0
BCS_MV,D,20211214,000000,113.135,113.135,107.1,111.961,0,0
BCS_MV,D,20211215,000000,108.777,111.961,107.335,111.961,0,0
BCS_MV,D,20211216,000000,108.006,111.961,108.006,111.961,0,0
BCS_MV,D,20211217,000000,111.61,113.637,108.073,113.637,0,0
BCS_MV,D,20211220,000000,109.112,112.465,108.944,112.448,0,0
BCS_MV,D,20211221,000000,109.146,113.973,109.112,113.973,0,0
BCS_MV,D,20211222,000000,113.906,113.973,111.291,113.62,0,0
BCS_MV,D,20211223,000000,112.296,112.296,110.085,112.296,0,0
BCS_MV,D,20211227,000000,110.621,113.102,110.151,113.102,0,0
BCS_MV,D,20211228,000000,111.291,113.62,110.621,113.62,0,0
BCS_MV,D,20211229,000000,111.894,118.33,111.291,118.33,0,0
BCS_MV,D,20211230,000000,117.324,120.61,115.095,120.61,0,0
BCS_MV,D,20220103,000000,120.61,122.354,119.336,121.348,0,0
BCS_MV,D,20220104,000000,121.382,133.315,121.382,132.745,0,0
BCS_MV,D,20220105,000000,132.912,139.114,130.751,135.259,0,0
BCS_MV,D,20220107,000000,135.745,135.745,131.84,132.678,0,0
BCS_MV,D,20220110,000000,134.086,135.393,132.074,132.912,0,0
BCS_MV,D,20220111,000000,133.415,134.086,129.225,131.069,0,0
BCS_MV,D,20220112,000000,132.41,133.08,130.399,132.41,0,0
BCS_MV,D,20220113,000000,132.41,132.41,129.057,130.734,0,0
BCS_MV,D,20220114,000000,129.057,132.074,127.382,132.074,0,0
BCS_MV,D,20220117,000000,132.41,139.785,132.41,139.114,0,0
BCS_MV,D,20220118,000000,139.114,140.288,135.092,135.092,0,0
BCS_MV,D,20220119,000000,135.092,135.092,130.734,130.734,0,0
BCS_MV,D,20220120,000000,133.75,139.785,130.734,137.036,0,0
BCS_MV,D,20220121,000000,137.271,138.267,131.069,138.267,0,0
BCS_MV,D,20220124,000000,135.151,135.151,125.169,131.32,0,0
BCS_MV,D,20220125,000000,126.828,129.912,126.652,127.523,0,0
BCS_MV,D,20220126,000000,127.691,130.281,124.749,130.281,0,0
BCS_MV,D,20220127,000000,125.63,132.653,125.63,132.653,0,0
BCS_MV,D,20220128,000000,131.681,133.759,127.868,133.759,0,0
BCS_MV,D,20220131,000000,133.759,133.759,129.46,133.415,0,0
BCS_MV,D,20220201,000000,132.024,133.415,130.641,133.415,0,0
BCS_MV,D,20220202,000000,133.415,133.415,130.365,133.063,0,0
BCS_MV,D,20220203,000000,133.063,133.415,131.681,133.239,0,0
BCS_MV,D,20220204,000000,133.239,133.239,130.985,131.681,0,0
BCS_MV,D,20220207,000000,132.377,132.377,130.089,130.985,0,0
BCS_MV,D,20220208,000000,130.985,130.985,127.717,130.969,0,0
BCS_MV,D,20220209,000000,129.259,135.092,129.259,132.719,0,0
BCS_MV,D,20220210,000000,132.393,133.759,131.681,132.041,0,0
BCS_MV,D,20220211,000000,132.377,133.415,131.681,133.415,0,0
BCS_MV,D,20220214,000000,133.398,133.398,126.485,129.703,0,0
BCS_MV,D,20220215,000000,128.219,132.719,128.219,132.619,0,0
BCS_MV,D,20220216,000000,131.681,134.086,128.756,134.086,0,0
BCS_MV,D,20220217,000000,133.583,133.583,128.739,131.337,0,0
BCS_MV,D,20220218,000000,130.297,130.297,128.219,130.189,0,0
BCS_MV,D,20220221,000000,125.37,129.603,122.327,122.327,0,0
BCS_MV,D,20220222,000000,118.197,129.603,118.197,124.749,0,0
BCS_MV,D,20220223,000000,123.887,126.485,121.289,124.684,0,0
BCS_MV,D,20220224,000000,112.272,121.214,105.45,112.968,0,0
BCS_MV,D,20220225,000000,108.467,122.478,108.467,122.478,0,0
BCS_MV,D,20220228,000000,112.968,122.655,112.968,119.554,0,0
BCS_MV,D,20220301,000000,119.554,119.554,114.475,116.588,0,0
BCS_MV,D,20220302,000000,113.663,117.476,107.428,114.333,0,0
BCS_MV,D,20220303,000000,114.358,114.358,110.889,114.358,0,0
BCS_MV,D,20220304,000000,109.154,113.973,109.154,113.973,0,0
BCS_MV,D,20220307,000000,109.154,119.202,107.428,119.202,0,0
BCS_MV,D,20220308,000000,111.308,119.881,111.308,114.375,0,0
BCS_MV,D,20220309,000000,110.922,118.859,110.922,117.819,0,0
BCS_MV,D,20220310,000000,114.358,121.214,114.358,120.836,0,0
BCS_MV,D,20220311,000000,113.663,121.289,113.663,121.289,0,0
BCS_MV,D,20220314,000000,122.847,123.015,121.289,123.015,0,0
BCS_MV,D,20220315,000000,118.164,122.327,117.476,122.327,0,0
BCS_MV,D,20220316,000000,122.327,124.038,118.682,123.535,0,0
BCS_MV,D,20220317,000000,124.407,125.446,123.015,125.446,0,0
BCS_MV,D,20220318,000000,124.749,126.895,122.672,126.761,0,0
BCS_MV,D,20220321,000000,126.828,126.828,121.289,121.699,0,0
BCS_MV,D,20220322,000000,121.976,126.468,121.976,126.468,0,0
BCS_MV,D,20220323,000000,126.485,126.485,123.015,126.485,0,0
BCS_MV,D,20220324,000000,123.367,126.451,123.367,126.451,0,0
BCS_MV,D,20220325,000000,124.054,126.485,122.638,126.133,0,0
BCS_MV,D,20220328,000000,124.749,124.749,123.015,124.749,0,0
BCS_MV,D,20220329,000000,123.611,128.195,122.361,128.195,0,0
BCS_MV,D,20220330,000000,128.01,128.178,124.766,128.178,0,0
BCS_MV,D,20220331,000000,124.766,126.451,123.367,126.451,0,0
BCS_MV,D,20220401,000000,123.384,126.065,123.384,126.065,0,0
BCS_MV,D,20220404,000000,123.384,125.613,123.384,125.613,0,0
BCS_MV,D,20220405,000000,123.828,130.256,123.828,130.256,0,0
BCS_MV,D,20220406,000000,126.485,128.219,126.485,127.868,0,0
BCS_MV,D,20220407,000000,129.945,131.681,127.868,131.681,0,0
BCS_MV,D,20220408,000000,138.611,142.039,131.681,142.039,0,0
BCS_MV,D,20220411,000000,138.611,142.039,135.317,141.319,0,0
BCS_MV,D,20220412,000000,138.267,142.081,136.189,140.69,0,0
BCS_MV,D,20220413,000000,142.081,142.081,138.611,142.081,0,0
BCS_MV,D,20220414,000000,142.081,142.081,138.82,140.312,0,0
BCS_MV,D,20220419,000000,138.921,140.295,136.893,138.628,0,0
BCS_MV,D,20220420,000000,140.271,141.419,137.346,140.69,0,0
BCS_MV,D,20220421,000000,140.706,141.436,138.628,138.628,0,0
BCS_MV,D,20220422,000000,138.611,138.611,129.945,131.681,0,0
BCS_MV,D,20220425,000000,134.798,134.798,131.681,131.681,0,0
BCS_MV,D,20220426,000000,134.621,138.611,130.465,138.494,0,0
BCS_MV,D,20220427,000000,134.454,138.494,129.979,136.876,0,0
BCS_MV,D,20220428,000000,136.826,136.859,134.454,136.499,0,0
BCS_MV,D,20220429,000000,134.454,136.533,134.454,136.189,0,0
BCS_MV,D,20220502,000000,136.189,141.971,131.681,141.971,0,0
BCS_MV,D,20220504,000000,141.795,141.904,138.611,141.904,0,0
BCS_MV,D,20220505,000000,141.729,141.729,135.385,136.189,0,0
BCS_MV,D,20220506,000000,135.151,138.267,132.041,138.192,0,0
BCS_MV,D,20220509,000000,138.192,139.633,137.572,137.572,0,0
BCS_MV,D,20220510,000000,138.594,138.594,133.415,136.533,0,0
BCS_MV,D,20220511,000000,136.391,136.533,133.063,136.323,0,0
BCS_MV,D,20220512,000000,133.063,136.274,130.297,133.549,0,0
BCS_MV,D,20220513,000000,131.681,133.29,129.276,132.443,0,0
BCS_MV,D,20220516,000000,132.443,138.544,132.443,138.235,0,0
BCS_MV,D,20220517,000000,137.949,137.949,132.443,133.759,0,0
BCS_MV,D,20220518,000000,133.759,137.539,133.759,136.842,0,0
BCS_MV,D,20220519,000000,136.667,136.709,136.667,136.709,0,0
BCS_MV,D,20220520,000000,135.493,136.842,135.493,136.842,0,0
BCS_MV,D,20220523,000000,135.611,138.611,135.151,138.435,0,0
BCS_MV,D,20220524,000000,138.267,138.435,135.493,136.876,0,0
BCS_MV,D,20220525,000000,135.493,136.876,135.493,136.876,0,0
BCS_MV,D,20220526,000000,135.837,138.435,135.837,137.748,0,0
BCS_MV,D,20220527,000000,136.533,140.329,136.533,139.307,0,0
BCS_MV,D,20220530,000000,139.307,140.17,138.628,139.993,0,0
BCS_MV,D,20220531,000000,139.827,140.312,139.307,140.01,0,0
BCS_MV,D,20220601,000000,140.01,140.346,138.611,140.203,0,0
BCS_MV,D,20220602,000000,139.475,140.312,138.628,140.312,0,0
BCS_MV,D,20220603,000000,139.65,140.312,138.611,138.645,0,0
BCS_MV,D,20220606,000000,140.312,140.312,138.628,140.312,0,0
BCS_MV,D,20220607,000000,140.312,141.628,140.312,141.628,0,0
BCS_MV,D,20220608,000000,141.628,142.039,140.379,141.87,0,0
BCS_MV,D,20220609,000000,141.595,142.039,140.69,141.385,0,0
BCS_MV,D,20220610,000000,140.69,141.729,140.379,141.385,0,0
BCS_MV,D,20220613,000000,141.385,141.385,132.377,132.377,0,0
BCS_MV,D,20220614,000000,137.849,138.401,132.719,136.189,0,0
BCS_MV,D,20220615,000000,136.516,136.516,132.377,136.164,0,0
BCS_MV,D,20220617,000000,132.377,136.189,132.377,135.151,0,0
BCS_MV,D,20220620,000000,133.759,135.151,133.759,135.151,0,0
BCS_MV,D,20220621,000000,135.151,135.151,133.759,133.759,0,0
BCS_MV,D,20220622,000000,132.024,135.151,132.024,135.151,0,0
BCS_MV,D,20220623,000000,131.681,134.924,131.681,134.924,0,0
BCS_MV,D,20220624,000000,130.985,134.437,128.144,133.691,0,0
BCS_MV,D,20220627,000000,129.259,133.691,129.259,133.691,0,0
BCS_MV,D,20220628,000000,133.415,133.742,133.415,133.658,0,0
BCS_MV,D,20220629,000000,133.415,133.708,131.681,133.691,0,0
BCS_MV,D,20220630,000000,133.742,133.759,131.681,133.759,0,0
BCS_MV,D,20220701,000000,133.759,133.759,131.681,133.759,0,0
BCS_MV,D,20220704,000000,131.681,133.759,131.681,133.759,0,0
BCS_MV,D,20220705,000000,136.533,136.533,131.337,133.063,0,0
BCS_MV,D,20220706,000000,133.063,133.063,133.063,133.063,0,0
BCS_MV,D,20220707,000000,131.388,132.844,131.388,132.12,0,0
BCS_MV,D,20220708,000000,131.388,143.065,129.56,143.065,0,0
BCS_MV,D,20220711,000000,138.687,142.341,138.687,142.262,0,0
BCS_MV,D,20220712,000000,138.872,142.12,135.042,142.12,0,0
BCS_MV,D,20220713,000000,135.218,142.12,135.042,140.876,0,0
