<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCS_PB,D,20211207,000000,12.3024,12.3024,12.3024,12.3024,0,0
BCS_PB,D,20211208,000000,12.3024,12.3024,11.8918,12.118,0,0
BCS_PB,D,20211209,000000,11.8079,12.118,11.0956,12.1096,0,0
BCS_PB,D,20211210,000000,11.8414,12.1264,11.6571,12.0174,0,0
BCS_PB,D,20211213,000000,11.5229,12.0342,11.4475,12.0342,0,0
BCS_PB,D,20211214,000000,12.0342,12.0342,11.3973,11.9085,0,0
BCS_PB,D,20211215,000000,11.5732,11.9085,11.4224,11.9085,0,0
BCS_PB,D,20211216,000000,11.4895,11.9085,11.4895,11.9085,0,0
BCS_PB,D,20211217,000000,11.875,12.0928,11.4979,12.0928,0,0
BCS_PB,D,20211220,000000,11.6068,11.9671,11.59,11.9588,0,0
BCS_PB,D,20211221,000000,11.6152,12.1264,11.6068,12.1264,0,0
BCS_PB,D,20211222,000000,12.118,12.1264,11.8414,12.0845,0,0
BCS_PB,D,20211223,000000,11.9504,11.9504,11.7073,11.9504,0,0
BCS_PB,D,20211227,000000,11.7661,12.0342,11.7157,12.0342,0,0
BCS_PB,D,20211228,000000,11.8414,12.0845,11.7661,12.0845,0,0
BCS_PB,D,20211229,000000,11.9001,12.5873,11.8414,12.5873,0,0
BCS_PB,D,20211230,000000,12.4783,12.8303,12.2437,12.8303,0,0
BCS_PB,D,20220103,000000,12.8303,13.0147,12.6962,12.9057,0,0
BCS_PB,D,20220104,000000,12.9142,14.1795,12.9142,14.1209,0,0
BCS_PB,D,20220105,000000,14.1377,14.7997,13.9114,14.3891,0,0
BCS_PB,D,20220107,000000,14.4393,14.4393,14.0288,14.1125,0,0
BCS_PB,D,20220110,000000,14.2634,14.4058,14.0539,14.1377,0,0
BCS_PB,D,20220111,000000,14.1963,14.2634,13.7439,13.9448,0,0
BCS_PB,D,20220112,000000,14.0874,14.1544,13.8695,14.0874,0,0
BCS_PB,D,20220113,000000,14.0874,14.0874,13.7271,13.9114,0,0
BCS_PB,D,20220114,000000,13.7271,14.0539,13.551,14.0539,0,0
BCS_PB,D,20220117,000000,14.0874,14.8668,14.0874,14.7997,0,0
BCS_PB,D,20220118,000000,14.7997,14.9254,14.3724,14.3724,0,0
BCS_PB,D,20220119,000000,14.3724,14.3724,13.9114,13.9114,0,0
BCS_PB,D,20220120,000000,14.2299,14.8668,13.9114,14.5818,0,0
BCS_PB,D,20220121,000000,14.607,14.7076,13.9448,14.7076,0,0
BCS_PB,D,20220124,000000,14.3807,14.3807,13.3163,13.97,0,0
BCS_PB,D,20220125,000000,13.4924,13.8192,13.4756,13.5678,0,0
BCS_PB,D,20220126,000000,13.5846,13.8611,13.2745,13.8611,0,0
BCS_PB,D,20220127,000000,13.3667,14.1125,13.3667,14.1125,0,0
BCS_PB,D,20220128,000000,14.012,14.2299,13.6013,14.2299,0,0
BCS_PB,D,20220131,000000,14.2299,14.2299,13.7689,14.1963,0,0
BCS_PB,D,20220201,000000,14.0455,14.1963,13.8946,14.1963,0,0
BCS_PB,D,20220202,000000,14.1963,14.1963,13.8695,14.1544,0,0
BCS_PB,D,20220203,000000,14.1544,14.1963,14.012,14.1712,0,0
BCS_PB,D,20220204,000000,14.1712,14.1712,13.9365,14.012,0,0
BCS_PB,D,20220207,000000,14.079,14.079,13.8359,13.9365,0,0
BCS_PB,D,20220208,000000,13.9365,13.9365,13.5846,13.9365,0,0
BCS_PB,D,20220209,000000,13.7522,14.3724,13.7522,14.1209,0,0
BCS_PB,D,20220210,000000,14.0874,14.2299,14.012,14.0455,0,0
BCS_PB,D,20220211,000000,14.079,14.1963,14.012,14.1963,0,0
BCS_PB,D,20220214,000000,14.188,14.188,13.4588,13.7941,0,0
BCS_PB,D,20220215,000000,13.6432,14.1209,13.6432,14.1125,0,0
BCS_PB,D,20220216,000000,14.012,14.2634,13.6935,14.2634,0,0
BCS_PB,D,20220217,000000,14.2132,14.2132,13.6935,13.97,0,0
BCS_PB,D,20220218,000000,13.8611,13.8611,13.6432,13.8528,0,0
BCS_PB,D,20220221,000000,13.3331,13.7856,13.0147,13.0147,0,0
BCS_PB,D,20220222,000000,12.5706,13.7856,12.5706,13.2745,0,0
BCS_PB,D,20220223,000000,13.1823,13.4588,12.9057,13.2661,0,0
BCS_PB,D,20220224,000000,11.942,12.8974,11.2213,12.0174,0,0
BCS_PB,D,20220225,000000,11.5397,13.0314,11.5397,13.0314,0,0
BCS_PB,D,20220228,000000,12.0174,13.0482,12.0174,12.7213,0,0
BCS_PB,D,20220301,000000,12.7213,12.7213,12.1766,12.4029,0,0
BCS_PB,D,20220302,000000,12.0928,12.4951,11.4308,12.1599,0,0
BCS_PB,D,20220303,000000,12.1682,12.1682,11.7996,12.1682,0,0
