<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIP_MV,D,20150401,000000,17.2704,17.2704,17.2704,17.2704,0,0
BIP_MV,D,20150402,000000,18.8977,21.4581,18.8977,20.6546,0,0
BIP_MV,D,20150407,000000,23.2988,23.2988,20.9413,21.1538,0,0
BIP_MV,D,20150408,000000,21.7449,21.7449,21.7449,21.7449,0,0
BIP_MV,D,20150409,000000,21.2282,21.2282,21.2282,21.2282,0,0
BIP_MV,D,20150410,000000,20.7376,20.7376,20.7105,20.7105,0,0
BIP_MV,D,20150413,000000,20.7105,20.7105,20.6362,20.6362,0,0
BIP_MV,D,20150414,000000,19.8036,19.8036,19.8036,19.8036,0,0
BIP_MV,D,20150415,000000,18.9528,19.934,18.9528,19.934,0,0
BIP_MV,D,20150416,000000,20.6546,20.6546,20.6546,20.6546,0,0
BIP_MV,D,20150417,000000,20.4508,20.4508,20.2933,20.2933,0,0
BIP_MV,D,20150420,000000,19.4898,20.6816,19.4898,20.6816,0,0
BIP_MV,D,20150422,000000,20.1919,20.1919,20.1919,20.1919,0,0
BIP_MV,D,20150423,000000,20.1919,20.1919,20.1919,20.1919,0,0
BIP_MV,D,20150424,000000,20.3222,20.3222,20.3222,20.3222,0,0
BIP_MV,D,20150427,000000,20.5251,20.5251,20.5251,20.5251,0,0
BIP_MV,D,20150428,000000,20.4508,20.4508,20.4508,20.4508,0,0
BIP_MV,D,20150429,000000,19.4425,19.4425,19.4154,19.4154,0,0
BIP_MV,D,20150505,000000,20.4237,20.4237,20.4237,20.4237,0,0
BIP_MV,D,20150507,000000,20.3222,20.3222,19.4154,19.4154,0,0
BIP_MV,D,20150508,000000,19.4154,19.4154,19.4154,19.4154,0,0
BIP_MV,D,20150511,000000,20.5801,20.5801,20.5801,20.5801,0,0
BIP_MV,D,20150514,000000,20.2479,21.7449,20.2479,21.7449,0,0
BIP_MV,D,20150515,000000,22.5214,23.2245,22.5214,23.2245,0,0
BIP_MV,D,20150518,000000,23.2988,23.2988,21.1722,22.7068,0,0
BIP_MV,D,20150519,000000,22.7068,22.7068,21.7449,21.7449,0,0
BIP_MV,D,20150521,000000,21.7449,21.7449,21.7449,21.7449,0,0
BIP_MV,D,20150522,000000,21.7449,21.7449,21.7449,21.7449,0,0
BIP_MV,D,20150525,000000,22.0047,22.0047,22.0047,22.0047,0,0
BIP_MV,D,20150526,000000,22.0047,22.0047,21.4861,21.4861,0,0
BIP_MV,D,20150527,000000,21.7449,21.7449,21.7449,21.7449,0,0
BIP_MV,D,20150601,000000,21.9767,21.9767,21.9767,21.9767,0,0
BIP_MV,D,20150603,000000,21.5605,21.5605,21.4861,21.4861,0,0
BIP_MV,D,20150605,000000,20.7376,20.7376,20.7376,20.7376,0,0
BIP_MV,D,20150608,000000,21.5605,21.5605,21.5605,21.5605,0,0
BIP_MV,D,20150610,000000,21.4861,21.4861,21.4861,21.4861,0,0
BIP_MV,D,20150611,000000,21.7449,22.2355,21.7449,22.2355,0,0
BIP_MV,D,20150612,000000,22.2626,22.2626,22.2626,22.2626,0,0
BIP_MV,D,20150615,000000,21.4861,22.1061,21.4861,22.1061,0,0
BIP_MV,D,20150616,000000,21.4861,21.4861,21.4861,21.4861,0,0
BIP_MV,D,20150617,000000,20.783,20.783,20.783,20.783,0,0
BIP_MV,D,20150618,000000,20.8119,20.8119,20.8119,20.8119,0,0
