<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMC_PB,D,20090205,000000,5.18691,5.18691,5.18691,5.18691,0,0
BMC_PB,D,20090206,000000,5.86506,5.86506,5.28771,5.28771,0,0
BMC_PB,D,20090209,000000,5.23273,5.23273,5.2144,5.2144,0,0
BMC_PB,D,20090210,000000,5.56264,5.56264,5.18691,5.18691,0,0
BMC_PB,D,20090211,000000,5.18691,5.18691,4.6279,4.6279,0,0
BMC_PB,D,20090212,000000,4.71954,4.71954,4.31632,4.31632,0,0
BMC_PB,D,20090213,000000,4.21552,4.31632,4.21552,4.21552,0,0
BMC_PB,D,20090216,000000,4.60957,4.60957,4.41712,4.41712,0,0
BMC_PB,D,20090217,000000,4.66455,4.70121,4.66455,4.70121,0,0
BMC_PB,D,20090218,000000,4.60957,4.67372,2.92337,2.92337,0,0
BMC_PB,D,20090219,000000,3.05167,3.05167,3.05167,3.05167,0,0
BMC_PB,D,20090220,000000,3.13414,3.13414,3.13414,3.13414,0,0
BMC_PB,D,20090223,000000,3.05167,3.13414,2.52014,2.69426,0,0
BMC_PB,D,20090224,000000,2.70342,2.70342,2.63011,2.63011,0,0
BMC_PB,D,20090225,000000,2.57513,2.57513,2.57513,2.57513,0,0
BMC_PB,D,20090226,000000,2.63928,2.63928,2.54764,2.54764,0,0
BMC_PB,D,20090227,000000,2.54764,2.54764,2.4285,2.4285,0,0
BMC_PB,D,20090302,000000,2.63928,2.63928,2.48349,2.48349,0,0
BMC_PB,D,20090303,000000,2.63928,2.63928,2.34603,2.34603,0,0
BMC_PB,D,20090304,000000,2.41934,2.41934,2.02528,2.15357,0,0
BMC_PB,D,20090305,000000,2.37352,2.37352,2.13524,2.13524,0,0
BMC_PB,D,20090306,000000,2.24522,2.24522,1.80534,1.80534,0,0
BMC_PB,D,20090309,000000,2.00695,2.00695,1.95196,1.95196,0,0
BMC_PB,D,20090310,000000,1.91531,1.96113,1.91531,1.91531,0,0
BMC_PB,D,20090311,000000,2.08942,2.11692,1.87865,1.90614,0,0
BMC_PB,D,20090312,000000,1.86949,2.30021,1.86949,2.10775,0,0
BMC_PB,D,20090313,000000,2.25439,2.25439,2.0711,2.0711,0,0
BMC_PB,D,20090316,000000,2.13524,2.13524,1.92447,2.13524,0,0
BMC_PB,D,20090317,000000,2.08942,2.25439,2.08942,2.25439,0,0
BMC_PB,D,20090318,000000,2.21772,2.36435,2.21772,2.29104,0,0
BMC_PB,D,20090319,000000,2.02528,2.81339,2.02528,2.81339,0,0
BMC_PB,D,20090320,000000,2.70342,2.81339,2.63011,2.81339,0,0
BMC_PB,D,20090323,000000,2.81339,3.0425,2.54764,3.0425,0,0
BMC_PB,D,20090324,000000,3.24411,3.24411,2.92337,2.92337,0,0
BMC_PB,D,20090325,000000,2.70342,2.74924,2.59346,2.74924,0,0
BMC_PB,D,20090326,000000,2.75841,2.96919,2.75841,2.96919,0,0
BMC_PB,D,20090327,000000,2.96003,2.96003,2.90504,2.90504,0,0
BMC_PB,D,20090330,000000,2.90504,2.99668,2.87755,2.87755,0,0
BMC_PB,D,20090331,000000,2.63011,2.96003,2.63011,2.96003,0,0
BMC_PB,D,20090401,000000,3.06999,3.06999,3.03334,3.03334,0,0
BMC_PB,D,20090402,000000,2.67593,3.03334,2.38268,2.67593,0,0
BMC_PB,D,20090403,000000,2.71259,2.9417,2.67593,2.70342,0,0
BMC_PB,D,20090406,000000,2.81339,2.85005,2.7859,2.85005,0,0
BMC_PB,D,20090407,000000,2.96919,2.96919,2.85921,2.85921,0,0
