<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMX_MV,D,20100721,000000,14.1456,14.1456,14.1456,14.1456,0,0
BMX_MV,D,20100722,000000,14.1456,14.1456,14.1456,14.1456,0,0
BMX_MV,D,20100723,000000,14.2946,14.2946,14.2417,14.2417,0,0
BMX_MV,D,20100726,000000,14.2946,14.2946,14.2946,14.2946,0,0
BMX_MV,D,20100727,000000,14.2581,14.2581,14.1456,14.2581,0,0
BMX_MV,D,20100728,000000,14.2581,14.2581,14.0572,14.1456,0,0
BMX_MV,D,20100729,000000,14.0572,14.2946,13.9698,14.1456,0,0
BMX_MV,D,20100730,000000,14.1456,14.2946,14.0928,14.2946,0,0
BMX_MV,D,20100802,000000,14.3109,14.3109,13.9178,14.1456,0,0
BMX_MV,D,20100803,000000,13.9178,14.1456,13.8823,14.1456,0,0
BMX_MV,D,20100804,000000,13.9178,13.9698,13.9178,13.9698,0,0
BMX_MV,D,20100805,000000,13.9698,13.9698,13.9698,13.9698,0,0
BMX_MV,D,20100806,000000,13.8823,13.9698,13.8823,13.9698,0,0
BMX_MV,D,20100809,000000,13.8823,13.8823,13.8823,13.8823,0,0
BMX_MV,D,20100810,000000,13.8121,15.5813,13.8121,15.5813,0,0
BMX_MV,D,20100811,000000,14.8645,15.9417,14.5925,15.9417,0,0
BMX_MV,D,20100812,000000,15.7582,15.7582,15.7582,15.7582,0,0
BMX_MV,D,20100813,000000,15.2239,15.2239,14.5224,15.048,0,0
BMX_MV,D,20100816,000000,14.6886,15.3978,14.5569,14.5569,0,0
BMX_MV,D,20100817,000000,14.5041,14.5041,14.4157,14.4157,0,0
BMX_MV,D,20100818,000000,14.3291,14.5925,14.3291,14.5925,0,0
BMX_MV,D,20100819,000000,14.654,15.1355,14.5925,14.5925,0,0
BMX_MV,D,20100820,000000,14.5925,14.5925,14.5925,14.5925,0,0
BMX_MV,D,20100823,000000,14.6886,14.9163,14.6886,14.9163,0,0
BMX_MV,D,20100824,000000,14.9337,14.9337,14.7771,14.7771,0,0
BMX_MV,D,20100825,000000,14.6886,14.9163,14.6886,14.6886,0,0
BMX_MV,D,20100826,000000,14.9163,15.9071,14.9163,15.9071,0,0
BMX_MV,D,20100827,000000,15.9071,16.476,15.9071,16.476,0,0
BMX_MV,D,20100830,000000,16.5471,16.5471,16.1167,16.1167,0,0
BMX_MV,D,20100831,000000,16.5288,16.5288,16.302,16.302,0,0
BMX_MV,D,20100901,000000,16.476,16.5288,16.476,16.5288,0,0
BMX_MV,D,20100902,000000,16.476,16.476,16.4492,16.4492,0,0
BMX_MV,D,20100903,000000,16.2655,16.2655,15.9321,16.2655,0,0
BMX_MV,D,20100906,000000,16.2655,16.3626,16.2655,16.2655,0,0
BMX_MV,D,20100907,000000,16.2655,16.2655,16.0916,16.0916,0,0
BMX_MV,D,20100908,000000,16.2655,16.3626,16.1791,16.3626,0,0
BMX_MV,D,20100909,000000,16.3982,16.5894,16.2655,16.5385,0,0
BMX_MV,D,20100910,000000,16.5385,16.6259,16.2655,16.2655,0,0
BMX_MV,D,20100913,000000,16.1963,16.2127,16.1963,16.2127,0,0
BMX_MV,D,20100914,000000,16.1963,16.5731,16.1963,16.5731,0,0
BMX_MV,D,20100915,000000,16.5894,16.5894,16.2838,16.2838,0,0
BMX_MV,D,20100916,000000,16.1963,16.1963,16.1963,16.1963,0,0
BMX_MV,D,20100917,000000,16.2838,16.4492,16.2655,16.2655,0,0
BMX_MV,D,20100920,000000,16.38,16.4155,16.302,16.4155,0,0
BMX_MV,D,20100921,000000,16.4155,16.4155,16.0022,16.3626,0,0
BMX_MV,D,20100922,000000,16.4492,16.4492,16.4155,16.4155,0,0
BMX_MV,D,20100923,000000,16.4155,16.4155,16.4155,16.4155,0,0
BMX_MV,D,20100924,000000,16.4155,16.4328,16.3626,16.4155,0,0
BMX_MV,D,20100927,000000,16.4155,16.4155,15.9158,16.0916,0,0
BMX_MV,D,20100928,000000,16.0916,16.0916,15.197,16.0551,0,0
BMX_MV,D,20100929,000000,15.7322,16.2655,15.7322,16.2655,0,0
BMX_MV,D,20100930,000000,16.3626,16.4155,16.2655,16.4155,0,0
BMX_MV,D,20101001,000000,16.4155,16.4155,16.0916,16.3626,0,0
BMX_MV,D,20101004,000000,16.38,16.38,16.0916,16.1791,0,0
BMX_MV,D,20101005,000000,16.38,16.38,16.1426,16.1426,0,0
BMX_MV,D,20101006,000000,16.38,16.38,16.1791,16.1791,0,0
BMX_MV,D,20101007,000000,16.3626,16.3626,16.1791,16.1791,0,0
BMX_MV,D,20101008,000000,16.1791,16.1791,15.6438,15.6438,0,0
BMX_MV,D,20101011,000000,15.2844,16.231,15.2844,15.6438,0,0
