<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNP_PE,D,20110527,000000,21.0865,21.0865,21.0865,21.0865,0,0
BNP_PE,D,20110530,000000,21.0865,21.0865,20.9071,20.9968,0,0
BNP_PE,D,20110531,000000,20.9968,20.9968,20.9071,20.9071,0,0
BNP_PE,D,20110601,000000,20.9071,20.9071,20.7276,20.7276,0,0
BNP_PE,D,20110602,000000,20.6379,20.7276,20.6379,20.7276,0,0
BNP_PE,D,20110603,000000,20.7276,20.8173,20.7276,20.8173,0,0
BNP_PE,D,20110606,000000,20.8173,20.8173,20.6379,20.6379,0,0
BNP_PE,D,20110607,000000,20.6379,20.7276,20.6379,20.7276,0,0
BNP_PE,D,20110608,000000,20.7276,20.7276,20.6379,20.7276,0,0
BNP_PE,D,20110609,000000,20.6379,20.7276,20.6379,20.6379,0,0
BNP_PE,D,20110610,000000,20.6379,20.6379,20.6379,20.6379,0,0
BNP_PE,D,20110613,000000,20.6379,20.6379,20.6379,20.6379,0,0
BNP_PE,D,20110614,000000,20.6379,20.6379,20.5481,20.6379,0,0
BNP_PE,D,20110615,000000,20.4584,20.6379,20.4584,20.5481,0,0
BNP_PE,D,20110616,000000,20.5481,20.5481,20.3687,20.3687,0,0
BNP_PE,D,20110617,000000,20.3687,20.3687,20.2789,20.3687,0,0
BNP_PE,D,20110620,000000,20.1892,20.4584,20.1892,20.4584,0,0
BNP_PE,D,20110621,000000,20.2789,20.3687,20.2789,20.3687,0,0
BNP_PE,D,20110622,000000,20.1892,20.3687,20.1892,20.3687,0,0
BNP_PE,D,20110624,000000,20.1892,20.3687,20.1892,20.3687,0,0
BNP_PE,D,20110627,000000,20.1892,20.1892,20.0995,20.0995,0,0
BNP_PE,D,20110628,000000,20.0097,20.1892,19.92,20.1892,0,0
BNP_PE,D,20110629,000000,20.1892,20.3687,20.1892,20.1892,0,0
BNP_PE,D,20110630,000000,20.2789,20.3687,20.1892,20.3687,0,0
BNP_PE,D,20110701,000000,20.3687,20.3687,20.1892,20.3687,0,0
BNP_PE,D,20110704,000000,20.2789,20.3687,20.1892,20.3687,0,0
BNP_PE,D,20110705,000000,20.1892,20.4584,20.1892,20.3687,0,0
BNP_PE,D,20110706,000000,20.1892,20.2789,20.1892,20.1892,0,0
BNP_PE,D,20110707,000000,20.1892,20.1892,20.0097,20.0995,0,0
