<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOW_PB,D,20120125,000000,1.39241,1.39241,1.39241,1.39241,0,0
BOW_PB,D,20120126,000000,1.43843,1.53047,1.32021,1.39241,0,0
BOW_PB,D,20120127,000000,1.46475,1.46475,1.32676,1.32676,0,0
BOW_PB,D,20120130,000000,1.353,1.353,1.353,1.353,0,0
BOW_PB,D,20120131,000000,1.33337,1.353,1.32021,1.32021,0,0
BOW_PB,D,20120201,000000,1.32021,1.32021,1.21516,1.32021,0,0
BOW_PB,D,20120202,000000,1.3136,1.3136,1.19531,1.30051,0,0
BOW_PB,D,20120203,000000,1.30705,1.30705,1.26103,1.30705,0,0
BOW_PB,D,20120206,000000,1.30051,1.30705,1.26103,1.30051,0,0
BOW_PB,D,20120207,000000,1.26103,1.26765,1.19531,1.22824,0,0
BOW_PB,D,20120208,000000,1.22171,1.22171,1.16914,1.20854,0,0
BOW_PB,D,20120209,000000,1.21516,1.21516,1.18883,1.21516,0,0
BOW_PB,D,20120210,000000,1.18883,1.18883,1.18883,1.18883,0,0
BOW_PB,D,20120213,000000,1.18883,1.18883,1.18883,1.18883,0,0
BOW_PB,D,20120214,000000,1.22824,1.22824,1.22824,1.22824,0,0
BOW_PB,D,20120215,000000,1.20854,1.22824,1.14282,1.18883,0,0
BOW_PB,D,20120216,000000,1.12973,1.17575,1.08371,1.17575,0,0
BOW_PB,D,20120217,000000,1.18883,1.18883,1.16914,1.16914,0,0
BOW_PB,D,20120220,000000,1.1626,1.1626,1.12318,1.12318,0,0
BOW_PB,D,20120221,000000,1.12973,1.12973,1.01806,1.08371,0,0
BOW_PB,D,20120222,000000,1.07055,1.07716,1.07055,1.07716,0,0
BOW_PB,D,20120223,000000,1.12318,1.12318,1.07716,1.07716,0,0
BOW_PB,D,20120224,000000,1.05747,1.07055,1.03121,1.07055,0,0
BOW_PB,D,20120227,000000,1.07716,1.07716,1.07055,1.07055,0,0
BOW_PB,D,20120228,000000,1.07055,1.07055,1.06402,1.06402,0,0
BOW_PB,D,20120229,000000,1.07055,1.07055,1.06402,1.06402,0,0
BOW_PB,D,20120301,000000,1.05747,1.06402,1.03776,1.05747,0,0
BOW_PB,D,20120302,000000,1.08371,1.08371,1.08371,1.08371,0,0
BOW_PB,D,20120305,000000,1.08371,1.08371,1.07055,1.07055,0,0
BOW_PB,D,20120306,000000,1.06402,1.06402,1.06402,1.06402,0,0
BOW_PB,D,20120307,000000,1.11004,1.11004,1.07055,1.07055,0,0
BOW_PB,D,20120308,000000,1.08371,1.08371,0.98519,1.05747,0,0
BOW_PB,D,20120309,000000,1.03121,1.03121,1.03121,1.03121,0,0
BOW_PB,D,20120312,000000,1.03121,1.03121,1.03121,1.03121,0,0
BOW_PB,D,20120313,000000,1.0246,1.0246,0.97866,0.991749,0,0
BOW_PB,D,20120314,000000,1.01806,1.01806,0.965565,0.965565,0,0
BOW_PB,D,20120315,000000,1.01806,1.01806,0.97866,0.97866,0,0
BOW_PB,D,20120316,000000,1.01806,1.01806,0.97866,0.97866,0,0
BOW_PB,D,20120319,000000,0.998357,0.998357,0.97866,0.97866,0,0
BOW_PB,D,20120320,000000,0.998357,0.998357,0.97866,0.998357,0,0
BOW_PB,D,20120321,000000,0.998357,0.998357,0.998357,0.998357,0,0
BOW_PB,D,20120322,000000,0.998357,1.07716,0.998357,1.07716,0,0
BOW_PB,D,20120323,000000,1.07716,1.07716,1.07716,1.07716,0,0
BOW_PB,D,20120326,000000,1.07716,1.09695,1.07716,1.09695,0,0
BOW_PB,D,20120327,000000,1.09695,1.09695,1.07716,1.07716,0,0
BOW_PB,D,20120328,000000,1.09695,1.09695,1.05747,1.05747,0,0
BOW_PB,D,20120329,000000,1.05092,1.05747,1.01145,1.05092,0,0
BOW_PB,D,20120330,000000,1.09695,1.09695,1.05092,1.09695,0,0
BOW_PB,D,20120402,000000,1.09695,1.09695,1.09695,1.09695,0,0
BOW_PB,D,20120403,000000,1.09695,1.09695,1.09695,1.09695,0,0
BOW_PB,D,20120404,000000,1.05092,1.05092,1.05092,1.05092,0,0
BOW_PB,D,20120410,000000,1.09695,1.09695,1.03776,1.03776,0,0
BOW_PB,D,20120411,000000,1.07055,1.07055,1.01806,1.01806,0,0
BOW_PB,D,20120412,000000,0.991749,0.991749,0.98519,0.98519,0,0
BOW_PB,D,20120413,000000,0.965565,0.965565,0.958885,0.965565,0,0
BOW_PB,D,20120416,000000,1.0246,1.0246,1.0246,1.0246,0,0
BOW_PB,D,20120417,000000,1.00498,1.00498,1.00498,1.00498,0,0
BOW_PB,D,20120418,000000,1.09695,1.09695,1.05747,1.07055,0,0
BOW_PB,D,20120419,000000,1.11004,1.11004,1.07055,1.07055,0,0
BOW_PB,D,20120420,000000,1.07055,1.07055,1.07055,1.07055,0,0
BOW_PB,D,20120423,000000,1.07055,1.07055,0.998357,0.998357,0,0
BOW_PB,D,20120424,000000,1.07055,1.07055,1.07055,1.07055,0,0
BOW_PB,D,20120425,000000,1.00498,1.00498,0.998357,0.998357,0,0
BOW_PB,D,20120426,000000,1.00498,1.00498,1.00498,1.00498,0,0
BOW_PB,D,20120427,000000,1.07055,1.07055,0.991749,1.04438,0,0
BOW_PB,D,20120430,000000,1.07055,1.07055,1.04438,1.07055,0,0
BOW_PB,D,20120502,000000,1.07055,1.07055,1.07055,1.07055,0,0
BOW_PB,D,20120504,000000,1.07055,1.07055,1.07055,1.07055,0,0
BOW_PB,D,20120507,000000,1.06402,1.06402,1.01145,1.01145,0,0
BOW_PB,D,20120508,000000,1.08371,1.08371,0.998357,0.998357,0,0
BOW_PB,D,20120509,000000,0.998357,0.998357,0.965565,0.97866,0,0
BOW_PB,D,20120510,000000,0.97866,0.97866,0.97866,0.97866,0,0
BOW_PB,D,20120511,000000,0.97866,0.97866,0.952342,0.952342,0,0
BOW_PB,D,20120514,000000,0.952342,0.952342,0.952342,0.952342,0,0
BOW_PB,D,20120515,000000,0.965565,0.965565,0.965565,0.965565,0,0
BOW_PB,D,20120517,000000,0.926163,0.926163,0.906389,0.906389,0,0
BOW_PB,D,20120524,000000,0.899842,0.899842,0.899842,0.899842,0,0
BOW_PB,D,20120528,000000,0.853825,0.899842,0.853825,0.853825,0,0
BOW_PB,D,20120529,000000,0.807876,0.807876,0.76847,0.76847,0,0
BOW_PB,D,20120530,000000,0.76847,0.76847,0.722592,0.76847,0,0
BOW_PB,D,20120604,000000,0.76847,0.76847,0.76847,0.76847,0,0
BOW_PB,D,20120605,000000,0.761926,0.76847,0.761926,0.76847,0,0
BOW_PB,D,20120613,000000,0.893234,0.893234,0.893234,0.893234,0,0
BOW_PB,D,20120614,000000,0.86044,0.893234,0.86044,0.86044,0,0
BOW_PB,D,20120615,000000,0.86044,0.86044,0.81442,0.86044,0,0
BOW_PB,D,20120618,000000,0.86044,0.86044,0.86044,0.86044,0,0
BOW_PB,D,20120619,000000,0.86044,0.86044,0.81442,0.86044,0,0
