<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRS_MV,D,20070813,000000,863.998,863.998,863.998,863.998,0,0
BRS_MV,D,20070814,000000,870.277,870.277,870.277,870.277,0,0
BRS_MV,D,20070816,000000,794.954,794.954,794.954,794.954,0,0
BRS_MV,D,20070817,000000,755.208,755.208,755.208,755.208,0,0
BRS_MV,D,20070820,000000,758.141,758.141,758.141,758.141,0,0
BRS_MV,D,20070821,000000,744.751,744.751,744.751,744.751,0,0
BRS_MV,D,20070822,000000,774.037,774.037,774.037,774.037,0,0
BRS_MV,D,20070823,000000,797.887,797.887,797.887,797.887,0,0
BRS_MV,D,20070824,000000,836.795,836.795,836.795,836.795,0,0
BRS_MV,D,20070827,000000,857.72,857.72,857.72,857.72,0,0
BRS_MV,D,20070828,000000,845.171,845.171,845.171,845.171,0,0
BRS_MV,D,20070829,000000,874.035,874.035,874.035,874.035,0,0
BRS_MV,D,20070830,000000,874.035,874.035,874.035,874.035,0,0
BRS_MV,D,20070831,000000,888.68,888.68,888.68,888.68,0,0
BRS_MV,D,20070903,000000,883.667,883.667,883.667,883.667,0,0
BRS_MV,D,20070904,000000,899.559,899.559,899.559,899.559,0,0
BRS_MV,D,20070905,000000,874.457,874.457,874.457,874.457,0,0
BRS_MV,D,20070906,000000,857.72,857.72,857.72,857.72,0,0
BRS_MV,D,20070907,000000,845.171,845.171,845.171,845.171,0,0
BRS_MV,D,20070910,000000,828.435,828.435,828.435,828.435,0,0
BRS_MV,D,20070911,000000,832.615,832.615,832.615,832.615,0,0
BRS_MV,D,20070912,000000,829.682,829.682,829.682,829.682,0,0
BRS_MV,D,20070913,000000,828.022,828.022,828.022,828.022,0,0
BRS_MV,D,20070914,000000,828.435,828.435,828.435,828.435,0,0
BRS_MV,D,20070917,000000,809.187,809.187,809.187,809.187,0,0
BRS_MV,D,20070918,000000,807.511,807.511,807.511,807.511,0,0
BRS_MV,D,20070919,000000,807.511,807.511,807.511,807.511,0,0
BRS_MV,D,20070920,000000,809.601,809.601,809.601,809.601,0,0
BRS_MV,D,20070921,000000,813.788,813.788,813.788,813.788,0,0
BRS_MV,D,20070924,000000,812.533,812.533,812.533,812.533,0,0
BRS_MV,D,20070925,000000,794.954,794.954,794.954,794.954,0,0
BRS_MV,D,20070926,000000,794.954,794.954,794.954,794.954,0,0
BRS_MV,D,20070927,000000,794.954,794.954,794.954,794.954,0,0
BRS_MV,D,20070928,000000,776.55,776.55,776.55,776.55,0,0
BRS_MV,D,20071001,000000,774.037,774.037,774.037,774.037,0,0
BRS_MV,D,20071002,000000,782.409,782.409,782.409,782.409,0,0
BRS_MV,D,20071003,000000,784.501,784.501,784.501,784.501,0,0
BRS_MV,D,20071004,000000,786.172,786.172,786.172,786.172,0,0
BRS_MV,D,20071005,000000,792.866,792.866,792.866,792.866,0,0
BRS_MV,D,20071008,000000,787.848,787.848,787.848,787.848,0,0
BRS_MV,D,20071009,000000,793.287,793.287,793.287,793.287,0,0
BRS_MV,D,20071010,000000,797.053,797.053,797.053,797.053,0,0
BRS_MV,D,20071011,000000,815.466,815.466,815.466,815.466,0,0
BRS_MV,D,20071012,000000,811.699,811.699,811.699,811.699,0,0
BRS_MV,D,20071015,000000,813.788,813.788,813.788,813.788,0,0
BRS_MV,D,20071016,000000,812.12,812.12,812.12,812.12,0,0
BRS_MV,D,20071017,000000,813.788,813.788,813.788,813.788,0,0
BRS_MV,D,20071018,000000,794.954,794.954,794.954,794.954,0,0
BRS_MV,D,20071019,000000,794.954,794.954,794.954,794.954,0,0
BRS_MV,D,20071022,000000,774.037,774.037,774.037,774.037,0,0
BRS_MV,D,20071023,000000,761.489,761.489,761.489,761.489,0,0
BRS_MV,D,20071024,000000,753.124,753.124,753.124,753.124,0,0
BRS_MV,D,20071025,000000,756.885,756.885,756.885,756.885,0,0
BRS_MV,D,20071026,000000,757.306,757.306,757.306,757.306,0,0
BRS_MV,D,20071029,000000,757.306,757.306,757.306,757.306,0,0
BRS_MV,D,20071030,000000,753.124,753.124,753.124,753.124,0,0
BRS_MV,D,20071031,000000,741.41,741.41,741.41,741.41,0,0
BRS_MV,D,20071102,000000,723.838,723.838,723.838,723.838,0,0
BRS_MV,D,20071105,000000,711.283,711.283,711.283,711.283,0,0
BRS_MV,D,20071106,000000,670.277,670.277,670.277,670.277,0,0
BRS_MV,D,20071107,000000,625.503,625.503,625.503,625.503,0,0
BRS_MV,D,20071108,000000,616.723,616.723,616.723,616.723,0,0
BRS_MV,D,20071109,000000,617.145,620.064,586.182,591.199,0,0
BRS_MV,D,20071112,000000,569.443,591.199,569.443,578.644,0,0
BRS_MV,D,20071113,000000,569.03,576.974,556.473,570.278,0,0
BRS_MV,D,20071114,000000,581.577,586.601,564.84,564.84,0,0
BRS_MV,D,20071115,000000,564.84,564.84,531.791,536.388,0,0
BRS_MV,D,20071116,000000,526.767,536.388,506.682,522.999,0,0
BRS_MV,D,20071119,000000,531.371,537.645,506.268,514.627,0,0
BRS_MV,D,20071120,000000,508.352,508.352,467.353,487.018,0,0
BRS_MV,D,20071121,000000,480.743,480.743,437.646,449.359,0,0
BRS_MV,D,20071122,000000,443.085,480.322,410.865,480.322,0,0
BRS_MV,D,20071123,000000,481.164,502.084,476.981,480.322,0,0
BRS_MV,D,20071126,000000,502.084,502.084,471.121,471.121,0,0
BRS_MV,D,20071127,000000,435.969,476.981,435.969,464.005,0,0
BRS_MV,D,20071128,000000,474.883,483.669,460.236,483.669,0,0
BRS_MV,D,20071129,000000,489.944,501.243,470.7,481.164,0,0
BRS_MV,D,20071130,000000,485.339,506.268,481.164,481.164,0,0
BRS_MV,D,20071203,000000,494.547,568.187,494.547,544.34,0,0
BRS_MV,D,20071204,000000,561.912,564.84,539.736,539.736,0,0
BRS_MV,D,20071205,000000,527.18,561.492,527.18,556.895,0,0
BRS_MV,D,20071206,000000,563.169,563.169,537.231,546.43,0,0
BRS_MV,D,20071207,000000,553.127,553.127,540.992,543.925,0,0
BRS_MV,D,20071210,000000,543.084,543.925,527.18,527.18,0,0
BRS_MV,D,20071211,000000,523.419,530.115,517.559,518.816,0,0
BRS_MV,D,20071212,000000,543.925,562.748,532.627,533.455,0,0
BRS_MV,D,20071213,000000,539.315,539.315,512.541,517.559,0,0
BRS_MV,D,20071214,000000,510.45,516.302,502.084,504.589,0,0
BRS_MV,D,20071217,000000,487.438,494.547,477.396,494.133,0,0
BRS_MV,D,20071218,000000,488.274,490.364,468.609,490.364,0,0
BRS_MV,D,20071219,000000,486.182,502.084,486.182,488.274,0,0
BRS_MV,D,20071220,000000,487.859,493.712,482.42,487.018,0,0
BRS_MV,D,20071221,000000,488.274,506.268,479.487,479.487,0,0
BRS_MV,D,20071227,000000,497.474,498.731,485.761,489.944,0,0
BRS_MV,D,20071228,000000,495.811,506.268,485.761,498.731,0,0
BRS_MV,D,20080102,000000,504.589,516.724,502.084,510.45,0,0
BRS_MV,D,20080103,000000,515.468,515.468,493.712,499.987,0,0
BRS_MV,D,20080104,000000,496.218,508.352,491.621,491.621,0,0
BRS_MV,D,20080107,000000,485.339,485.339,479.066,485.339,0,0
BRS_MV,D,20080108,000000,479.901,484.926,473.627,480.322,0,0
BRS_MV,D,20080109,000000,472.792,472.792,456.055,456.475,0,0
BRS_MV,D,20080110,000000,466.511,466.511,420.495,420.495,0,0
BRS_MV,D,20080111,000000,426.768,426.768,415.89,417.56,0,0
BRS_MV,D,20080114,000000,407.939,407.939,407.939,407.939,0,0
BRS_MV,D,20080115,000000,410.03,410.03,381.58,389.11,0,0
BRS_MV,D,20080116,000000,356.056,382.836,356.056,361.074,0,0
BRS_MV,D,20080117,000000,368.19,371.958,355.641,363.172,0,0
BRS_MV,D,20080118,000000,351.459,377.397,351.459,370.288,0,0
BRS_MV,D,20080121,000000,369.866,392.878,362.336,369.866,0,0
BRS_MV,D,20080122,000000,355.641,370.288,355.641,370.288,0,0
BRS_MV,D,20080123,000000,376.982,384.935,370.288,382.836,0,0
BRS_MV,D,20080124,000000,401.665,409.195,393.293,397.476,0,0
BRS_MV,D,20080125,000000,410.03,410.03,389.11,397.476,0,0
