<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRS_PE,D,20070813,000000,10.4121,10.4121,10.4121,10.4121,0,0
BRS_PE,D,20070814,000000,10.5459,10.5459,10.5459,10.5459,0,0
BRS_PE,D,20070816,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20070817,000000,9.14431,9.14431,9.14431,9.14431,0,0
BRS_PE,D,20070820,000000,9.14431,9.14431,9.14431,9.14431,0,0
BRS_PE,D,20070821,000000,9.01054,9.01054,9.01054,9.01054,0,0
BRS_PE,D,20070822,000000,9.34393,9.34393,9.34393,9.34393,0,0
BRS_PE,D,20070823,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20070824,000000,10.1451,10.1451,10.1451,10.1451,0,0
BRS_PE,D,20070827,000000,10.3456,10.3456,10.3456,10.3456,0,0
BRS_PE,D,20070828,000000,10.2117,10.2117,10.2117,10.2117,0,0
BRS_PE,D,20070829,000000,10.5459,10.5459,10.5459,10.5459,0,0
BRS_PE,D,20070830,000000,21.4915,21.4915,21.4915,21.4915,0,0
BRS_PE,D,20070831,000000,21.8256,21.8256,21.8256,21.8256,0,0
BRS_PE,D,20070903,000000,21.759,21.759,21.759,21.759,0,0
BRS_PE,D,20070904,000000,22.0924,22.0924,22.0924,22.0924,0,0
BRS_PE,D,20070905,000000,21.4915,21.4915,21.4915,21.4915,0,0
BRS_PE,D,20070906,000000,21.0915,21.0915,21.0915,21.0915,0,0
BRS_PE,D,20070907,000000,20.7574,20.7574,20.7574,20.7574,0,0
BRS_PE,D,20070910,000000,20.3569,20.3569,20.3569,20.3569,0,0
BRS_PE,D,20070911,000000,20.4906,20.4906,20.4906,20.4906,0,0
BRS_PE,D,20070912,000000,20.4241,20.4241,20.4241,20.4241,0,0
BRS_PE,D,20070913,000000,20.3569,20.3569,20.3569,20.3569,0,0
BRS_PE,D,20070914,000000,20.3569,20.3569,20.3569,20.3569,0,0
BRS_PE,D,20070917,000000,19.8897,19.8897,19.8897,19.8897,0,0
BRS_PE,D,20070918,000000,9.74456,9.74456,9.74456,9.74456,0,0
BRS_PE,D,20070919,000000,9.74456,9.74456,9.74456,9.74456,0,0
BRS_PE,D,20070920,000000,9.81181,9.81181,9.81181,9.81181,0,0
BRS_PE,D,20070921,000000,9.81181,9.81181,9.81181,9.81181,0,0
BRS_PE,D,20070924,000000,9.81181,9.81181,9.81181,9.81181,0,0
BRS_PE,D,20070925,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20070926,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20070927,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20070928,000000,9.41113,9.41113,9.41113,9.41113,0,0
BRS_PE,D,20071001,000000,9.34393,9.34393,9.34393,9.34393,0,0
BRS_PE,D,20071002,000000,9.47773,9.47773,9.47773,9.47773,0,0
BRS_PE,D,20071003,000000,9.47773,9.47773,9.47773,9.47773,0,0
BRS_PE,D,20071004,000000,9.47773,9.47773,9.47773,9.47773,0,0
BRS_PE,D,20071005,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20071008,000000,9.54423,9.54423,9.54423,9.54423,0,0
BRS_PE,D,20071009,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20071010,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20071011,000000,9.8784,9.8784,9.8784,9.8784,0,0
BRS_PE,D,20071012,000000,9.81181,9.81181,9.81181,9.81181,0,0
BRS_PE,D,20071015,000000,9.81181,9.81181,9.81181,9.81181,0,0
BRS_PE,D,20071016,000000,9.81181,9.81181,9.81181,9.81181,0,0
BRS_PE,D,20071017,000000,9.81181,9.81181,9.81181,9.81181,0,0
BRS_PE,D,20071018,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20071019,000000,9.61148,9.61148,9.61148,9.61148,0,0
BRS_PE,D,20071022,000000,19.7566,19.7566,19.7566,19.7566,0,0
BRS_PE,D,20071023,000000,19.4898,19.4898,19.4898,19.4898,0,0
BRS_PE,D,20071024,000000,19.2223,19.2223,19.2223,19.2223,0,0
BRS_PE,D,20071025,000000,19.356,19.356,19.356,19.356,0,0
BRS_PE,D,20071026,000000,19.356,19.356,19.356,19.356,0,0
BRS_PE,D,20071029,000000,19.356,19.356,19.356,19.356,0,0
BRS_PE,D,20071030,000000,19.2223,19.2223,19.2223,19.2223,0,0
BRS_PE,D,20071031,000000,18.9554,18.9554,18.9554,18.9554,0,0
BRS_PE,D,20071102,000000,18.4882,18.4882,18.4882,18.4882,0,0
BRS_PE,D,20071105,000000,18.1549,18.1549,18.1549,18.1549,0,0
BRS_PE,D,20071106,000000,17.1532,17.1532,17.1532,17.1532,0,0
BRS_PE,D,20071107,000000,15.9522,15.9522,15.9522,15.9522,0,0
BRS_PE,D,20071108,000000,15.7518,15.7518,15.7518,15.7518,0,0
BRS_PE,D,20071109,000000,15.7518,15.8183,14.9505,15.0843,0,0
BRS_PE,D,20071112,000000,14.5507,15.0843,14.5507,14.8175,0,0
BRS_PE,D,20071113,000000,14.5507,14.7509,14.2165,14.5507,0,0
BRS_PE,D,20071114,000000,14.8175,14.9505,14.4168,14.4168,0,0
BRS_PE,D,20071115,000000,14.4168,14.4168,13.549,13.6828,0,0
BRS_PE,D,20071116,000000,13.416,13.6828,12.9489,13.3487,0,0
BRS_PE,D,20071119,000000,13.549,13.7493,12.9489,13.1484,0,0
BRS_PE,D,20071120,000000,13.0154,34.841,11.9473,34.841,0,0
BRS_PE,D,20071121,000000,34.3738,34.3738,31.3033,32.1712,0,0
BRS_PE,D,20071122,000000,31.7039,34.3738,29.4347,34.3738,0,0
BRS_PE,D,20071123,000000,34.4404,35.9084,34.1063,34.3738,0,0
BRS_PE,D,20071126,000000,35.9084,35.9084,33.7063,33.7063,0,0
BRS_PE,D,20071127,000000,31.1696,34.1063,31.1696,33.172,0,0
BRS_PE,D,20071128,000000,33.9732,34.6407,32.9051,34.6407,0,0
BRS_PE,D,20071129,000000,35.1079,35.9084,33.7063,34.4404,0,0
BRS_PE,D,20071130,000000,34.7073,36.2424,34.4404,34.4404,0,0
BRS_PE,D,20071203,000000,35.3748,40.648,35.3748,38.979,0,0
BRS_PE,D,20071204,000000,40.2474,40.4476,38.6456,38.6456,0,0
BRS_PE,D,20071205,000000,37.7778,40.1801,37.7778,39.8467,0,0
BRS_PE,D,20071206,000000,40.3139,40.3139,38.4453,39.1127,0,0
BRS_PE,D,20071207,000000,39.5798,39.5798,38.7121,38.9123,0,0
BRS_PE,D,20071210,000000,38.8458,38.9123,37.7105,37.7105,0,0
BRS_PE,D,20071211,000000,37.4437,37.9108,37.0437,37.1103,0,0
BRS_PE,D,20071212,000000,38.9123,40.2474,38.1112,38.1783,0,0
BRS_PE,D,20071213,000000,38.5782,38.5782,36.7097,37.0437,0,0
BRS_PE,D,20071214,000000,36.5094,36.9765,35.9084,36.1088,0,0
BRS_PE,D,20071217,000000,34.9075,35.3748,34.1735,35.3748,0,0
BRS_PE,D,20071218,000000,34.974,35.1079,33.5726,35.1079,0,0
BRS_PE,D,20071219,000000,34.841,35.9756,34.841,34.9075,0,0
BRS_PE,D,20071220,000000,34.9075,35.3081,34.507,34.841,0,0
BRS_PE,D,20071221,000000,34.9075,36.2424,34.3066,34.3066,0,0
BRS_PE,D,20071227,000000,35.575,35.7088,34.7738,35.0413,0,0
BRS_PE,D,20071228,000000,35.4413,36.2424,34.7738,35.7088,0,0
BRS_PE,D,20080102,000000,36.1088,36.9765,35.9756,36.5094,0,0
BRS_PE,D,20080103,000000,36.8434,36.8434,35.3081,35.7754,0,0
BRS_PE,D,20080104,000000,35.5084,36.3762,35.1744,35.1744,0,0
BRS_PE,D,20080107,000000,34.7073,34.7073,34.24,34.7073,0,0
BRS_PE,D,20080108,000000,34.3066,34.6407,33.8395,34.3738,0,0
BRS_PE,D,20080109,000000,33.8395,33.8395,32.6382,32.6382,0,0
BRS_PE,D,20080110,000000,33.3723,33.3723,30.1021,30.1021,0,0
