<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BST_PB,D,20070813,000000,16.67,16.67,16.67,16.67,0,0
BST_PB,D,20070814,000000,18.33,18.33,18.33,18.33,0,0
BST_PB,D,20070816,000000,17.77,17.77,17.77,17.77,0,0
BST_PB,D,20070817,000000,17.8,17.8,17.8,17.8,0,0
BST_PB,D,20070820,000000,19.47,19.47,19.47,19.47,0,0
BST_PB,D,20070821,000000,19.47,19.47,19.47,19.47,0,0
BST_PB,D,20070822,000000,17.99,17.99,17.99,17.99,0,0
BST_PB,D,20070823,000000,18.86,18.86,18.86,18.86,0,0
BST_PB,D,20070824,000000,17.24,17.24,17.24,17.24,0,0
BST_PB,D,20070827,000000,18.67,18.67,18.67,18.67,0,0
BST_PB,D,20070828,000000,19.13,19.13,19.13,19.13,0,0
BST_PB,D,20070829,000000,18.94,18.94,18.94,18.94,0,0
BST_PB,D,20070830,000000,17.8,17.8,17.8,17.8,0,0
BST_PB,D,20070831,000000,18.56,18.56,18.56,18.56,0,0
BST_PB,D,20070903,000000,18.44,18.44,18.44,18.44,0,0
BST_PB,D,20070904,000000,17.84,17.84,17.84,17.84,0,0
BST_PB,D,20070905,000000,17.42,17.42,17.42,17.42,0,0
BST_PB,D,20070906,000000,17.99,17.99,17.99,17.99,0,0
BST_PB,D,20070907,000000,18.94,18.94,18.94,18.94,0,0
BST_PB,D,20070910,000000,18.94,18.94,18.94,18.94,0,0
BST_PB,D,20070911,000000,18.94,18.94,18.94,18.94,0,0
BST_PB,D,20070912,000000,19.66,19.66,19.66,19.66,0,0
BST_PB,D,20070913,000000,20.4,20.4,20.4,20.4,0,0
BST_PB,D,20070914,000000,21.97,21.97,21.97,21.97,0,0
BST_PB,D,20070917,000000,22.35,22.35,22.35,22.35,0,0
BST_PB,D,20070918,000000,22.35,22.35,22.35,22.35,0,0
BST_PB,D,20070919,000000,22.31,22.31,22.31,22.31,0,0
BST_PB,D,20070920,000000,21.97,21.97,21.97,21.97,0,0
