<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAP_MV,D,20170721,000000,1548.8,1548.8,1548.8,1548.8,0,0
CAP_MV,D,20170724,000000,1556,1562.4,1533.6,1534.4,0,0
CAP_MV,D,20170725,000000,1544,1544,1524,1536,0,0
CAP_MV,D,20170726,000000,1541.6,1541.6,1516,1518.4,0,0
CAP_MV,D,20170727,000000,1518.4,1530.4,1496,1520,0,0
CAP_MV,D,20170728,000000,1520,1520,1495.2,1512,0,0
CAP_MV,D,20170731,000000,1520,1520,1472.8,1484,0,0
CAP_MV,D,20170801,000000,1476.8,1492.8,1476.8,1477.6,0,0
CAP_MV,D,20170802,000000,1477.6,1480,1475.2,1476,0,0
CAP_MV,D,20170803,000000,1478.4,1520,1476,1500.8,0,0
CAP_MV,D,20170804,000000,1500.8,1504,1480.8,1496,0,0
CAP_MV,D,20170807,000000,1489.6,1496,1489.6,1496,0,0
CAP_MV,D,20170808,000000,1496,1520,1488,1492,0,0
CAP_MV,D,20170809,000000,1496,1514.4,1484,1504,0,0
CAP_MV,D,20170810,000000,1500.8,1502.4,1480,1500,0,0
CAP_MV,D,20170811,000000,1491.2,1512,1491.2,1511.2,0,0
CAP_MV,D,20170814,000000,1511.2,1536.8,1511.2,1527.2,0,0
CAP_MV,D,20170816,000000,1528,1544,1528,1534.4,0,0
CAP_MV,D,20170817,000000,1541.6,1557.6,1536.8,1544,0,0
CAP_MV,D,20170818,000000,1560,1565.6,1528.8,1564.8,0,0
CAP_MV,D,20170821,000000,1568,1760,1568,1656,0,0
CAP_MV,D,20170822,000000,1760,1760,1704,1736,0,0
CAP_MV,D,20170823,000000,1742.4,1824,1742.4,1799.2,0,0
CAP_MV,D,20170824,000000,1824,1824,1720,1744,0,0
CAP_MV,D,20170825,000000,1788.8,1808,1784,1799.2,0,0
CAP_MV,D,20170828,000000,1804,1824,1799.2,1800,0,0
CAP_MV,D,20170829,000000,1800.8,1826.4,1800,1805.6,0,0
CAP_MV,D,20170830,000000,1829.6,1829.6,1800,1816,0,0
CAP_MV,D,20170831,000000,1828,1880,1820,1872,0,0
CAP_MV,D,20170901,000000,1891.2,2018.4,1876.8,1936,0,0
CAP_MV,D,20170904,000000,1999.2,2071.2,1944,2056,0,0
CAP_MV,D,20170905,000000,2080,2280,2080,2168,0,0
CAP_MV,D,20170906,000000,2207.2,2207.2,2078.4,2096.8,0,0
CAP_MV,D,20170907,000000,2080,2141.6,1984,2024,0,0
CAP_MV,D,20170908,000000,2012,2104,2000,2048,0,0
CAP_MV,D,20170911,000000,2164,2164,2072,2080,0,0
