<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAP_PB,D,20170721,000000,3.5,3.5,3.5,3.5,0,0
CAP_PB,D,20170724,000000,3.52,3.53,3.46,3.47,0,0
CAP_PB,D,20170725,000000,3.49,3.49,3.44,3.47,0,0
CAP_PB,D,20170726,000000,3.48,3.48,3.42,3.43,0,0
CAP_PB,D,20170727,000000,3.43,3.46,3.38,3.43,0,0
CAP_PB,D,20170728,000000,3.43,3.43,3.38,3.42,0,0
CAP_PB,D,20170731,000000,3.43,3.43,3.33,3.35,0,0
CAP_PB,D,20170801,000000,3.34,3.37,3.34,3.34,0,0
CAP_PB,D,20170802,000000,3.34,3.34,3.33,3.33,0,0
CAP_PB,D,20170803,000000,3.34,3.43,3.33,3.39,0,0
CAP_PB,D,20170804,000000,3.39,3.4,3.35,3.38,0,0
CAP_PB,D,20170807,000000,3.37,3.38,3.37,3.38,0,0
CAP_PB,D,20170808,000000,3.38,3.43,3.36,3.37,0,0
CAP_PB,D,20170809,000000,3.38,3.42,3.35,3.4,0,0
CAP_PB,D,20170810,000000,3.39,3.39,3.34,3.39,0,0
CAP_PB,D,20170811,000000,3.37,3.42,3.37,3.41,0,0
CAP_PB,D,20170814,000000,3.41,3.47,3.41,3.45,0,0
CAP_PB,D,20170816,000000,3.45,3.49,3.45,3.47,0,0
CAP_PB,D,20170817,000000,3.48,3.52,3.47,3.49,0,0
CAP_PB,D,20170818,000000,3.52,3.54,3.45,3.54,0,0
CAP_PB,D,20170821,000000,3.54,3.98,3.54,3.74,0,0
CAP_PB,D,20170822,000000,3.98,3.98,3.85,3.92,0,0
CAP_PB,D,20170823,000000,3.94,4.12,3.94,4.06,0,0
CAP_PB,D,20170824,000000,4.12,4.12,3.89,3.94,0,0
CAP_PB,D,20170825,000000,4.04,4.08,4.03,4.06,0,0
CAP_PB,D,20170828,000000,4.08,4.12,4.06,4.07,0,0
CAP_PB,D,20170829,000000,4.07,4.13,4.07,4.08,0,0
CAP_PB,D,20170830,000000,4.13,4.13,4.07,4.1,0,0
CAP_PB,D,20170831,000000,4.13,4.25,4.11,4.23,0,0
CAP_PB,D,20170901,000000,4.27,4.56,4.24,4.37,0,0
CAP_PB,D,20170904,000000,4.52,4.68,4.39,4.64,0,0
CAP_PB,D,20170905,000000,4.7,5.15,4.7,4.9,0,0
CAP_PB,D,20170906,000000,4.99,4.99,4.7,4.74,0,0
CAP_PB,D,20170907,000000,4.7,4.84,4.48,4.57,0,0
CAP_PB,D,20170908,000000,4.55,4.75,4.52,4.63,0,0
CAP_PB,D,20170911,000000,4.89,4.89,4.68,4.7,0,0
CAP_PB,D,20170912,000000,4.74,4.74,4.63,4.63,0,0
CAP_PB,D,20170913,000000,4.64,4.71,4.61,4.61,0,0
CAP_PB,D,20170914,000000,4.69,4.69,4.57,4.62,0,0
CAP_PB,D,20170915,000000,4.66,4.7,4.59,4.63,0,0
CAP_PB,D,20170918,000000,4.7,4.81,4.7,4.74,0,0
CAP_PB,D,20170919,000000,4.75,4.75,4.6,4.72,0,0
CAP_PB,D,20170920,000000,4.7,4.7,4.19,4.19,0,0
CAP_PB,D,20170921,000000,4.19,4.19,4.1,4.11,0,0
CAP_PB,D,20170922,000000,4.07,4.12,4.02,4.1,0,0
CAP_PB,D,20170925,000000,4.1,4.18,4.1,4.11,0,0
CAP_PB,D,20170926,000000,4.11,4.15,4.1,4.13,0,0
CAP_PB,D,20170927,000000,4.11,4.15,4.1,4.1,0,0
