<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAR_PB,D,20070813,000000,12.7986,12.7986,12.7986,12.7986,0,0
CAR_PB,D,20070814,000000,12.5469,12.5469,12.5469,12.5469,0,0
CAR_PB,D,20070816,000000,10.934,10.934,10.934,10.934,0,0
CAR_PB,D,20070817,000000,11.2145,11.2145,11.2145,11.2145,0,0
CAR_PB,D,20070820,000000,11.476,11.476,11.476,11.476,0,0
CAR_PB,D,20070821,000000,11.476,11.476,11.476,11.476,0,0
CAR_PB,D,20070822,000000,11.8633,11.8633,11.8633,11.8633,0,0
CAR_PB,D,20070823,000000,10.3822,10.3822,10.3822,10.3822,0,0
CAR_PB,D,20070824,000000,10.6527,10.6527,10.6527,10.6527,0,0
CAR_PB,D,20070827,000000,10.8558,10.8558,10.8558,10.8558,0,0
CAR_PB,D,20070828,000000,11.3877,11.3877,11.3877,11.3877,0,0
CAR_PB,D,20070829,000000,11.4858,11.4858,11.4858,11.4858,0,0
CAR_PB,D,20070830,000000,11.8821,11.8821,11.8821,11.8821,0,0
CAR_PB,D,20070831,000000,11.6077,11.6077,11.6077,11.6077,0,0
CAR_PB,D,20070903,000000,11.6077,11.6077,11.6077,11.6077,0,0
CAR_PB,D,20070904,000000,11.6077,11.6077,11.6077,11.6077,0,0
CAR_PB,D,20070905,000000,11.5422,11.5422,11.5422,11.5422,0,0
CAR_PB,D,20070906,000000,11.687,11.687,11.687,11.687,0,0
CAR_PB,D,20070907,000000,11.5422,11.5422,11.5422,11.5422,0,0
CAR_PB,D,20070910,000000,11.3382,11.3382,11.3382,11.3382,0,0
CAR_PB,D,20070911,000000,11.3481,11.3481,11.3481,11.3481,0,0
CAR_PB,D,20070912,000000,11.1361,11.1361,11.1361,11.1361,0,0
CAR_PB,D,20070913,000000,11.1085,11.1085,11.1085,11.1085,0,0
CAR_PB,D,20070914,000000,11.2223,11.2223,11.2223,11.2223,0,0
CAR_PB,D,20070917,000000,11.0598,11.0598,11.0598,11.0598,0,0
CAR_PB,D,20070918,000000,10.944,10.944,10.944,10.944,0,0
CAR_PB,D,20070919,000000,11.1361,11.1361,11.1361,11.1361,0,0
CAR_PB,D,20070920,000000,11.0598,11.0598,11.0598,11.0598,0,0
CAR_PB,D,20070921,000000,11.0598,11.0598,11.0598,11.0598,0,0
CAR_PB,D,20070924,000000,10.8172,10.8172,10.8172,10.8172,0,0
CAR_PB,D,20070925,000000,10.518,10.518,10.518,10.518,0,0
CAR_PB,D,20070926,000000,11.145,11.145,11.145,11.145,0,0
CAR_PB,D,20070927,000000,11.0598,11.0598,11.0598,11.0598,0,0
CAR_PB,D,20070928,000000,11.0598,11.0598,11.0598,11.0598,0,0
CAR_PB,D,20071001,000000,10.9053,10.9053,10.9053,10.9053,0,0
CAR_PB,D,20071002,000000,10.9053,10.9053,10.9053,10.9053,0,0
CAR_PB,D,20071003,000000,10.8172,10.8172,10.8172,10.8172,0,0
CAR_PB,D,20071004,000000,10.7012,10.7012,10.7012,10.7012,0,0
CAR_PB,D,20071005,000000,10.7488,10.7488,10.7488,10.7488,0,0
