<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEZ_MV,D,20070813,000000,30755.1,30755.1,30755.1,30755.1,0,0
CEZ_MV,D,20070814,000000,30775.7,30775.7,30775.7,30775.7,0,0
CEZ_MV,D,20070816,000000,28724,28724,28724,28724,0,0
CEZ_MV,D,20070817,000000,29749.9,29749.9,29749.9,29749.9,0,0
CEZ_MV,D,20070820,000000,29955,29955,29955,29955,0,0
CEZ_MV,D,20070821,000000,30201.2,30201.2,30201.2,30201.2,0,0
CEZ_MV,D,20070822,000000,30529.5,30529.5,30529.5,30529.5,0,0
CEZ_MV,D,20070823,000000,30570.5,30570.5,30570.5,30570.5,0,0
CEZ_MV,D,20070824,000000,31801.6,31801.6,31801.6,31801.6,0,0
CEZ_MV,D,20070827,000000,31001.4,31001.4,31001.4,31001.4,0,0
CEZ_MV,D,20070828,000000,29975.6,29975.6,29975.6,29975.6,0,0
CEZ_MV,D,20070829,000000,29975.6,29975.6,29975.6,29975.6,0,0
CEZ_MV,D,20070830,000000,30180.7,30180.7,30180.7,30180.7,0,0
CEZ_MV,D,20070831,000000,30365.3,30365.3,30365.3,30365.3,0,0
CEZ_MV,D,20070903,000000,31206.5,31206.5,31206.5,31206.5,0,0
CEZ_MV,D,20070904,000000,30878.3,30878.3,30878.3,30878.3,0,0
CEZ_MV,D,20070905,000000,30447.4,30447.4,30447.4,30447.4,0,0
CEZ_MV,D,20070906,000000,30447.4,30447.4,30447.4,30447.4,0,0
CEZ_MV,D,20070907,000000,30529.5,30529.5,30529.5,30529.5,0,0
CEZ_MV,D,20070910,000000,30632.1,30632.1,30632.1,30632.1,0,0
CEZ_MV,D,20070911,000000,30755.1,30755.1,30755.1,30755.1,0,0
CEZ_MV,D,20070912,000000,31021.9,31021.9,31021.9,31021.9,0,0
CEZ_MV,D,20070913,000000,31596.4,31596.4,31596.4,31596.4,0,0
CEZ_MV,D,20070914,000000,31473.3,31473.3,31473.3,31473.3,0,0
CEZ_MV,D,20070917,000000,31124.5,31124.5,31124.5,31124.5,0,0
CEZ_MV,D,20070918,000000,31391.2,31391.2,31391.2,31391.2,0,0
CEZ_MV,D,20070919,000000,31042.4,31042.4,31042.4,31042.4,0,0
CEZ_MV,D,20070920,000000,31596.4,31596.4,31596.4,31596.4,0,0
CEZ_MV,D,20070921,000000,31801.6,31801.6,31801.6,31801.6,0,0
CEZ_MV,D,20070924,000000,31165.5,31165.5,31165.5,31165.5,0,0
CEZ_MV,D,20070925,000000,32622.3,32622.3,32622.3,32622.3,0,0
CEZ_MV,D,20070926,000000,33750.7,33750.7,33750.7,33750.7,0,0
CEZ_MV,D,20070927,000000,33648.1,33648.1,33648.1,33648.1,0,0
CEZ_MV,D,20070928,000000,33114.6,33114.6,33114.6,33114.6,0,0
CEZ_MV,D,20071001,000000,34366.2,34366.2,34366.2,34366.2,0,0
CEZ_MV,D,20071002,000000,34879.1,34879.1,34879.1,34879.1,0,0
CEZ_MV,D,20071003,000000,34468.8,34468.8,34468.8,34468.8,0,0
CEZ_MV,D,20071004,000000,35289.4,35289.4,35289.4,35289.4,0,0
CEZ_MV,D,20071005,000000,35700,35700,35700,35700,0,0
CEZ_MV,D,20071008,000000,35905,35905,35905,35905,0,0
CEZ_MV,D,20071009,000000,36623.2,36623.2,36623.2,36623.2,0,0
CEZ_MV,D,20071010,000000,35412.6,35412.6,35412.6,35412.6,0,0
CEZ_MV,D,20071011,000000,35802.5,35802.5,35802.5,35802.5,0,0
CEZ_MV,D,20071012,000000,36520.6,36520.6,36520.6,36520.6,0,0
CEZ_MV,D,20071015,000000,36069.3,36069.3,36069.3,36069.3,0,0
CEZ_MV,D,20071016,000000,35658.7,35658.7,35658.7,35658.7,0,0
CEZ_MV,D,20071017,000000,35084.3,35084.3,35084.3,35084.3,0,0
CEZ_MV,D,20071018,000000,35494.4,35494.4,35494.4,35494.4,0,0
CEZ_MV,D,20071019,000000,35248.6,35248.6,35248.6,35248.6,0,0
CEZ_MV,D,20071022,000000,35084.3,35084.3,35084.3,35084.3,0,0
CEZ_MV,D,20071023,000000,35084.3,35084.3,35084.3,35084.3,0,0
CEZ_MV,D,20071024,000000,35453.6,35453.6,35453.6,35453.6,0,0
CEZ_MV,D,20071025,000000,35761.3,35761.3,35761.3,35761.3,0,0
CEZ_MV,D,20071026,000000,37033.4,37033.4,37033.4,37033.4,0,0
CEZ_MV,D,20071029,000000,38059.2,38059.2,38059.2,38059.2,0,0
CEZ_MV,D,20071030,000000,37936.3,37936.3,37936.3,37936.3,0,0
CEZ_MV,D,20071031,000000,37505.2,37505.2,37505.2,37505.2,0,0
CEZ_MV,D,20071102,000000,37587.4,37587.4,37587.4,37587.4,0,0
CEZ_MV,D,20071105,000000,38675,38675,38675,38675,0,0
CEZ_MV,D,20071106,000000,39187.6,39187.6,39187.6,39187.6,0,0
CEZ_MV,D,20071107,000000,38285.1,38285.1,38285.1,38285.1,0,0
CEZ_MV,D,20071108,000000,36951.2,36951.2,36951.2,36951.2,0,0
CEZ_MV,D,20071109,000000,38326,38920.9,37772.1,37772.1,0,0
CEZ_MV,D,20071112,000000,38059.2,38161.8,37136,37136,0,0
CEZ_MV,D,20071113,000000,36725.7,36930.9,36254,36417.7,0,0
CEZ_MV,D,20071114,000000,37136,37136,36130.6,36705.4,0,0
CEZ_MV,D,20071115,000000,36930.9,37341.1,36623.2,37177.2,0,0
CEZ_MV,D,20071116,000000,37854.2,37854.2,35494.4,35576.6,0,0
CEZ_MV,D,20071119,000000,36520.6,37341.1,35576.6,36828.4,0,0
CEZ_MV,D,20071120,000000,36930.9,38777.4,36930.9,38551.6,0,0
CEZ_MV,D,20071121,000000,38161.8,38777.4,37402.7,38777.4,0,0
CEZ_MV,D,20071122,000000,38161.8,38818.4,37649.1,38675,0,0
CEZ_MV,D,20071123,000000,38982.6,39187.6,38203,39187.6,0,0
CEZ_MV,D,20071126,000000,39577.4,39577.4,38387.7,39187.6,0,0
CEZ_MV,D,20071127,000000,39187.6,39187.6,38367,38633.7,0,0
CEZ_MV,D,20071128,000000,38736.2,38736.2,37443.6,37751.6,0,0
CEZ_MV,D,20071129,000000,37566.9,38141.5,37341.1,38059.2,0,0
CEZ_MV,D,20071130,000000,38161.8,38161.8,36930.9,37751.6,0,0
CEZ_MV,D,20071203,000000,37751.6,37956.7,36971.8,36971.8,0,0
CEZ_MV,D,20071204,000000,37033.4,38018.3,37033.4,37731.2,0,0
CEZ_MV,D,20071205,000000,37956.7,39967.5,37956.7,39967.5,0,0
CEZ_MV,D,20071206,000000,39967.5,39967.5,38367,39392.8,0,0
CEZ_MV,D,20071207,000000,39803.3,40295.7,39433.9,39762.1,0,0
CEZ_MV,D,20071210,000000,39967.5,40603.7,39967.5,40480.2,0,0
CEZ_MV,D,20071211,000000,40624,40624,39556.9,40213.5,0,0
CEZ_MV,D,20071212,000000,39598.3,41034.2,39392.8,41034.2,0,0
CEZ_MV,D,20071213,000000,40418.9,40418.9,39249.3,39495.6,0,0
CEZ_MV,D,20071214,000000,39290.3,39392.8,38367,38367,0,0
CEZ_MV,D,20071217,000000,38469.8,39023.4,38469.8,38777.4,0,0
CEZ_MV,D,20071218,000000,38675,39680.3,38079.7,38982.6,0,0
CEZ_MV,D,20071219,000000,39187.6,39392.8,38223.5,38223.5,0,0
CEZ_MV,D,20071220,000000,38161.8,39598.3,38161.8,38346.4,0,0
CEZ_MV,D,20071221,000000,39167.2,39167.2,36787.1,36787.1,0,0
CEZ_MV,D,20071227,000000,36930.9,38449,36930.9,37546.6,0,0
CEZ_MV,D,20071228,000000,38141.5,38141.5,37546.6,37546.6,0,0
CEZ_MV,D,20080102,000000,37218.1,38408.1,37218.1,38182.3,0,0
CEZ_MV,D,20080103,000000,37956.7,39290.3,37956.7,39249.3,0,0
CEZ_MV,D,20080104,000000,39556.9,39556.9,38715.8,38880,0,0
CEZ_MV,D,20080107,000000,38367,38982.6,37669.5,37956.7,0,0
CEZ_MV,D,20080108,000000,37977.2,39372.3,37956.7,38367,0,0
CEZ_MV,D,20080109,000000,38346.4,38551.6,37341.1,37751.6,0,0
CEZ_MV,D,20080110,000000,38469.8,38469.8,35494.4,35905,0,0
CEZ_MV,D,20080111,000000,35556.1,36725.7,35556.1,36315.2,0,0
CEZ_MV,D,20080114,000000,34879.1,34879.1,34879.1,34879.1,0,0
CEZ_MV,D,20080115,000000,34879.1,34879.1,32376.1,32376.1,0,0
CEZ_MV,D,20080116,000000,32950.5,34263.6,32950.5,34222.6,0,0
CEZ_MV,D,20080117,000000,35268.9,35268.9,34550.9,34674,0,0
CEZ_MV,D,20080118,000000,34509.8,35289.4,34509.8,35289.4,0,0
CEZ_MV,D,20080121,000000,34079,34674,33237.8,33237.8,0,0
CEZ_MV,D,20080122,000000,31781,33853.3,31616.9,33319.8,0,0
CEZ_MV,D,20080123,000000,33648.1,33853.3,30980.8,31021.9,0,0
CEZ_MV,D,20080124,000000,32191.4,33853.3,32191.4,33853.3,0,0
CEZ_MV,D,20080125,000000,34489.3,35494.4,34489.3,35494.4,0,0
