<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLC_MV,D,20110504,000000,41.56,41.56,41.56,41.56,0,0
CLC_MV,D,20110505,000000,49.81,50.26,31.96,33.91,0,0
CLC_MV,D,20110506,000000,33.91,33.91,25.5,25.5,0,0
CLC_MV,D,20110509,000000,24,24.75,20.4,20.4,0,0
CLC_MV,D,20110510,000000,22.35,22.35,16.95,17.25,0,0
CLC_MV,D,20110511,000000,17.25,18,16.8,17.7,0,0
CLC_MV,D,20110512,000000,17.7,18,17.7,17.85,0,0
CLC_MV,D,20110513,000000,18,18,16.5,17.85,0,0
CLC_MV,D,20110516,000000,18,18,17.4,17.4,0,0
CLC_MV,D,20110517,000000,17.55,17.55,14.1,14.1,0,0
CLC_MV,D,20110518,000000,14.1,16.5,12,16.5,0,0
CLC_MV,D,20110519,000000,16.5,16.5,16.5,16.5,0,0
CLC_MV,D,20110520,000000,15,15,13.8,15,0,0
CLC_MV,D,20110523,000000,14.7,14.7,13.8,14.4,0,0
CLC_MV,D,20110524,000000,14.1,15,12,15,0,0
CLC_MV,D,20110525,000000,14.7,15,13.05,13.5,0,0
CLC_MV,D,20110526,000000,13.5,13.5,12.3,12.9,0,0
CLC_MV,D,20110527,000000,13.35,14.7,13.35,13.95,0,0
CLC_MV,D,20110530,000000,14.25,14.7,13.95,14.7,0,0
CLC_MV,D,20110531,000000,14.7,14.7,13.05,13.5,0,0
CLC_MV,D,20110601,000000,13.5,14.7,13.5,13.8,0,0
CLC_MV,D,20110602,000000,13.5,13.5,13.5,13.5,0,0
CLC_MV,D,20110603,000000,13.95,14.7,13.95,14.7,0,0
CLC_MV,D,20110606,000000,14.7,14.7,13.35,13.35,0,0
CLC_MV,D,20110607,000000,13.35,13.35,13.2,13.2,0,0
CLC_MV,D,20110608,000000,13.35,14.1,13.35,14.1,0,0
CLC_MV,D,20110609,000000,14.25,14.25,14.1,14.1,0,0
CLC_MV,D,20110610,000000,14.25,14.25,13.65,13.65,0,0
CLC_MV,D,20110613,000000,13.65,13.65,13.65,13.65,0,0
