<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLD_MV,D,20120518,000000,5.80457,5.80457,5.80457,5.80457,0,0
CLD_MV,D,20120521,000000,5.8991,8.39488,5.8991,8.39488,0,0
CLD_MV,D,20120522,000000,9.67111,10.4558,8.27199,10.4558,0,0
CLD_MV,D,20120523,000000,10.2668,10.2668,9.67111,9.67111,0,0
CLD_MV,D,20120524,000000,9.67111,9.67111,7.7993,9.04719,0,0
CLD_MV,D,20120525,000000,9.04719,9.04719,7.82765,8.98101,0,0
CLD_MV,D,20120528,000000,7.86547,8.98101,7.86547,8.95265,0,0
CLD_MV,D,20120529,000000,8.42325,9.01882,8.42325,9.01882,0,0
CLD_MV,D,20120530,000000,9.07554,10.7961,8.73521,10.6071,0,0
CLD_MV,D,20120531,000000,10.3896,10.3896,8.42325,9.11335,0,0
CLD_MV,D,20120601,000000,8.73521,8.73521,8.42325,8.42325,0,0
CLD_MV,D,20120604,000000,8.66904,8.66904,8.27199,8.27199,0,0
CLD_MV,D,20120605,000000,8.42325,8.66904,8.27199,8.27199,0,0
CLD_MV,D,20120606,000000,8.66904,8.66904,8.66904,8.66904,0,0
CLD_MV,D,20120608,000000,8.27199,8.27199,8.27199,8.27199,0,0
CLD_MV,D,20120611,000000,8.27199,8.27199,7.17536,7.17536,0,0
CLD_MV,D,20120612,000000,6.86338,6.86338,6.86338,6.86338,0,0
CLD_MV,D,20120613,000000,6.86338,7.20371,6.86338,7.20371,0,0
CLD_MV,D,20120614,000000,6.89174,7.20371,6.89174,7.20371,0,0
CLD_MV,D,20120615,000000,6.86338,6.86338,6.86338,6.86338,0,0
CLD_MV,D,20120618,000000,6.86338,6.86338,5.77621,5.77621,0,0
CLD_MV,D,20120619,000000,5.8991,6.48523,5.8991,6.48523,0,0
CLD_MV,D,20120620,000000,5.92747,5.92747,5.92747,5.92747,0,0
CLD_MV,D,20120621,000000,6.21108,6.21108,5.92747,6.08818,0,0
CLD_MV,D,20120622,000000,5.77621,5.77621,5.77621,5.77621,0,0
