<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLD_PB,D,20120518,000000,19.3516,19.3516,19.3516,19.3516,0,0
CLD_PB,D,20120521,000000,19.6636,27.983,19.6636,27.983,0,0
CLD_PB,D,20120522,000000,32.2372,34.8557,27.5764,34.8557,0,0
CLD_PB,D,20120523,000000,34.2224,34.2224,32.2372,32.2372,0,0
CLD_PB,D,20120524,000000,32.2372,32.2372,13.7079,13.7079,0,0
CLD_PB,D,20120525,000000,13.7079,13.7079,11.8643,13.6038,0,0
CLD_PB,D,20120528,000000,11.9211,13.6038,11.9211,13.566,0,0
CLD_PB,D,20120529,000000,12.7626,13.6606,12.7626,13.6606,0,0
CLD_PB,D,20120530,000000,13.7551,16.3549,13.2352,16.0713,0,0
CLD_PB,D,20120531,000000,15.7404,15.7404,12.7626,13.8119,0,0
CLD_PB,D,20120601,000000,13.2352,13.2352,12.7626,12.7626,0,0
CLD_PB,D,20120604,000000,13.1312,13.1312,12.5356,12.5356,0,0
CLD_PB,D,20120605,000000,12.7626,13.1312,12.5356,12.5356,0,0
CLD_PB,D,20120606,000000,13.1312,13.1312,13.1312,13.1312,0,0
CLD_PB,D,20120608,000000,12.5356,12.5356,12.5356,12.5356,0,0
CLD_PB,D,20120611,000000,12.5356,12.5356,10.8718,10.8718,0,0
CLD_PB,D,20120612,000000,10.3991,10.3991,10.3991,10.3991,0,0
CLD_PB,D,20120613,000000,10.3991,10.919,10.3991,10.919,0,0
CLD_PB,D,20120614,000000,10.4464,10.919,10.4464,10.919,0,0
CLD_PB,D,20120615,000000,10.3991,10.3991,10.3991,10.3991,0,0
CLD_PB,D,20120618,000000,10.3991,10.3991,8.75412,8.75412,0,0
CLD_PB,D,20120619,000000,8.93375,9.82238,8.93375,9.82238,0,0
CLD_PB,D,20120620,000000,8.98101,8.98101,8.98101,8.98101,0,0
CLD_PB,D,20120621,000000,9.40643,9.40643,8.98101,9.2268,0,0
CLD_PB,D,20120622,000000,8.75412,8.75412,8.75412,8.75412,0,0
CLD_PB,D,20120625,000000,8.75412,8.75412,8.75412,8.75412,0,0
CLD_PB,D,20120626,000000,9.17008,9.17008,9.17008,9.17008,0,0
CLD_PB,D,20120628,000000,9.17008,9.17008,9.17008,9.17008,0,0
CLD_PB,D,20120706,000000,9.45369,9.45369,9.45369,9.45369,0,0
CLD_PB,D,20120710,000000,8.98101,8.98101,8.98101,8.98101,0,0
CLD_PB,D,20120716,000000,8.98101,8.98101,8.98101,8.98101,0,0
CLD_PB,D,20120719,000000,8.98101,8.98101,8.65013,8.65013,0,0
CLD_PB,D,20120801,000000,8.65013,8.98101,8.65013,8.98101,0,0
CLD_PB,D,20120802,000000,8.98101,8.98101,8.98101,8.98101,0,0
CLD_PB,D,20120829,000000,9.02828,9.02828,9.02828,9.02828,0,0
CLD_PB,D,20120830,000000,8.65013,9.02828,8.65013,9.02828,0,0
CLD_PB,D,20120904,000000,8.65013,9.08501,8.65013,9.08501,0,0
CLD_PB,D,20120921,000000,9.08501,9.08501,9.08501,9.08501,0,0
CLD_PB,D,20120925,000000,9.02828,9.02828,9.02828,9.02828,0,0
CLD_PB,D,20120926,000000,9.02828,9.02828,9.02828,9.02828,0,0
CLD_PB,D,20121010,000000,9.08501,9.08501,9.08501,9.08501,0,0
CLD_PB,D,20121015,000000,8.65013,9.08501,8.65013,9.08501,0,0
CLD_PB,D,20121106,000000,9.08501,9.08501,9.08501,9.08501,0,0
CLD_PB,D,20121107,000000,9.12282,9.59548,9.12282,9.59548,0,0
CLD_PB,D,20121115,000000,9.59548,9.59548,9.59548,9.59548,0,0
CLD_PB,D,20121126,000000,9.59548,10.3518,9.59548,10.3518,0,0
CLD_PB,D,20121127,000000,10.8718,15.5986,10.7299,13.6038,0,0
CLD_PB,D,20121128,000000,13.4242,13.6038,12.8097,12.8097,0,0
CLD_PB,D,20121129,000000,12.4789,12.4789,10.7677,10.7677,0,0
CLD_PB,D,20121203,000000,9.45369,9.92638,9.45369,9.92638,0,0
CLD_PB,D,20121204,000000,10.3991,10.3991,10.3991,10.3991,0,0
CLD_PB,D,20121205,000000,9.92638,9.92638,9.92638,9.92638,0,0
CLD_PB,D,20121206,000000,9.92638,9.92638,9.92638,9.92638,0,0
CLD_PB,D,20121213,000000,9.92638,10.3991,9.92638,10.2478,0,0
CLD_PB,D,20121219,000000,9.17008,10.2478,9.17008,10.2478,0,0
CLD_PB,D,20130117,000000,10.4841,10.4841,10.4841,10.4841,0,0
CLD_PB,D,20130204,000000,10.522,10.522,10.522,10.522,0,0
CLD_PB,D,20130205,000000,10.6638,10.6638,10.6638,10.6638,0,0
CLD_PB,D,20130218,000000,10.6638,10.6638,10.6638,10.6638,0,0
CLD_PB,D,20130219,000000,10.6638,10.7111,10.6638,10.7111,0,0
CLD_PB,D,20130228,000000,10.6638,12.8097,10.6638,12.8097,0,0
CLD_PB,D,20130305,000000,11.6375,12.753,11.6375,12.753,0,0
CLD_PB,D,20130306,000000,11.8833,12.6679,11.8833,12.6679,0,0
CLD_PB,D,20130308,000000,12.6113,13.0366,12.6113,13.0366,0,0
CLD_PB,D,20130313,000000,13.5472,13.5472,13.5472,13.5472,0,0
CLD_PB,D,20130319,000000,13.5472,13.5472,13.5472,13.5472,0,0
CLD_PB,D,20130327,000000,13.4999,13.4999,13.4999,13.4999,0,0
CLD_PB,D,20130328,000000,12.6679,13.5472,12.6679,13.5472,0,0
CLD_PB,D,20130402,000000,13.4999,13.4999,13.4999,13.4999,0,0
CLD_PB,D,20130403,000000,13.4999,13.4999,13.4999,13.4999,0,0
CLD_PB,D,20130417,000000,13.9253,14.6155,13.9253,14.6155,0,0
CLD_PB,D,20130424,000000,13.7457,13.7457,13.7457,13.7457,0,0
CLD_PB,D,20130902,000000,1.47478,1.47478,1.47478,1.47478,0,0
CLD_PB,D,20130924,000000,1.47478,1.47478,1.47478,1.47478,0,0
CLD_PB,D,20131018,000000,1.42752,1.47478,1.42752,1.47478,0,0
CLD_PB,D,20131025,000000,1.42752,1.42752,1.42752,1.42752,0,0
CLD_PB,D,20131104,000000,1.42752,1.42752,1.42752,1.42752,0,0
CLD_PB,D,20131219,000000,1.46533,1.46533,1.46533,1.46533,0,0
CLD_PB,D,20140103,000000,1.75839,1.75839,1.75839,1.75839,0,0
CLD_PB,D,20140110,000000,1.75839,1.75839,1.75839,1.75839,0,0
CLD_PB,D,20140113,000000,1.63549,1.80566,1.63549,1.80566,0,0
CLD_PB,D,20140120,000000,17.2151,17.2151,15.5986,16.6763,0,0
CLD_PB,D,20140121,000000,14.8045,16.5628,13.4432,13.4432,0,0
CLD_PB,D,20140122,000000,13.4432,13.4432,10.106,10.106,0,0
CLD_PB,D,20140211,000000,10.0114,10.7111,10.0114,10.7111,0,0
CLD_PB,D,20140212,000000,10.7111,10.7111,10.7111,10.7111,0,0
CLD_PB,D,20140221,000000,9.14172,9.14172,9.14172,9.14172,0,0
CLD_PB,D,20140324,000000,7.59132,7.59132,7.59132,7.59132,0,0
CLD_PB,D,20140327,000000,7.5346,7.5346,6.92956,6.92956,0,0
CLD_PB,D,20140328,000000,7.0241,7.0241,7.0241,7.0241,0,0
CLD_PB,D,20140331,000000,6.50414,6.50414,6.45687,6.45687,0,0
CLD_PB,D,20140417,000000,6.06927,6.50414,6.06927,6.50414,0,0
CLD_PB,D,20140422,000000,5.19953,5.6344,5.19953,5.6344,0,0
CLD_PB,D,20140423,000000,4.76466,5.19953,4.76466,5.19953,0,0
CLD_PB,D,20140424,000000,6.23944,6.92956,5.42642,5.42642,0,0
CLD_PB,D,20140428,000000,6.50414,6.50414,6.50414,6.50414,0,0
CLD_PB,D,20140429,000000,7.36443,7.36443,7.36443,7.36443,0,0
CLD_PB,D,20140430,000000,5.8991,5.8991,5.8991,5.8991,0,0
CLD_PB,D,20140505,000000,6.28671,6.28671,6.28671,6.28671,0,0
CLD_PB,D,20140507,000000,6.06927,6.06927,6.06927,6.06927,0,0
CLD_PB,D,20140509,000000,6.06927,6.06927,6.06927,6.06927,0,0
CLD_PB,D,20140513,000000,6.06927,6.06927,6.06927,6.06927,0,0
CLD_PB,D,20140516,000000,7.70476,7.70476,7.70476,7.70476,0,0
CLD_PB,D,20140519,000000,7.70476,7.70476,7.70476,7.70476,0,0
CLD_PB,D,20140520,000000,6.28671,6.28671,6.28671,6.28671,0,0
CLD_PB,D,20140523,000000,6.88228,8.26253,6.88228,8.26253,0,0
CLD_PB,D,20140526,000000,9.17954,11.0136,8.7163,11.0136,0,0
CLD_PB,D,20140527,000000,13.2069,13.7646,13.2069,13.7646,0,0
CLD_PB,D,20140528,000000,11.0136,13.7646,11.0136,13.7646,0,0
CLD_PB,D,20140529,000000,13.7646,13.7646,13.7646,13.7646,0,0
CLD_PB,D,20140530,000000,13.3013,14.1332,13.3013,14.1332,0,0
CLD_PB,D,20140602,000000,14.6248,14.6248,14.6248,14.6248,0,0
CLD_PB,D,20140603,000000,13.6512,13.6512,13.6512,13.6512,0,0
CLD_PB,D,20140604,000000,15.1071,15.1071,14.1332,14.3886,0,0
CLD_PB,D,20140605,000000,13.1595,14.1332,12.9232,13.897,0,0
CLD_PB,D,20140606,000000,14.1332,14.1332,14.1332,14.1332,0,0
CLD_PB,D,20140611,000000,13.897,13.897,13.897,13.897,0,0
CLD_PB,D,20140613,000000,14.3886,14.3886,14.3886,14.3886,0,0
CLD_PB,D,20140616,000000,14.6248,14.6248,14.1332,14.1332,0,0
CLD_PB,D,20140617,000000,13.6512,14.3886,13.5376,13.5376,0,0
CLD_PB,D,20140618,000000,13.5376,13.5376,13.3013,13.3013,0,0
CLD_PB,D,20140620,000000,13.3013,13.5376,13.3013,13.5376,0,0
CLD_PB,D,20140623,000000,13.2635,13.5376,13.2635,13.5376,0,0
CLD_PB,D,20140624,000000,13.5376,14.6816,13.0839,13.0839,0,0
CLD_PB,D,20140625,000000,14.2656,14.2656,14.2656,14.2656,0,0
CLD_PB,D,20140626,000000,14.6816,17.6122,14.6816,15.5986,0,0
CLD_PB,D,20140627,000000,12.8475,14.6816,12.8475,14.6816,0,0
CLD_PB,D,20140630,000000,14.6816,14.6816,14.6816,14.6816,0,0
CLD_PB,D,20140701,000000,15.5986,15.835,15.5986,15.835,0,0
CLD_PB,D,20140702,000000,16.752,18.586,16.752,18.586,0,0
CLD_PB,D,20140703,000000,20.6468,25.2319,20.6468,25.2319,0,0
CLD_PB,D,20140704,000000,24.3149,24.3149,24.3149,24.3149,0,0
CLD_PB,D,20140709,000000,20.6468,22.9347,20.6468,22.9347,0,0
CLD_PB,D,20140710,000000,24.1353,24.1353,22.9347,22.9347,0,0
CLD_PB,D,20140718,000000,24.3717,26.1773,24.3717,26.1773,0,0
CLD_PB,D,20140722,000000,26.13,26.13,24.6269,24.6269,0,0
CLD_PB,D,20140723,000000,24.6269,26.13,24.6269,26.13,0,0
CLD_PB,D,20140724,000000,25.9409,25.9409,25.9409,25.9409,0,0
CLD_PB,D,20140728,000000,24.6269,24.6269,24.6269,24.6269,0,0
CLD_PB,D,20140731,000000,24.6269,24.6269,24.6269,24.6269,0,0
CLD_PB,D,20140808,000000,25.6479,25.6479,25.6479,25.6479,0,0
CLD_PB,D,20140811,000000,25.8369,30.7056,7.86547,7.86547,0,0
CLD_PB,D,20140827,000000,13.1029,13.1029,13.1029,13.1029,0,0
CLD_PB,D,20140828,000000,13.1029,13.1029,12.6679,12.7247,0,0
CLD_PB,D,20140829,000000,13.1029,15.7214,13.1029,15.7214,0,0
CLD_PB,D,20140901,000000,18.0849,21.649,17.4704,21.649,0,0
CLD_PB,D,20140902,000000,24.3339,24.3339,19.5881,21.5544,0,0
CLD_PB,D,20140903,000000,21.2141,24.3339,19.9662,21.7151,0,0
CLD_PB,D,20140904,000000,21.7151,21.7151,19.6448,21.7151,0,0
CLD_PB,D,20140905,000000,24.9578,24.9578,19.6448,20.9683,0,0
CLD_PB,D,20140908,000000,19.6448,20.9683,17.4704,20.8359,0,0
CLD_PB,D,20140909,000000,17.4326,19.9662,17.3475,18.7183,0,0
CLD_PB,D,20140911,000000,17.3475,18.7183,17.3475,18.7183,0,0
CLD_PB,D,20140912,000000,17.3475,19.3423,17.3475,18.0944,0,0
CLD_PB,D,20140915,000000,17.4704,20.8359,16.4116,20.8359,0,0
CLD_PB,D,20140916,000000,18.7183,18.7183,18.7183,18.7183,0,0
CLD_PB,D,20140917,000000,18.0944,18.7183,17.461,18.7183,0,0
CLD_PB,D,20140919,000000,18.0944,18.0944,18.0944,18.0944,0,0
CLD_PB,D,20140922,000000,18.0944,18.9642,18.0944,18.9642,0,0
CLD_PB,D,20140923,000000,18.9642,23.086,18.9642,23.086,0,0
CLD_PB,D,20140924,000000,23.7099,24.8348,23.7099,24.8348,0,0
CLD_PB,D,20140925,000000,24.712,27.2078,24.712,25.7045,0,0
CLD_PB,D,20140926,000000,24.9578,26.0827,24.9578,26.0827,0,0
CLD_PB,D,20140929,000000,24.9578,24.9578,22.462,22.462,0,0
CLD_PB,D,20140930,000000,24.9578,24.9578,22.462,23.7099,0,0
CLD_PB,D,20141001,000000,19.9662,21.5922,19.9662,21.5922,0,0
CLD_PB,D,20141003,000000,21.2141,21.2141,20.9683,20.9683,0,0
CLD_PB,D,20141006,000000,22.462,26.2056,22.462,26.0827,0,0
CLD_PB,D,20141007,000000,25.5817,29.9493,25.5817,29.3254,0,0
CLD_PB,D,20141008,000000,33.693,36.8127,31.1972,32.4451,0,0
CLD_PB,D,20141009,000000,33.0691,36.1792,33.0691,36.1792,0,0
CLD_PB,D,20141010,000000,35.5648,38.6845,35.5648,38.6845,0,0
CLD_PB,D,20141013,000000,38.694,46.4177,33.0691,44.924,0,0
CLD_PB,D,20141014,000000,47.4197,47.4197,47.174,47.174,0,0
CLD_PB,D,20141015,000000,47.4292,50.4165,47.4197,50.4165,0,0
CLD_PB,D,20141016,000000,49.906,49.906,39.9418,47.4102,0,0
CLD_PB,D,20141017,000000,41.1897,49.4239,39.9324,46.1623,0,0
CLD_PB,D,20141020,000000,40.0553,46.1623,39.9324,39.9324,0,0
CLD_PB,D,20141021,000000,46.1246,46.1246,40.5564,46.1246,0,0
CLD_PB,D,20141022,000000,40.1782,46.1623,40.1782,46.1623,0,0
CLD_PB,D,20141023,000000,40.1782,46.1718,40.1782,46.1718,0,0
CLD_PB,D,20141024,000000,46.1718,46.1718,40.1782,43.6761,0,0
CLD_PB,D,20141027,000000,46.1718,49.9155,46.1718,49.906,0,0
CLD_PB,D,20141028,000000,49.906,49.906,49.906,49.906,0,0
CLD_PB,D,20141029,000000,42.4943,42.4943,42.4282,42.4282,0,0
CLD_PB,D,20141030,000000,49.9155,49.9155,40.1971,43.6761,0,0
CLD_PB,D,20141031,000000,41.4261,49.6698,41.3127,49.6698,0,0
CLD_PB,D,20141104,000000,43.6855,46.1623,42.4282,46.1623,0,0
CLD_PB,D,20141105,000000,46.1718,46.1718,46.1718,46.1718,0,0
CLD_PB,D,20141106,000000,43.6761,43.6761,41.1803,42.4282,0,0
CLD_PB,D,20141107,000000,42.4282,44.924,42.4282,42.4282,0,0
