<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLD_PE,D,20120829,000000,220.177,220.65,220.177,220.65,0,0
CLD_PE,D,20120830,000000,211.007,220.65,211.007,220.65,0,0
CLD_PE,D,20120904,000000,211.007,221.878,211.007,221.878,0,0
CLD_PE,D,20120921,000000,221.311,221.878,221.311,221.878,0,0
CLD_PE,D,20120925,000000,220.177,220.65,220.177,220.65,0,0
CLD_PE,D,20120926,000000,220.177,220.65,220.177,220.65,0,0
CLD_PE,D,20121010,000000,221.311,221.878,221.311,221.878,0,0
CLD_PE,D,20121015,000000,211.007,221.878,211.007,221.878,0,0
CLD_PE,D,20121106,000000,221.311,221.878,221.311,221.878,0,0
CLD_PE,D,20121107,000000,222.541,234.546,222.541,234.546,0,0
CLD_PE,D,20121115,000000,234.073,234.546,234.073,234.546,0,0
CLD_PE,D,20121126,000000,234.073,253.076,234.073,253.076,0,0
CLD_PE,D,20121127,000000,265.176,380.417,261.678,332.77,0,0
CLD_PE,D,20121128,000000,327.381,332.77,312.445,313.106,0,0
CLD_PE,D,20121129,000000,304.409,304.409,263.474,263.474,0,0
CLD_PE,D,20121203,000000,230.576,242.676,230.576,242.676,0,0
CLD_PE,D,20121204,000000,253.642,254.21,253.642,254.21,0,0
CLD_PE,D,20121205,000000,242.109,242.676,242.109,242.676,0,0
CLD_PE,D,20121206,000000,242.109,242.676,242.109,242.676,0,0
CLD_PE,D,20121213,000000,242.109,253.642,242.109,253.642,0,0
CLD_PE,D,20130228,000000,4289.61,4289.61,4289.61,4289.61,0,0
CLD_PE,D,20130305,000000,3939.07,4317.22,3939.07,4274.02,0,0
CLD_PE,D,20130306,000000,4017.82,4285.63,4017.82,4242.82,0,0
CLD_PE,D,20130308,000000,4269.95,4411.76,4269.95,4367.61,0,0
CLD_PE,D,20130313,000000,4585.04,4585.04,4539.19,4539.19,0,0
CLD_PE,D,20130319,000000,4585.04,4585.04,4539.19,4539.19,0,0
CLD_PE,D,20130327,000000,4569.25,4569.25,4523.6,4523.6,0,0
CLD_PE,D,20130328,000000,4285.63,4585.04,4285.63,4539.19,0,0
CLD_PE,D,20130402,000000,4569.25,4569.25,4523.6,4523.6,0,0
CLD_PE,D,20130403,000000,4569.25,4569.25,4523.6,4523.6,0,0
CLD_PE,D,20130417,000000,4711.06,4947.39,4711.06,4947.39,0,0
CLD_PE,D,20130424,000000,4648.09,4648.09,4601.59,4601.59,0,0
CLD_PE,D,20130902,000000,1654.4,1654.4,1637.85,1637.85,0,0
CLD_PE,D,20130924,000000,1654.4,1654.4,1637.85,1637.85,0,0
CLD_PE,D,20131018,000000,1601.83,1654.4,1601.83,1637.85,0,0
CLD_PE,D,20131025,000000,1601.83,1601.83,1585.86,1585.86,0,0
CLD_PE,D,20131104,000000,1601.83,1601.83,1585.86,1585.86,0,0
CLD_PE,D,20131219,000000,1643.9,1643.9,1627.45,1627.45,0,0
CLD_PE,D,20140103,000000,1969.49,1969.49,1949.83,1949.83,0,0
CLD_PE,D,20140110,000000,1969.49,1969.49,1949.83,1949.83,0,0
CLD_PE,D,20140113,000000,1838.18,2022.05,1838.18,2001.82,0,0
CLD_PE,D,20140324,000000,100.871,101.06,100.871,101.06,0,0
CLD_PE,D,20140327,000000,100.304,100.304,92.268,92.4571,0,0
CLD_PE,D,20140328,000000,93.4025,93.5916,93.4025,93.5916,0,0
CLD_PE,D,20140331,000000,86.5013,86.5013,85.9341,86.1231,0,0
CLD_PE,D,20140417,000000,80.7345,86.6904,80.7345,86.6904,0,0
CLD_PE,D,20140422,000000,69.201,75.0623,69.201,75.0623,0,0
CLD_PE,D,20140423,000000,63.4343,69.2956,63.4343,69.2956,0,0
CLD_PE,D,20140424,000000,83.0034,92.268,72.0371,72.2262,0,0
CLD_PE,D,20140428,000000,86.5013,86.6904,86.5013,86.6904,0,0
CLD_PE,D,20140429,000000,98.0351,98.2238,98.0351,98.2238,0,0
CLD_PE,D,20140430,000000,78.3712,78.5602,78.3712,78.5602,0,0
CLD_PE,D,20140505,000000,83.5706,83.7597,83.5706,83.7597,0,0
CLD_PE,D,20140507,000000,80.7345,80.9236,80.7345,80.9236,0,0
CLD_PE,D,20140509,000000,80.7345,80.9236,80.7345,80.9236,0,0
CLD_PE,D,20140513,000000,80.7345,80.9236,80.7345,80.9236,0,0
CLD_PE,D,20140516,000000,305.449,308.285,305.449,308.285,0,0
CLD_PE,D,20140519,000000,305.449,305.449,305.449,305.449,0,0
CLD_PE,D,20140520,000000,249.105,251.373,249.105,251.373,0,0
CLD_PE,D,20140523,000000,272.739,330.312,272.739,330.312,0,0
CLD_PE,D,20140526,000000,363.589,440.447,345.438,440.447,0,0
CLD_PE,D,20140527,000000,523.546,550.583,523.546,550.583,0,0
CLD_PE,D,20140528,000000,436.288,550.583,436.288,550.583,0,0
CLD_PE,D,20140529,000000,545.383,550.583,545.383,550.583,0,0
CLD_PE,D,20140530,000000,527.233,527.233,527.233,527.233,0,0
CLD_PE,D,20140617,000000,562.495,562.495,562.495,562.495,0,0
CLD_PE,D,20140618,000000,557.768,557.768,548.314,553.042,0,0
CLD_PE,D,20140620,000000,548.314,562.495,548.314,562.495,0,0
CLD_PE,D,20140623,000000,546.423,562.495,546.423,562.495,0,0
CLD_PE,D,20140624,000000,557.768,605.036,538.86,543.493,0,0
CLD_PE,D,20140625,000000,588.02,593.03,588.02,593.03,0,0
CLD_PE,D,20140626,000000,605.036,726.044,605.036,648.334,0,0
CLD_PE,D,20140627,000000,529.407,610.235,529.407,610.235,0,0
CLD_PE,D,20140630,000000,605.036,610.235,605.036,610.235,0,0
CLD_PE,D,20140701,000000,642.851,657.882,642.851,657.882,0,0
CLD_PE,D,20140702,000000,690.12,772.272,690.12,772.272,0,0
CLD_PE,D,20140703,000000,850.832,1048.79,850.832,1048.79,0,0
CLD_PE,D,20140704,000000,1002.09,1010.69,1002.09,1010.69,0,0
CLD_PE,D,20140709,000000,850.832,953.499,850.832,953.499,0,0
CLD_PE,D,20140710,000000,994.526,994.526,945.369,953.499,0,0
CLD_PE,D,20140811,000000,10.6827,10.6827,10.6827,10.6827,0,0
CLD_PE,D,20140827,000000,17.773,17.8675,17.773,17.8675,0,0
CLD_PE,D,20140828,000000,17.8675,17.8675,17.3003,17.3948,0,0
