<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLN_PB,D,20161201,000000,7.27066,7.27066,7.27066,7.27066,0,0
CLN_PB,D,20161202,000000,7.27066,7.28973,7.21339,7.27066,0,0
CLN_PB,D,20161205,000000,7.27066,7.43267,7.27066,7.41352,0,0
CLN_PB,D,20161206,000000,7.46128,7.79474,7.46128,7.67093,0,0
CLN_PB,D,20161207,000000,7.77566,8.18547,7.77566,8.04253,0,0
CLN_PB,D,20161208,000000,8.15679,8.15679,7.95676,8.02345,0,0
CLN_PB,D,20161209,000000,8.13783,8.13783,7.84248,8.02345,0,0
CLN_PB,D,20161212,000000,8.06159,8.06159,7.79474,7.8138,0,0
CLN_PB,D,20161213,000000,7.94723,7.95676,7.8138,7.92815,0,0
CLN_PB,D,20161214,000000,7.95676,7.99497,7.83295,7.89004,0,0
CLN_PB,D,20161215,000000,7.84248,8.06159,7.84248,8.0043,0,0
CLN_PB,D,20161216,000000,8.01373,8.11878,7.97581,8.05206,0,0
CLN_PB,D,20161219,000000,8.033,8.033,7.9091,7.96629,0,0
CLN_PB,D,20161220,000000,7.96629,7.99497,7.94723,7.96629,0,0
CLN_PB,D,20161221,000000,7.97581,8.15679,7.9091,8.07102,0,0
CLN_PB,D,20161222,000000,8.09017,8.09017,7.86144,8.01373,0,0
CLN_PB,D,20161223,000000,8.01373,8.15679,8.01373,8.11878,0,0
CLN_PB,D,20161227,000000,8.11878,8.14726,8.09017,8.13783,0,0
CLN_PB,D,20161228,000000,8.14726,8.14726,8.02345,8.08054,0,0
CLN_PB,D,20161229,000000,8.10913,8.10913,8.033,8.09017,0,0
CLN_PB,D,20161230,000000,8.09017,8.09017,7.99497,7.99497,0,0
CLN_PB,D,20170102,000000,8.14726,8.15679,7.98534,7.98534,0,0
CLN_PB,D,20170103,000000,8.06159,8.34749,8.06159,8.34749,0,0
CLN_PB,D,20170104,000000,8.33786,8.33786,8.20445,8.29022,0,0
CLN_PB,D,20170105,000000,8.31871,8.45214,8.31871,8.44289,0,0
CLN_PB,D,20170109,000000,8.44289,8.45214,8.37599,8.45214,0,0
CLN_PB,D,20170110,000000,8.41401,8.45214,8.37599,8.38552,0,0
CLN_PB,D,20170111,000000,8.45214,8.45214,8.39505,8.44289,0,0
CLN_PB,D,20170112,000000,8.44289,8.44289,8.32843,8.36654,0,0
CLN_PB,D,20170113,000000,8.32843,8.44289,8.20445,8.29965,0,0
CLN_PB,D,20170116,000000,8.25209,8.25209,8.02345,8.22341,0,0
CLN_PB,D,20170117,000000,8.21408,8.21408,8.0996,8.21408,0,0
CLN_PB,D,20170118,000000,8.21408,8.45214,8.20445,8.41401,0,0
CLN_PB,D,20170119,000000,8.40468,8.9478,8.33786,8.82372,0,0
CLN_PB,D,20170120,000000,8.92864,9.42336,8.80476,9.167,0,0
CLN_PB,D,20170123,000000,9.21378,9.46226,9.21378,9.45253,0,0
CLN_PB,D,20170124,000000,9.61492,10.4348,9.57701,10.4249,0,0
CLN_PB,D,20170125,000000,10.3385,10.6157,10.2053,10.2908,0,0
CLN_PB,D,20170126,000000,10.4348,10.4348,9.95823,10.1108,0,0
CLN_PB,D,20170127,000000,10.0817,10.2442,9.78608,10.2442,0,0
CLN_PB,D,20170130,000000,10.2442,11.0532,10.2442,10.8908,0,0
CLN_PB,D,20170131,000000,10.9298,10.9958,10.778,10.9958,0,0
CLN_PB,D,20170201,000000,11.0241,11.0532,10.7693,10.8636,0,0
CLN_PB,D,20170202,000000,10.9579,10.9668,10.6059,10.7206,0,0
CLN_PB,D,20170203,000000,10.7011,10.7499,10.0049,10.0633,0,0
CLN_PB,D,20170206,000000,9.94846,10.0438,9.65286,9.94846,0,0
CLN_PB,D,20170207,000000,9.94846,9.94846,9.91056,9.91056,0,0
CLN_PB,D,20170208,000000,9.97763,10.4911,9.97763,10.2627,0,0
CLN_PB,D,20170209,000000,10.4348,10.5008,10.0049,10.034,0,0
CLN_PB,D,20170210,000000,10.1108,10.1108,9.78608,9.92026,0,0
CLN_PB,D,20170213,000000,9.92026,9.94846,9.67133,9.85319,0,0
CLN_PB,D,20170214,000000,9.94846,9.97763,9.78608,9.94846,0,0
CLN_PB,D,20170215,000000,9.94846,10.2713,9.94846,10.2247,0,0
CLN_PB,D,20170216,000000,10.2713,10.5398,10.2713,10.53,0,0
CLN_PB,D,20170217,000000,10.53,10.53,10.1108,10.3006,0,0
CLN_PB,D,20170220,000000,10.4348,10.4532,10.0913,10.1955,0,0
CLN_PB,D,20170221,000000,10.1955,10.386,9.84346,9.94846,0,0
CLN_PB,D,20170222,000000,10.0729,10.0729,9.86291,9.93976,0,0
