<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPL_MV,D,20111205,000000,14.83,14.83,14.83,14.83,0,0
CPL_MV,D,20111206,000000,14.83,18.57,13.36,18.57,0,0
CPL_MV,D,20111207,000000,18.56,20.44,16.97,18.3,0,0
CPL_MV,D,20111208,000000,18.37,20.96,16.97,18.3,0,0
CPL_MV,D,20111209,000000,18.3,18.3,17.62,18.22,0,0
CPL_MV,D,20111212,000000,18.44,18.44,17.37,18.04,0,0
CPL_MV,D,20111213,000000,17.7,17.7,16.97,17.37,0,0
CPL_MV,D,20111214,000000,16.98,16.98,16.57,16.57,0,0
CPL_MV,D,20111215,000000,16.71,16.71,16.71,16.71,0,0
CPL_MV,D,20111216,000000,16.71,16.71,16.71,16.71,0,0
CPL_MV,D,20111219,000000,17.03,17.03,17.03,17.03,0,0
CPL_MV,D,20111220,000000,17.03,17.03,16.97,16.97,0,0
CPL_MV,D,20111221,000000,16.71,16.71,16.71,16.71,0,0
CPL_MV,D,20111222,000000,16.71,20.04,16.71,20.04,0,0
CPL_MV,D,20111223,000000,20.97,20.97,20.97,20.97,0,0
CPL_MV,D,20111227,000000,20.97,20.97,20.97,20.97,0,0
CPL_MV,D,20111228,000000,20.84,20.84,19.37,20.44,0,0
CPL_MV,D,20111229,000000,20.84,20.84,20.84,20.84,0,0
CPL_MV,D,20111230,000000,20.84,20.84,20.84,20.84,0,0
CPL_MV,D,20120102,000000,20.97,20.97,20.97,20.97,0,0
CPL_MV,D,20120103,000000,20.97,21.38,20.97,21.38,0,0
CPL_MV,D,20120110,000000,20.31,20.31,20.04,20.04,0,0
CPL_MV,D,20120111,000000,19.77,19.77,19.77,19.77,0,0
CPL_MV,D,20120124,000000,20.44,23.51,20.44,23.51,0,0
CPL_MV,D,20120125,000000,24.55,24.58,24.55,24.58,0,0
CPL_MV,D,20120126,000000,24.58,24.58,24.58,24.58,0,0
CPL_MV,D,20120127,000000,24.58,25.52,24.58,25.52,0,0
CPL_MV,D,20120130,000000,25.52,25.52,25.52,25.52,0,0
CPL_MV,D,20120131,000000,25.52,25.52,23.25,23.25,0,0
CPL_MV,D,20120202,000000,22.71,22.71,22.44,22.44,0,0
CPL_MV,D,20120203,000000,22.44,26.99,22.44,26.99,0,0
CPL_MV,D,20120206,000000,26.99,26.99,26.93,26.95,0,0
CPL_MV,D,20120207,000000,26.95,26.95,25.65,25.94,0,0
CPL_MV,D,20120208,000000,26.71,26.71,26.71,26.71,0,0
CPL_MV,D,20120209,000000,26.65,26.65,26.05,26.05,0,0
CPL_MV,D,20120210,000000,26.45,26.45,26.45,26.45,0,0
CPL_MV,D,20120213,000000,26.45,26.45,26.45,26.45,0,0
CPL_MV,D,20120214,000000,26.84,26.84,26.84,26.84,0,0
CPL_MV,D,20120215,000000,26.84,26.97,26.84,26.97,0,0
CPL_MV,D,20120216,000000,26.96,30.59,26.96,30.59,0,0
CPL_MV,D,20120217,000000,30.73,36.61,30.73,36.61,0,0
CPL_MV,D,20120220,000000,41.95,41.95,40.08,40.35,0,0
CPL_MV,D,20120221,000000,41.41,41.41,38.74,38.74,0,0
CPL_MV,D,20120222,000000,38.74,38.74,38.74,38.74,0,0
CPL_MV,D,20120227,000000,37.29,37.29,37.29,37.29,0,0
CPL_MV,D,20120228,000000,36.07,36.07,35.67,35.67,0,0
CPL_MV,D,20120229,000000,34.73,35.67,34.73,35.67,0,0
CPL_MV,D,20120301,000000,35.67,35.67,35.67,35.67,0,0
CPL_MV,D,20120302,000000,35.67,35.67,35.67,35.67,0,0
CPL_MV,D,20120309,000000,35.91,35.91,35.91,35.91,0,0
CPL_MV,D,20120312,000000,35.91,38.07,35.91,38.07,0,0
CPL_MV,D,20120319,000000,37.58,38.74,37.58,38.74,0,0
CPL_MV,D,20120320,000000,39.48,39.48,38.74,38.74,0,0
CPL_MV,D,20120328,000000,38.34,38.34,38.34,38.34,0,0
CPL_MV,D,20120329,000000,38.07,38.07,37.54,37.54,0,0
CPL_MV,D,20120330,000000,36.47,36.47,36,36,0,0
CPL_MV,D,20120402,000000,36.11,36.11,36.11,36.11,0,0
CPL_MV,D,20120412,000000,35.8,35.8,35.8,35.8,0,0
CPL_MV,D,20120413,000000,36.07,36.07,36.07,36.07,0,0
CPL_MV,D,20120416,000000,36.07,36.26,36.07,36.26,0,0
