<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPS_MV,D,20080506,000000,2620.22,2620.22,2620.22,2620.22,0,0
CPS_MV,D,20080507,000000,2620.22,2632.19,2588.32,2632.19,0,0
CPS_MV,D,20080508,000000,2612.26,2630.2,2596.31,2622.21,0,0
CPS_MV,D,20080509,000000,2622.21,2622.21,2550.44,2560.41,0,0
CPS_MV,D,20080512,000000,2566.38,2570.37,2554.43,2562.39,0,0
CPS_MV,D,20080513,000000,2552.42,2592.32,2552.42,2592.32,0,0
CPS_MV,D,20080514,000000,2622.21,2690.01,2622.21,2682.04,0,0
CPS_MV,D,20080515,000000,2670.07,2670.07,2656.11,2666.09,0,0
CPS_MV,D,20080516,000000,2668.08,2668.08,2656.11,2662.09,0,0
CPS_MV,D,20080519,000000,2672.07,2672.07,2642.16,2652.12,0,0
CPS_MV,D,20080520,000000,2652.12,2709.97,2652.12,2692.01,0,0
CPS_MV,D,20080521,000000,2682.04,2709.97,2672.07,2686.03,0,0
CPS_MV,D,20080523,000000,2690.01,2705.98,2686.03,2701.98,0,0
CPS_MV,D,20080526,000000,2701.98,2701.98,2684.03,2692.01,0,0
CPS_MV,D,20080527,000000,2684.03,2697.98,2684.03,2697.98,0,0
CPS_MV,D,20080528,000000,2701.98,2775.77,2701.98,2775.77,0,0
CPS_MV,D,20080529,000000,2789.72,2809.66,2773.76,2773.76,0,0
CPS_MV,D,20080530,000000,2791.71,2865.49,2789.72,2865.49,0,0
CPS_MV,D,20080602,000000,2869.48,2971.18,2861.51,2941.27,0,0
CPS_MV,D,20080603,000000,2949.25,3080.85,2949.25,3070.88,0,0
CPS_MV,D,20080604,000000,3088.84,3088.84,2931.31,2949.25,0,0
CPS_MV,D,20080605,000000,2891.42,2961.2,2871.46,2909.37,0,0
CPS_MV,D,20080606,000000,2959.22,2969.19,2891.42,2921.33,0,0
CPS_MV,D,20080609,000000,2849.52,2921.33,2801.7,2881.44,0,0
CPS_MV,D,20080610,000000,2831.59,2881.44,2751.83,2793.7,0,0
CPS_MV,D,20080611,000000,2753.84,2771.78,2731.9,2761.81,0,0
CPS_MV,D,20080612,000000,2721.94,2801.7,2721.94,2731.9,0,0
CPS_MV,D,20080613,000000,2731.9,2791.71,2731.9,2775.77,0,0
CPS_MV,D,20080616,000000,2773.76,2863.5,2773.76,2851.54,0,0
CPS_MV,D,20080617,000000,2841.56,2901.4,2841.56,2871.46,0,0
CPS_MV,D,20080618,000000,2861.51,2865.49,2771.78,2791.71,0,0
CPS_MV,D,20080619,000000,2781.74,2791.71,2725.91,2771.78,0,0
CPS_MV,D,20080620,000000,2791.71,2811.65,2775.77,2775.77,0,0
CPS_MV,D,20080623,000000,2789.72,2791.71,2721.94,2731.9,0,0
CPS_MV,D,20080624,000000,2731.9,2731.9,2618.23,2652.12,0,0
CPS_MV,D,20080625,000000,2632.19,2632.19,2612.26,2622.21,0,0
CPS_MV,D,20080626,000000,2604.26,2632.19,2604.26,2612.26,0,0
CPS_MV,D,20080627,000000,2592.32,2652.12,2572.37,2632.19,0,0
CPS_MV,D,20080630,000000,2622.21,2672.08,2612.26,2672.08,0,0
CPS_MV,D,20080701,000000,2688.02,2692.01,2618.23,2618.23,0,0
CPS_MV,D,20080702,000000,2618.23,2751.83,2618.23,2733.89,0,0
CPS_MV,D,20080703,000000,2721.94,2721.94,2692.01,2701.98,0,0
CPS_MV,D,20080704,000000,2692.01,2711.96,2672.07,2672.08,0,0
