<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRJ_MV,D,20180806,000000,57.7933,57.7933,57.7933,57.7933,0,0
CRJ_MV,D,20180807,000000,57.7502,59.3864,54.4174,54.5293,0,0
CRJ_MV,D,20180808,000000,55.4681,57.8621,53.1946,57.0439,0,0
CRJ_MV,D,20180809,000000,57.8707,57.8707,53.832,53.832,0,0
CRJ_MV,D,20180810,000000,53.8922,53.8922,49.1471,51.4291,0,0
CRJ_MV,D,20180813,000000,49.1471,55.5887,49.1471,53.832,0,0
CRJ_MV,D,20180814,000000,54.4174,56.7599,53.8922,55.0031,0,0
CRJ_MV,D,20180816,000000,57.6296,64.0713,57.6296,62.6072,0,0
CRJ_MV,D,20180817,000000,64.3641,70.2114,62.6072,68.7474,0,0
CRJ_MV,D,20180820,000000,69.6258,71.9682,67.292,67.292,0,0
CRJ_MV,D,20180821,000000,66.9992,67.5762,62.6675,65.5352,0,0
CRJ_MV,D,20180822,000000,64.3641,65.5352,62.0216,64.9496,0,0
CRJ_MV,D,20180823,000000,63.1929,66.1208,62.0216,63.7784,0,0
CRJ_MV,D,20180824,000000,62.0216,63.7182,61.2035,63.7182,0,0
CRJ_MV,D,20180827,000000,64.8894,64.8894,58.508,60.2648,0,0
CRJ_MV,D,20180828,000000,62.0216,62.0216,58.508,59.6793,0,0
CRJ_MV,D,20180829,000000,58.508,69.0401,56.1742,57.3369,0,0
CRJ_MV,D,20180830,000000,56.6392,56.6392,48.8543,49.793,0,0
CRJ_MV,D,20180831,000000,50.7919,54.1247,44.5828,51.4895,0,0
CRJ_MV,D,20180903,000000,61.4361,73.725,61.4361,69.6258,0,0
CRJ_MV,D,20180904,000000,70.7969,91.2755,69.6258,82.5003,0,0
CRJ_MV,D,20180905,000000,81.8544,88.3476,79.5723,81.9146,0,0
CRJ_MV,D,20180906,000000,81.9233,86.0138,76.0674,80.1579,0,0
CRJ_MV,D,20180907,000000,80.7435,84.8427,77.8155,84.8427,0,0
CRJ_MV,D,20180910,000000,90.1046,90.8705,86.5995,90.8705,0,0
CRJ_MV,D,20180911,000000,93.0323,108.483,88.9333,105.786,0,0
CRJ_MV,D,20180912,000000,102.394,104.09,97.7168,99.4661,0,0
CRJ_MV,D,20180913,000000,98.3025,102.394,89.5188,97.1322,0,0
CRJ_MV,D,20180914,000000,97.1322,98.8804,92.4464,98.5871,0,0
CRJ_MV,D,20180917,000000,94.7892,97.7168,92.7399,94.7892,0,0
CRJ_MV,D,20180918,000000,96.5463,96.5463,90.8705,95.0822,0,0
CRJ_MV,D,20180919,000000,95.3755,111.754,95.3755,108.25,0,0
CRJ_MV,D,20180920,000000,108.25,114.087,105.907,107.078,0,0
CRJ_MV,D,20180921,000000,105.382,108.25,102.394,104.151,0,0
CRJ_MV,D,20180924,000000,105.321,107.665,104.151,105.321,0,0
CRJ_MV,D,20180925,000000,105.321,114.087,105.321,112.926,0,0
CRJ_MV,D,20180926,000000,111.168,114.087,108.25,114.063,0,0
CRJ_MV,D,20180927,000000,114.097,114.097,108.835,112.926,0,0
CRJ_MV,D,20180928,000000,108.835,108.835,105.916,108.25,0,0
CRJ_MV,D,20181001,000000,105.321,105.321,96.5463,96.5463,0,0
CRJ_MV,D,20181002,000000,98.3025,104.151,98.3025,100.344,0,0
CRJ_MV,D,20181003,000000,99.4661,101.808,96.5463,100.637,0,0
CRJ_MV,D,20181004,000000,99.4661,100.637,96.5463,100.637,0,0
CRJ_MV,D,20181005,000000,96.5463,99.7585,95.9604,96.5463,0,0
CRJ_MV,D,20181008,000000,100.051,100.051,92.7399,96.5293,0,0
CRJ_MV,D,20181009,000000,94.4968,95.3755,89.0538,95.3755,0,0
CRJ_MV,D,20181010,000000,93.6183,105.614,93.6183,103.393,0,0
CRJ_MV,D,20181011,000000,105.321,105.321,96.5463,98.3025,0,0
CRJ_MV,D,20181012,000000,93.0323,102.394,93.0323,102.394,0,0
CRJ_MV,D,20181015,000000,102.394,102.394,98.3025,99.4661,0,0
CRJ_MV,D,20181016,000000,99.4661,99.4661,91.8614,93.6183,0,0
CRJ_MV,D,20181017,000000,94.2033,96.5463,90.7499,90.7499,0,0
CRJ_MV,D,20181018,000000,96.1931,101.222,90.8102,100.637,0,0
CRJ_MV,D,20181019,000000,100.637,101.222,94.7892,99.4135,0,0
CRJ_MV,D,20181022,000000,94.4968,98.7684,90.7499,93.7389,0,0
CRJ_MV,D,20181023,000000,95.3755,96.5463,91.0514,91.0514,0,0
CRJ_MV,D,20181024,000000,90.3971,93.0323,88.3476,89.8117,0,0
CRJ_MV,D,20181025,000000,88.1754,88.1754,84.2571,84.9029,0,0
CRJ_MV,D,20181026,000000,87.1851,87.1851,79.7532,81.9749,0,0
CRJ_MV,D,20181029,000000,79.5723,83.0256,78.4183,80.4508,0,0
CRJ_MV,D,20181030,000000,79.5723,80.1579,76.2396,77.8155,0,0
CRJ_MV,D,20181031,000000,77.8155,81.9146,77.8155,81.9146,0,0
CRJ_MV,D,20181102,000000,77.2557,87.7706,77.2557,87.7706,0,0
CRJ_MV,D,20181105,000000,88.3476,93.2646,86.0225,86.3067,0,0
CRJ_MV,D,20181106,000000,85.4282,93.6183,85.368,91.4654,0,0
CRJ_MV,D,20181107,000000,97.7168,99.4661,90.6896,90.6896,0,0
CRJ_MV,D,20181108,000000,90.6896,93.6183,88.3476,88.3476,0,0
CRJ_MV,D,20181109,000000,88.3476,90.1046,74.3106,84.8427,0,0
CRJ_MV,D,20181113,000000,78.9867,94.6686,78.9867,81.9233,0,0
CRJ_MV,D,20181114,000000,80.7435,90.4573,80.7435,85.4282,0,0
CRJ_MV,D,20181115,000000,85.4282,85.4282,82.5003,82.5003,0,0
CRJ_MV,D,20181116,000000,82.8534,82.8534,77.8155,81.9146,0,0
CRJ_MV,D,20181119,000000,81.3291,82.5003,79.2795,82.5003,0,0
CRJ_MV,D,20181120,000000,82.5003,82.6209,79.0039,79.0212,0,0
CRJ_MV,D,20181121,000000,80.7435,81.3291,78.9867,79.6326,0,0
CRJ_MV,D,20181122,000000,79.047,81.9146,78.4011,81.3291,0,0
CRJ_MV,D,20181123,000000,81.0965,84.8427,80.2181,81.3291,0,0
CRJ_MV,D,20181126,000000,82.5003,91.5681,82.5003,87.1851,0,0
CRJ_MV,D,20181127,000000,86.5995,90.6896,85.4282,85.4282,0,0
CRJ_MV,D,20181128,000000,85.1957,87.7706,85.1957,86.5995,0,0
CRJ_MV,D,20181129,000000,88.9333,92.4464,88.9333,92.4464,0,0
CRJ_MV,D,20181130,000000,93.0323,93.0323,88.9333,88.9333,0,0
CRJ_MV,D,20181203,000000,92.3862,92.3862,86.5995,90.1648,0,0
CRJ_MV,D,20181204,000000,89.9064,89.9064,86.3067,86.3067,0,0
CRJ_MV,D,20181205,000000,86.3067,87.7706,85.4282,86.5392,0,0
CRJ_MV,D,20181206,000000,87.7706,87.7706,83.6714,83.6714,0,0
CRJ_MV,D,20181207,000000,84.2571,84.2571,81.9146,83.6714,0,0
CRJ_MV,D,20181210,000000,83.6714,84.8427,80.2181,84.2571,0,0
CRJ_MV,D,20181211,000000,83.6714,87.7706,83.6714,83.6801,0,0
CRJ_MV,D,20181212,000000,83.6801,85.4282,83.0859,85.4282,0,0
CRJ_MV,D,20181213,000000,82.5003,87.4004,82.5003,87.4004,0,0
CRJ_MV,D,20181214,000000,87.3487,88.3476,86.0138,86.0138,0,0
CRJ_MV,D,20181217,000000,86.0138,87.1851,83.0859,87.1851,0,0
CRJ_MV,D,20181219,000000,83.6714,86.0138,83.6714,86.0138,0,0
CRJ_MV,D,20181220,000000,83.0859,86.5995,83.0859,83.0859,0,0
